source_entry	source_target	kind	site	target_entry	target	count	unique_vm_ips	frames	top_ip_deltas
28	0x7e390	tail	0x7e7ca	347	0xc088d	1137	65	1	+0x3:1137
18	0x7be9b	tail	0x7c308	114	0x90319	797	76	1	+0x3:797
257	0xadbfd	tail	0xadf29	172	0x9b68a	774	6	1	+0x2:774
114	0x90319	tail	0x90893	66	0x855ff	693	68	1	+0x4:693
258	0xadf2c	tail	0xae32f	215	0xa4609	685	47	1	+0x4:685
28	0x7e390	tail	0x7e7ca	189	0x9e7af	683	60	1	+0x3:683
258	0xadf2c	tail	0xae32f	43	0x8173d	677	39	1	+0x4:677
347	0xc088d	tail	0xc0d7b	168	0x9aa83	651	37	1	+0x4:651
189	0x9e7af	tail	0x9eac9	43	0x8173d	651	39	1	+0x4:651
347	0xc088d	tail	0xc0d7b	18	0x7be9b	642	83	1	+0x4:642
258	0xadf2c	tail	0xae32f	307	0xb8064	635	66	1	+0x4:635
64	0x85059	tail	0x8536e	199	0xa0631	611	48	1	+0x4:611
315	0xb9451	tail	0xb9878	28	0x7e390	607	19	1	+0x4:607
18	0x7be9b	tail	0x7c308	347	0xc088d	599	66	1	+0x3:599
220	0xa522e	tail	0xa5886	144	0x95887	597	33	1	+0x5:597
43	0x8173d	tail	0x81b7c	26	0x7dbbb	595	27	1	+0x4:595
64	0x85059	tail	0x8536e	28	0x7e390	585	68	1	+0x4:585
66	0x855ff	tail	0x859f9	337	0xbec0e	578	65	1	+0x3:578
196	0x9fbcd	tail	0xa0068	340	0xbf435	572	21	1	+0x4:572
168	0x9aa83	tail	0x9af16	315	0xb9451	568	18	1	+0x4:568
297	0xb64d7	tail	0xb68ff	347	0xc088d	567	54	1	+0x3:567
297	0xb64d7	tail	0xb68ff	196	0x9fbcd	565	18	1	+0x3:565
114	0x90319	tail	0x90893	185	0x9d964	561	59	1	+0x4:561
301	0xb708d	tail	0xb7583	160	0x994cf	538	32	1	+0x5:538
114	0x90319	tail	0x90893	199	0xa0631	535	48	1	+0x4:535
340	0xbf435	tail	0xbf886	28	0x7e390	524	70	1	+0x4:524
340	0xbf435	tail	0xbf886	307	0xb8064	521	61	1	+0x4:521
196	0x9fbcd	tail	0xa0068	66	0x855ff	518	27	1	+0x4:518
300	0xb6c36	tail	0xb708a	258	0xadf2c	517	4	1	+0x4:517
43	0x8173d	tail	0x81b7c	347	0xc088d	515	32	1	+0x4:515
347	0xc088d	tail	0xc0d7b	28	0x7e390	515	65	1	+0x4:515
66	0x855ff	tail	0x859f9	340	0xbf435	511	61	1	+0x3:511
199	0xa0631	tail	0xa0a9c	258	0xadf2c	510	49	1	+0x3:510
189	0x9e7af	tail	0x9eac9	307	0xb8064	487	47	1	+0x4:487
18	0x7be9b	tail	0x7c308	258	0xadf2c	487	57	1	+0x3:487
196	0x9fbcd	tail	0xa0068	189	0x9e7af	486	27	1	+0x4:486
258	0xadf2c	tail	0xae32f	297	0xb64d7	482	52	1	+0x4:482
189	0x9e7af	tail	0x9eac9	297	0xb64d7	481	50	1	+0x4:481
28	0x7e390	tail	0x7e7ca	43	0x8173d	481	39	1	+0x3:481
337	0xbec0e	tail	0xbf126	66	0x855ff	480	60	1	+0x4:480
66	0x855ff	tail	0x859f9	64	0x85059	479	60	1	+0x3:479
347	0xc088d	tail	0xc0d7b	297	0xb64d7	479	48	1	+0x4:479
215	0xa4609	tail	0xa4a5e	189	0x9e7af	474	48	1	+0x3:474
347	0xc088d	tail	0xc0d7b	174	0x9bd8f	474	27	1	+0x4:474
184	0x9d694	tail	0x9d961	28	0x7e390	471	38	1	+0x4:471
49	0x82820	tail	0x82e73	144	0x95887	471	43	1	+0x5:471
66	0x855ff	tail	0x859f9	123	0x91a59	464	37	1	+0x3:464
258	0xadf2c	tail	0xae32f	172	0x9b68a	464	29	1	+0x4:464
340	0xbf435	tail	0xbf886	66	0x855ff	462	59	1	+0x4:462
