source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
258	0xadf2c	9714	1234	tail@0xae32f:9714	215@0xa4609:685,43@0x8173d:677,307@0xb8064:635,297@0xb64d7:482,172@0x9b68a:464	+0x4:9714	0x1e8:1019,0x3d00:383,0x3d8:281,0x968:256,0x6600:256	0x1e8:1479,0x68:286,0xc0b:271,0xc8:256,0x3d6d:256	0xad8:528,0x13d:358,0x540:259,0x1601:258,0xc186:256	0x1e8:607,0x5801:270,0x8701:258,0x74ef:256,0x62db:256		
28	0x7e390	8372	1269	tail@0x7e7ca:8372	347@0xc088d:1137,189@0x9e7af:683,43@0x8173d:481,258@0xadf2c:417,168@0x9aa83:386	+0x3:8372	0x1e8:918,0x852c:256,0x7962:256,0xd39:256,0x8f5f:256	0x1e8:1296,0x4260:256,0xb7c0:256,0x815d:256,0x25b:256	0x1e8:974,0xabaf:256,0xc016:256,0x428c:256,0x3e23:256	0x1e8:1375,0x1:258,0x4fd6:256,0x72c5:256,0xa12:256		
347	0xc088d	8171	1174	tail@0xc0d7b:8171	168@0x9aa83:651,18@0x7be9b:642,28@0x7e390:515,297@0xb64d7:479,174@0x9bd8f:474	+0x4:8171	0x1e8:963,0x8f8:258,0x3e74:256,0x428c:256,0x2685:256	0x1e8:1474,0x3d00:458,0x4a87:256,0xa12:256,0x837a:256	0x1e8:689,0x13d:280,0xe828:270,0x3d01:256,0xd730:256	0x1e8:579,0xd3:336,0xfd01:259,0xf549:257,0x4c27:256		
114	0x90319	7746	1229	tail@0x90893:7746	66@0x855ff:693,185@0x9d964:561,199@0xa0631:535,158@0x99029:403,268@0xb0007:343	+0x4:7746	0x1e8:1069,0x64b6:256,0x507:256,0xf869:256,0xb88a:256	0x1e8:1131,0xdf3a:257,0x57cf:256,0x5a1a:256,0xd6c1:256	0x13d:349,0xe8b4:269,0xe896:263,0x914f:256,0x85f:256	0x1e8:494,0xe81f:257,0x501:257,0xf701:257,0xf7af:256		
340	0xbf435	7572	1233	tail@0xbf886:7572	28@0x7e390:524,307@0xb8064:521,66@0x855ff:462,161@0x9975a:382,18@0x7be9b:336	+0x4:7572	0x1e8:814,0x400:256,0xbd51:256,0x6de9:256,0xae86:256	0x1e8:1587,0x13d:365,0x629a:256,0xaae:256,0x9edc:256	0x158:257,0xe870:257,0xc079:256,0x1091:256,0xa9d4:256	0x13d:399,0x1e8:285,0x4001:259,0x16b7:256,0x501e:256		
337	0xbec0e	7528	1261	tail@0xbf126:7528	66@0x855ff:480,174@0x9bd8f:429,297@0xb64d7:389,196@0x9fbcd:328,28@0x7e390:293	+0x4:7528	0x1e8:775,0xc146:256,0x2836:256,0x6c03:256,0xca65:256	0x1e8:1370,0x3d00:339,0x13d:293,0xe828:270,0xa134:256	0x3401:269,0x960:260,0x804:256,0x2700:256,0x365:256	0x1e8:260,0xa7fc:256,0x5ab5:256,0x7e71:256,0xef1b:256		
189	0x9e7af	7476	1256	tail@0x9eac9:7476	43@0x8173d:651,307@0xb8064:487,297@0xb64d7:481,18@0x7be9b:376,184@0x9d694:367	+0x4:7476	0x1e8:656,0x13d:264,0x632a:256,0xf340:256,0xb6a9:256	0x1e8:1681,0x561d:256,0xd6aa:256,0x46af:256,0x4bab:256	0x3d00:333,0xad8:274,0xffa3:256,0x4dc8:256,0xe877:256	0x1e8:588,0x13d:392,0x39e6:256,0xe0ac:256,0xe8c0:256		
18	0x7be9b	7412	1368	tail@0x7c308:7412	114@0x90319:797,347@0xc088d:599,258@0xadf2c:487,300@0xb6c36:323,174@0x9bd8f:321	+0x3:7412	0x1e8:707,0xd9e8:256,0x7750:256,0xbbdb:256,0x220:256	0x1e8:1279,0xaf0:259,0xff3c:257,0x4c51:256,0xc02f:256	0x1e8:1249,0xb88a:256,0xe707:256,0xa662:256,0x1262:256	0x1e8:1524,0x68:328,0x2e82:256,0xd6c1:256,0x8b2b:256		
66	0x855ff	7210	1176	tail@0x859f9:7210	337@0xbec0e:578,340@0xbf435:511,64@0x85059:479,123@0x91a59:464,189@0x9e7af:452	+0x3:7210	0x1e8:870,0x927:256,0x6d7c:256,0x7e88:256,0x9644:256	0x1e8:1213,0x3da9:259,0xcb:258,0xbc79:256,0xc8a4:256	0x1e8:675,0x13d:311,0x2d40:256,0x6c03:256,0x6de9:256	0x1e8:1642,0x44ef:256,0xbf37:256,0xdfd6:256,0xb3f4:256		
215	0xa4609	7146	959	tail@0xa4a5e:7146	189@0x9e7af:474,114@0x90319:454,347@0xc088d:430,258@0xadf2c:401,337@0xbec0e:392	+0x3:7146	0x1e8:482,0x3d00:329,0xe6e:256,0x631c:256,0xde81:256	0x1e8:1122,0xef01:262,0x81ba:256,0xa234:256,0x1165:256	0x1e8:836,0x3d00:376,0xf174:256,0x632a:256,0xe58:256	0x1e8:1184,0x79:264,0x3e2f:256,0x4a87:256,0xe8aa:256		
307	0xb8064	7071	1100	tail@0xb837a:7071	174@0x9bd8f:451,157@0x98a9a:421,26@0x7dbbb:415,114@0x90319:413,340@0xbf435:358	+0x3:7071	0x1e8:636,0x6efd:270,0xce87:256,0xd70b:256,0x700a:256	0x1e8:1880,0xf40c:288,0xd3:281,0xc7ff:256,0x68:172	0x1e8:527,0x13d:353,0xf73e:270,0xb8d:256,0xc940:256	0x1e8:1011,0xd6ec:284,0xc5a1:256,0x826f:256,0x7c68:256		
297	0xb64d7	6494	1018	tail@0xb68ff:6494	347@0xc088d:567,196@0x9fbcd:565,333@0xbd8af:360,258@0xadf2c:341,340@0xbf435:337	+0x3:6494	0x1e8:414,0x3d00:393,0x99a7:256,0xf983:256,0xc856:256	0x1e8:951,0x28:273,0xba3f:256,0x4701:256,0xc04d:256	0x1e8:768,0xb082:256,0xaf68:256,0xcb5:256,0x5b65:256	0x1e8:1107,0x38:272,0x3d47:256,0x3382:256,0x8c34:256		
199	0xa0631	6223	989	tail@0xa0a9c:6223	258@0xadf2c:510,184@0x9d694:441,114@0x90319:343,203@0xa1484:310,79@0x885b0:300	+0x3:6223	0x1e8:413,0x3d00:324,0x9017:257,0x22df:256,0xb45a:256	0x1e8:1232,0x13d:328,0xdf01:257,0x3dc9:256,0x6fa2:256	0x1e8:571,0xce01:256,0xad05:256,0xe950:256,0x3010:256	0x1e8:1114,0xf31e:256,0x8878:256,0xefa5:256,0x299a:256		
64	0x85059	6203	1190	tail@0x8536e:6203	199@0xa0631:611,28@0x7e390:585,215@0xa4609:410,18@0x7be9b:343,121@0x91379:278	+0x4:6203	0x1e8:465,0xa0:324,0x937b:256,0x5427:256,0x4e8:88	0x1e8:1160,0xe884:257,0x2f37:256,0x7a:256,0xe83a:104	0x13d:307,0xa501:273,0x9d70:256,0x1e8:223,0xe8f3:66	0x1e8:387,0x87ae:256,0x237c:256,0xedf:256,0x13d:175		
185	0x9d964	6193	1036	tail@0x9dcab:6193	168@0x9aa83:438,203@0xa1484:431,347@0xc088d:418,337@0xbec0e:410,172@0x9b68a:341	+0x3:6193	0x1e8:631,0x3d00:342,0x68e3:260,0x91df:259,0x87ad:256	0x1e8:954,0x73b:256,0x1f5d:256,0xd4de:256,0x5f01:256	0x1e8:817,0xecc7:256,0xa854:256,0xb7b3:256,0x360:256	0x1e8:902,0xf091:257,0xaaee:256,0xe954:256,0x419b:256		
43	0x8173d	5321	840	tail@0x81b7c:5321	26@0x7dbbb:595,347@0xc088d:515,258@0xadf2c:397,199@0xa0631:336,220@0xa522e:287	+0x4:5321	0x3d00:334,0xc186:256,0x6c58:256,0x6b3b:256,0xcf13:256	0x1e8:1106,0x7551:257,0xdf59:256,0xc501:256,0x15a:256	0x1e8:435,0xc922:256,0x863:256,0x7100:256,0x8700:256	0x13d:545,0x1e8:350,0x91:257,0xf091:256,0xd9dd:256		
196	0x9fbcd	4967	625	tail@0xa0068:4967	340@0xbf435:572,66@0x855ff:518,189@0x9e7af:486,18@0x7be9b:407,33@0x7f7c4:338	+0x4:4967	0x1e8:411,0xf73e:272,0xc1e2:256,0xd92:256,0x5b65:256	0x1e8:363,0xd6ec:284,0x38:257,0x2738:256,0xdbd4:256	0x7909:256,0x3cbb:256,0xf340:256,0x2e89:256,0xae86:256	0x1e8:789,0x68:258,0x40bc:256,0x8aff:256,0x9fad:256		
157	0x98a9a	4843	730	tail@0x99026:4843	66@0x855ff:426,258@0xadf2c:369,18@0x7be9b:364,189@0x9e7af:313,201@0xa0dca:261	+0x4:4843	0x13d:415,0xd5f3:256,0xab95:256,0x4f58:256,0x3b9d:256	0x1e8:409,0x87ce:256,0xc5a1:256,0xdbe8:256,0x9f3c:256	0x968:259,0xcee1:256,0x85ba:256,0x870b:256,0xfd78:256	0x13d:404,0xc8:256,0x238c:256,0xd6aa:256,0x6282:256		
168	0x9aa83	4549	774	tail@0x9af16:4549	315@0xb9451:568,189@0x9e7af:370,340@0xbf435:367,337@0xbec0e:366,347@0xc088d:353	+0x4:4549	0x1e8:646,0x9124:257,0x328:256,0xa854:256,0xf7c:256	0x1e8:569,0x79:274,0x1:259,0xe954:257,0xf6c9:256	0x1e8:590,0x8f8:259,0x810:257,0x96dc:256,0x5771:256	0x13d:383,0x1e3:259,0xfaa9:257,0xf3e8:256,0xcc:256		
172	0x9b68a	4547	626	tail@0x9ba72:4547	28@0x7e390:361,199@0xa0631:348,307@0xb8064:306,254@0xad32c:262,128@0x9299b:261	+0x4:4547	0x960:256,0x1536:256,0x6962:256,0xd711:256,0x9c74:256	0x1e8:459,0x2c21:256,0xbb4:256,0xbbc1:256,0xcaf7:256	0x6085:256,0xffd7:256,0xaba9:256,0xfab2:256,0xa4fc:256	0x1e8:262,0x1:259,0x68:257,0xaf42:256,0x8dc7:256		
268	0xb0007	3642	598	tail@0xb0458:3642	243@0xaab6a:411,301@0xb708d:261,28@0x7e390:252,64@0x85059:172,189@0x9e7af:166	+0x4:3642	0x3d00:276,0x933d:256,0x1e8:112,0x810:92,0x5e8:78	0x1e8:735,0x9001:256,0x3d26:81,0x3da5:64,0x80c:64	0xe318:256,0xd53a:256,0x3d00:120,0x1e8:108,0xff01:77	0xd8ef:256,0xfdaf:256,0x1e8:205,0xe83a:65,0x8e90:64		
333	0xbd8af	3616	654	tail@0xbdd16:3616	305@0xb78b0:338,215@0xa4609:335,258@0xadf2c:305,337@0xbec0e:177,243@0xaab6a:162	+0x4:3616	0x390:259,0xcb5:256,0x9cec:256,0x1e8:145,0x3d00:130	0x1e8:770,0xf4de:257,0xa600:256,0x81c:65,0xdf01:65	0x3d00:259,0x890f:256,0xcf68:256,0x1e8:84,0xd0:67	0xd13a:256,0xcb01:256,0xbab:256,0x1e8:229,0x13d:205		
174	0x9bd8f	3329	466	tail@0x9c08c:3329	114@0x90319:447,258@0xadf2c:411,199@0xa0631:294,28@0x7e390:255,347@0xc088d:241	+0x4:3329	0x365:256,0x7247:256,0x4087:256,0x1e8:170,0xad8:108	0x7e71:256,0x23c7:256,0x533a:256,0x13d:131,0x31:96	0x3d8:309,0x507:256,0xa2b0:256,0x80:130,0x4f0:98	0x813c:256,0x5a1a:256,0x506f:256,0x89d1:65,0xe80e:65		
315	0xb9451	3309	433	tail@0xb9878:3309	28@0x7e390:607,215@0xa4609:305,347@0xc088d:303,167@0x9a8d2:302,114@0x90319:128	+0x4:3309	0x1e8:302,0x810:270,0x5e8:269,0xad8:264,0x822d:258	0x13d:383,0x2ad:256,0x20ba:256,0xf3e8:256,0xecda:256	0x2685:256,0xa48d:256,0x65e1:256,0xb875:256,0x33d0:256	0x1e8:338,0x837a:256,0xdd01:256,0xf311:256,0x3a3:256		
203	0xa1484	3285	567	tail@0xa1936:3285	297@0xb64d7:385,258@0xadf2c:357,315@0xb9451:298,52@0x833c7:256,347@0xc088d:131	+0x4:3285	0x1e8:355,0xb082:256,0xfcc3:256,0x3010:256,0x3d00:203	0x1e8:285,0xf091:257,0x3d47:256,0x4e:256,0xefa5:256	0x13d:272,0x5e8:258,0xab01:256,0x5a9e:256,0x3d00:91	0x1e8:434,0x0:256,0x6847:256,0xecda:256,0xdf01:67		
184	0x9d694	3112	475	tail@0x9d961:3112	28@0x7e390:471,66@0x855ff:426,337@0xbec0e:396,340@0xbf435:251,64@0x85059:183	+0x4:3112	0xad8:308,0xad05:256,0x8cf0:256,0x1e8:135,0x5e8:122	0x39e6:256,0x8878:256,0x6449:256,0x13d:99,0xd3:93	0x5d0d:256,0xcb7e:256,0xca65:256,0x570:122,0x80:103	0xe881:257,0xe900:257,0xe828:257,0xe800:69,0x13d:66		
26	0x7dbbb	3032	457	tail@0x7dfbd:3032	157@0x98a9a:391,28@0x7e390:348,114@0x90319:325,168@0x9aa83:300,258@0xadf2c:154	+0x4:3032	0x540:259,0x863:256,0x7353:256,0x7100:256,0x158:80	0x91:281,0x4c12:256,0xb9f4:256,0xd9dd:256,0x13d:85	0x5e56:256,0xab95:256,0xa257:256,0x328:256,0x778:65	0xdf3a:257,0x24d9:256,0xdbe8:256,0x26fa:256,0xffb:65		
123	0x91a59	2841	455	tail@0x91e7f:2841	18@0x7be9b:337,50@0x82e76:320,337@0xbec0e:295,114@0x90319:217,66@0x855ff:202	+0x4:2841	0xe58:256,0xa5f7:256,0x1e8:79,0x860c:65,0x8e08:65	0xe8aa:256,0xdfd6:256,0x4880:65,0x93b6:65,0xcf92:64	0x51d9:256,0x4437:256,0x508:99,0x80:79,0xfbc3:65	0xe84c:257,0xbe16:256,0xe800:109,0xe8af:97,0xe83a:78		
160	0x994cf	2710	339	tail@0x99757:2710	185@0x9d964:335,215@0xa4609:334,172@0x9b68a:263,350@0xc1926:256,64@0x85059:227	+0x2:2710	0xa03e:256,0xa66a:256,0x225b:256,0x620:256,0xf5cc:64	0xad3:256,0x34b7:256,0xfa3a:256,0x3ffc:256,0x68:100	0x960:256,0x73d:256,0x135b:256,0xc516:256,0x4e8:67	0x2c21:261,0xbb3c:256,0x6002:256,0x34a0:256,0x68:71		
161	0x9975a	2677	434	tail@0x99b3a:2677	66@0x855ff:368,18@0x7be9b:327,28@0x7e390:218,337@0xbec0e:204,347@0xc088d:176	+0x4:2677	0xc940:256,0x1091:256,0xa88:103,0x5e8:81,0x810:80	0x7c68:256,0x501e:256,0x80af:129,0x31:123,0x13d:69	0xa46d:256,0x2f77:256,0x80:159,0xd09d:65,0x4b0d:65	0x3c8:256,0xe8c0:256,0xe87a:68,0xe80a:66,0xe8a4:66		
305	0xb78b0	2676	400	tail@0xb7bb8:2676	189@0x9e7af:361,199@0xa0631:304,157@0x98a9a:193,307@0xb8064:192,297@0xb64d7:160	+0x4:2676	0x890f:256,0xffa3:256,0x92df:66,0xabd5:64,0x4da0:64	0xd13a:256,0xe0ac:256,0x13d:144,0x91:95,0x79:78	0xee67:256,0xb6a9:256,0x1e8:92,0xaa0:66,0x8286:64	0x2e1a:256,0x561d:256,0x1e8:107,0x4258:64,0xc0fc:64		
158	0x99029	2637	423	tail@0x992ca:2637	340@0xbf435:397,64@0x85059:394,258@0xadf2c:341,18@0x7be9b:170,337@0xbec0e:135	+0x4:2637	0xd730:256,0x85f:256,0x83ef:256,0x1e8:148,0x13d:69	0xd3:271,0x758d:256,0xbf37:256,0x1e8:69,0xf4f8:65	0xa0:263,0xbd51:256,0x25e0:256,0x13d:94,0x80:72	0xe884:273,0xaae:256,0x33af:256,0xd47b:65,0xff00:65		
287	0xb45d2	2627	435	tail@0xb497e:2627	28@0x7e390:343,297@0xb64d7:339,199@0xa0631:324,172@0x9b68a:172,347@0xc088d:152	+0x4:2627	0x158:276,0x1bc7:256,0x25fd:256,0xb5ba:65,0x9949:64	0x173a:262,0xd8:256,0xf337:256,0x13d:84,0xaa3:69	0xb790:256,0xec32:256,0xf70f:256,0x8919:64,0x1de0:64	0x109a:256,0x5849:256,0x2e82:256,0xec78:64,0xbd9e:64		
176	0x9c10b	2521	459	tail@0x9c3f4:2521	28@0x7e390:440,307@0xb8064:222,189@0x9e7af:210,337@0xbec0e:194,18@0x7be9b:158	+0x4:2521	0xad8:318,0x390:109,0x89:67,0x5700:65,0x211b:65	0x5f40:256,0x31:81,0xb3e4:65,0x5b84:65,0x94b4:64	0x5b8f:256,0x80:114,0x3d8:97,0xa0:78,0x2628:65	0x8c02:256,0xe848:66,0xaa36:65,0x302e:65,0x4929:64		
20	0x7c62b	2497	465	tail@0x7ca96:2497	114@0x90319:455,181@0x9d13f:288,258@0xadf2c:209,66@0x855ff:164,189@0x9e7af:136	+0x4:2497	0x13d:288,0x3e23:256,0x1e8:95,0x2334:65,0x4a90:64	0x1e8:288,0x747c:256,0x31:68,0xeb1d:65,0x13d:64	0xbe0:256,0xf869:256,0x80:85,0x3e21:65,0xff6a:64	0x5e8:256,0x443e:256,0xe800:147,0x6717:65,0xe8a5:64		
