seq	frame	source_entry	source_target	start_vm_ip	end_vm_ip	delta	kind	site	target_entry	target	w0	w1	w2	w3	w4	w5	bytes	byte_status	pre_flags	post_flags	pre_state	post_state	state_delta	pre_byte	post_byte
1	0x787fe407836d	86	0x8a37f	0x26cd71	0x26dc7b	+0xf0a	dispatch	0xc80b9	310	0xb8556	0x136	0x0	0x1e8	0xa5	0x42	0x9831	36010000e801a500420031983a761999004b4399004414e801144aab007fdfab	prefix_32_of_3850	0x0	0x4000500	0x0	0x984d244d	+0x984d244d	0x0	0x3a
2	0x787fe407836d	310	0xb8556	0x26dc7b	0x26deee	+0x273	dispatch	0xc80b9	169	0x9af18	0x1e8	0xa5	0x154	0x17d4	0x99	0xef7f	e801a5005401d41799007fef9900d88a2aa495e80110732831e7f9e4d046403a	prefix_32_of_627	0x4000500	0xe9cdb52a	0x984d244d	0xe9cdbd2a	+0x518098dd	0x3a	0x3a
3	0x787fe407836d	169	0x9af18	0x26deee	0x26e161	+0x273	dispatch	0xc80b9	310	0xb8556	0x162	0x1e8	0x1c	0xaa0	0x810	0x991a	6201e8011c00a00a10081a99005618fa6c562be80143e2ab007809ab00aa073a	prefix_32_of_627	0xe9cdb52a	0x94baf385	0xe9cdbd2a	0xffc5af34	+0x15f7f20a	0x3a	0x3a
4	0x787fe407836d	310	0xb8556	0x26e161	0x26e3d4	+0x273	dispatch	0xc80b9	169	0x9af18	0x1e8	0x162	0x10c	0x1c4a	0x67ae	0x15e	e80162010c014a1cae675e013a7bd9b1caf629e801880a847c75400b7e13ab0d	prefix_32_of_627	0x94baf385	0x12833a00	0xffc5af34	0x3ffda2b6	-0xbfc80c7e	0x3a	0x3a
5	0x787fe407836d	169	0x9af18	0x26e3d4	0x26e647	+0x273	dispatch	0xc80b9	310	0xb8556	0xab	0x1e8	0x129	0xe31	0xc2eb	0x6129	ab00e8012901310eebc229613a40a4ae6cde93e801b10e012fabf83a58e10006	prefix_32_of_627	0x12833a00	0xe19e5301	0x3ffda2b6	0xbffd4e77	+0x7fffabc1	0x3a	0x3a
6	0x787fe407836d	310	0xb8556	0x26e647	0x26e8ba	+0x273	dispatch	0xc80b9	169	0x9af18	0x1e8	0xa5	0x12	0x158	0x4d3a	0x3180	e801a500120058013a4d8031feb40d9900e801e672582636179097970828a5f0	prefix_32_of_627	0xe19e5301	0x2711ed9e	0xbffd4e77	0xe76c8b67	+0x276f3cf0	0x3a	0x3a
7	0x787fe407836d	169	0x9af18	0x26e8ba	0x26ebbd	+0x303	dispatch	0xc80b9	169	0x9af18	0xa5	0x1e8	0x1c	0xa68	0x7310	0x99e9	a500e8011c00680a1073e99900e70926175abde8018850cca05733c349f808c8	prefix_32_of_771	0x2711ed9e	0x88bf1241	0xe76c8b67	0xceebcfb8	-0x1880bbaf	0x3a	0x3a
8	0x787fe407836d	169	0x9af18	0x26ebbd	0x26ee30	+0x273	dispatch	0xc80b9	310	0xb8556	0xab	0x1e8	0x151	0x93e8	0x99	0xcf63	ab00e8015101e893990063cf9900d0b0223600e801c8223e9494f3f2ff908796	prefix_32_of_627	0x88bf1241	0xc04a030	0xceebcfb8	0xc04a030	-0xc2e72f88	0x3a	0x3a
9	0x787fe407836d	310	0xb8556	0x26ee30	0x26cd71	-0x20bf	dispatch	0xc80b9	86	0x8a37f	0x1e8	0xab	0x42	0x93b1	0xf13a	0x3464	e801ab004200b1933af16434fe96f98dc3e801fcc4919d3a3b149ce37ab2ab00	backedge_sample	0xc04a030	0x523d6055	0xc04a030	0xfd165f72	+0xf111bf42	0x3a	0x3a
10	0x787fe407836d	86	0x8a37f	0x26cd71	0x26dc7b	+0xf0a	dispatch	0xc80b9	310	0xb8556	0x136	0x0	0x1e8	0xa5	0x42	0x9831	36010000e801a500420031983a761999004b4399004414e801144aab007fdfab	prefix_32_of_3850	0x523d6055	0x4000500	0xfd165f72	0x984d244d	-0x64c93b25	0x3a	0x3a
11	0x787fe407836d	310	0xb8556	0x26dc7b	0x26deee	+0x273	dispatch	0xc80b9	169	0x9af18	0x1e8	0xa5	0x154	0x17d4	0x99	0xef7f	e801a5005401d41799007fef9900d88a2aa495e80110732831e7f9e4d046403a	prefix_32_of_627	0x4000500	0xe9cdb52a	0x984d244d	0xe9cdbd2a	+0x518098dd	0x3a	0x3a
12	0x787fe407836d	169	0x9af18	0x26deee	0x26e161	+0x273	dispatch	0xc80b9	310	0xb8556	0x162	0x1e8	0x1c	0xaa0	0x810	0x991a	6201e8011c00a00a10081a99005618fa6c562be80143e2ab007809ab00aa073a	prefix_32_of_627	0xe9cdb52a	0x94baf385	0xe9cdbd2a	0xffc5af34	+0x15f7f20a	0x3a	0x3a
13	0x787fe407836d	310	0xb8556	0x26e161	0x26e3d4	+0x273	dispatch	0xc80b9	169	0x9af18	0x1e8	0x162	0x10c	0x1c4a	0x67ae	0x15e	e80162010c014a1cae675e013a7bd9b1caf629e801880a847c75400b7e13ab0d	prefix_32_of_627	0x94baf385	0x12833a00	0xffc5af34	0x3ffda2b6	-0xbfc80c7e	0x3a	0x3a
