site	events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	entry_index_reg	entry_index_events	entry_index_pct	table_reg	table_events	table_pct	frame_reg	frame_events	frame_pct	top_targets
0xae32f	2476	r11	2476	100.0	r10	2476	100.0	rcx	2476	100.0							rbp	2476	100.0	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116
0x7e7ca	1754	r11	1754	100.0	rbx	1754	100.0	r14	1754	100.0							rbp	1754	100.0	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103
0xa4a5e	1571	r14	1571	100.0	r8	1571	100.0	rcx	1571	100.0							rbp	1571	100.0	301:262,347:135,189:121,114:120,172:119,258:116,123:113,196:110
0xc0d7b	1553	rdi	1553	100.0	r8	1553	100.0	r11	1	0.1							r10	1553	100.0	168:222,20:130,28:123,158:122,174:117,297:114,37:102,118:102
0x90893	1462	rdi	1462	100.0	r11	1462	100.0	rdx	1462	100.0							rbp	1462	100.0	199:140,66:136,185:120,268:108,287:108,37:106,158:106,332:103
0x859f9	1358	r8	1358	100.0	r11	1358	100.0	rdx	1358	100.0							rbp	1358	100.0	123:139,340:137,337:135,189:125,158:119,300:102,49:102,107:102
0xa0a9c	1351	rax	1351	100.0	r11	1351	100.0	r8	1351	100.0							rbp	1351	100.0	127:256,258:124,114:118,184:113,203:112,79:103,301:103,70:102
0x9eac9	1346	rdx	1346	100.0	r11	1346	100.0	r13	1346	100.0							rbp	1346	100.0	43:226,307:131,184:116,297:116,305:109,30:104,319:102,28:49
0xbf126	1342	rbx	1342	100.0	r10	1342	100.0	r11	1342	100.0	rsi	36	2.7				rbp	1342	100.0	253:256,66:128,196:121,174:108,315:107,79:102,297:44,215:43
0xbf886	1300	r15	1300	100.0	r8	1300	100.0	r14	1300	100.0							r11	1300	100.0	28:131,161:130,307:127,66:121,287:111,345:106,192:102,199:39
0xb68ff	1299	r13	1299	100.0	rcx	1299	100.0	r15	1299	100.0							rbp	1299	100.0	203:262,196:221,347:128,333:108,260:103,301:102,64:32,258:26
0x7c308	1283	rcx	1283	100.0	r13	1283	100.0										rbp	1283	100.0	114:248,347:146,258:136,300:102,105:102,337:43,64:40,184:32
0x9ba72	1146	rsi	1146	100.0	r8	1146	100.0	r15	1146	100.0							rbp	1146	100.0	28:265,307:114,199:110,332:103,128:102,254:102,260:102,243:22
0x81b7c	1115	r8	1115	100.0	rax	1115	100.0										rbp	1115	100.0	199:259,26:222,258:120,347:115,220:103,18:32,337:20,340:19
0xb837a	1093	rcx	1093	100.0	rdx	1093	100.0	r13	1093	100.0							rbp	1093	100.0	196:121,157:118,174:113,161:110,26:106,332:102,64:47,189:35
0x9dcab	1091	r10	1091	100.0	r15	1091	100.0										rbp	1091	100.0	332:256,203:114,172:108,168:107,220:105,347:35,189:29,340:29
0xa0068	1057	r10	1057	100.0	rdi	1057	100.0	r11	1057	100.0	rbx	111	10.5				rbp	1057	100.0	340:210,189:121,33:116,215:112,18:111,66:110,273:102,337:23
0x99026	971	r9	971	100.0	rcx	971	100.0	rdi	971	100.0							rbp	971	100.0	258:268,66:118,18:114,189:107,201:102,185:21,347:21,114:20
0x9af16	915	rdi	915	100.0	rbx	915	100.0	rsi	915	100.0							rbp	915	100.0	315:210,337:116,340:116,189:111,347:108,258:20,26:19,287:19
0x8536e	837	r13	837	100.0	rsi	837	100.0										r8	837	100.0	28:135,199:109,121:106,66:44,18:32,158:26,184:25,176:24
0xa1936	814	r12	814	100.0	r14	814	100.0	rdi	814	100.0							rbp	814	100.0	52:256,297:110,258:109,315:108,28:28,340:20,18:20,66:15
0xb708a	786	r12	786	100.0	r14	786	100.0	rcx	786	100.0							rbp	786	100.0	258:363,220:104,337:102,333:102,185:102,183:4,91:3,48:2
0xb9878	732	r12	732	100.0	r11	732	100.0	rcx	732	100.0							rbp	732	100.0	28:211,347:111,167:108,215:103,258:22,340:19,199:16,157:14
0xbd8ad	692	rsi	692	100.0	r8	692	100.0	r11	692	100.0							r9	692	100.0	90:256,347:102,114:102,99:102,319:102,183:5,185:4,203:4
0x99757	664	r8	664	100.0	r9	664	100.0	r14	664	100.0							rbp	664	100.0	172:256,185:104,350:102,215:102,43:11,64:9,258:9,140:8
0x7dfbd	656	rdi	656	100.0	r11	656	100.0										r10	656	100.0	157:131,28:117,114:109,168:107,18:25,43:19,340:14,196:12
0xb7583	634	r8	634	100.0	rax	634	100.0	rbx	634	100.0							rbp	634	100.0	160:260,198:110,173:108,352:108,108:22,256:17,144:6,257:3
0x8f6cf	595	rcx	595	100.0	r15	595	100.0	rdi	595	100.0							rbp	595	100.0	337:257,333:107,215:103,28:11,347:11,258:10,199:9,18:7
0xa062e	595	r14	595	100.0	rbx	595	100.0	rdi	2	0.3							rbp	595	100.0	18:110,185:105,215:103,300:102,337:102,203:8,345:7,340:7
0xbdd16	582	rcx	582	100.0	rdi	582	100.0	r11	582	100.0	r8	22	3.8				rbp	582	100.0	215:111,258:109,305:107,18:22,28:19,66:17,185:16,346:16
0xadf29	568	r14	568	100.0	rcx	568	100.0										rbp	568	100.0	172:306,157:102,43:102,28:8,258:6,140:5,64:5,203:4
0x95b59	554	r8	554	100.0	r10	554	100.0	rsi	554	100.0	rdx	3	0.5				r13	554	100.0	258:256,18:103,168:102,64:11,347:9,66:8,297:8,28:8
0x9d961	550	r13	550	100.0	r8	550	100.0	rsi	550	100.0							rbp	550	100.0	28:120,66:119,337:116,340:24,114:22,18:21,258:19,307:18
0x992ca	535	r13	535	100.0	rcx	535	100.0	rdx	535	100.0							rbp	535	100.0	258:120,340:119,64:116,114:27,66:20,337:17,347:16,189:15
0xb497e	533	rdi	533	100.0	rsi	533	100.0	r8	533	100.0							r11	533	100.0	297:114,28:107,199:102,189:24,307:19,43:17,347:15,18:13
0x82e73	521	r8	521	100.0	r15	521	100.0	r12	521	100.0							rbp	521	100.0	144:270,257:106,198:105,108:13,352:13,173:11,160:3
0x9c08c	508	r15	508	100.0	r8	508	100.0	rsi	508	100.0	rdx	2	0.4	r10	193	38.0	rbp	508	100.0	258:122,114:108,199:107,28:20,307:20,18:19,340:13,189:12
0xa5886	485	r10	485	100.0	r14	485	100.0				rbx	21	4.3				rbp	485	100.0	144:215,108:115,198:110,160:16,352:10,256:9,173:6,257:4
0xb0458	476	r15	476	100.0	r13	476	100.0	r10	476	100.0							rbp	476	100.0	243:111,301:106,18:27,185:21,340:18,307:17,199:15,189:14
0x99b3a	463	rax	463	100.0	r9	463	100.0										r8	463	100.0	18:120,66:113,28:37,114:27,337:25,258:20,340:16,297:15
