site	reg	role	events	site_events	coverage_pct	top_entries	top_values	top_site_targets
0xae32f	r10	slot_pointer	2476	2476	100.0	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116	0x735389ec3dd0:383,0x735389ec3870:370,0x735389ec3e80:256,0x735389ec40b0:136,0x735389ec3c00:132,0x735389ec3cd8:120,0x735389ec40f0:118,0x735389ec37e8:116	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116
0xae32f	r10	table_slot_match	2476	2476	100.0	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116	0x735389ec3dd0:383,0x735389ec3870:370,0x735389ec3e80:256,0x735389ec40b0:136,0x735389ec3c00:132,0x735389ec3cd8:120,0x735389ec40f0:118,0x735389ec37e8:116	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116
0xae32f	r11	target_value	2476	2476	100.0	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116	0x735389ea4609:383,0x735389e8173d:370,0x735389ea8e1f:256,0x735389eb8064:136,0x735389e98a9a:132,0x735389e9d694:120,0x735389eb9451:118,0x735389e7dbbb:116	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116
0xae32f	rbp	frame_pointer	2476	2476	100.0	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116	0x735389e7836d:2476	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116
0xae32f	rcx	byte_index	2476	2476	100.0	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116	0x6b8:383,0x158:370,0x768:256,0x998:136,0x4e8:132,0x5c0:120,0x9d8:118,0xd0:116	215:383,43:370,237:256,307:136,157:132,184:120,315:118,26:116
0x7e7ca	r11	target_value	1754	1754	100.0	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103	0x735389ec088d:340,0x735389eb6c36:256,0x735389e9e7af:125,0x735389e9aa83:119,0x735389eb45d2:113,0x735389e7c62b:111,0x735389e8173d:110,0x735389e9299b:103	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103
0x7e7ca	r14	byte_index	1754	1754	100.0	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103	0xad8:340,0x960:256,0x5e8:125,0x540:119,0x8f8:113,0xa0:111,0x158:110,0x400:103	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103
0x7e7ca	rbp	frame_pointer	1754	1754	100.0	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103	0x735389e7836d:1754	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103
0x7e7ca	rbx	slot_pointer	1754	1754	100.0	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103	0x735389ec41f0:340,0x735389ec4078:256,0x735389ec3d00:125,0x735389ec3c58:119,0x735389ec4010:113,0x735389ec37b8:111,0x735389ec3870:110,0x735389ec3b18:103	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103
0x7e7ca	rbx	table_slot_match	1754	1754	100.0	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103	0x735389ec41f0:340,0x735389ec4078:256,0x735389ec3d00:125,0x735389ec3c58:119,0x735389ec4010:113,0x735389ec37b8:111,0x735389ec3870:110,0x735389ec3b18:103	347:340,300:256,189:125,168:119,287:113,20:111,43:110,128:103
