site	events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	entry_index_reg	entry_index_events	entry_index_pct	table_reg	table_events	table_pct	frame_reg	frame_events	frame_pct	top_targets
0xae32f	9696	r11	9696	100.0	r10	9696	100.0	rcx	9696	100.0							rbp	9696	100.0	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385
0x7e7ca	8351	r11	8351	100.0	rbx	8351	100.0	r14	8351	100.0							rbp	8351	100.0	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309
0xc0d7b	8166	rdi	8166	100.0	r8	8166	100.0	r11	86	1.1							r10	8166	100.0	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355
0x90893	7732	rdi	7732	100.0	r11	7732	100.0	rdx	7732	100.0							rbp	7732	100.0	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312
0xbf886	7554	r15	7554	100.0	r8	7554	100.0	r14	7554	100.0							r11	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
0xbf126	7506	rbx	7506	100.0	r10	7506	100.0	r11	7506	100.0	rsi	254	3.4				rbp	7506	100.0	66:480,174:428,297:389,196:327,28:291,315:291,79:276,215:270
0x9eac9	7466	rdx	7466	100.0	r11	7466	100.0	r13	7466	100.0							rbp	7466	100.0	43:650,307:487,297:480,18:374,184:365,305:363,215:324,28:323
0x7c308	7406	rsi	7406	100.0	r13	7406	100.0	r9	15	0.2				r13	17	0.2	rbp	7406	100.0	114:797,347:599,258:486,300:323,174:320,337:298,189:277,105:261
0x859f9	7189	r8	7189	100.0	r11	7189	100.0	rdx	7189	100.0	rsi	2	0.0				rbp	7189	100.0	337:574,340:510,64:477,123:464,189:451,158:359,49:267,300:262
0xa4a5e	7122	r14	7122	100.0	r8	7122	100.0	rcx	7122	100.0							rbp	7122	100.0	189:475,114:452,347:429,258:401,337:389,196:386,123:353,49:346
0xb837a	7052	rcx	7052	100.0	rdx	7052	100.0	r13	7052	100.0							rbp	7052	100.0	174:450,157:421,26:414,114:410,340:358,196:353,161:344,337:295
0xb68ff	6487	r13	6487	100.0	rcx	6487	100.0	r15	6487	100.0							rbp	6487	100.0	196:565,347:564,333:360,258:342,340:337,301:332,203:323,260:266
0xa0a9c	6207	rax	6207	100.0	r11	6207	100.0	r8	6207	100.0							rbp	6207	100.0	258:509,184:441,114:343,203:310,79:300,340:294,301:274,189:271
0x8536e	6177	r13	6177	100.0	rsi	6177	100.0	r14	14	0.2	r14	14	0.2	rsi	14	0.2	r8	6177	100.0	199:609,28:584,215:410,18:340,121:277,184:270,185:246,307:228
0x9dcab	6172	r10	6172	100.0	r15	6172	100.0										rbp	6172	100.0	168:438,203:431,347:416,337:407,172:339,220:292,332:278,64:237
0x81b7c	5310	r8	5310	100.0	rax	5310	100.0	r14	10	0.2	r14	10	0.2	rax	10	0.2	rbp	5310	100.0	26:595,347:515,258:397,199:336,220:286,340:260,18:196,28:185
0xa0068	4957	r10	4957	100.0	rdi	4957	100.0	r11	4957	100.0	rbx	406	8.2				rbp	4957	100.0	340:572,66:517,189:485,18:406,33:337,215:292,273:262,258:143
0x99026	4834	r9	4834	100.0	rcx	4834	100.0	rdi	4834	100.0							rbp	4834	100.0	66:426,258:369,18:364,189:313,201:261,185:254,199:205,64:188
0x9af16	4537	rdi	4537	100.0	rbx	4537	100.0	rsi	4537	100.0							rbp	4537	100.0	315:567,189:369,340:367,337:366,347:353,258:291,64:128,26:127
0x9ba72	4531	rsi	4531	100.0	r8	4531	100.0	r15	4531	100.0							rbp	4531	100.0	28:360,199:346,307:306,254:262,128:261,332:258,260:258,189:206
0xb0458	3696	r15	3696	100.0	r13	3696	100.0	r10	3696	100.0	r12	13	0.4	r13	7	0.2	rbp	3696	100.0	243:411,301:261,28:251,185:180,64:171,189:165,49:153,215:149
0xbdd16	3602	rcx	3602	100.0	rdi	3602	100.0	r11	3602	100.0	r8	116	3.2				rbp	3602	100.0	305:337,215:335,258:305,337:177,243:161,28:147,114:141,64:131
0x9c08c	3318	r15	3318	100.0	r8	3318	100.0	rsi	3318	100.0	rdx	2	0.1	r10	1355	40.8	rbp	3318	100.0	114:446,258:409,199:294,28:254,347:241,307:189,185:184,189:173
0xcdac7	3311	*rax	3311	100.0	rax	3311	100.0	rbx	3311	100.0							rbp	3311	100.0	169:1747,310:1562,323:1,42:1
0xb9878	3298	r12	3298	100.0	r11	3298	100.0	rcx	3298	100.0							rbp	3298	100.0	28:604,215:304,347:303,167:302,114:127,199:127,258:121,196:115
