site	reg	role	events	site_events	coverage_pct	top_entries	top_values	top_site_targets
0xae32f	r10	slot_pointer	9696	9696	100.0	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385	0x748966cc3dd0:684,0x748966cc3870:677,0x748966cc40b0:634,0x748966cc4060:480,0x748966cc3c78:464,0x748966cc37a8:455,0x748966cc3d38:404,0x748966cc3d50:385	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385
0xae32f	r10	table_slot_match	9696	9696	100.0	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385	0x748966cc3dd0:684,0x748966cc3870:677,0x748966cc40b0:634,0x748966cc4060:480,0x748966cc3c78:464,0x748966cc37a8:455,0x748966cc3d38:404,0x748966cc3d50:385	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385
0xae32f	r11	target_value	9696	9696	100.0	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385	0x748966ca4609:684,0x748966c8173d:677,0x748966cb8064:634,0x748966cb64d7:480,0x748966c9b68a:464,0x748966c7be9b:455,0x748966c9fbcd:404,0x748966ca0631:385	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385
0xae32f	rbp	frame_pointer	9696	9696	100.0	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385	0x748966c7836d:9696	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385
0xae32f	rcx	byte_index	9696	9696	100.0	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385	0x6b8:684,0x158:677,0x998:634,0x948:480,0x560:464,0x90:455,0x620:404,0x638:385	215:684,43:677,307:634,297:480,172:464,18:455,196:404,199:385
0x7e7ca	r11	target_value	8351	8351	100.0	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309	0x748966cc088d:1136,0x748966c9e7af:682,0x748966c8173d:480,0x748966cadf2c:415,0x748966c9aa83:385,0x748966c90319:330,0x748966c7c62b:314,0x748966cbf435:309	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309
0x7e7ca	r14	byte_index	8351	8351	100.0	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309	0xad8:1136,0x5e8:682,0x158:480,0x810:415,0x540:385,0x390:330,0xa0:314,0xaa0:309	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309
0x7e7ca	rbp	frame_pointer	8351	8351	100.0	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309	0x748966c7836d:8351	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309
0x7e7ca	rbx	slot_pointer	8351	8351	100.0	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309	0x748966cc41f0:1136,0x748966cc3d00:682,0x748966cc3870:480,0x748966cc3f28:415,0x748966cc3c58:385,0x748966cc3aa8:330,0x748966cc37b8:314,0x748966cc41b8:309	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309
0x7e7ca	rbx	table_slot_match	8351	8351	100.0	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309	0x748966cc41f0:1136,0x748966cc3d00:682,0x748966cc3870:480,0x748966cc3f28:415,0x748966cc3c58:385,0x748966cc3aa8:330,0x748966cc37b8:314,0x748966cc41b8:309	347:1136,189:682,43:480,258:415,168:385,114:330,20:314,340:309
0xc0d7b	r10	frame_pointer	8166	8166	100.0	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355	0x748966c7836d:8166	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355
0xc0d7b	r8	slot_pointer	8166	8166	100.0	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355	0x748966cc37a8:650,0x748966cc3c58:649,0x748966cc37f8:515,0x748966cc4060:482,0x748966cc3c88:474,0x748966cc40b0:386,0x748966cc3c08:358,0x748966cc37b8:355	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355
0xc0d7b	r8	table_slot_match	8166	8166	100.0	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355	0x748966cc37a8:650,0x748966cc3c58:649,0x748966cc37f8:515,0x748966cc4060:482,0x748966cc3c88:474,0x748966cc40b0:386,0x748966cc3c08:358,0x748966cc37b8:355	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355
0xc0d7b	rbp	frame_pointer	8166	8166	100.0	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355	0x748966c7836d:8166	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355
0xc0d7b	rdi	target_value	8166	8166	100.0	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355	0x748966c7be9b:650,0x748966c9aa83:649,0x748966c7e390:515,0x748966cb64d7:482,0x748966c9bd8f:474,0x748966cb8064:386,0x748966c99029:358,0x748966c7c62b:355	18:650,168:649,28:515,297:482,174:474,307:386,158:358,20:355
0x90893	r11	slot_pointer	7732	7732	100.0	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312	0x748966cc3928:693,0x748966cc3ce0:564,0x748966cc3d50:534,0x748966cc3c08:402,0x748966cc3f78:342,0x748966cc37b8:332,0x748966cc4010:328,0x748966cc37a8:312	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312
0x90893	r11	table_slot_match	7732	7732	100.0	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312	0x748966cc3928:693,0x748966cc3ce0:564,0x748966cc3d50:534,0x748966cc3c08:402,0x748966cc3f78:342,0x748966cc37b8:332,0x748966cc4010:328,0x748966cc37a8:312	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312
0x90893	rbp	frame_pointer	7732	7732	100.0	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312	0x748966c7836d:7732	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312
0x90893	rdi	target_value	7732	7732	100.0	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312	0x748966c855ff:693,0x748966c9d964:564,0x748966ca0631:534,0x748966c99029:402,0x748966cb0007:342,0x748966c7c62b:332,0x748966cb45d2:328,0x748966c7be9b:312	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312
0x90893	rdx	byte_index	7732	7732	100.0	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312	0x210:693,0x5c8:564,0x638:534,0x4f0:402,0x860:342,0xa0:332,0x8f8:328,0x90:312	66:693,185:564,199:534,158:402,268:342,20:332,287:328,18:312
0xbf886	r11	frame_pointer	7554	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281	0x748966c7836d:7554	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
0xbf886	r14	byte_index	7554	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281	0xe0:521,0x998:519,0x210:460,0x508:382,0x90:335,0x8f8:329,0x600:327,0xac8:281	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
0xbf886	r15	target_value	7554	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281	0x748966c7e390:521,0x748966cb8064:519,0x748966c855ff:460,0x748966c9975a:382,0x748966c7be9b:335,0x748966cb45d2:329,0x748966c9f00a:327,0x748966cc02e4:281	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
0xbf886	r8	slot_pointer	7554	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281	0x748966cc37f8:521,0x748966cc40b0:519,0x748966cc3928:460,0x748966cc3c20:382,0x748966cc37a8:335,0x748966cc4010:329,0x748966cc3d18:327,0x748966cc41e0:281	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
0xbf886	r8	table_slot_match	7554	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281	0x748966cc37f8:521,0x748966cc40b0:519,0x748966cc3928:460,0x748966cc3c20:382,0x748966cc37a8:335,0x748966cc4010:329,0x748966cc3d18:327,0x748966cc41e0:281	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
0xbf886	rbp	frame_pointer	7554	7554	100.0	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281	0x748966c7836d:7554	28:521,307:519,66:460,161:382,18:335,287:329,192:327,345:281
