seq	frame	source_entry	source_target	start_vm_ip	end_vm_ip	delta	kind	site	target_entry	target	w0	w1	w2	w3	w4	w5	bytes	byte_status	pre_flags	post_flags	pre_state	post_state	state_delta	pre_byte	post_byte
1	0x73b8fd27836d	86	0x8a37f	0x26cd71	0x26cd75	+0x4	tail	0x8a49b	310	0xb8556	0x136	0x0	0x1e8	0xa5	0x42	0x9831	36010000	exact	0x0	0x0	0x0	0x0	+0x0	0x0	0x0
2	0x73b8fd27836d	310	0xb8556	0x26cd75	0x26cd79	+0x4	tail	0xb86f5	165	0x9a24c	0x1e8	0xa5	0x42	0x9831	0x763a	0x9919	e801a500	exact	0x0	0x0	0x0	0x0	+0x0	0x0	0x0
3	0x73b8fd27836d	165	0x9a24c	0x26cd79	0x26cd7b	+0x2	tail	0x9a46b	66	0x855ff	0x42	0x9831	0x763a	0x9919	0x4b00	0x9943	4200	exact	0x0	0x0	0x0	0x0	+0x0	0x0	0x0
4	0x73b8fd27836d	66	0x855ff	0x26cd7b	0x26cd7e	+0x3	tail	0x859f9	340	0xbf435	0x9831	0x763a	0x9919	0x4b00	0x9943	0x4400	31983a	exact	0x0	0x42a6ffd6	0x0	0xc28f069e	+0xc28f069e	0x0	0x3a
5	0x73b8fd27836d	340	0xbf435	0x26cd7e	0x26cd82	+0x4	tail	0xbf886	157	0x98a9a	0x1976	0x99	0x434b	0x99	0x1444	0x1e8	76199900	exact	0x42a6ffd6	0x5dd5b298	0xc28f069e	0xf6f66cf5	+0x34676657	0x3a	0x3a
6	0x73b8fd27836d	157	0x98a9a	0x26cd82	0x26cd86	+0x4	tail	0x99026	287	0xb45d2	0x434b	0x99	0x1444	0x1e8	0x4a14	0xab	4b439900	exact	0x5dd5b298	0xee59c047	0xf6f66cf5	0x17d359e4	-0xdf231311	0x3a	0x3a
7	0x73b8fd27836d	287	0xb45d2	0x26cd86	0x26cd8a	+0x4	tail	0xb497e	340	0xbf435	0x1444	0x1e8	0x4a14	0xab	0xdf7f	0xab	4414e801	exact	0xee59c047	0xe78cd8c1	0x17d359e4	0xa83f539	-0xd4f64ab	0x3a	0x3a
8	0x73b8fd27836d	340	0xbf435	0x26cd8a	0x26cd8e	+0x4	tail	0xbf886	333	0xbd8af	0x4a14	0xab	0xdf7f	0xab	0x89e0	0xe82a	144aab00	exact	0xe78cd8c1	0xa92508f3	0xa83f539	0xf6f63c57	+0xec72471e	0x3a	0x3a
9	0x73b8fd27836d	333	0xbd8af	0x26cd8e	0x26cd92	+0x4	tail	0xbdd16	18	0x7be9b	0xdf7f	0xab	0x89e0	0xe82a	0x9901	0xf0f5	7fdfab00	exact	0xa92508f3	0x42808108	0xf6f63c57	0xdf7f	-0xf6f55cd8	0x3a	0x3a
10	0x73b8fd27836d	18	0x7be9b	0x26cd92	0x26cd95	+0x3	tail	0x7c308	315	0xb9451	0x89e0	0xe82a	0x9901	0xf0f5	0xfc8a	0x4090	e0892a	exact	0x42808108	0xfb561f5f	0xdf7f	0x7630	-0x694f	0x3a	0x3a
11	0x73b8fd27836d	315	0xb9451	0x26cd95	0x26cd99	+0x4	tail	0xb9878	189	0x9e7af	0x1e8	0xf599	0x8af0	0x90fc	0x1540	0xa2af	e80199f5	exact	0xfb561f5f	0xd30a6a53	0x7630	0xdfd7dfea	+0xdfd769ba	0x3a	0x3a
12	0x73b8fd27836d	189	0x9e7af	0x26cd99	0x26cd9d	+0x4	tail	0x9eac9	307	0xb8064	0x8af0	0x90fc	0x1540	0xa2af	0xe3af	0x6e00	f08afc90	exact	0xd30a6a53	0x484f8506	0xdfd7dfea	0x522058b8	-0x8db78732	0x3a	0x3a
13	0x73b8fd27836d	307	0xb8064	0x26cd9d	0x26cda0	+0x3	tail	0xb837a	172	0x9b68a	0x1540	0xa2af	0xe3af	0x6e00	0xe834	0x7d01	4015af	exact	0x484f8506	0x40028100	0x522058b8	0x28000	-0x521dd8b8	0x3a	0x3a
14	0x73b8fd27836d	172	0x9b68a	0x26cda0	0x26cda4	+0x4	tail	0x9ba72	346	0xc0535	0xafa2	0xe3	0x346e	0x1e8	0x2b7d	0x73fa	a2afe300	exact	0x40028100	0x7bf384c4	0x28000	0x735f2ff4	+0x735caff4	0x3a	0x3a
15	0x73b8fd27836d	346	0xc0535	0x26cda4	0x26cda8	+0x4	tail	0xc088b	66	0x855ff	0x346e	0x1e8	0x2b7d	0x73fa	0x28d8	0x9300	6e34e801	exact	0x7bf384c4	0x7bf384c4	0x735f2ff4	0x4d5765c1	-0x2607ca33	0x3a	0x3a
16	0x73b8fd27836d	66	0x855ff	0x26cda8	0x26cdab	+0x3	tail	0x859f9	157	0x98a9a	0x2b7d	0x73fa	0x28d8	0x9300	0x300f	0xd2a5	7d2bfa	exact	0x7bf384c4	0x39557b12	0x4d5765c1	0x3b2ea1aa	-0x1228c417	0x3a	0x3a
