source_entry	source_target	count	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
258	0xadf2c	2476	308	tail@0xae32f:2476	215@0xa4609:383,43@0x8173d:370,237@0xa8e1f:256,307@0xb8064:136,157@0x98a9a:132	+0x4:2476	0x1e8:263,0x968:256,0x6600:256,0x7bb7:256,0x3d00:114	0x1e8:319,0xc8:256,0x3d6d:256,0x1a3:256,0x68:114	0x13d:262,0x1601:258,0xc186:256,0xad8:204,0xe8de:102	0x74ef:256,0x62db:256,0xdf59:256,0x1e8:136,0x8701:103	0x2ff1:256,0x7bdc:256,0xc922:256,0xaa0e:102,0x5b8f:102	0x13d:363,0xa03e:256,0xaad0:256,0x1:109,0xd9e8:102
28	0x7e390	1754	304	tail@0x7e7ca:1754	347@0xc088d:340,300@0xb6c36:256,189@0x9e7af:125,168@0x9aa83:119,287@0xb45d2:113	+0x3:1754	0x852c:256,0x1e8:141,0x7962:102,0xd39:102,0x8f5f:102	0x4260:256,0x1e8:247,0xb7c0:102,0x815d:102,0x25b:102	0xabaf:256,0x1e8:175,0xc016:102,0x428c:102,0x3e23:102	0x4fd6:256,0x1e8:239,0x72c5:102,0xa12:102,0x747c:102	0x1e8:330,0x6600:256,0x6b:102,0xd730:102,0x7247:102	0x3d6d:256,0x1e8:157,0x13d:116,0xd3:106,0x23c7:102
215	0xa4609	1571	226	tail@0xa4a5e:1571	301@0xb708d:262,347@0xc088d:135,189@0x9e7af:121,114@0x90319:120,172@0x9b68a:119	+0x3:1571	0x3d00:267,0xe6e:102,0x631c:102,0xde81:102,0xe1f3:102	0xef01:256,0x1e8:189,0x81ba:102,0xa234:102,0x1165:102	0xf174:256,0x1e8:157,0x3d00:104,0x632a:102,0xe58:102	0x3e2f:256,0x1e8:175,0x79:104,0x4a87:102,0xe8aa:102	0xd3a0:256,0x13d:206,0xad8:102,0x51d9:102,0x6b3b:102	0x600a:256,0x1e8:249,0x39e6:102,0xe84c:102,0x46c4:102
347	0xc088d	1553	288	tail@0xc0d7b:1553	168@0x9aa83:222,20@0x7c62b:130,28@0x7e390:123,158@0x99029:122,174@0x9bd8f:117	+0x4:1553	0x1e8:276,0x8f8:103,0x3e74:102,0x428c:102,0x2685:102	0x1e8:230,0x3d00:109,0x4a87:102,0xa12:102,0x837a:102	0x1e8:233,0x13d:105,0x3d01:102,0xd730:102,0x7247:102	0x1e8:143,0xfd01:105,0xd3:103,0x4c27:102,0x23c7:102	0xab0e:102,0xbe0:102,0xbd51:102,0x507:102,0xe80c:102	0x13d:208,0xf01:104,0x0:102,0x5e8:102,0xaae:102
114	0x90319	1461	298	tail@0x90893:1461	199@0xa0631:140,66@0x855ff:136,185@0x9d964:120,268@0xb0007:108,287@0xb45d2:108	+0x4:1461	0x1e8:171,0x64b6:103,0x507:102,0xf869:102,0xb88a:102	0x1e8:218,0x57cf:103,0x5a1a:102,0xd6c1:102,0x443e:102	0x13d:106,0xe896:105,0x914f:103,0xe8b4:102,0x85f:102	0x1e8:133,0xe81f:103,0xf7af:103,0x501:102,0x758d:102	0xfcc3:103,0x78ad:102,0x25e0:102,0xd6a5:102,0xb790:102	0x4e:103,0x7e88:102,0x33af:102,0x37df:102,0x109a:102
66	0x855ff	1358	277	tail@0x859f9:1358	123@0x91a59:139,340@0xbf435:137,337@0xbec0e:135,189@0x9e7af:125,158@0x99029:119	+0x3:1358	0x1e8:174,0x927:102,0x6d7c:102,0x7e88:102,0x9644:102	0x1e8:217,0xcb:103,0xbc79:102,0xc8a4:102,0x1b34:102	0x2d40:102,0x6c03:102,0x6de9:102,0x83ef:102,0xa5f7:102	0x1e8:331,0x44ef:102,0xbf37:102,0xdfd6:102,0xb3f4:102	0xa0:109,0x2836:102,0x365:102,0x1091:102,0x4437:102	0x13d:123,0x7e71:102,0x501e:102,0xe884:102,0xbe16:102
199	0xa0631	1351	214	tail@0xa0a9c:1351	127@0x926c3:256,258@0xadf2c:124,114@0x90319:118,184@0x9d694:113,203@0xa1484:112	+0x3:1351	0x22df:256,0x3d00:111,0xb45a:102,0xb053:102,0x9017:102	0x3dc9:256,0x1e8:207,0x13d:109,0x6fa2:102,0x9ab7:102	0xce01:256,0xad05:102,0xe950:102,0x3010:102,0xa22e:102	0xf31e:256,0x1e8:186,0x8878:102,0xefa5:102,0x299a:102	0x5096:256,0xcb7e:102,0x8cf0:102,0x5a9e:102,0x933d:102	0x4605:256,0x1e8:242,0xe900:102,0x6449:102,0xb747:102
189	0x9e7af	1342	279	tail@0x9eac9:1342	43@0x8173d:226,307@0xb8064:131,184@0x9d694:116,297@0xb64d7:116,305@0xb78b0:109	+0x4:1342	0x632a:102,0xf340:102,0xb6a9:102,0x85ba:102,0x3203:102	0x1e8:321,0x561d:102,0xd6aa:102,0x46af:102,0x4bab:102	0xad8:106,0x3d00:103,0xffa3:102,0x4dc8:102,0xe877:102	0x1e8:135,0x13d:118,0x39e6:102,0xe0ac:102,0xe8c0:102	0x5d0d:102,0xb6a9:102,0x3401:102,0xf473:102,0x7100:102	0xe881:106,0x561d:102,0x898c:102,0x57b9:102,0xd9dd:102
337	0xbec0e	1342	314	tail@0xbf126:1342	253@0xacfb1:256,66@0x855ff:128,196@0x9fbcd:121,174@0x9bd8f:108,315@0xb9451:107	+0x4:1342	0xc146:256,0x1e8:170,0x2836:102,0x6c03:102,0xca65:102	0xa134:256,0x1e8:200,0x13d:102,0xe828:102,0xfaa9:102	0x804:256,0x2700:102,0x365:102,0x3401:102,0x822d:102	0xa7fc:256,0x5ab5:102,0x7e71:102,0xef1b:102,0x2ad:102	0xa726:256,0x3d8:104,0xab71:102,0x3783:102,0x2685:102	0x3f99:256,0x3603:102,0x813c:102,0xa0bf:102,0x837a:102
340	0xbf435	1300	302	tail@0xbf886:1300	28@0x7e390:131,161@0x9975a:130,307@0xb8064:127,66@0x855ff:121,287@0xb45d2:111	+0x4:1300	0x400:102,0xbd51:102,0x6de9:102,0xae86:102,0x5771:102	0x1e8:301,0x13d:103,0x629a:102,0xaae:102,0x9edc:102	0x158:103,0xc079:102,0xe870:102,0x1091:102,0xa9d4:102	0x13d:114,0x4001:104,0x16b7:102,0x501e:102,0xd8:102	0xc5c0:102,0x68c9:102,0x2f77:102,0xec32:102,0x2181:102	0x6b72:102,0x6d7c:102,0xe8c0:102,0x5849:102,0xa66a:102
297	0xb64d7	1299	237	tail@0xb68ff:1299	203@0xa1484:262,196@0x9fbcd:221,347@0xc088d:128,333@0xbd8af:108,260@0xae90b:103	+0x3:1299	0x99a7:256,0x3d00:117,0xf983:102,0xc856:102,0xf19f:102	0xba3f:256,0x4701:102,0x28:102,0xc04d:102,0xc8e5:102	0xb082:256,0x1e8:146,0xaf68:102,0xcb5:102,0x5b65:102	0x3d47:256,0x1e8:170,0x38:103,0x3382:102,0x8c34:102	0xab01:256,0x1e8:143,0x938a:102,0x890f:102,0x2e89:102	0x0:256,0x1e8:145,0x7bfd:102,0xd13a:102,0x9fad:102
18	0x7be9b	1283	347	tail@0x7c308:1283	114@0x90319:248,347@0xc088d:146,258@0xadf2c:136,300@0xb6c36:102,105@0x8e6b4:102	+0x3:1283	0xd9e8:102,0x7750:102,0xbbdb:102,0x220:102,0xb9f:102	0x1e8:142,0xaf0:104,0xff3c:103,0x4c51:102,0xc02f:102	0x1e8:300,0xb88a:102,0xe707:102,0xa662:102,0x1262:102	0x1e8:224,0x68:104,0x2e82:102,0xd6c1:102,0x8b2b:102	0xad8:109,0x85f:102,0x1bc7:102,0x9cec:102,0x9fd7:102	0x5f40:102,0x758d:102,0x173a:102,0xf4de:102,0xca:102
172	0x9b68a	1146	154	tail@0x9ba72:1146	28@0x7e390:265,307@0xb8064:114,199@0xa0631:110,332@0xbd36d:103,128@0x9299b:102	+0x4:1146	0x960:256,0x1536:102,0x6962:102,0xd711:102,0x9c74:102	0x2c21:256,0xbb4:102,0xbbc1:102,0xcaf7:102,0x43b2:102	0x6085:256,0xffd7:102,0xaba9:102,0xfab2:102,0xa4fc:102	0xaf42:256,0x8dc7:102,0x7bef:102,0x46c4:102,0x426a:102	0xd6ab:256,0x6f0b:102,0x27d8:102,0x5cc1:102,0x5ceb:102	0x4f:256,0x13d:105,0x7482:102,0x7a54:102,0x3d69:102
43	0x8173d	1115	180	tail@0x81b7c:1115	199@0xa0631:259,26@0x7dbbb:222,258@0xadf2c:120,347@0xc088d:115,220@0xa522e:103	+0x4:1115	0xc186:256,0x3d00:108,0x6c58:102,0x6b3b:102,0xcf13:102	0xdf59:256,0x1e8:246,0x7551:103,0xc501:102,0x15a:102	0xc922:256,0x1e8:114,0x863:102,0x7100:102,0x8700:102	0x13d:267,0xf091:102,0x91:102,0xd9dd:102,0x6090:102	0x1ece:256,0xad8:102,0xab95:102,0x328:102,0x3739:102	0x96f3:256,0x20ba:102,0xdbe8:102,0x26fa:102,0x220:102
307	0xb8064	1093	251	tail@0xb837a:1093	196@0x9fbcd:121,157@0x98a9a:118,174@0x9bd8f:113,161@0x9975a:110,26@0x7dbbb:106	+0x3:1093	0xce87:102,0xd70b:102,0x700a:102,0x8a33:102,0x6efd:102	0x1e8:389,0xd3:111,0xf40c:106,0xc7ff:102,0x3d00:8	0x13d:104,0xb8d:102,0xc940:102,0x4087:102,0xf73e:102	0x1e8:116,0xc5a1:102,0x826f:102,0x7c68:102,0x533a:102	0xcee1:102,0x3e74:102,0xa46d:102,0xa2b0:102,0xf340:102	0x1e8:151,0x3d00:112,0x238c:102,0x3c8:102,0x506f:102
