source_entry	source_target	class	events	unique_start_ips	unique_pre_states	unique_post_states	unique_state_add	unique_state_xor	top_state_add	top_state_xor	top_pre_states	top_post_states	top_flag_add	top_flag_xor	top_byte_add	top_byte_xor	top_targets	top_sites	top_deltas	byte_statuses	top_bytes
258	0xadf2c	state_mixed	2476	308	298	286	308	308	+0x383d0514:256,+0x4803d328:256,+0x1fbd0100:256,+0x285237d7:102,-0x747df938:102,-0x37fcec43:102,+0x3bfef540:102,+0x73ff800:102	0x47c3071c:256,0xb7fc3728:256,0x60470100:256,0xd7adc829:102,0x947dfb38:102,0x37fcec43:102,0x44010d40:102,0x8c00800:102	0x17d30104:256,0xfffe3240:256,0x20450010:256,0xc20810:108,0xdfafcab9:102,0x847ffe38:102,0x3ffcedcb:102,0x14030c00:102	0x50100618:256,0x48020568:256,0x40020110:256,0x8020290:102,0x10020500:102,0x8000188:102,0x50020140:102,0x8020010:102	-0x50b62466:256,-0x4c77a456:256,-0x6cf62cd6:256,-0x4c75465e:106,-0x50754666:103,-0x5075445e:102,-0x5e000c2f:102,-0x7077645e:102	0xb34a3faa:256,0xb388afaa:256,0xb316332a:256,0xb08bbbaa:110,0xb088afa2:109,0xb38abb2a:104,0xb38acba2:102,0x6e000def:102	+0x0:2476	0x0:2476	215@0xa4609:383,43@0x8173d:370,237@0xa8e1f:256,307@0xb8064:136,157@0x98a9a:132,184@0x9d694:120,315@0xb9451:118,26@0x7dbbb:116	tail@0xae32f:2476	+0x4:2476	exact:2476	f3d5ce87:256,afabd64f:256,24d2f189:256,6503717e:102,e8d9514c:102,5f088d75:102,53b0a26f:102,1030a5ef:102
28	0x7e390	state_mixed	1754	304	286	303	303	303	+0x34875080:256,-0x46223400:102,+0x5118b5be:102,-0x4785f4:102,+0x5f4b418:102,+0x108f7436:102,+0x1dc7db08:102,+0x39800408:102	0xccb9b180:256,0x46223c00:102,0xaf18ddc2:102,0x479a0c:102,0x1a0b5428:102,0x1090945a:102,0x22382708:102,0xc6800408:102	0x7d5f3cf3:256,0xf6f6781f:104,0x3f06161a:102,0x98d790f0:102,0x4bfb50dc:102,0x6923f192:102,0xa7b6ef7:102,0xd6c71bf7:102	0xb1e68d73:256,0xb0d4441f:102,0x901ecbd8:102,0x98900afc:102,0x51f004f4:102,0x79b365c8:102,0x284349ff:102,0x10471fff:102	-0x2fe22259:256,-0xc20ded6:102,+0x2f613e67:102,-0x5367b31d:102,+0x5c055be7:102,-0x294bbbf5:102,+0x14198dc4:102,+0x14c9bc22:102	0x37e2e659:256,0x14612156:102,0x2f613e67:102,0xddb84d23:102,0xbc05642f:102,0x294ccc1b:102,0x1427becc:102,0x357644ee:102	+0x0:1637,+0x28:102,+0x16:11,+0xea:4	0x0:1637,0x58:102,0x6a:15	347@0xc088d:340,300@0xb6c36:256,189@0x9e7af:125,168@0x9aa83:119,287@0xb45d2:113,20@0x7c62b:111,43@0x8173d:110,128@0x9299b:103	tail@0x7e7ca:1754	+0x3:1754	exact:1754	600921:256,a00084:104,5801d8:103,d80a40:103,00049a:102,d80ae6:102,400512:102,d80aba:102
215	0xa4609	state_mixed	1571	226	224	222	226	226	-0x51114f81:256,+0x3eef619d:102,+0x2815fba3:102,-0x903486d:102,+0x132747d5:102,+0x3d4495c6:102,-0x530505ad:102,-0x9027a67:102	0xaeeeb08f:256,0x3ef1e66d:102,0x28160463:102,0xf6fcb8b3:102,0x1d29d835:102,0x45449e5e:102,0xacfafa53:102,0xf6ff8799:102	0x50100618:256,0xc00f536a:102,0xd0e9fe70:102,0x8020290:102,0xe7d76ffa:102,0xbeba64cd:102,0x53050420:102,0x8017102:102	0xfefeb697:256,0xfefeb507:102,0xf8fffa13:102,0xfefeba23:102,0xfafeb7cf:102,0xfbfefa93:102,0xfffffe73:102,0xfefef69b:102	+0x5966d257:680,+0x1d05ffae:256,-0x273a6152:102,-0x228a2253:102,+0x1d45d336:102,-0x14f25053:102,+0x4b097335:102,+0x3a519f9e:5	0x7f1a00f2:256,0xd967d277:106,0x3bc6e6b2:102,0x2e8a2273:102,0x7f5a557a:102,0x3d1ed0b3:102,0xa6b92db9:102,0xbb7af25f:102	+0x0:1138,+0xd8:306,+0x28:104,+0xea:14,+0x16:9	0x0:1138,0x58:410,0x6a:23	301@0xb708d:262,347@0xc088d:135,189@0x9e7af:121,114@0x90319:120,172@0x9b68a:119,258@0xadf2c:116,123@0x91a59:113,196@0x9fbcd:110	tail@0xa4a5e:1571	+0x3:1571	exact:1571	6809c8:256,d80ae8:103,e805bc:102,d8033c:102,1008e8:102,60053d:102,88010c:102,6009bc:102
347	0xc088d	state_mixed	1553	288	286	286	287	287	-0x3415d824:102,-0x709648c4:102,-0x616094:102,-0x604a215a:102,-0x5e37c5e1:102,-0x1873412:102,-0x11bb9f13:102,-0x3d177cfc:102	0x4ff62864:102,0x7096d944:102,0x1fa3a09c:102,0xa0d5e35e:102,0x66384621:102,0x1ef8f412:102,0x2e4c611d:102,0x451b8f04:102	0x420e415c:102,0xfefeb507:102,0x901ecbd8:102,0x98900afc:102,0x73ffaed9:102,0x10471fff:102,0x20040058:102,0x51fde63a:102	0xdf86938:102,0x8e686c43:102,0x8fbd6b44:102,0x3845e9a2:102,0x15c7e8f8:102,0xebfebed:102,0xe486145:102,0x14e6693e:102	-0x7b75e685:102,+0x213d510:102,+0x60ddf2be:102,+0x5548d5ae:102,-0x6f097cf2:102,+0x60d62728:102,+0x6c67f676:102,-0x6b2f2d6a:102	0x848a2985:102,0x1efc6b70:102,0xbf5e0f42:102,0xdfd76e52:102,0x90fe8376:102,0xbfd63b58:102,0xbce83796:102,0x97ff536a:102	+0x0:1553	0x0:1553	168@0x9aa83:222,20@0x7c62b:130,28@0x7e390:123,158@0x99029:122,174@0x9bd8f:117,297@0xb64d7:114,37@0x80685:102,118@0x90c23:102	tail@0xc0d7b:1553	+0x4:1553	exact:1553	8d0b6f82:102,6e0eba81:102,390d5d81:102,5f8f5b02:102,2d82ad02:102,208da401:102,2803fa26:102,f30ff782:102
114	0x90319	state_mixed	1461	298	289	297	297	297	-0x667ea8aa:103,-0x6640a3c8:102,+0x31b356e:102,-0xc548b04:102,-0x6f990c1e:102,-0x687f72aa:102,+0x48a36a22:102,+0x57766f29:102	0x99815756:103,0x6640a458:102,0xfe737ae:102,0x3c577b1c:102,0x909afc26:102,0x9b818f56:102,0xc95c9a66:102,0xdb8af729:102	0x0:112,0xffc1e7b0:102,0x96660971:102,0xa5d60310:102,0x91a0672:102,0x200c108:102,0x50ddd8ba:102,0x420a4c54:102	0x99815756:103,0x998143e8:102,0x99813edf:102,0x9981780c:102,0x9980fa54:102,0x99814e5e:102,0x998142dc:102,0x9980bb7d:102	+0x0:110,+0x7d51579f:102,+0x8a94187:102,+0x58a1e7d5:102,+0x340a83a5:102,-0xe81d908:102,+0x64966130:102,-0x7fe5b3bd:102	0x0:110,0x82b2b8a1:102,0xf756be79:102,0xa75e183b:102,0xdbf57c5b:102,0x1e825b18:102,0xab6ba150:102,0x87ea74cd:102	+0x0:1461	0x0:1461	199@0xa0631:140,66@0x855ff:136,185@0x9d964:120,268@0xb0007:108,287@0xb45d2:108,37@0x80685:106,158@0x99029:106,332@0xbd36d:103	tail@0x90893:1461	+0x4:1461	exact:1461	d95ea6ac:103,4772c723:102,50772fc0:102,233e7c74:102,dbbb3cff:102,d167ee1a:102,5373f4b9:102,b2fac446:102
66	0x855ff	state_mixed	1358	277	263	277	277	277	-0xf42dab3:102,-0x2c672765:102,+0x71c8c468:102,+0x3c93edb8:102,+0x70df8da:102,-0x6504ae42:102,+0x3db905d9:102,+0x2b985aaf:102	0x10dd274d:102,0x55b968bf:102,0x8fc94cf8:102,0xc77413c8:102,0x390e08ea:102,0xa51ddec6:102,0xc6590a79:102,0xd478a771:102	0x30121902:102,0x69165f52:102,0x3f06674a:102,0x7dfb531a:102,0x9981780c:102,0x17d3678c:102,0xfd761250:102,0xf6f676ef:102	0x20cf3e4f:102,0x3caf37ed:102,0xb0cf2bb2:102,0xba8f40d2:102,0xa08f70e6:102,0xb2ceb94a:102,0x3b2f1829:102,0x228ed19e:102	-0x417c3c42:102,+0x3e5ac6ae:102,+0x42a2ffb6:102,+0x429e8fb6:102,+0x41a631ce:102,+0x429dcfd6:102,-0x42a2f9d2:102,-0x3d9a64aa:102	0x42a6ffd6:1117,0x428fc5c2:102,0xa3abd1da:5,0x53acf9da:4,0xbd4b043a:4,0x92ecf13a:4,0xb289e522:4,0xa34bfcd2:4	+0x0:1025,+0xea:215,+0xd8:102,+0x16:15,+0x3a:1	0x0:1025,0x6a:230,0x58:102,0x3a:1	123@0x91a59:139,340@0xbf435:137,337@0xbec0e:135,189@0x9e7af:125,158@0x99029:119,300@0xb6c36:102,49@0x82820:102,107@0x8eef4:102	tail@0x859f9:1358	+0x3:1358	exact:1358	e2c138:102,40c968:102,05ad78:102,65ca28:102,69f83e:102,9d3bbe:102,fca46a:102,7157dc:102
199	0xa0631	state_mixed	1351	214	207	210	211	211	+0x4f528846:256,-0x7f6df4b8:102,+0x1c556547:102,+0x193f745:102,+0x200c108:102,+0x713962b8:102,+0x30b07110:102,-0x780d1667:102	0x4f52884a:256,0x83920cd8:102,0xe3aeaab9:102,0x67408cb:102,0x200c108:102,0xb34aaeb8:102,0xcf50bef0:102,0x880d37ef:102	0x1a3:256,0x0:111,0x998143e8:102,0xf7ada6b9:102,0xa7b59c3:102,0x651cb740:102,0x7f7d27fd:102,0xf7ffaf3b:102	0x4f5289e9:256,0x1a134f30:102,0x14030c00:102,0xc0f5108:102,0x200c108:102,0xd65619f8:102,0xb02d990d:102,0x7ff298d4:102	+0x113b31c2:256,-0x696e4ac4:104,-0x186d10c:102,-0x17f9dec:102,+0x6813914:102,+0x16826914:102,+0x3e35341c:102,+0x6462f11b:102	0x13cb3246:256,0x6972bec4:104,0xe893134:102,0x681a214:102,0x1e813b14:102,0x1683ab14:102,0xc6cd3fec:102,0xbca372e5:102	+0x0:860,+0xd8:260,+0x28:102,+0xee:102,+0xea:22,+0x16:4,+0xf8:1	0x0:860,0x58:362,0x32:102,0x6a:26,0x8:1	127@0x926c3:256,258@0xadf2c:124,114@0x90319:118,184@0x9d694:113,203@0xa1484:112,79@0x885b0:103,301@0xb708d:103,70@0x8610e:102	tail@0xa0a9c:1351	+0x3:1351	exact:1351	86c159:256,07051a:102,87403a:102,c71b3a:102,0f893a:102,27547a:102,aadf5b:102,3bde66:102
189	0x9e7af	state_mixed	1342	279	278	275	278	278	+0x512055bd:102,+0x1a0df986:102,-0x2003f740:102,+0x3a4c78d0:102,-0x2ed5ff70:102,-0x3513aef3:102,-0x15e7ff58:102,+0xef0f9ef:102	0xb2dfb5c3:102,0x7a320b8a:102,0x603c09c0:102,0x45f39930:102,0x32d60390:102,0x5513b113:102,0x6a180178:102,0x710f0a31:102	0xf8fffa13:102,0x30121922:102,0x4a2000a8:102,0x17d394fc:102,0x78f645ec:102,0x6733fa6b:102,0x40040068:102,0x3b2f1829:102	0x4a204fd0:102,0x4a2012a8:102,0x2a1c0968:102,0x52200dcc:102,0x4a20467c:102,0x32204b78:102,0x2a1c0110:102,0x4a201218:102	-0x2901e4a5:108,+0x744f2a68:102,-0x73b5580:102,+0x91e6b80:102,-0x27bcd065:102,-0x1aede1a5:102,+0x6670dfb0:102,+0x9141fa3:102	0x39023da5:108,0x9cb1d598:102,0x8c4ab80:102,0xb62eb80:102,0xd84551ad:102,0x3b3221ed:102,0xae912050:102,0x7b3421a5:102	+0x0:1342	0x0:1342	43@0x8173d:226,307@0xb8064:131,184@0x9d694:116,297@0xb64d7:116,305@0xb78b0:109,30@0x7e849:104,319@0xba72f:102,28@0x7e390:49	tail@0x9eac9:1342	+0x4:1342	exact:1342	1c6334a2:102,3ef7ecd6:102,a3fface0:102,95abe8db:102,ec75b8a3:102,ad54bc9e:102,54a854e9:102,42eb5cd8:102
337	0xbec0e	state_mixed	1342	314	301	305	313	313	+0x42524c8c:256,+0x2070f701:102,-0x4abbc86f:102,+0x3ef4b6da:102,+0x7dfb4b56:102,+0x2be183f8:102,+0x40a600cd:4,+0x3579563a:4	0x4653bc8c:256,0xdf910903:102,0xcd5c5893:102,0x42fdcf5a:102,0x7dfb4b56:102,0x2be78478:102,0x41ba00dd:4,0x357abe3a:4	0x3ba8fb63:256,0x88:103,0xfffebb79:102,0x3caf37ed:102,0x3f069c40:102,0x401323c2:102,0x0:13,0xe973:8	0x7dfb47ef:256,0x206fb27a:102,0xf1f36f7e:102,0x7dfb531a:102,0x7dfb4bde:102,0x6bf4a7ba:102,0x7df7439b:5,0xfdf7cbfb:5	+0x61f749a7:380,-0xa7e99e0:265,-0x4a94db5f:102,+0xc0227a0:102,+0x3db168a0:102,+0xc002820:19,-0x3a7fd8e8:10,-0x3a8018e8:6	0x1a879a20:265,0x61f949e9:102,0x4e9ceb67:102,0xc0628a0:102,0xc256f7a0:102,0xe21f4e5b:102,0xc002820:25,0x4a802928:16	+0x0:1342	0x0:1342	253@0xacfb1:256,66@0x855ff:128,196@0x9fbcd:121,174@0x9bd8f:108,315@0xb9451:107,79@0x885b0:102,297@0xb64d7:44,215@0xa4609:43	tail@0xbf126:1342	+0x4:1342	exact:1342	f3965005:256,402def44:102,7c6da4c8:102,f08c4964:102,24910100:102,3038a6dc:102,33adc1d6:4,2891b80a:4
340	0xbf435	state_mixed	1300	302	294	292	301	301	-0x2c198801:102,-0x4908101f:102,+0x4626dc31:102,-0x650c1dfb:102,-0x294d8911:102,+0x3e024ad5:102,-0x617aafea:102,-0x9099169:5	0xd5e6783f:102,0xc9081061:102,0x46392c51:102,0xaaf46207:102,0xd6b276ef:102,0x4e05b6fb:102,0xae85b016:102,0xf6f66e97:5	0x23100020:102,0x3ffdbf5a:102,0xb0cf2bb2:102,0x5c024901:102,0x20440000:102,0xb8f3f613:102,0x58707121:102,0x0:7	0xf6f6781f:104,0xf6f5af3b:102,0xf6f607e3:102,0xf6f62b06:102,0xf6f676ef:102,0xf6f640e8:102,0xf6f5c137:102,0xf6f66497:6	-0x3599d00e:103,+0x45584ff2:102,-0x31a8500e:102,+0x172eb2d2:102,+0x42a62ff2:102,-0x6c122d4f:102,-0x6b122d2b:102,+0x4ea9d032:19	0x4ea9d032:745,0x3b774d5e:102,0x94126dcf:102,0x95326d5b:102,0x1f734d4e:4,0x125a4d4e:4,0xb7736cda:4,0x779c4d5b:4	+0x0:1300	0x0:1300	28@0x7e390:131,161@0x9975a:130,307@0xb8064:127,66@0x855ff:121,287@0xb45d2:111,345@0xc02e4:106,192@0x9f00a:102,199@0xa0631:39	tail@0xbf886:1300	+0x4:1300	exact:1300	4c0eab00:102,30d7d300:102,887ecb00:102,655b3800:102,7c0f7900:102,83456800:102,34c57900:102,d4179900:5
