source_entry	source_target	branch_site	branch_mnemonic	events	taken_events	not_taken_events	unknown_events	unknown_pct	avg_steps_to_branch	top_predicate_classes	condition_sites	condition_mnemonics	top_condition_ops	top_left_exprs	top_right_exprs	top_left_values	top_right_values	zf_values	top_conditions
3	0x78c77	0x78c93	je	128	13	115	0	0.0	8.0	resolved:128	0x78c91:128	cmp:128	al, 0:128	seed(rax):93,low8(seed(rax)):35	0x0:128	0x0:13,frame+0xa:13,frame+0x23:10,0x1:7,0x2:6	0x0:128	False:115,True:13	0x78c91:cmp:al, 0:low8(seed(rax))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:13,0x78c91:cmp:al, 0:seed(rax)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:13,0x78c91:cmp:al, 0:low8(seed(rax))(frame+0x23) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:10,0x78c91:cmp:al, 0:seed(rax)(0x1) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:7,0x78c91:cmp:al, 0:seed(rax)(0x2) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:6
3	0x78c77	0x78cd4	je	128	23	105	0	0.0	20.9	resolved:128	0x78cd1:128	cmp:128	dl, 0:128	seed(rdx):93,low8(seed(rdx)):35	0x0:128	0x0:23,0x68:7,frame+0x170:7,frame+0x23:7,0x38:6	0x0:128	False:105,True:23	0x78cd1:cmp:dl, 0:seed(rdx)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:23,0x78cd1:cmp:dl, 0:low8(seed(rdx))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:7,0x78cd1:cmp:dl, 0:low8(seed(rdx))(frame+0x23) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:7,0x78cd1:cmp:dl, 0:seed(rdx)(0x68) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:7,0x78cd1:cmp:dl, 0:seed(rdx)(0x38) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:6
3	0x78c77	0x79161	je	128	128	0	0	0.0	274.7	resolved:128	0x7915a:128	cmp:128	rcx, 0:128	u8_2:128	0x0:128	0x0:128	0x0:128	True:128	0x7915a:cmp:rcx, 0:u8_2(0x0) ? 0x0(0x0):zf=True:constant,vm_bytecode:128
17	0x7bae9	0x7bafa	je	128	7	121	0	0.0	5.0	resolved:128	0x7baf6:128	cmp:128	r8b, 0:128	seed(r8):78,low8(seed(r8)):50	0x0:128	frame+0x170:23,0x0:7,0xef:6,0x13:5,0x3a:5	0x0:128	False:121,True:7	0x7baf6:cmp:r8b, 0:low8(seed(r8))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:23,0x7baf6:cmp:r8b, 0:seed(r8)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:7,0x7baf6:cmp:r8b, 0:seed(r8)(0xef) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:6,0x7baf6:cmp:r8b, 0:seed(r8)(0x13) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:5,0x7baf6:cmp:r8b, 0:seed(r8)(0x3a) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:5
17	0x7bae9	0x7bbdd	jne	128	4	124	0	0.0	51.9	resolved:128	0x7bbd9:128	cmp:128	r8b, 0x62:128	u8_2:128	0x62:128	0x62:124,0x50:4	0x62:128	True:124,False:4	0x7bbd9:cmp:r8b, 0x62:u8_2(0x62) ? 0x62(0x62):zf=True:constant,vm_bytecode:124,0x7bbd9:cmp:r8b, 0x62:u8_2(0x50) ? 0x62(0x62):zf=False:constant,vm_bytecode:4
17	0x7bae9	0x7bbea	jne	128	128	0	0	0.0	54.9	resolved:128	0x7bbe6:128	cmp:128	r8b, 0x32:128	u8_2:128	0x32:128	0x62:124,0x50:4	0x32:128	False:128	0x7bbe6:cmp:r8b, 0x32:u8_2(0x62) ? 0x32(0x32):zf=False:constant,vm_bytecode:124,0x7bbe6:cmp:r8b, 0x32:u8_2(0x50) ? 0x32(0x32):zf=False:constant,vm_bytecode:4
17	0x7bae9	0x7bbf8	jne	128	124	4	0	0.0	56.9	resolved:128	0x7bbf4:128	cmp:128	r8b, 0x50:128	u8_2:128	0x50:128	0x62:124,0x50:4	0x50:128	False:124,True:4	0x7bbf4:cmp:r8b, 0x50:u8_2(0x62) ? 0x50(0x50):zf=False:constant,vm_bytecode:124,0x7bbf4:cmp:r8b, 0x50:u8_2(0x50) ? 0x50(0x50):zf=True:constant,vm_bytecode:4
17	0x7bae9	0x7bc05	jne	128	128	0	0	0.0	58.9	resolved:128	0x7bc01:128	cmp:128	r8b, 0x3a:128	u8_2:128	0x3a:128	0x62:124,0x50:4	0x3a:128	False:128	0x7bc01:cmp:r8b, 0x3a:u8_2(0x62) ? 0x3a(0x3a):zf=False:constant,vm_bytecode:124,0x7bc01:cmp:r8b, 0x3a:u8_2(0x50) ? 0x3a(0x3a):zf=False:constant,vm_bytecode:4
17	0x7bae9	0x7bc7b	je	128	0	128	0	0.0	80.9	resolved:128	0x7bc74:128	cmp:128	r12d, 0:128	((((flags0 ^ 0x4365071c) - 0x69693e45) & 0x3d8b48f7) & 0x2):128	0x0:128	0x2:128	0x0:128	False:128	0x7bc74:cmp:r12d, 0:((((flags0 ^ 0x4365071c) - 0x69693e45) & 0x3d8b48f7) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:128
17	0x7bae9	0x7bd0e	je	128	128	0	0	0.0	113.9	resolved:128	0x7bd08:128	cmp:128	ecx, 0:128	((((((flags0 ^ 0x4365071c) - 0x69693e45) & 0x3d8b48f7) - 0x1b99cfe0) + 0x7ec4552a) & 0x2):128	0x0:128	0x0:128	0x0:128	True:128	0x7bd08:cmp:ecx, 0:((((((flags0 ^ 0x4365071c) - 0x69693e45) & 0x3d8b48f7) - 0x1b99cfe0) + 0x7ec4552a) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:128
18	0x7be9b	0x7bed4	je	128	7	121	0	0.0	14.0	resolved:128	0x7bed0:128	cmp:128	dil, 0:128	seed(rdi):88,low8(seed(rdi)):40	0x0:128	0x8:15,frame+0x170:13,frame+0xa:9,0x0:7,frame-0x33:6	0x0:128	False:121,True:7	0x7bed0:cmp:dil, 0:seed(rdi)(0x8) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:15,0x7bed0:cmp:dil, 0:low8(seed(rdi))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:13,0x7bed0:cmp:dil, 0:low8(seed(rdi))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:9,0x7bed0:cmp:dil, 0:seed(rdi)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:7,0x7bed0:cmp:dil, 0:low8(seed(rdi))(frame-0x33) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:6
18	0x7be9b	0x7befe	je	128	99	29	0	0.0	20.9	resolved:128	0x7bef8:128	cmp:128	edi, 0:128	(flags0 & 0x2):128	0x0:128	0x0:99,0x2:29	0x0:128	True:99,False:29	0x7bef8:cmp:edi, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:99,0x7bef8:cmp:edi, 0:(flags0 & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:29
18	0x7be9b	0x7bfe0	je	128	99	29	0	0.0	64.3	resolved:128	0x7bfda:128	cmp:128	ecx, 0:128	(flags0 & 0x2):99,(((flags0 | 0x954df65) + 0x5b466f3b) & 0x2):29	0x0:128	0x0:99,0x2:29	0x0:128	True:99,False:29	0x7bfda:cmp:ecx, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:99,0x7bfda:cmp:ecx, 0:(((flags0 | 0x954df65) + 0x5b466f3b) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:29
18	0x7be9b	0x7c17e	je	128	0	128	0	0.0	148.4	resolved:128	0x7c178:128	cmp:128	ecx, 0:128	((flags0 - 0x6a461e06) & 0x2):99,(((((flags0 | 0x954df65) + 0x5b466f3b) + 0x4872934a) - 0x6a461e06) & 0x2):29	0x0:128	0x2:128	0x0:128	False:128	0x7c178:cmp:ecx, 0:((flags0 - 0x6a461e06) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:99,0x7c178:cmp:ecx, 0:(((((flags0 | 0x954df65) + 0x5b466f3b) + 0x4872934a) - 0x6a461e06) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:29
20	0x7c62b	0x7c649	je	128	11	117	0	0.0	8.0	resolved:128	0x7c645:128	cmp:128	r14b, 0:128	seed(r14):86,low8(seed(r14)):42	0x0:128	0xff:18,frame+0x170:16,frame+0x71:12,0x0:11,frame+0xa:11	0x0:128	False:117,True:11	0x7c645:cmp:r14b, 0:seed(r14)(0xff) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:18,0x7c645:cmp:r14b, 0:low8(seed(r14))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:16,0x7c645:cmp:r14b, 0:low8(seed(r14))(frame+0x71) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:12,0x7c645:cmp:r14b, 0:low8(seed(r14))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:11,0x7c645:cmp:r14b, 0:seed(r14)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:11
20	0x7c62b	0x7c702	je	128	67	61	0	0.0	45.9	resolved:128	0x7c6fb:128	cmp:128	r8d, 0:128	(flags0 & 0x2):128	0x0:128	0x0:67,0x2:61	0x0:128	True:67,False:61	0x7c6fb:cmp:r8d, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:67,0x7c6fb:cmp:r8d, 0:(flags0 & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:61
20	0x7c62b	0x7c858	jne	128	128	0	0	0.0	100.7	resolved:128	0x7c854:128	cmp:128	r11b, 0x32:128	vm_byte0:128	0x32:128	0x3a:128	0x32:128	False:128	0x7c854:cmp:r11b, 0x32:vm_byte0(0x3a) ? 0x32(0x32):zf=False:constant,vm_byte:128
26	0x7dbbb	0x7dc03	je	128	59	69	0	0.0	16.0	resolved:128	0x7dbfe:128	cmp:128	eax, 0:128	((flags0 - (state0 ^ 0x5fcdb203)) & 0x2):128	0x0:128	0x2:69,0x0:59	0x0:128	False:69,True:59	0x7dbfe:cmp:eax, 0:((flags0 - (state0 ^ 0x5fcdb203)) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:69,0x7dbfe:cmp:eax, 0:((flags0 - (state0 ^ 0x5fcdb203)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:59
26	0x7dbbb	0x7dc9b	je	128	37	91	0	0.0	44.2	resolved:128	0x7dc94:128	cmp:128	r15d, 0:128	(((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2):69,(((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2):59	0x0:128	0x2:91,0x0:37	0x0:128	False:91,True:37	0x7dc94:cmp:r15d, 0:(((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:48,0x7dc94:cmp:r15d, 0:(((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:43,0x7dc94:cmp:r15d, 0:(((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:26,0x7dc94:cmp:r15d, 0:(((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:11
26	0x7dbbb	0x7dd00	je	128	37	91	0	0.0	63.5	resolved:128	0x7dcf9:128	cmp:128	r9d, 0:128	(((((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) | 0x7bdf07f3) + 0x104dd6df) & 0x2):48,(((((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) | 0x7bdf07f3) + 0x104dd6df) & 0x2):43,(((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2):26,(((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2):11	0x0:128	0x2:91,0x0:37	0x0:128	False:91,True:37	0x7dcf9:cmp:r9d, 0:(((((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) | 0x7bdf07f3) + 0x104dd6df) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:48,0x7dcf9:cmp:r9d, 0:(((((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) | 0x7bdf07f3) + 0x104dd6df) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:43,0x7dcf9:cmp:r9d, 0:(((((flags0 - (state0 ^ 0x5fcdb203)) & 0x637d285c) + 0x44b4a975) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:26,0x7dcf9:cmp:r9d, 0:(((flags0 - (state0 ^ 0x5fcdb203)) ^ ((state0 - 0x471264ca) | 0x2a01f150)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:11
