source_entry	source_target	branch_site	branch_mnemonic	events	taken_events	not_taken_events	unknown_events	unknown_pct	avg_steps_to_branch	top_predicate_classes	condition_sites	condition_mnemonics	top_condition_ops	top_left_exprs	top_right_exprs	top_left_values	top_right_values	zf_values	top_conditions
258	0xadf2c	0xadf51	je	9693	6275	3418	0	0.0	9.0	resolved:9693	0xadf4b:9693	cmp:9693	ecx, 0:9693	(flags0 & 0x2):9693	0x0:9693	0x0:6275,0x2:3418	0x0:9693	True:6275,False:3418	0xadf4b:cmp:ecx, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:6275,0xadf4b:cmp:ecx, 0:(flags0 & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:3418
258	0xadf2c	0xadfe1	je	9693	3418	6275	0	0.0	34.1	resolved:9693	0xadfdb:9693	cmp:9693	esi, 0:9693	((flags0 ^ 0x1769756e) & 0x2):6275,((((flags0 - 0x1510614f) | 0xa1b079a) ^ 0x1769756e) & 0x2):3418	0x0:9693	0x2:6275,0x0:3418	0x0:9693	False:6275,True:3418	0xadfdb:cmp:esi, 0:((flags0 ^ 0x1769756e) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:6275,0xadfdb:cmp:esi, 0:((((flags0 - 0x1510614f) | 0xa1b079a) ^ 0x1769756e) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:3418
28	0x7e390	0x7e549	je	8348	3051	5297	0	0.0	93.0	resolved:8348	0x7e543:8348	cmp:8348	esi, 0:8348	((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) & 0x2):8348	0x0:8348	0x2:5297,0x0:3051	0x0:8348	False:5297,True:3051	0x7e543:cmp:esi, 0:((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:5297,0x7e543:cmp:esi, 0:((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:3051
28	0x7e390	0x7e584	je	8348	5424	2924	0	0.0	102.2	resolved:8348	0x7e57d:8348	cmp:8348	r15d, 0:8348	(((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) + 0x43078fb1) & 0x2):5297,((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) & 0x2):3051	0x0:8348	0x0:5424,0x2:2924	0x0:8348	True:5424,False:2924	0x7e57d:cmp:r15d, 0:((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:3051,0x7e57d:cmp:r15d, 0:(((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) + 0x43078fb1) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:2924,0x7e57d:cmp:r15d, 0:(((((flags0 ^ (state0 | 0xb9ad02a)) & 0x3fb85e48) - (state0 ^ 0x6e3e6f1a)) + 0x43078fb1) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:2373
28	0x7e390	0x7e5dc	je	8348	0	8348	0	0.0	116.3	resolved:8348	0x7e5d8:8348	cmp:8348	r12b, 0:8348	low8((frame + 0x170)):8348	0x0:8348	frame+0x170:8348	0x0:8348	False:8348	0x7e5d8:cmp:r12b, 0:low8((frame + 0x170))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:8348
28	0x7e390	0x7e604	je	8348	0	8348	0	0.0	124.3	resolved:8348	0x7e601:8348	cmp:8348	dl, 0:8348	low8((frame + 0x81)):8348	0x0:8348	frame+0x81:8348	0x0:8348	False:8348	0x7e601:cmp:dl, 0:low8((frame + 0x81))(frame+0x81) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:8348
347	0xc088d	0xc093d	je	8151	23	8128	0	0.0	38.0	resolved:8151	0xc0939:8151	cmp:8151	r11b, 0:8151	((seed(r11) + 0x386de7c7) - seed(rsi)):5252,low8(((seed(r11) + 0x386de7c7) - seed(rsi))):2899	0x0:8151	0xc7:363,0x2d:309,frame+0x7249b86de7c4:224,0x61:171,frame+0x385d7627:163	0x0:8151	False:8128,True:23	0xc0939:cmp:r11b, 0:((seed(r11) + 0x386de7c7) - seed(rsi))(0xc7) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:305,0xc0939:cmp:r11b, 0:((seed(r11) + 0x386de7c7) - seed(rsi))(0x2d) ? 0x0(0x0):zf=False:constant,frame_pointer,gpr_seed:293,0xc0939:cmp:r11b, 0:low8(((seed(r11) + 0x386de7c7) - seed(rsi)))(frame+0x7249b86de7c4) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed,image_offset:224,0xc0939:cmp:r11b, 0:low8(((seed(r11) + 0x386de7c7) - seed(rsi)))(frame+0x385d7627) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed,image_offset:163,0xc0939:cmp:r11b, 0:((seed(r11) + 0x386de7c7) - seed(rsi))(0x61) ? 0x0(0x0):zf=False:constant,frame_pointer,gpr_seed:139
347	0xc088d	0xc09c2	je	8151	5886	2265	0	0.0	65.0	resolved:8151	0xc09bb:8151	cmp:8151	r10d, 0:8151	(((flags0 ^ ((state0 | (flags0 + 0x6fa972f0)) & 0x45223942)) + ((state0 | (flags0 + 0x6fa972f0)) | 0x2efc96c5)) & 0x2):8151	0x0:8151	0x0:5886,0x2:2265	0x0:8151	True:5886,False:2265	0xc09bb:cmp:r10d, 0:(((flags0 ^ ((state0 | (flags0 + 0x6fa972f0)) & 0x45223942)) + ((state0 | (flags0 + 0x6fa972f0)) | 0x2efc96c5)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:5886,0xc09bb:cmp:r10d, 0:(((flags0 ^ ((state0 | (flags0 + 0x6fa972f0)) & 0x45223942)) + ((state0 | (flags0 + 0x6fa972f0)) | 0x2efc96c5)) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:2265
114	0x90319	0x90334	je	7722	868	6854	0	0.0	7.0	resolved:7722	0x90330:7722	cmp:7722	sil, 0:7722	seed(rsi):5305,low8(seed(rsi)):2417	0x0:7722	0x0:853,frame+0xa:738,frame+0x170:647,0x90:350,0x18:263	0x0:7722	False:6854,True:868	0x90330:cmp:sil, 0:seed(rsi)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:853,0x90330:cmp:sil, 0:low8(seed(rsi))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:738,0x90330:cmp:sil, 0:low8(seed(rsi))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:647,0x90330:cmp:sil, 0:seed(rsi)(0x90) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:350,0x90330:cmp:sil, 0:seed(rsi)(0x18) ? 0x0(0x0):zf=False:constant,gpr_seed,image_offset:263
114	0x90319	0x903d9	je	7722	4690	3032	0	0.0	42.9	resolved:7722	0x903d3:7722	cmp:7722	edi, 0:7722	((flags0 & (state0 | 0x6729b5bf)) & 0x2):7722	0x0:7722	0x0:4690,0x2:3032	0x0:7722	True:4690,False:3032	0x903d3:cmp:edi, 0:((flags0 & (state0 | 0x6729b5bf)) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:4690,0x903d3:cmp:edi, 0:((flags0 & (state0 | 0x6729b5bf)) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:3032
114	0x90319	0x904a4	je	7722	4700	3022	0	0.0	82.2	resolved:7722	0x9049e:7722	cmp:7722	edx, 0:7722	(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2):4690,(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2):3032	0x0:7722	0x0:4700,0x2:3022	0x0:7722	True:4700,False:3022	0x9049e:cmp:edx, 0:(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:3102,0x9049e:cmp:edx, 0:(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1598,0x9049e:cmp:edx, 0:(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:1588,0x9049e:cmp:edx, 0:(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags,state:1434
114	0x90319	0x904ed	je	7722	7722	0	0	0.0	91.6	resolved:7722	0x904e7:7722	cmp:7722	ebx, 0:7722	(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2):3102,(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2):1598,(((((flags0 & (state0 | 0x6729b5bf)) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2):1588,(((((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2):1434	0x0:7722	0x0:7722	0x0:7722	True:7722	0x904e7:cmp:ebx, 0:(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:3102,0x904e7:cmp:ebx, 0:(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1598,0x904e7:cmp:ebx, 0:(((((flags0 & (state0 | 0x6729b5bf)) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1588,0x904e7:cmp:ebx, 0:(((((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1434
114	0x90319	0x9052b	je	7722	7722	0	0	0.0	97.6	resolved:7722	0x90526:7722	cmp:7722	eax, 0:7722	(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2):3102,(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2):1598,(((((flags0 & (state0 | 0x6729b5bf)) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2):1588,(((((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2):1434	0x0:7722	0x0:7722	0x0:7722	True:7722	0x90526:cmp:eax, 0:(((flags0 & (state0 | 0x6729b5bf)) + state0) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:3102,0x90526:cmp:eax, 0:(((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1598,0x90526:cmp:eax, 0:(((((flags0 & (state0 | 0x6729b5bf)) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1588,0x90526:cmp:eax, 0:(((((((flags0 & (state0 | 0x6729b5bf)) - 0x3dca653f) ^ 0x671da5f4) + state0) - 0x3b2cb159) & 0xfc7215c) & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags,state:1434
340	0xbf435	0xbf457	je	7549	878	6671	0	0.0	8.0	resolved:7549	0xbf453:7549	cmp:7549	r10b, 0:7549	low8(seed(r10)):3788,seed(r10):3761	0x0:7549	frame+0x170:865,0x0:835,frame+0x23:808,frame+0xa:610,frame+0x0:354	0x0:7549	False:6671,True:878	0xbf453:cmp:r10b, 0:low8(seed(r10))(frame+0x170) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:865,0xbf453:cmp:r10b, 0:seed(r10)(0x0) ? 0x0(0x0):zf=True:constant,gpr_seed,image_offset:835,0xbf453:cmp:r10b, 0:low8(seed(r10))(frame+0x23) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:808,0xbf453:cmp:r10b, 0:low8(seed(r10))(frame+0xa) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:610,0xbf453:cmp:r10b, 0:low8(seed(r10))(frame+0x0) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8,gpr_seed:354
340	0xbf435	0xbf48f	je	7549	4524	3025	0	0.0	18.9	resolved:7549	0xbf488:7549	cmp:7549	r14d, 0:7549	(flags0 & 0x2):7549	0x0:7549	0x0:4524,0x2:3025	0x0:7549	True:4524,False:3025	0xbf488:cmp:r14d, 0:(flags0 & 0x2)(0x0) ? 0x0(0x0):zf=True:constant,flags:4524,0xbf488:cmp:r14d, 0:(flags0 & 0x2)(0x2) ? 0x0(0x0):zf=False:constant,flags:3025
340	0xbf435	0xbf4d7	je	7549	0	7549	0	0.0	28.3	resolved:7549	0xbf4d3:7549	cmp:7549	r15b, 0:7549	low8((frame + 0x71)):7549	0x0:7549	frame+0x71:7549	0x0:7549	False:7549	0xbf4d3:cmp:r15b, 0:low8((frame + 0x71))(frame+0x71) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:7549
337	0xbec0e	0xbec7a	je	7502	0	7502	0	0.0	26.0	resolved:7502	0xbec76:7502	cmp:7502	r8b, 0:7502	low8((frame + 0x23)):7502	0x0:7502	frame+0x23:7502	0x0:7502	False:7502	0xbec76:cmp:r8b, 0:low8((frame + 0x23))(frame+0x23) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:7502
337	0xbec0e	0xbeea3	je	7502	0	7502	0	0.0	133.0	resolved:7502	0xbeea0:7502	cmp:7502	dl, 0:7502	((((((0x400 ^ 0x20) | (seed_frame(0x81) + 0x61f749a7)) - (frame + 0x23)) + 0x10) | 0x78) - (seed_frame(0x81) + 0x61f749a7)):7502	0x0:7502	low12(0xc0):1806,low12(0xa0):1258,low12(0xf0):1257,low12(0xe0):499,low12(0xa8):445	0x0:7502	False:7502	0xbeea0:cmp:dl, 0:((((((0x400 ^ 0x20) | (seed_frame(0x81) + 0x61f749a7)) - (frame + 0x23)) + 0x10) | 0x78) - (seed_frame(0x81) + 0x61f749a7))(low12(0xc0)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed:1806,0xbeea0:cmp:dl, 0:((((((0x400 ^ 0x20) | (seed_frame(0x81) + 0x61f749a7)) - (frame + 0x23)) + 0x10) | 0x78) - (seed_frame(0x81) + 0x61f749a7))(low12(0xa0)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed:1258,0xbeea0:cmp:dl, 0:((((((0x400 ^ 0x20) | (seed_frame(0x81) + 0x61f749a7)) - (frame + 0x23)) + 0x10) | 0x78) - (seed_frame(0x81) + 0x61f749a7))(low12(0xf0)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed:1257,0xbeea0:cmp:dl, 0:((((((0x400 ^ 0x20) | (seed_frame(0x81) + 0x61f749a7)) - (frame + 0x23)) + 0x10) | 0x78) - (seed_frame(0x81) + 0x61f749a7))(low12(0xe0)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed:499,0xbeea0:cmp:dl, 0:((((((0x400 ^ 0x20) | (seed_frame(0x81) + 0x61f749a7)) - (frame + 0x23)) + 0x10) | 0x78) - (seed_frame(0x81) + 0x61f749a7))(low12(0xa8)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed:445
337	0xbec0e	0xbeee0	je	7502	0	7502	0	0.0	145.0	resolved:7502	0xbeedc:7502	cmp:7502	r15b, 0:7502	(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x68) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame):1300,(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0xb3) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame):1122,(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x89) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame):803,(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x91) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame):717,(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x28) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame):391	0x0:7502	low12(0xffd):3664,low12(0xfff):1998,low12(0xbff):960,low12(0xbfd):880	0x0:7502	False:7502	0xbeedc:cmp:r15b, 0:(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0xb3) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame)(low12(0xffd)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed,gpr_seed,image_offset:436,0xbeedc:cmp:r15b, 0:(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x89) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame)(low12(0xffd)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed,gpr_seed,image_offset:391,0xbeedc:cmp:r15b, 0:(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x68) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame)(low12(0xffd)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed,gpr_seed,image_offset:343,0xbeedc:cmp:r15b, 0:(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x68) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame)(low12(0xbff)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed,gpr_seed,image_offset:320,0xbeedc:cmp:r15b, 0:(((((((((((0x400 | 0x400) + 0x20) ^ 0x800) - (frame + 0x81)) ^ seed(rdi)) & (0x200 ^ (seed_frame(0x81) + 0x61f749a7))) ^ (seed_frame(0x91) ^ 0xda3b7d9)) | (seed_frame(0x81) + 0x61f749a7)) | 0x800) | 0x90) | frame)(low12(0xffd)) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_scratch_seed,gpr_seed,image_offset:318
337	0xbec0e	0xbef44	je	7502	0	7502	0	0.0	167.0	resolved:7502	0xbef40:7502	cmp:7502	r11b, 0:7502	low8((frame + 0x0)):7502	0x0:7502	frame+0x0:7502	0x0:7502	False:7502	0xbef40:cmp:r11b, 0:low8((frame + 0x0))(frame+0x0) ? 0x0(0x0):zf=False:constant,frame_pointer,frame_ptr_low8:7502
