source_entry	source_target	branch_site	branch_mnemonic	events	taken_events	not_taken_events	unknown_events	unknown_pct
347	0xc088d	0xc093d	je	8151	0	0	8151	100.0
114	0x90319	0x90334	je	7722	0	0	7722	100.0
340	0xbf435	0xbf457	je	7549	0	0	7549	100.0
337	0xbec0e	0xbeea3	je	7502	0	0	7502	100.0
337	0xbec0e	0xbeee0	je	7502	0	0	7502	100.0
189	0x9e7af	0x9e880	je	7459	0	0	7459	100.0
18	0x7be9b	0x7bed4	je	7392	0	0	7392	100.0
66	0x855ff	0x85621	je	7189	0	0	7189	100.0
307	0xb8064	0xb80ac	je	7050	0	0	7050	100.0
297	0xb64d7	0xb64f9	je	6483	0	0	6483	100.0
297	0xb64d7	0xb651f	je	6483	0	0	6483	100.0
199	0xa0631	0xa094b	je	6207	0	0	6207	100.0
185	0x9d964	0x9db82	je	6172	0	0	6172	100.0
43	0x8173d	0x81818	je	5309	0	0	5309	100.0
157	0x98a9a	0x98e31	je	4834	0	0	4834	100.0
168	0x9aa83	0x9ab7f	je	4535	0	0	4535	100.0
168	0x9aa83	0x9ad6a	je	4535	0	0	4535	100.0
268	0xb0007	0xb01e9	je	3696	0	0	3696	100.0
268	0xb0007	0xb029a	je	3696	0	0	3696	100.0
333	0xbd8af	0xbd8d9	je	3602	0	0	3602	100.0
315	0xb9451	0xb961d	jne	3298	0	0	3298	100.0
26	0x7dbbb	0x7ddeb	jne	3024	0	0	3024	100.0
123	0x91a59	0x91a6a	je	2829	0	0	2829	100.0
161	0x9975a	0x99779	je	2666	0	0	2666	100.0
305	0xb78b0	0xb78db	je	2662	0	0	2662	100.0
305	0xb78b0	0xb7978	jne	2662	0	0	2662	100.0
287	0xb45d2	0xb47a7	jne	2612	0	0	2612	100.0
287	0xb45d2	0xb4810	je	2612	0	0	2612	100.0
20	0x7c62b	0x7c649	je	2490	0	0	2490	100.0
198	0xa037e	0xa0391	je	2441	0	0	2441	100.0
257	0xadbfd	0xadd6a	je	2408	0	0	2408	100.0
173	0x9ba74	0x9bbfa	je	2374	0	0	2374	100.0
300	0xb6c36	0xb6c57	je	2210	0	0	2210	100.0
243	0xaab6a	0xaad24	jne	2189	0	0	2189	100.0
301	0xb708d	0xb7140	je	2037	0	0	2037	100.0
301	0xb708d	0xb71c5	je	2037	0	0	2037	100.0
