source_entry	source_target	events	unique_targets	status	matched_events	coverage_pct	inconsistent_rows	total_terms	state_terms	post_terms	byte_terms	top_targets	bit_formulas
258	0xadf2c	9693	70	inconsistent	0	0.0	9394	0	0	0	0	0x6b8:684,0x158:677,0x998:634,0x948:480,0x560:464,0x90:455,0x620:403,0x638:384	
28	0x7e390	8348	80	fit	8348	100.0	0	9	0	0	9	0xad8:1136,0x5e8:682,0x158:480,0x810:415,0x540:385,0x390:330,0xa0:314,0xaa0:309	y0=0;y1=0;y2=0;y3=b0.3;y4=b0.4;y5=b0.5;y6=b0.6;y7=b0.7;y8=b1.0;y9=b1.1;y10=b1.2;y11=b1.3;y12=0
347	0xc088d	8151	69	inconsistent	0	0.0	7788	0	0	0	0	0x540:649,0x90:641,0xe0:515,0x948:478,0x570:474,0x998:386,0x4f0:358,0xa0:355	
114	0x90319	7722	67	inconsistent	0	0.0	7470	0	0	0	0	0x210:693,0x5c8:560,0x638:534,0x4f0:402,0x860:342,0xa0:332,0x8f8:328,0x6b8:310	
340	0xbf435	7549	68	inconsistent	0	0.0	7279	0	0	0	0	0xe0:521,0x998:519,0x210:460,0x508:382,0x90:334,0x8f8:329,0x600:327,0xac8:281	
337	0xbec0e	7502	70	inconsistent	0	0.0	7213	0	0	0	0	0x210:480,0x570:428,0x948:389,0x620:327,0xe0:291,0x9d8:291,0x278:276,0x6b8:270	
189	0x9e7af	7459	68	inconsistent	0	0.0	7182	0	0	0	0	0x158:650,0x998:487,0x948:480,0x90:374,0x5c0:365,0x988:363,0x6b8:324,0xe0:323	
18	0x7be9b	7392	82	inconsistent	0	0.0	7096	0	0	0	0	0x390:797,0xad8:599,0x810:486,0x960:323,0x570:320,0xa88:298,0x5e8:277,0x348:261	
66	0x855ff	7189	82	inconsistent	0	0.0	6831	0	0	0	0	0xa88:574,0xaa0:510,0x200:477,0x3d8:464,0x5e8:451,0x4f0:359,0x188:267,0x960:262	
215	0xa4609	7121	78	fit	7121	100.0	0	9	0	0	9	0x5e8:474,0x390:452,0xad8:429,0x810:401,0xa88:389,0x620:386,0x3d8:353,0x188:346	y0=0;y1=0;y2=0;y3=b0.3;y4=b0.4;y5=b0.5;y6=b0.6;y7=b0.7;y8=b1.0;y9=b1.1;y10=b1.2;y11=b1.3;y12=0
307	0xb8064	7050	84	inconsistent	0	0.0	6776	0	0	0	0	0x570:450,0x4e8:421,0xd0:414,0x390:410,0xaa0:358,0x620:351,0x508:344,0xa88:295	
297	0xb64d7	6483	77	inconsistent	0	0.0	6253	0	0	0	0	0x620:565,0xad8:564,0xa68:360,0x810:341,0xaa0:337,0x968:332,0x658:323,0x820:266	
199	0xa0631	6207	80	inconsistent	0	0.0	5884	0	0	0	0	0x810:509,0x5c0:441,0x390:343,0x658:310,0x278:300,0xaa0:294,0x968:274,0x5e8:271	
64	0x85059	6175	68	inconsistent	0	0.0	5893	0	0	0	0	0x638:609,0xe0:584,0x6b8:410,0x90:340,0x3c8:277,0x5c0:270,0x5c8:246,0x998:228	
185	0x9d964	6172	75	inconsistent	0	0.0	5693	0	0	0	0	0x540:438,0x658:431,0xad8:416,0xa88:407,0x560:339,0x6e0:292,0xa60:278,0x200:237	
43	0x8173d	5309	59	inconsistent	0	0.0	5096	0	0	0	0	0xd0:595,0xad8:515,0x810:397,0x638:336,0x6e0:286,0xaa0:260,0x90:196,0xe0:185	
196	0x9fbcd	4953	60	inconsistent	0	0.0	4506	0	0	0	0	0xaa0:572,0x210:517,0x5e8:485,0x90:406,0x108:337,0x6b8:292,0x888:262,0x810:143	
157	0x98a9a	4834	64	inconsistent	0	0.0	4618	0	0	0	0	0x210:426,0x810:369,0x90:364,0x5e8:313,0x648:261,0x5c8:254,0x638:205,0x200:188	
168	0x9aa83	4535	61	inconsistent	0	0.0	4042	0	0	0	0	0x9d8:567,0x5e8:369,0xaa0:367,0xa88:366,0xad8:353,0x810:291,0x200:128,0xd0:127	
172	0x9b68a	4530	64	fit	4530	100.0	0	13	0	0	9	0xe0:360,0x638:346,0x998:306,0x7f0:262,0x400:261,0xa60:258,0x820:258,0x5e8:206	y0=0;y1=0;y2=0;y3=b2.3;y4=1^b2.4;y5=1^b2.5;y6=b2.6;y7=b2.7;y8=b3.0;y9=1^b3.1;y10=b3.2;y11=1^b3.3;y12=0
268	0xb0007	3696	56	inconsistent	0	0.0	3462	0	0	0	0	0x798:411,0x968:261,0xe0:251,0x5c8:180,0x200:171,0x5e8:165,0x188:153,0x6b8:149	
333	0xbd8af	3602	58	inconsistent	0	0.0	3382	0	0	0	0	0x988:337,0x6b8:335,0x810:305,0xa88:177,0x798:161,0xe0:147,0x390:141,0x200:131	
174	0x9bd8f	3318	27	inconsistent	0	0.0	3153	0	0	0	0	0x390:446,0x810:409,0x638:294,0xe0:254,0xad8:241,0x998:189,0x5c8:184,0x5e8:173	
315	0xb9451	3298	25	fit	3298	100.0	0	12	0	0	9	0xe0:604,0x6b8:304,0xad8:303,0x538:302,0x390:127,0x638:127,0x810:121,0x620:115	y0=0;y1=0;y2=0;y3=b2.3;y4=1^b2.4;y5=1^b2.5;y6=1^b2.6;y7=b2.7;y8=b3.0;y9=b3.1;y10=b3.2;y11=b3.3;y12=0
203	0xa1484	3283	59	fit	3283	100.0	0	9	0	1	8	0x948:385,0x810:357,0x9d8:298,0x1a0:256,0xad8:131,0x960:131,0xad0:102,0x210:94	y0=0;y1=0;y2=0;y3=b0.3;y4=b0.4;y5=b0.5;y6=b0.6;y7=b0.7;y8=b1.0;y9=b1.1;y10=b1.2;y11=post.11;y12=0
184	0x9d694	3100	29	inconsistent	0	0.0	2919	0	0	0	0	0xe0:471,0x210:426,0xa88:394,0xaa0:250,0x200:182,0x390:161,0x90:159,0xad8:125	
26	0x7dbbb	3024	25	inconsistent	0	0.0	2833	0	0	0	0	0x4e8:391,0xe0:348,0x390:325,0x540:299,0x810:153,0x158:146,0xa88:134,0x860:124	
123	0x91a59	2829	30	inconsistent	0	0.0	2640	0	0	0	0	0x90:337,0x190:320,0xa88:294,0x390:216,0x210:199,0x638:171,0x5c8:160,0x810:155	
160	0x994cf	2706	60	inconsistent	0	0.0	2430	0	0	0	0	0x5c8:335,0x6b8:334,0x560:263,0xaf0:256,0x200:227,0x998:140,0x158:113,0xaa0:110	
161	0x9975a	2666	27	inconsistent	0	0.0	2511	0	0	0	0	0x210:368,0x90:327,0xe0:217,0xa88:204,0xad8:176,0x6b8:173,0x810:157,0xaa0:128	
305	0xb78b0	2662	25	inconsistent	0	0.0	2445	0	0	0	0	0x5e8:360,0x638:304,0x4e8:193,0x998:191,0x948:160,0x860:148,0x658:140,0xe0:100	
158	0x99029	2632	29	inconsistent	0	0.0	2468	0	0	0	0	0xaa0:396,0x200:393,0x810:341,0x90:170,0xa88:135,0x390:135,0x998:131,0xad8:124	
287	0xb45d2	2612	25	inconsistent	0	0.0	2451	0	0	0	0	0xe0:341,0x948:338,0x638:324,0x560:172,0xad8:151,0x998:127,0x5e8:109,0x810:103	
176	0x9c10b	2512	31	inconsistent	0	0.0	2333	0	0	0	0	0xe0:439,0x998:220,0x5e8:210,0xa88:194,0x90:158,0xaa0:151,0x390:150,0x810:145	
20	0x7c62b	2490	28	inconsistent	0	0.0	2239	0	0	0	0	0x390:454,0x5a8:287,0x810:208,0x210:164,0x5e8:136,0xad8:127,0xa88:124,0x200:121	
198	0xa037e	2441	59	inconsistent	0	0.0	751	0	0	0	0	0x960:326,0x90:276,0x5c8:265,0xa88:265,0x6b8:259,0x810:111,0xaf0:71,0x2d0:69	
108	0x8f24b	2430	59	inconsistent	0	0.0	1124	0	0	0	0	0xa88:310,0xa68:290,0x6b8:283,0x998:161,0x680:128,0x158:110,0xe0:108,0xaa0:100	
257	0xadbfd	2408	61	inconsistent	0	0.0	720	0	0	0	0	0x560:774,0x158:269,0x4e8:267,0xad8:88,0xaa0:83,0x9a0:81,0x6b8:74,0x888:68	
173	0x9ba74	2374	60	inconsistent	0	0.0	1558	0	0	0	0	0x200:342,0x620:278,0xae8:264,0x658:139,0xaa0:111,0xe0:107,0x390:106,0x5c8:87	
300	0xb6c36	2210	41	inconsistent	0	0.0	235	0	0	0	0	0x810:517,0x6e0:274,0xa68:261,0xa88:259,0x5c8:257,0x948:141,0x968:129,0x5b8:83	
243	0xaab6a	2189	25	inconsistent	0	0.0	1759	0	0	0	0	0x998:336,0xe0:157,0x210:136,0x538:130,0x90:127,0x5e8:111,0x390:105,0xa90:102	
144	0x95887	2050	60	inconsistent	0	0.0	1209	0	0	0	0	0x810:304,0x540:277,0x90:273,0x860:117,0xad8:104,0x4e8:74,0x4d0:67,0x390:46	
301	0xb708d	2037	8	inconsistent	0	0.0	519	0	0	0	0	0x500:538,0x568:396,0xb00:374,0x630:324,0x808:124,0x480:95,0x800:94,0x360:92	
33	0x7f7c4	2035	25	inconsistent	0	0.0	1875	0	0	0	0	0x948:305,0x810:155,0x210:127,0x998:120,0x4e8:111,0x538:93,0x200:92,0xaa0:87	
346	0xc0535	1997	25	inconsistent	0	0.0	1797	0	0	0	0	0xe0:192,0x4e8:155,0x390:138,0x210:128,0x540:118,0x810:109,0x200:104,0xa88:96	
220	0xa522e	1926	8	inconsistent	0	0.0	465	0	0	0	0	0x480:597,0x360:400,0x630:301,0x568:159,0xb00:151,0x800:132,0x500:129,0x808:57	
332	0xbd36d	1880	44	inconsistent	0	0.0	258	0	0	0	0	0xad8:266,0x2d0:256,0x390:256,0x318:256,0x9f8:256,0x810:93,0xaa0:73,0x158:69	
49	0x82820	1844	8	inconsistent	0	0.0	550	0	0	0	0	0x480:471,0x630:361,0x808:320,0x360:261,0x500:145,0x568:135,0xb00:110,0x800:41	
352	0xc1ec4	1775	59	inconsistent	0	0.0	1634	0	0	0	0	0x810:350,0x920:257,0x998:104,0x3c8:84,0x5e8:81,0x4e8:77,0x4d0:71,0x680:66	
256	0xad849	1516	58	inconsistent	0	0.0	706	0	0	0	0	0xaa0:296,0x860:141,0x638:91,0x810:86,0x888:85,0x4e8:84,0xa88:77,0x5e8:53	
79	0x885b0	1337	8	inconsistent	0	0.0	638	0	0	0	0	0x808:385,0x500:319,0x630:136,0x800:125,0x360:123,0x480:107,0x568:91,0xb00:51	
260	0xae90b	1266	38	inconsistent	0	0.0	250	0	0	0	0	0x5e8:266,0xaa0:256,0x968:78,0x5b8:66,0x948:66,0x560:65,0x810:65,0xe0:65	
350	0xc1926	1176	39	inconsistent	0	0.0	221	0	0	0	0	0x810:257,0x8c8:257,0x390:80,0x6b8:67,0x5c8:66,0xa00:64,0x6e0:64,0x5b8:62	
192	0x9f00a	1120	8	inconsistent	0	0.0	220	0	0	0	0	0x630:333,0x808:289,0x360:175,0x800:124,0x568:111,0x500:34,0x480:27,0xb00:27	
319	0xba72f	1113	8	inconsistent	0	0.0	132	0	0	0	0	0x568:385,0x808:285,0x500:147,0x480:97,0xb00:82,0x800:51,0x360:44,0x630:22	
273	0xb11ca	1072	37	inconsistent	0	0.0	236	0	0	0	0	0x638:258,0x5b8:93,0x620:81,0xad8:78,0x200:68,0x998:67,0x290:64,0x348:64	
171	0x9b4b3	1069	27	fit	1069	100.0	0	9	0	0	9	0x620:351,0xa10:256,0xa88:73,0x5c8:69,0xa68:29,0x158:28,0xaa0:23,0x210:22	y0=0;y1=0;y2=0;y3=b0.0;y4=b0.1;y5=b0.2;y6=b0.3;y7=b0.4;y8=b0.5;y9=b0.6;y10=b0.7;y11=b1.0;y12=0
30	0x7e849	1050	36	inconsistent	0	0.0	265	0	0	0	0	0x658:269,0x600:256,0x998:79,0x4e8:67,0x2d8:65,0x5b8:62,0x5a0:45,0xa88:30	
37	0x80685	1003	8	inconsistent	0	0.0	219	0	0	0	0	0x800:330,0x808:279,0x500:152,0x480:69,0x568:54,0x360:50,0xb00:44,0x630:25	
3	0x78c77	999	8	fit	999	100.0	0	34	0	17	11	0x500:221,0x568:182,0xb00:142,0x480:110,0x808:105,0x800:89,0x360:79,0x630:71	y0=0;y1=0;y2=0;y3=1^post.4^b0.4;y4=post.4;y5=1^post.5;y6=1^post.4^post.5;y7=1^post.4^post.9^post.11^b1.1^b1.3;y8=post.9^b1.1;y9=1^post.4^post.10^b1.2;y10=post.10^post.11^b1.2^b1.3;y11=1^post.4^post.5^post.10^post.11^b0.4^b0.6^b1.2^b1.3;y12=0
128	0x9299b	955	29	fit	955	100.0	0	216	100	52	62	0x200:260,0x6b8:257,0x860:256,0x18:70,0x998:11,0x638:8,0x948:8,0x5c8:7	y0=0;y1=0;y2=0;y3=state.1^state.2^state.4^state.7^state.9^state.11^state.12^state.14^state.17^state.18^...+24;y4=1^state.0^state.2^state.3^state.6^state.7^state.9^state.12^state.14^state.16^...+23;y5=state.0^state.2^state.9^state.10^state.11^state.18^state.20^state.21^state.22^state.23^...+20;y6=post.6;y7=1^state.5^state.7^state.10^state.11^state.13^state.15^state.16^state.17^state.22^...+15;y8=post.8;y9=state.0^state.2^state.3^state.7^state.9^state.10^state.11^state.12^state.13^state.14^...+24;y10=state.0^state.2^state.4^state.5^state.10^state.11^state.12^state.13^state.14^state.15^...+23;y11=state.2^state.4^state.9^state.12^state.13^state.17^state.20^state.21^state.27^state.28^...+15;y12=0
269	0xb045b	900	8	inconsistent	0	0.0	444	0	0	0	0	0x500:301,0x360:178,0xb00:87,0x808:77,0x568:75,0x800:72,0x630:59,0x480:51	
154	0x97ce6	869	41	inconsistent	0	0.0	236	0	0	0	0	0x620:78,0x5c8:77,0x5a0:76,0x948:71,0x810:69,0x188:67,0x210:66,0xa00:64	
345	0xc02e4	860	49	inconsistent	0	0.0	256	0	0	0	0	0x1a0:303,0x600:76,0x390:73,0x620:44,0x560:30,0x540:28,0x200:22,0xaa0:20	
322	0xbb3c9	834	33	inconsistent	0	0.0	192	0	0	0	0	0x4e8:256,0xa88:132,0x2d8:77,0x18:67,0x318:64,0x5b8:49,0xad8:40,0x200:18	
254	0xad32c	822	37	fit	822	100.0	0	10	0	9	1	0x210:262,0x948:81,0xe0:69,0x188:65,0xad8:65,0x5b8:60,0x2d8:50,0x5a0:50	y0=0;y1=0;y2=0;y3=post.3;y4=post.4;y5=post.5;y6=post.5^b2.6;y7=post.7;y8=post.8;y9=post.9;y10=post.10;y11=post.11;y12=0
121	0x91379	737	38	inconsistent	0	0.0	234	0	0	0	0	0x998:271,0x2d8:68,0x540:65,0x5a0:55,0x5b8:48,0x390:32,0x810:18,0x968:16	
320	0xbada5	731	8	inconsistent	0	0.0	301	0	0	0	0	0x800:130,0x360:123,0x630:120,0x500:116,0x568:78,0xb00:61,0x808:59,0x480:44	
52	0x833c7	726	11	fit	726	100.0	0	147	142	0	0	0x258:286,0x9e0:265,0x200:65,0x690:41,0x488:26,0xa70:18,0x620:13,0x7b0:8	y0=0;y1=0;y2=0;y3=state.1^state.4^state.5^state.6^state.7^state.9^state.10^state.11^state.13^state.14^...+8;y4=state.1^state.2^state.4^state.7^state.9^state.10^state.12^state.14^state.16^state.18^...+4;y5=1^state.1^state.2^state.4^state.5^state.6^state.13^state.14^state.19^state.21^...+5;y6=1^state.0^state.3^state.4^state.5^state.7^state.9^state.11^state.12^state.15^...+5;y7=1^state.1^state.2^state.6^state.10^state.12^state.13^state.15^state.16^state.21^...+2;y8=1^state.0^state.1^state.2^state.3^state.5^state.6^state.8^state.9^state.11^...+13;y9=state.0^state.2^state.4^state.6^state.7^state.9^state.11^state.12^state.14^state.15^...+7;y10=state.0^state.3^state.4^state.5^state.7^state.9^state.10^state.15^state.16^state.19^...+4;y11=1^state.0^state.2^state.3^state.4^state.5^state.6^state.7^state.8^state.11^...+9;y12=0
167	0x9a8d2	726	3	fit	726	100.0	0	17	6	0	6	0xaf8:432,0x8d8:206,0x938:88	y0=0;y1=0;y2=0;y3=1;y4=1;y5=state.5^b4.5;y6=state.6^b4.6;y7=state.6^b4.6;y8=1^state.6^b4.6;y9=1^state.5^state.6^b4.5^b4.6;y10=0;y11=1;y12=0
83	0x8947b	714	8	inconsistent	0	0.0	471	0	0	0	0	0x568:147,0x500:134,0x360:102,0x630:75,0xb00:71,0x800:68,0x480:62,0x808:55	
253	0xacfb1	708	47	inconsistent	0	0.0	188	0	0	0	0	0x948:266,0xe0:43,0xa88:32,0x638:31,0x390:30,0x768:23,0x90:22,0xaa0:21	
237	0xa8e1f	706	8	inconsistent	0	0.0	74	0	0	0	0	0xb00:346,0x360:110,0x500:54,0x800:53,0x480:51,0x630:40,0x568:29,0x808:23	
70	0x8610e	697	8	inconsistent	0	0.0	193	0	0	0	0	0x360:363,0x800:90,0x630:63,0x480:54,0x500:41,0xb00:39,0x808:27,0x568:20	
124	0x91e81	639	41	inconsistent	0	0.0	300	0	0	0	0	0x158:102,0x4e8:76,0x600:42,0xa00:41,0x860:37,0x998:34,0x128:29,0x5c8:28	
