source_entry	source_target	events	unique_post_states	full_status	matched_events	coverage_pct	inconsistent_rows	total_terms	state_terms	flag_terms	vm_byte_terms	byte_terms	tested_folds	train_fit_folds	test_events	cv_matched_events	cv_coverage_pct	cv_status	top_post_states	bit_formulas
258	0xadf2c	9693	938	inconsistent	0	0.0	9447	0	0	0	0	0	5	0	9693	0	0.0	no_train_fit	0x8020010:257,0x48000420:257,0x20220:257,0x50100618:256,0x48020568:256,0x40020110:256,0x8020290:256,0x10020500:256	
28	0x7e390	8348	1260	inconsistent	0	0.0	8147	0	0	0	0	0	5	0	8348	0	0.0	no_train_fit	0xb1e68d73:256,0xb0d4441f:256,0x901ecbd8:256,0x98900afc:256,0x51f004f4:256,0x79b365c8:256,0x284349ff:256,0x10471fff:256	
347	0xc088d	8151	1145	inconsistent	0	0.0	7927	0	0	0	0	0	5	0	8151	0	0.0	no_train_fit	0xdf86938:256,0x8e686c43:256,0x8fbd6b44:256,0x3845e9a2:256,0x15c7e8f8:256,0xebfebed:256,0xe486145:256,0x14e6693e:256	
114	0x90319	7722	1207	inconsistent	0	0.0	7482	0	0	0	0	0	5	0	7722	0	0.0	no_train_fit	0x99814e5e:257,0x99815756:256,0x998143e8:256,0x99813edf:256,0x9981780c:256,0x9980fa54:256,0x998142dc:256,0x9980bb7d:256	
340	0xbf435	7549	1136	inconsistent	0	0.0	7316	0	0	0	0	0	5	0	7549	0	0.0	no_train_fit	0xf6f676ef:273,0xf6f6781f:260,0xf6f5af3b:257,0xf6f607e3:256,0xf6f62b06:256,0xf6f640e8:256,0xf6f5c137:256,0xf6f6742f:79	
337	0xbec0e	7502	1179	inconsistent	0	0.0	7268	0	0	0	0	0	5	0	7502	0	0.0	no_train_fit	0x7dfb47ef:257,0x7dfb4bde:257,0x206fb27a:256,0xf1f36f7e:256,0x7dfb531a:256,0x6bf4a7ba:256,0x717657fe:65,0x6d724fda:65	
189	0x9e7af	7459	1135	inconsistent	0	0.0	7233	0	0	0	0	0	5	0	7459	0	0.0	no_train_fit	0x2a1c0968:258,0x4a201218:257,0x4a204fd0:256,0x4a2012a8:256,0x52200dcc:256,0x4a20467c:256,0x32204b78:256,0x2a1c0110:256	
18	0x7be9b	7392	1334	inconsistent	0	0.0	7163	0	0	0	0	0	5	0	7392	0	0.0	no_train_fit	0x847ffe38:256,0x96660971:256,0x91a0672:256,0x705426a0:256,0x121c39a8:256,0xa0bffdb8:256,0x88a1c18:65,0x380f60:65	
66	0x855ff	7189	1167	inconsistent	0	0.0	6924	0	0	0	0	0	5	0	7189	0	0.0	no_train_fit	0x20cf3e4f:256,0x3caf37ed:256,0xb0cf2bb2:256,0xba8f40d2:256,0xa08f70e6:256,0xb2ceb94a:256,0x3b2f1829:256,0x228ed19e:256	
215	0xa4609	7121	870	inconsistent	0	0.0	6941	0	0	0	0	0	5	0	7121	0	0.0	no_train_fit	0xfefeb507:257,0xfefeb697:256,0xf8fffa13:256,0xfefeba23:256,0xfafeb7cf:256,0xfbfefa93:256,0xfffffe73:256,0xfefef69b:256	
307	0xb8064	7050	700	inconsistent	0	0.0	6858	0	0	0	0	0	5	0	7050	0	0.0	no_train_fit	0x0:667,0x80a100:259,0x41820100:256,0x200a018:256,0x20110:256,0x1402b800:256,0x108:134,0x2000:109	
297	0xb64d7	6483	1016	inconsistent	0	0.0	6302	0	0	0	0	0	5	0	6483	0	0.0	no_train_fit	0x71fdd5bc:256,0xae03fff1:256,0x4a0c291b:256,0xadfdccab:256,0x55fc5c23:256,0x51fde63a:256,0xb60c0668:256,0x320db9f8:65	
199	0xa0631	6207	958	inconsistent	0	0.0	6024	0	0	0	0	0	5	0	6207	0	0.0	no_train_fit	0x4f5289e9:256,0x1a134f30:256,0x14030c00:256,0xc0f5108:256,0x200c108:256,0xd65619f8:256,0xb02d990d:256,0x7ff298d4:256	
64	0x85059	6175	1175	inconsistent	0	0.0	5955	0	0	0	0	0	5	0	6175	0	0.0	no_train_fit	0x14025438:256,0x4bfb50dc:256,0x651cb740:256,0x988f6e19:65,0x9005ae75:65,0x343b78ef:65,0x1502cae3:64,0x25300aa8:64	
185	0x9d964	6172	1022	inconsistent	0	0.0	5738	0	0	0	0	0	5	0	6172	0	0.0	no_train_fit	0xe3422aeb:256,0x29b2a65f:256,0xb15487ff:256,0x515497fe:256,0x9224277b:256,0x5332abdb:73,0x9e4ffcb:65,0xb3430bde:64	
43	0x8173d	5309	753	fit	5309	100.0	0	17	7	0	0	9	5	5	5309	5309	100.0	robust	0x5f:274,0x1a3:271,0x49ec:256,0x46af:256,0x4bab:256,0xae7c:256,0x8bb0:68,0x299a:64	s0=b0.0;s1=b0.1;s2=1^b0.2;s3=b2.3;s4=b2.4;s5=b2.5;s6=b2.6;s7=b2.7;s8=b3.0;s9=state.9;s10=state.10;s11=state.11;s12=state.12;s13=state.13;s14=state.14;s15=state.15;s16=0;s17=0;s18=0;s19=0;s20=0;s21=0;s22=0;s23=0;s24=0;s25=0;s26=0;s27=0;s28=0;s29=0;s30=0;s31=0
196	0x9fbcd	4953	531	inconsistent	0	0.0	4785	0	0	0	0	0	5	0	4953	0	0.0	no_train_fit	0x30121922:640,0x58707121:257,0x30121902:256,0x74024801:256,0x5c024901:256,0x70101902:256,0x8017102:256,0x10131102:78	
