source_entry	source_target	key_delta	key_status	key_bytes	class	events	unique_start_ips	unique_pre_states	unique_post_states	unique_state_add	unique_state_xor	top_state_add	top_state_xor	top_pre_states	top_post_states	top_flag_add	top_flag_xor	top_byte_add	top_byte_xor	top_targets	top_sites	top_deltas	byte_statuses	top_bytes
258	0xadf2c				state_mixed	9693	1234	1123	938	1228	1227	+0x383d0514:256,+0x4803d328:256,+0x1fbd0100:256,+0x285237d7:256,-0x747df938:256,-0x37fcec43:256,+0x3bfef540:256,+0x73ff800:256	0x47c3071c:256,0xb7fc3728:256,0x60470100:256,0xd7adc829:256,0x947dfb38:256,0x37fcec43:256,0x44010d40:256,0x8c00800:256	0xc20810:291,0x20450010:286,0x17d30104:256,0xfffe3240:256,0xdfafcab9:256,0x847ffe38:256,0x3ffcedcb:256,0x14030c00:256	0x8020010:257,0x48000420:257,0x20220:257,0x50100618:256,0x48020568:256,0x40020110:256,0x8020290:256,0x10020500:256	-0x7077645e:305,-0x54b5665e:271,-0x50754666:269,-0x4c75465e:260,-0x72f7a6a6:257,-0x50b62466:256,-0x4c77a456:256,-0x6cf62cd6:256	0xb088afa2:321,0xb08bbbaa:311,0xb38abb2a:285,0xfb4faea2:271,0xb388afaa:269,0xb38acba2:257,0xb34a3faa:256,0xb316332a:256	+0x0:9693	0x0:9693	215@0xa4609:684,43@0x8173d:677,307@0xb8064:634,297@0xb64d7:480,172@0x9b68a:464,18@0x7be9b:455,196@0x9fbcd:403,199@0xa0631:384	tail@0xae32f:9693	+0x4:9693	exact:9693	f3d5ce87:256,afabd64f:256,24d2f189:256,6503717e:256,e8d9514c:256,5f088d75:256,53b0a26f:256,1030a5ef:256
28	0x7e390				state_mixed	8348	1269	1149	1260	1264	1264	+0x34875080:256,-0x46223400:256,+0x5118b5be:256,-0x4785f4:256,+0x5f4b418:256,+0x108f7436:256,+0x1dc7db08:256,+0x39800408:256	0xccb9b180:256,0x46223c00:256,0xaf18ddc2:256,0x479a0c:256,0x1a0b5428:256,0x1090945a:256,0x22382708:256,0xc6800408:256	0xf6f6781f:259,0x7d5f3cf3:256,0x3f06161a:256,0x98d790f0:256,0x4bfb50dc:256,0x6923f192:256,0xa7b6ef7:256,0xd6c71bf7:256	0xb1e68d73:256,0xb0d4441f:256,0x901ecbd8:256,0x98900afc:256,0x51f004f4:256,0x79b365c8:256,0x284349ff:256,0x10471fff:256	-0x2fe22259:256,-0xc20ded6:256,+0x2f613e67:256,-0x5367b31d:256,+0x5c055be7:256,-0x294bbbf5:256,+0x14198dc4:256,+0x14c9bc22:256	0x37e2e659:256,0x14612156:256,0x2f613e67:256,0xddb84d23:256,0xbc05642f:256,0x294ccc1b:256,0x1427becc:256,0x357644ee:256	+0x0:7460,+0x28:339,+0x16:238,+0xea:170,+0xd8:141	0x0:7460,0x58:480,0x6a:408	347@0xc088d:1136,189@0x9e7af:682,43@0x8173d:480,258@0xadf2c:415,168@0x9aa83:385,114@0x90319:330,20@0x7c62b:314,340@0xbf435:309	tail@0x7e7ca:8348	+0x3:8348	exact:8348	600921:260,a00084:258,5801d8:257,d80a40:257,00049a:256,d80ae6:256,400512:256,d80aba:256
347	0xc088d				state_mixed	8151	1174	1080	1145	1159	1159	-0x3415d824:256,-0x709648c4:256,-0x616094:256,-0x604a215a:256,-0x5e37c5e1:256,-0x1873412:256,-0x11bb9f13:256,-0x3d177cfc:256	0x4ff62864:256,0x7096d944:256,0x1fa3a09c:256,0xa0d5e35e:256,0x66384621:256,0x1ef8f412:256,0x2e4c611d:256,0x451b8f04:256	0xfefeb507:257,0x420e415c:256,0x901ecbd8:256,0x98900afc:256,0x73ffaed9:256,0x10471fff:256,0x20040058:256,0x51fde63a:256	0xdf86938:256,0x8e686c43:256,0x8fbd6b44:256,0x3845e9a2:256,0x15c7e8f8:256,0xebfebed:256,0xe486145:256,0x14e6693e:256	-0x7b75e685:256,+0x213d510:256,+0x60ddf2be:256,+0x5548d5ae:256,-0x6f097cf2:256,+0x60d62728:256,+0x6c67f676:256,-0x6b2f2d6a:256	0x848a2985:256,0x1efc6b70:256,0xbf5e0f42:256,0xdfd76e52:256,0x90fe8376:256,0xbfd63b58:256,0xbce83796:256,0x97ff536a:256	+0x0:8151	0x0:8151	168@0x9aa83:649,18@0x7be9b:641,28@0x7e390:515,297@0xb64d7:478,174@0x9bd8f:474,307@0xb8064:386,158@0x99029:358,20@0x7c62b:355	tail@0xc0d7b:8151	+0x4:8151	exact:8151	8d0b6f82:256,6e0eba81:256,390d5d81:256,5f8f5b02:256,2d82ad02:256,208da401:256,2803fa26:256,f30ff782:256
114	0x90319				state_mixed	7722	1229	1136	1207	1227	1227	-0x667ea8aa:256,-0x6640a3c8:256,+0x31b356e:256,-0xc548b04:256,-0x6f990c1e:256,-0x687f72aa:256,+0x48a36a22:256,+0x57766f29:256	0x99815756:256,0x6640a458:256,0xfe737ae:256,0x3c577b1c:256,0x909afc26:256,0x9b818f56:256,0xc95c9a66:256,0xdb8af729:256	0x0:328,0xffc1e7b0:256,0x96660971:256,0xa5d60310:256,0x91a0672:256,0x200c108:256,0x50ddd8ba:256,0x420a4c54:256	0x99814e5e:257,0x99815756:256,0x998143e8:256,0x99813edf:256,0x9981780c:256,0x9980fa54:256,0x998142dc:256,0x9980bb7d:256	+0x0:305,+0x7d51579f:256,+0x8a94187:256,+0x58a1e7d5:256,+0x340a83a5:256,-0xe81d908:256,+0x64966130:256,-0x7fe5b3bd:256	0x0:305,0x82b2b8a1:256,0xf756be79:256,0xa75e183b:256,0xdbf57c5b:256,0x1e825b18:256,0xab6ba150:256,0x87ea74cd:256	+0x0:7722	0x0:7722	66@0x855ff:693,185@0x9d964:560,199@0xa0631:534,158@0x99029:402,268@0xb0007:342,20@0x7c62b:332,287@0xb45d2:328,215@0xa4609:310	tail@0x90893:7722	+0x4:7722	exact:7722	d95ea6ac:256,4772c723:256,50772fc0:256,233e7c74:256,dbbb3cff:256,d167ee1a:256,5373f4b9:256,b2fac446:256
340	0xbf435				state_mixed	7549	1233	1136	1136	1223	1221	-0x2c198801:256,-0x4908101f:256,+0x4626dc31:256,-0x650c1dfb:256,-0x294d8911:256,+0x3e024ad5:256,-0x617aafea:256,+0x70efa76:64	0xd5e6783f:256,0xc9081061:256,0x46392c51:256,0xaaf46207:256,0xd6b276ef:256,0x4e05b6fb:256,0xae85b016:256,0x19137b8e:64	0x23100020:256,0x3ffdbf5a:256,0xb0cf2bb2:256,0x5c024901:256,0x20440000:256,0xb8f3f613:256,0x58707121:256,0x0:142	0xf6f676ef:273,0xf6f6781f:260,0xf6f5af3b:257,0xf6f607e3:256,0xf6f62b06:256,0xf6f640e8:256,0xf6f5c137:256,0xf6f6742f:79	-0x3599d00e:258,+0x45584ff2:256,-0x31a8500e:256,+0x172eb2d2:256,+0x42a62ff2:256,-0x6c122d4f:256,-0x6b122d2b:256,+0x4ea9d032:237	0x4ea9d032:4524,0x3b774d5e:256,0x94126dcf:256,0x95326d5b:256,0x9794795e:64,0x7ffd4ccb:64,0xf1b6591b:64,0x957d588b:64	+0x0:7549	0x0:7549	28@0x7e390:521,307@0xb8064:519,66@0x855ff:460,161@0x9975a:382,18@0x7be9b:334,287@0xb45d2:329,192@0x9f00a:327,345@0xc02e4:281	tail@0xbf886:7549	+0x4:7549	exact:7549	4c0eab00:257,30d7d300:256,887ecb00:256,655b3800:256,7c0f7900:256,83456800:256,34c57900:256,08cbb300:64
337	0xbec0e				state_mixed	7502	1261	1148	1179	1251	1251	+0x42524c8c:256,+0x2070f701:256,-0x4abbc86f:256,+0x3ef4b6da:256,+0x7dfb4b56:256,+0x2be183f8:256,-0x64f66089:65,-0x2bfa1c83:65	0x4653bc8c:256,0xdf910903:256,0xcd5c5893:256,0x42fdcf5a:256,0x7dfb4b56:256,0x2be78478:256,0xa71aef79:65,0xf41e2387:65	0x88:257,0x3ba8fb63:256,0xfffebb79:256,0x3caf37ed:256,0x3f069c40:256,0x401323c2:256,0x0:143,0xd66cb887:65	0x7dfb47ef:257,0x7dfb4bde:257,0x206fb27a:256,0xf1f36f7e:256,0x7dfb531a:256,0x6bf4a7ba:256,0x717657fe:65,0x6d724fda:65	+0x61f749a7:2344,-0xa7e99e0:376,-0x4a94db5f:256,+0xc0227a0:256,+0x3db168a0:256,+0xc002820:194,-0x3a7fd8e8:121,-0xb9017e0:64	0x1a879a20:376,0xc002820:264,0x61f949e9:256,0x4e9ceb67:256,0xc0628a0:256,0xc256f7a0:256,0xe21f4e5b:256,0x4a802928:178	+0x0:7502	0x0:7502	66@0x855ff:480,174@0x9bd8f:428,297@0xb64d7:389,196@0x9fbcd:327,28@0x7e390:291,315@0xb9451:291,79@0x885b0:276,215@0xa4609:270	tail@0xbf126:7502	+0x4:7502	exact:7502	f3965005:256,402def44:256,7c6da4c8:256,f08c4964:256,24910100:256,3038a6dc:256,0c868048:65,088eb693:65
189	0x9e7af				state_mixed	7459	1256	1166	1135	1221	1235	+0x512055bd:256,+0x1a0df986:256,-0x2003f740:256,+0x3a4c78d0:256,-0x2ed5ff70:256,-0x3513aef3:256,-0x15e7ff58:256,+0xef0f9ef:256	0xb2dfb5c3:256,0x7a320b8a:256,0x603c09c0:256,0x45f39930:256,0x32d60390:256,0x5513b113:256,0x6a180178:256,0x710f0a31:256	0x30121922:320,0xf8fffa13:256,0x4a2000a8:256,0x17d394fc:256,0x78f645ec:256,0x6733fa6b:256,0x40040068:256,0x3b2f1829:256	0x2a1c0968:258,0x4a201218:257,0x4a204fd0:256,0x4a2012a8:256,0x52200dcc:256,0x4a20467c:256,0x32204b78:256,0x2a1c0110:256	-0x2901e4a5:341,+0x744f2a68:256,-0x73b5580:256,+0x91e6b80:256,-0x27bcd065:256,-0x1aede1a5:256,+0x6670dfb0:256,+0x9141fa3:256	0x39023da5:327,0x9cb1d598:256,0x8c4ab80:256,0xb62eb80:256,0xd84551ad:256,0x3b3221ed:256,0xae912050:256,0x7b3421a5:256	+0x0:7459	0x0:7459	43@0x8173d:650,307@0xb8064:487,297@0xb64d7:480,18@0x7be9b:374,184@0x9d694:365,305@0xb78b0:363,215@0xa4609:324,28@0x7e390:323	tail@0x9eac9:7459	+0x4:7459	exact:7459	3ef7ecd6:270,1c6334a2:256,a3fface0:256,95abe8db:256,ec75b8a3:256,ad54bc9e:256,54a854e9:256,42eb5cd8:256
18	0x7be9b				state_mixed	7392	1368	1220	1334	1360	1359	+0x1d32d080:256,-0x69905682:256,-0x26f812b0:256,+0x500f2610:256,-0x5b689fc:256,+0x60c92c45:256,-0xf87e3e8:65,-0x2f085b98:65	0xe332d380:256,0x69905682:256,0x39081f50:256,0x50112630:256,0x5cefa0c:256,0x9f492ccb:256,0x10981c18:65,0x2f786598:65	0x20450090:261,0x674d2db8:256,0xfff65ff3:256,0x30121922:256,0x17d2c3a4:256,0x3ff6d173:256,0x0:79,0x10000090:66	0x847ffe38:256,0x96660971:256,0x91a0672:256,0x705426a0:256,0x121c39a8:256,0xa0bffdb8:256,0x88a1c18:65,0x380f60:65	+0x64b16c34:270,-0x576c69a9:256,-0x57684da8:256,-0x452c5c90:256,+0x4caea914:256,+0x6a93a657:256,+0x7ad79f5f:126,+0x68d3a357:78	0xa4b16c7c:270,0xb8939bd7:256,0xb8e9b258:256,0xcbd5e770:256,0x57b1a91c:256,0xab93e65f:256,0x7ad79f5f:130,0x69d5e75f:80	+0x0:6273,+0x28:523,+0xea:376,+0x16:131,+0xd8:87,+0x1e:1,+0xee:1	0x0:6273,0x58:610,0x6a:507,0x62:1,0x32:1	114@0x90319:797,347@0xc088d:599,258@0xadf2c:486,300@0xb6c36:323,174@0x9bd8f:320,337@0xbec0e:298,189@0x9e7af:277,105@0x8e6b4:261	tail@0x7c308:7392	+0x3:7392	exact:7392	580eaa:256,91101e:256,920dd4:256,603937:256,584f3c:256,4804c6:256,282636:66,a0107a:65
66	0x855ff				state_mixed	7189	1176	1056	1167	1172	1171	-0xf42dab3:256,-0x2c672765:256,+0x71c8c468:256,+0x3c93edb8:256,+0x70df8da:256,-0x6504ae42:256,+0x3db905d9:256,+0x2b985aaf:256	0x10dd274d:256,0x55b968bf:256,0x8fc94cf8:256,0xc77413c8:256,0x390e08ea:256,0xa51ddec6:256,0xc6590a79:256,0xd478a771:256	0xf6f676ef:273,0x30121902:256,0x69165f52:256,0x3f06674a:256,0x7dfb531a:256,0x9981780c:256,0x17d3678c:256,0xfd761250:256	0x20cf3e4f:256,0x3caf37ed:256,0xb0cf2bb2:256,0xba8f40d2:256,0xa08f70e6:256,0xb2ceb94a:256,0x3b2f1829:256,0x228ed19e:256	-0x417c3c42:256,+0x3e5ac6ae:256,+0x42a2ffb6:256,+0x429e8fb6:256,+0x41a631ce:256,+0x429dcfd6:256,-0x42a2f9d2:256,-0x3d9a64aa:256	0x42a6ffd6:5310,0x428fc5c2:256,0x428cc5c2:65,0xa34bfcda:65,0xb2b9c5c2:65,0xf3fc04ca:64,0x42d8d1da:64,0xf3fcdd22:64	+0x0:5861,+0xea:682,+0xd8:394,+0x16:97,+0x28:88,+0xee:64,+0x3a:1,+0xf8:1	0x0:5861,0x6a:779,0x58:482,0x32:65,0x3a:1,0x8:1	337@0xbec0e:574,340@0xbf435:510,64@0x85059:477,123@0x91a59:464,189@0x9e7af:451,158@0x99029:359,49@0x82820:267,300@0xb6c36:262	tail@0x859f9:7189	+0x3:7189	exact:7189	e2c138:256,40c968:256,05ad78:256,65ca28:256,69f83e:256,9d3bbe:256,fca46a:256,7157dc:256
215	0xa4609				state_mixed	7121	959	889	870	958	958	-0x51114f81:256,+0x3eef619d:256,+0x2815fba3:256,-0x903486d:256,+0x132747d5:256,+0x3d4495c6:256,-0x530505ad:256,-0x9027a67:256	0xaeeeb08f:256,0x3ef1e66d:256,0x28160463:256,0xf6fcb8b3:256,0x1d29d835:256,0x45449e5e:256,0xacfafa53:256,0xf6ff8799:256	0x573b8fb9:330,0x50100618:256,0xc00f536a:256,0xd0e9fe70:256,0x8020290:256,0xe7d76ffa:256,0xbeba64cd:256,0x53050420:256	0xfefeb507:257,0xfefeb697:256,0xf8fffa13:256,0xfefeba23:256,0xfafeb7cf:256,0xfbfefa93:256,0xfffffe73:256,0xfefef69b:256	+0x5966d257:4283,+0x1d05ffae:256,-0x273a6152:256,-0x228a2253:256,+0x1d45d336:256,-0x14f25053:256,+0x4b097335:256,+0x1d7a9395:65	0xd967d277:306,0x7f1a00f2:256,0x3bc6e6b2:256,0x2e8a2273:256,0x7f5a557a:256,0x3d1ed0b3:256,0xa6b92db9:256,0xbb7af25f:256	+0x0:5604,+0xd8:789,+0x28:407,+0xea:199,+0xee:64,+0x16:58	0x0:5604,0x58:1196,0x6a:257,0x32:64	189@0x9e7af:474,114@0x90319:452,347@0xc088d:429,258@0xadf2c:401,337@0xbec0e:389,196@0x9fbcd:386,123@0x91a59:353,49@0x82820:346	tail@0xa4a5e:7121	+0x3:7121	exact:7121	d80ae8:270,1008e8:269,6809c8:256,e805bc:256,d8033c:256,60053d:256,88010c:256,6009bc:256
