source_entry	source_target	key_delta	key_status	key_bytes	class	events	unique_start_ips	unique_pre_states	unique_post_states	unique_state_add	unique_state_xor	top_state_add	top_state_xor	top_pre_states	top_post_states	top_flag_add	top_flag_xor	top_byte_add	top_byte_xor	top_targets	top_sites	top_deltas	byte_statuses	top_bytes
315	0xb9451	+0x4	exact	e80191f0	state_mixed	604	19	19	19	19	19	-0x7148ed49:256,+0x623d6c95:256,-0x39a1b691:13,+0x4edeab4f:13,+0x4edebd2f:13,-0x5b203209:13,+0x4edead37:13,+0x6bbd34ae:12	0x9ed712b7:256,0x623d7cb5:256,0xc65ed973:13,0x4edf5d51:13,0x4edf4d31:13,0xa4e07609:13,0x4edf5d59:13,0x7bbed4be:12	0x48100940:256,0xc20950:256,0x99814e8e:13,0xf9a7:13,0xd8cb:13,0x530f5dff:13,0xf8b3:13,0x841f848:12	0xd6c71bf7:256,0x62ff75e5:256,0x5fdf97fd:13,0x4edfa4f6:13,0x4edf95fa:13,0xf7ef2bf6:13,0x4edfa5ea:13,0x73ff2cf6:12	+0x0:326,-0x17a3ed04:256,+0x27a38afc:12,-0x2844550c:4,-0x27a452f4:2,+0x17cb92fc:1,+0x17d3d2f4:1,-0x27cc14f4:1	0x0:326,0x285c750c:278	+0x0:604	0x0:604	28@0x7e390:604	tail@0xb9878:604	+0x4:604	exact:604	e80191f0:604
171	0x9b4b3	+0x2	exact	c400	state_const_post	351	7	8	1	8	8	+0x59931c85:256,+0x5bce49b:64,-0x224501a0:17,+0x6c02109:9,-0x3a9aea38:2,+0x31cf373e:1,+0x6533664b:1,+0x1af9de77:1	0xa66ce37b:256,0xfa431b65:64,0x224501a0:17,0xf93fdef7:9,0x3a9aea38:2,0xce30c8c2:1,0x9acc99b5:1,0xe5062189:1	0xa66ce37b:256,0xfa431b65:64,0x224501a0:17,0xf93fdef7:9,0x3a9aea38:2,0xce30c8c2:1,0x9acc99b5:1,0xe5062189:1	0x0:351	-0x55b834b9:256,+0x6fdadc10:64,+0x33aa1508:17,+0x25c4094b:9,+0x39fadf78:2,+0x148ff0be:1,-0x49b016b5:1,-0x27a62d01:1	0x55b834b9:256,0x902523f0:64,0xcc55eaf8:17,0xda3bf6b5:9,0xc6052088:2,0xeb700f42:1,0x49b016b5:1,0x27a62d01:1	+0x0:351	0x0:351	196@0x9fbcd:351	tail@0x9b687:351	+0x2:351	exact:351	c400:351
160	0x994cf	+0x2	exact	482e	state_const_post	330	8	8	1	8	8	-0x7a8517d2:256,-0x1d87c328:64,-0x19a37bea:5,+0x6042dc1a:1,+0x37bee432:1,+0x32f06794:1,+0x1dc80d0a:1,+0x337ee032:1	0x86fb2832:256,0x23f8dd58:64,0x27e4841a:5,0xa1c33c26:1,0x4847243e:1,0x7370a79c:1,0x6e480d16:1,0x7487203e:1	0xd1c0a78b:256,0x74c352e1:64,0x70df0ba3:5,0xf6f8b39f:1,0x1f7cab87:1,0x244b2825:1,0x397382af:1,0x23bcaf87:1	0x573b8fb9:330	+0x0:328,-0x559d4d7b:2	0x0:328,0xd5bf557d:1,0x559d4e8b:1	+0x0:330	0x0:330	215@0xa4609:330	tail@0x99757:330	+0x2:330	exact:330	482e:330
315	0xb9451	+0x4	exact	e801c9f6	state_mixed	304	11	11	11	11	11	-0x1858919e:256,-0x57292df7:13,+0x67cea635:13,+0x7c0554d4:13,-0x17185209:3,-0x50379524:1,-0x41a14d2b:1,+0x7aff59da:1	0xe7e76e62:256,0xe8f7f209:13,0x67cfa63d:13,0x7c06f4d4:13,0xf8e87e77:3,0xd1d9bae4:1,0xce5ed35d:1,0x8500b9de:1	0x300198:256,0x33109df6:13,0x89c6:13,0x3c9d328:13,0xe07e9c8:3,0x3b2eec1d:1,0x99811ce4:1,0xffffb623:1	0xe7d76ffa:256,0xdbe76fff:13,0x67cf2ffb:13,0x7fcf27fc:13,0xf6ef97bf:3,0xeaf756f9:1,0x57dfcfb9:1,0x7aff0ffd:1	+0x2833f4f4:256,+0x0:16,+0x17db8b04:13,+0x27cc750c:13,+0x27cb930c:3,-0x2843ecf4:1,-0x18538af4:1,+0x17d43504:1	0x285c750c:288,0x0:16	+0x0:304	0x0:304	215@0xa4609:304	tail@0xb9878:304	+0x4:304	exact:304	e801c9f6:304
315	0xb9451	+0x4	exact	e801a9fa	state_mixed	303	16	16	16	16	16	-0x9fb9d05:256,+0x2cb243b1:13,-0x138004f:9,-0x2f7838e9:9,+0x59dd4496:4,-0x4130c1c1:2,-0x41a9a257:1,-0x44043d21:1	0xe04e507:256,0x2cf3c3f1:13,0xec7ffb1:9,0xd0984719:9,0x7beecc96:4,0xcecf3e3f:2,0xce56fde9:1,0xcc0c4521:1	0x7dfb4bde:256,0xc32cdc2e:13,0x58000048:9,0xe6fe8e3:9,0x1119f748:4,0x80000c0:2,0x99815234:1,0x1bcbdbfb:1	0x73ffaed9:256,0xefdf1fdf:13,0x56c7fff9:9,0xdef7affa:9,0x6af73bde:4,0xc6cf3eff:2,0x57d7afdd:1,0xd7c79eda:1	+0x0:280,+0x182bf504:13,+0x17b38afc:4,-0x17b3b504:2,+0x28538cf4:1,-0x185412fc:1,-0x283412fc:1,+0x284432fc:1	0x0:280,0x285c750c:23	+0x0:303	0x0:303	347@0xc088d:303	tail@0xb9878:303	+0x4:303	exact:303	e801a9fa:303
315	0xb9451	+0x4	exact	e80149f5	state_mixed	302	19	19	19	19	19	+0x47e71ead:256,-0x2ef6cb61:13,-0x5f4cff3d:12,+0x71f0e70f:3,-0x450c170e:3,+0x203ea1f:2,-0x17014609:1,-0x7f05d9e9:1	0x47e71fad:256,0x310975a1:13,0xe0d30143:12,0xb2112b0f:3,0xc5146972:3,0x2047e23:2,0x190f4ef9:1,0x811a5a19:1	0x80090:256,0xf6f622db:13,0x2a1c0efc:12,0xedf626b0:3,0x17d356cc:3,0x7dfbcbda:2,0xfac86b83:1,0xf6f5bf23:1	0x47ef1f3d:256,0xc7ff577a:13,0xcacf0fbf:12,0x5fe70dbf:3,0xd2c73fbe:3,0x7fffb5f9:2,0xe3c7257a:1,0x77efe53a:1	+0x0:280,+0x17c43304:12,+0x285c4b0c:3,-0x282c4afc:3,+0x18438b0c:1,+0x17b38afc:1,+0x27bbaafc:1,-0x28340afc:1	0x0:280,0x285c750c:22	+0x0:302	0x0:302	167@0x9a8d2:302	tail@0xb9878:302	+0x4:302	exact:302	e80149f5:302
307	0xb8064	+0x3	exact	3ad5af	state_mixed	272	4	4	2	4	4	-0xbdd0b98:256,+0x909fff0:14,+0xbddf668:1,-0x180:1	0xbdd0b98:256,0xf6f60010:14,0xf4220998:1,0x180:1	0xbdd0b98:256,0xf6f60010:14,0xf4228998:1,0x180:1	0x0:271,0x8000:1	-0x200:256,-0x240200:14,+0x0:2	0x200:256,0x240200:14,0x0:2	+0x0:272	0x0:272	196@0x9fbcd:272	tail@0xb837a:272	+0x3:272	exact:272	3ad5af:272
165	0x9a24c	+0x2	exact	7200	state_const_post	271	3	4	1	4	4	+0x7c453249:255,-0x3a62e032:14,-0x100:1,-0x1054e34a:1	0x83bacdb7:255,0x3a62e032:14,0x100:1,0x1054e34a:1	0x83bacdb7:255,0x3a62e032:14,0x100:1,0x1054e34a:1	0x0:271	-0xc4000d0:255,-0x3121fe2f:14,-0x34028945:1,-0x3ff05e38:1	0xc4000d0:255,0x3121fe2f:14,0x34028945:1,0x3ff05e38:1	+0x0:271	0x0:271	114@0x90319:271	tail@0x9a46b:271	+0x2:271	exact:271	7200:271
189	0x9e7af	+0x4	exact	3ef7ecd6	state_mixed	270	2	2	2	2	2	+0x1a0df986:256,+0x160df986:14	0x7a320b8a:256,0x6e320b8a:14	0x30121922:256,0x3c121922:14	0x4a2012a8:256,0x522012a8:14	-0x2901e4a5:256,-0x2901e565:14	0x39023da5:256,0x39023d65:14	+0x0:270	0x0:270	305@0xb78b0:270	tail@0x9eac9:270	+0x4:270	exact:270	3ef7ecd6:270
196	0x9fbcd	+0x4	exact	fd6e0cf4	state_mixed	270	2	2	2	2	2	+0x30121922:256,+0x371218d2:14	0x30121922:256,0x39121972:14	0x0:256,0x5000050:14	0x30121922:256,0x3c121922:14	+0x73461127:256,+0x71c41117:14	0x73461127:256,0x72c41137:14	+0x0:270	0x0:270	189@0x9e7af:270	tail@0xa0068:270	+0x4:270	exact:270	fd6e0cf4:270
