source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	unique_target_exprs	unique_slot_exprs	unique_ip_exprs	top_target_exprs	top_slot_exprs	top_ip_exprs	top_actual_targets	path
3	0x78c77	0f263ac4d353d4da	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff]	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	128=0x5	173@0x9ba74:37,160@0x994cf:35,352@0xc1ec4:17,144@0x95887:15,108@0x8f24b:11	0x78c93:je:?;0x78cd4:je:?;0x79161:je:1
40	0x8115d	e3b0c44298fc1c14	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_4 ^ state0)) & 0xffff]	128=(mask32(u16_4 ^ state0)) & 0xffff	128=0x6	114@0x90319:69,64@0x85059:8,189@0x9e7af:7,215@0xa4609:7,340@0xbf435:7	-
49	0x82820	14dc36f04060df7a	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32(state0 & flags0)) + flags0)) - 0x353700ed)) + 0x55a592d8)))) + 0x55b8ef8d)) & 0xffff]	128=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32(state0 & flags0)) + flags0)) - 0x353700ed)) + 0x55a592d8)))) + 0x55b8ef8d)) & 0xffff	128=0x5	144@0x95887:81,108@0x8f24b:13,352@0xc1ec4:13,173@0x9ba74:11,257@0xadbfd:4	0x829d6:je:0;0x82c04:je:1;0x82cc1:je:0
52	0x833c7	a5bdf261163619f8	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_0 + state0)) ^ 0x7823b2da)) & 0xffff]	128=(mask32((mask32(u16_0 + state0)) ^ 0x7823b2da)) & 0xffff	128=0x5	75@0x873fc:126,145@0x95b5c:1,334@0xbdd18:1	0x834bc:jne:1;0x834ca:jne:1;0x834d9:jne:1;0x834ee:jne:0;0x835bd:je:0
82	0x8920e	5ee207afa2d8cc77	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x5cc5e4d8)) & 0xffff]	128=(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x5cc5e4d8)) & 0xffff	128=0x3	333@0xbd8af:64,99@0x8c99a:64	0x8922d:je:?;0x8925b:je:1;0x89293:je:1;0x892c8:je:?;0x89338:je:?
90	0x8b334	e3b0c44298fc1c14	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_0 + 0x224914c1)) & 0xffff]	128=(mask32(u16_0 + 0x224914c1)) & 0xffff	128=0x4	49@0x82820:126,330@0xbc9b8:2	-
91	0x8b6de	5caf9c58d429c404	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_0 ^ state0)) & 0xffff]	128=(mask32(u16_0 ^ state0)) & 0xffff	128=0x4	220@0xa522e:10,168@0x9aa83:9,333@0xbd8af:8,189@0x9e7af:7,28@0x7e390:7	0x8b6ee:je:?
99	0x8c99a	d8849544b4403acd	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_1 ^ state0)) - 0x48503105)) & 0xffff]	128=(mask32((mask32(u16_1 ^ state0)) - 0x48503105)) & 0xffff	128=0x5	198@0xa037e:124,160@0x994cf:4	0x8ca79:jne:?;0x8ca94:jne:?;0x8cb4e:je:1
107	0x8eef4	e5cd368af7da2ede	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_0 ^ state0)) & 0xffff]	128=(mask32(u16_0 ^ state0)) & 0xffff	128=0x5	160@0x994cf:128	0x8f00a:jne:1;0x8f02a:jne:1;0x8f03d:jne:1;0x8f060:jne:0;0x8f14a:je:0
118	0x90c23	0c2ec304c56dd3de	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff]	128=(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff	128=0x3	332@0xbd36d:128	0x90c71:je:0;0x90c94:je:1;0x90d19:je:0
