source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	unique_target_exprs	unique_slot_exprs	unique_ip_exprs	top_target_exprs	top_slot_exprs	top_ip_exprs	top_actual_targets	path
40	0x8115d	e3b0c44298fc1c14	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_4 ^ state0)) & 0xffff]	128=(mask32(u16_4 ^ state0)) & 0xffff	128=0x6	114@0x90319:69,64@0x85059:8,189@0x9e7af:7,215@0xa4609:7,340@0xbf435:7	-
49	0x82820	14dc36f04060df7a	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32(state0 & flags0)) + flags0)) - 0x353700ed)) + 0x55a592d8)))) + 0x55b8ef8d)) & 0xffff]	128=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32(state0 & flags0)) + flags0)) - 0x353700ed)) + 0x55a592d8)))) + 0x55b8ef8d)) & 0xffff	128=0x5	144@0x95887:81,108@0x8f24b:13,352@0xc1ec4:13,173@0x9ba74:11,257@0xadbfd:4	0x829d6:je:0;0x82c04:je:1;0x82cc1:je:0
52	0x833c7	a5bdf261163619f8	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_0 + state0)) ^ 0x7823b2da)) & 0xffff]	128=(mask32((mask32(u16_0 + state0)) ^ 0x7823b2da)) & 0xffff	128=0x5	75@0x873fc:126,145@0x95b5c:1,334@0xbdd18:1	0x834bc:jne:1;0x834ca:jne:1;0x834d9:jne:1;0x834ee:jne:0;0x835bd:je:0
90	0x8b334	e3b0c44298fc1c14	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_0 + 0x224914c1)) & 0xffff]	128=(mask32(u16_0 + 0x224914c1)) & 0xffff	128=0x4	49@0x82820:126,330@0xbc9b8:2	-
107	0x8eef4	e5cd368af7da2ede	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_0 ^ state0)) & 0xffff]	128=(mask32(u16_0 ^ state0)) & 0xffff	128=0x5	160@0x994cf:128	0x8f00a:jne:1;0x8f02a:jne:1;0x8f03d:jne:1;0x8f060:jne:0;0x8f14a:je:0
118	0x90c23	0c2ec304c56dd3de	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff]	128=(mask32((mask32(u16_1 ^ state0)) - 0x52d3aa4)) & 0xffff	128=0x3	332@0xbd36d:128	0x90c71:je:0;0x90c94:je:1;0x90d19:je:0
121	0x91379	e3b0c44298fc1c14	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_2 ^ (mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)) + (mask32((mask32(u16_0 + (mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)))) - flags0)))))) + 0x7609a96c)) & 0xffff]	128=(mask32((mask32(u16_2 ^ (mask32((mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)) + (mask32((mask32(u16_0 + (mask32((mask32(state0 ^ (mask32(flags0 + 0x3154e54a)))) - 0x288d43ba)))) - flags0)))))) + 0x7609a96c)) & 0xffff	128=0x4	307@0xb8064:89,91@0x8b6de:9,180@0x9cf32:6,64@0x85059:4,189@0x9e7af:3	-
127	0x926c3	a24732f3bf1ecb29	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff]	128=(mask32((mask32(u16_0 - state0)) + 0xf376a6a)) & 0xffff	128=0x5	108@0x8f24b:128	0x92773:jne:1;0x92782:jne:1;0x92798:jne:1;0x927ad:jne:0;0x92862:je:0
129	0x92f21	88af7305685357cd	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) - 0x42c8b2fa)))))) & 0x63b683d)))) & 0xffff]	128=(mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) + (mask32(flags0 + (mask32((mask32((mask32((mask32(state0 & (mask32(flags0 | 0x77ecded8)))) + 0x14f8aa88)) + 0x5f119f37)) - 0x42c8b2fa)))))) & 0x63b683d)))) & 0xffff	128=0x3	215@0xa4609:63,99@0x8c99a:63,172@0x9b68a:1,300@0xb6c36:1	0x93007:je:1
165	0x9a24c	e3b0c44298fc1c14	128	128	100.0	128	100.0	ok:128	1	1	1	128=T[u16_0 << 0x3]	128=u16_0 << 0x3	128=0x2	114@0x90319:98,199@0xa0631:6,28@0x7e390:6,18@0x7be9b:5,340@0xbf435:4	-
