source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	top_actual_targets	path
307	0xb8064	594cbf6454cdfe82	7050	7050	100.0	7050	100.0	ok:7050	174@0x9bd8f:450,157@0x98a9a:421,26@0x7dbbb:414,114@0x90319:410,340@0xbf435:358,196@0x9fbcd:351,161@0x9975a:344,337@0xbec0e:295	0xb80ac:je:?;0xb8188:je:1
258	0xadf2c	4be73f077fec7fc7	6275	6275	100.0	6275	100.0	ok:6275	215@0xa4609:640,43@0x8173d:598,307@0xb8064:571,18@0x7be9b:345,26@0x7dbbb:308,315@0xb9451:295,184@0x9d694:267,297@0xb64d7:258	0xadf51:je:1;0xadfe1:je:0
185	0x9d964	6a2102f5edeb1c96	6172	6172	100.0	6172	100.0	ok:6172	203@0xa1484:431,347@0xc088d:416,337@0xbec0e:407,172@0x9b68a:339,220@0xa522e:292,64@0x85059:237,123@0x91a59:225,258@0xadf2c:207	0x9da8d:je:0;0x9dace:je:0;0x9db05:je:0;0x9db82:je:?
347	0xc088d	19fc60176c704f86	5886	5886	100.0	5886	100.0	ok:5886	168@0x9aa83:628,174@0x9bd8f:458,28@0x7e390:456,18@0x7be9b:366,158@0x99029:351,20@0x7c62b:337,185@0x9d964:206,307@0xb8064:196	0xc093d:je:?;0xc09c2:je:1
66	0x855ff	17a660c8e4b68f56	5310	5310	100.0	5310	100.0	ok:5310	337@0xbec0e:493,123@0x91a59:437,340@0xbf435:387,189@0x9e7af:374,64@0x85059:341,158@0x99029:338,176@0x9c10b:188,184@0x9d694:173	0x85621:je:?;0x8566a:je:1;0x856f1:je:0;0x858d5:je:0
18	0x7be9b	52cb94c676146085	5184	5184	100.0	5184	100.0	ok:5184	114@0x90319:474,258@0xadf2c:418,337@0xbec0e:240,347@0xc088d:235,174@0x9bd8f:219,20@0x7c62b:202,189@0x9e7af:199,196@0x9fbcd:199	0x7bed4:je:?;0x7befe:je:1;0x7bfe0:je:1;0x7c17e:je:0
337	0xbec0e	e3cfac752b646934	5158	5158	100.0	5158	100.0	ok:5158	66@0x855ff:430,315@0xb9451:289,297@0xb64d7:229,123@0x91a59:186,176@0x9c10b:178,43@0x8173d:178,18@0x7be9b:167,28@0x7e390:166	0xbec7a:je:0;0xbeea3:je:?;0xbeee0:je:?;0xbef44:je:0;0xbef67:je:0;0xbefac:je:0
199	0xa0631	e093012d964a45b0	4842	4842	100.0	4842	100.0	ok:4842	258@0xadf2c:430,184@0x9d694:426,114@0x90319:337,203@0xa1484:291,340@0xbf435:249,64@0x85059:197,189@0x9e7af:195,161@0x9975a:144	0xa0676:je:1;0xa0921:je:0;0xa094b:je:?;0xa0985:je:0
297	0xb64d7	544fc165c2f587e5	4530	4530	100.0	4530	100.0	ok:4530	196@0x9fbcd:545,347@0xc088d:466,203@0xa1484:305,258@0xadf2c:230,340@0xbf435:208,174@0x9bd8f:188,337@0xbec0e:144,43@0x8173d:108	0xb64f9:je:?;0xb651f:je:?;0xb654f:je:1;0xb65c8:je:0;0xb65f5:je:1
340	0xbf435	2ca475fa7cfdda22	4524	4524	100.0	4524	100.0	ok:4524	307@0xb8064:421,28@0x7e390:415,287@0xb45d2:290,215@0xa4609:197,333@0xbd8af:197,18@0x7be9b:191,297@0xb64d7:161,185@0x9d964:158	0xbf457:je:?;0xbf48f:je:1;0xbf4d7:je:0
215	0xa4609	3c30635855970371	4283	4283	100.0	4283	100.0	ok:4283	114@0x90319:399,196@0x9fbcd:377,172@0x9b68a:290,337@0xbec0e:226,340@0xbf435:175,157@0x98a9a:162,268@0xb0007:158,20@0x7c62b:154	0xa4667:je:1;0xa46a3:je:1;0xa4746:je:1;0xa47d6:je:1
