source_entry	source_target	path_hash	events	target_matched_events	target_coverage_pct	ip_matched_events	ip_coverage_pct	statuses	top_actual_targets	path
307	0xb8064	53af157f8d5a451e	6610	6610	100.0	6610	100.0	ok:6610	174@0x9bd8f:418,157@0x98a9a:391,26@0x7dbbb:389,114@0x90319:383,340@0xbf435:337,196@0x9fbcd:327,161@0x9975a:322,337@0xbec0e:281	0xb80ac:je:0;0xb8188:je:1
258	0xadf2c	4be73f077fec7fc7	6275	6275	100.0	6275	100.0	ok:6275	215@0xa4609:640,43@0x8173d:598,307@0xb8064:571,18@0x7be9b:345,26@0x7dbbb:308,315@0xb9451:295,184@0x9d694:267,297@0xb64d7:258	0xadf51:je:1;0xadfe1:je:0
347	0xc088d	cb333c548cc440f3	5868	5868	100.0	5868	100.0	ok:5868	168@0x9aa83:626,174@0x9bd8f:457,28@0x7e390:455,18@0x7be9b:364,158@0x99029:350,20@0x7c62b:336,185@0x9d964:206,307@0xb8064:196	0xc093d:je:0;0xc09c2:je:1
337	0xbec0e	c8492588f16e2cbb	5158	5158	100.0	5158	100.0	ok:5158	66@0x855ff:430,315@0xb9451:289,297@0xb64d7:229,123@0x91a59:186,176@0x9c10b:178,43@0x8173d:178,18@0x7be9b:167,28@0x7e390:166	0xbec7a:je:0;0xbeea3:je:0;0xbeee0:je:0;0xbef44:je:0;0xbef67:je:0;0xbefac:je:0
199	0xa0631	454bb50b5a012434	4835	4835	100.0	4835	100.0	ok:4835	258@0xadf2c:429,184@0x9d694:424,114@0x90319:337,203@0xa1484:290,340@0xbf435:249,64@0x85059:197,189@0x9e7af:195,161@0x9975a:144	0xa0676:je:1;0xa0921:je:0;0xa094b:je:0;0xa0985:je:0
18	0x7be9b	bdfe2dc323c2ac6d	4728	4728	100.0	4728	100.0	ok:4728	114@0x90319:436,258@0xadf2c:381,337@0xbec0e:223,174@0x9bd8f:205,347@0xc088d:205,20@0x7c62b:184,196@0x9fbcd:182,189@0x9e7af:178	0x7bed4:je:0;0x7befe:je:1;0x7bfe0:je:1;0x7c17e:je:0
66	0x855ff	f47171d373278492	4708	4708	100.0	4708	100.0	ok:4708	337@0xbec0e:443,123@0x91a59:392,340@0xbf435:344,189@0x9e7af:332,158@0x99029:301,64@0x85059:289,176@0x9c10b:163,184@0x9d694:157	0x85621:je:0;0x8566a:je:1;0x856f1:je:0;0x858d5:je:0
215	0xa4609	3c30635855970371	4283	4283	100.0	4283	100.0	ok:4283	114@0x90319:399,196@0x9fbcd:377,172@0x9b68a:290,337@0xbec0e:226,340@0xbf435:175,157@0x98a9a:162,268@0xb0007:158,20@0x7c62b:154	0xa4667:je:1;0xa46a3:je:1;0xa4746:je:1;0xa47d6:je:1
196	0x9fbcd	44a20faf942e72a8	4088	4088	100.0	4088	100.0	ok:4088	340@0xbf435:555,66@0x855ff:501,18@0x7be9b:338,215@0xa4609:287,189@0x9e7af:202,347@0xc088d:117,305@0xb78b0:111,258@0xadf2c:101	0x9fd8f:je:1;0x9fdf5:je:1
297	0xb64d7	6091fdb2f82dc3fb	4065	4065	100.0	4065	100.0	ok:4065	196@0x9fbcd:493,347@0xc088d:424,203@0xa1484:299,258@0xadf2c:205,340@0xbf435:185,174@0x9bd8f:168,337@0xbec0e:124,43@0x8173d:94	0xb64f9:je:0;0xb651f:je:0;0xb654f:je:1;0xb65c8:je:0;0xb65f5:je:1
340	0xbf435	02ae05a16ed89aae	4010	4010	100.0	4010	100.0	ok:4010	307@0xb8064:367,28@0x7e390:362,287@0xb45d2:254,345@0xc02e4:248,215@0xa4609:180,333@0xbd8af:173,18@0x7be9b:172,297@0xb64d7:147	0xbf457:je:0;0xbf48f:je:1;0xbf4d7:je:0
185	0x9d964	fec4d0c2dccf8472	3823	3823	100.0	3823	100.0	ok:3823	168@0x9aa83:251,203@0xa1484:251,347@0xc088d:250,337@0xbec0e:242,172@0x9b68a:203,64@0x85059:142,123@0x91a59:132,174@0x9bd8f:131	0x9da8d:je:0;0x9dace:je:0;0x9db05:je:0;0x9db82:je:1
189	0x9e7af	0474812a78a0c853	3804	3804	100.0	3804	100.0	ok:3804	307@0xb8064:424,297@0xb64d7:396,184@0x9d694:321,30@0x7e849:255,215@0xa4609:209,18@0x7be9b:161,28@0x7e390:139,66@0x855ff:137	0x9e84f:je:0;0x9e880:je:0;0x9e8d1:je:0
333	0xbd8af	5dba04465e0f3b28	3475	3475	100.0	3475	100.0	ok:3475	305@0xb78b0:326,215@0xa4609:322,258@0xadf2c:294,337@0xbec0e:173,243@0xaab6a:152,28@0x7e390:142,114@0x90319:138,64@0x85059:127	0xbd8d9:je:0;0xbd9ec:je:0;0xbda3c:je:0
64	0x85059	362f895a05304b24	3435	3435	100.0	3435	100.0	ok:3435	199@0xa0631:332,121@0x91379:276,18@0x7be9b:247,28@0x7e390:233,215@0xa4609:221,185@0x9d964:161,307@0xb8064:158,66@0x855ff:138	0x8507f:je:1;0x850d9:je:1
258	0xadf2c	9273c2ebf377ada8	3418	3418	100.0	3418	100.0	ok:3418	172@0x9b68a:366,176@0x9c10b:328,157@0x98a9a:323,297@0xb64d7:222,199@0xa0631:171,18@0x7be9b:110,333@0xbd8af:108,66@0x855ff:106	0xadf51:je:0;0xadfe1:je:1
174	0x9bd8f	1d005b75b3304463	3318	3318	100.0	3318	100.0	ok:3318	114@0x90319:446,258@0xadf2c:409,199@0xa0631:294,28@0x7e390:254,347@0xc088d:241,307@0xb8064:189,185@0x9d964:184,189@0x9e7af:173	0x9bf10:jne:1
189	0x9e7af	8589bd83a0e8cea0	3116	3116	100.0	3116	100.0	ok:3116	43@0x8173d:519,18@0x7be9b:194,28@0x7e390:162,161@0x9975a:147,174@0x9bd8f:123,215@0xa4609:88,199@0xa0631:87,185@0x9d964:79	0x9e84f:je:1;0x9e880:je:0;0x9e8d1:je:0
184	0x9d694	e4bc9d81d7bb0910	3100	3100	100.0	3100	100.0	ok:3100	28@0x7e390:471,66@0x855ff:426,337@0xbec0e:394,340@0xbf435:250,64@0x85059:182,114@0x90319:161,18@0x7be9b:159,347@0xc088d:125	0x9d710:jne:1
28	0x7e390	9b3b818dc141b14f	3051	3051	100.0	3051	100.0	ok:3051	189@0x9e7af:460,347@0xc088d:455,168@0x9aa83:264,287@0xb45d2:263,258@0xadf2c:163,64@0x85059:140,123@0x91a59:127,174@0x9bd8f:124	0x7e549:je:1;0x7e584:je:1;0x7e5dc:je:0;0x7e604:je:0
28	0x7e390	e0fd2755e33377c7	2924	2924	100.0	2924	100.0	ok:2924	347@0xc088d:387,20@0x7c62b:279,340@0xbf435:158,114@0x90319:151,258@0xadf2c:142,189@0x9e7af:138,158@0x99029:111,43@0x8173d:96	0x7e549:je:0;0x7e584:je:0;0x7e5dc:je:0;0x7e604:je:0
215	0xa4609	93bcd881b4003839	2838	2838	100.0	2838	100.0	ok:2838	189@0x9e7af:389,258@0xadf2c:312,347@0xc088d:305,123@0x91a59:290,301@0xb708d:262,300@0xb6c36:256,337@0xbec0e:163,176@0x9c10b:95	0xa4667:je:0;0xa46a3:je:0;0xa4746:je:0;0xa47d6:je:1
114	0x90319	6d97aa419b6e45b1	2743	2743	100.0	2743	100.0	ok:2743	199@0xa0631:369,268@0xb0007:291,37@0x80685:234,66@0x855ff:136,18@0x7be9b:133,185@0x9d964:122,215@0xa4609:115,297@0xb64d7:108	0x90334:je:0;0x903d9:je:1;0x904a4:je:1;0x904ed:je:1;0x9052b:je:1
64	0x85059	4db1c9febad343e7	2740	2740	100.0	2740	100.0	ok:2740	28@0x7e390:351,215@0xa4609:189,161@0x9975a:139,43@0x8173d:139,184@0x9d694:136,243@0xaab6a:113,18@0x7be9b:93,157@0x98a9a:92	0x8507f:je:0;0x850d9:je:1
