program	path	entrypoint	start	end	size	blocks	ir_rows	mba_cases	mba_ready_cases	mba_missing_cases	row_kind_mix	edge_kind_mix	mba_edge_kind_mix	state_ir_mix	byte_status_mix	top_source_entries	top_target_entries	primary_trace_rows	primary_trace_unique_ips	primary_trace_kind_mix	top_primary_trace_sources	top_primary_trace_targets	state_inlined	state_summarized	state_preserved	concrete_next_entry	decoded_long_control	folded_internal_edges	folded_hidden_span_edges	folded_external_edges	string_ref_count	strings	status	semantic_gap	next_action
000	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_000.c	vm_program_atlas_000_decompiled_folded	0xd0ac0	0xd1445	0x985	7	633	7	7	0	exact_instruction:631,long_branch_forward:1,long_branch_backedge:1	covered_synthetic_fallthrough:4,decoded_control:2,fallthrough:1	covered_synthetic_fallthrough:4,decoded_control:2,fallthrough:1	state_add_const:562,state_mixed:47,state_const_post:19,state_preserve:3,sampled_long_or_sparse:1,sampled_backedge:1	exact:631,prefix_32_of_574:1:1,backedge_sample:4:1	18:39,347:26,337:25,340:23,258:22,114:21,66:21,185:21	18:39,347:26,337:25,340:23,258:22,114:21,185:21,66:20	1086	633	tail:1086	18:72,347:47,64:43,114:40,66:37,297:37,189:37,28:34	18:72,347:47,64:43,114:40,297:37,189:37,28:34,337:34	628	0	5	631	2	3	3	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
001	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_001.c	vm_program_atlas_001_decompiled_folded	0xd3fac	0xd4581	0x5d5	3	380	3	3	0	exact_instruction:379,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_add_const:335,state_mixed:31,state_const_post:11,state_preserve:2,sampled_long_or_sparse:1	exact:379,prefix_32_of_525:1:1	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	380	380	tail:380	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	377	0	3	379	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
002	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_002.c	vm_program_atlas_002_decompiled_folded	0xd476e	0xd57f4	0x1086	8	1080	8	8	0	exact_instruction:1079,long_branch_forward:1	covered_synthetic_fallthrough:7,decoded_control:1	covered_synthetic_fallthrough:7,decoded_control:1	state_add_const:957,state_mixed:90,state_const_post:26,state_preserve:6,sampled_backedge:1	exact:1079,prefix_32_of_574:1:1	28:51,18:47,64:46,114:44,340:43,189:43,337:42,307:39	28:51,18:47,64:46,114:44,340:43,189:43,337:42,307:39	1080	1080	tail:1080	28:51,18:47,64:46,114:44,340:43,189:43,337:42,307:39	28:51,18:47,64:46,114:44,340:43,189:43,337:42,307:39	1076	0	4	1079	1	0	7	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
003	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_003.c	vm_program_atlas_003_decompiled_folded	0xd5a12	0xd5ebc	0x4aa	3	313	3	3	0	exact_instruction:313	covered_synthetic_fallthrough:3	covered_synthetic_fallthrough:3	state_add_const:276,state_mixed:26,state_const_post:11	exact:313	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	313	313	tail:313	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	313	0	0	313	0	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
004	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_004.c	vm_program_atlas_004_decompiled_folded	0xd718e	0xd790a	0x77c	4	489	4	4	0	exact_instruction:488,long_branch_forward:1	covered_synthetic_fallthrough:3,decoded_control:1	covered_synthetic_fallthrough:3,decoded_control:1	state_add_const:434,state_mixed:39,state_const_post:12,state_preserve:3,sampled_backedge:1	exact:488,prefix_32_of_10917:1:1	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	489	489	tail:489	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	485	0	4	488	1	0	3	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
005	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_005.c	vm_program_atlas_005_decompiled_folded	0xda38f	0xda607	0x278	2	157	2	2	0	exact_instruction:156,long_branch_forward:1	covered_synthetic_fallthrough:1,decoded_control:1	covered_synthetic_fallthrough:1,decoded_control:1	state_add_const:138,state_mixed:12,state_const_post:5,state_preserve:1,sampled_long_or_sparse:1	exact:156,prefix_32_of_1648:1:1	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	157	157	tail:157	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	155	0	2	156	1	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
006	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_006.c	vm_program_atlas_006_decompiled_folded	0xdac57	0xdaf39	0x2e2	2	194	2	2	0	exact_instruction:194	covered_synthetic_fallthrough:2	covered_synthetic_fallthrough:2	state_add_const:172,state_mixed:19,state_const_post:3	exact:194	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	194	194	tail:194	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	194	0	0	194	0	0	1	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
007	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_007.c	vm_program_atlas_007_decompiled_folded	0x11ac5e	0x11bbf4	0xf96	8	1024	8	8	0	exact_instruction:1023,long_branch_forward:1	covered_synthetic_fallthrough:7,decoded_control:1	covered_synthetic_fallthrough:7,decoded_control:1	state_add_const:905,state_mixed:93,state_const_post:22,state_preserve:3,exact:1	exact:1023,prefix_32_of_84:1:1	337:48,340:43,189:39,66:36,18:35,114:33,185:33,347:32	337:48,340:43,189:39,66:36,18:35,114:33,185:33,347:32	1024	1024	tail:1024	337:48,340:43,189:39,66:36,18:35,114:33,185:33,347:32	337:48,340:43,189:39,66:36,18:35,114:33,185:33,347:32	1020	0	4	1023	1	0	7	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
008	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_008.c	vm_program_atlas_008_decompiled_folded	0x11bc28	0x11bf29	0x301	3	188	3	3	0	exact_instruction:187,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_add_const:173,state_mixed:9,state_const_post:5,sampled_backedge:1	exact:187,prefix_32_of_84:1:1	66:9,114:8,64:7,215:7,258:7,28:7,347:7,123:7	66:9,114:8,64:7,215:7,258:7,28:7,347:7,123:7	188	188	tail:188	66:9,114:8,64:7,215:7,258:7,28:7,347:7,123:7	66:9,114:8,64:7,215:7,258:7,28:7,347:7,123:7	187	0	1	187	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
009	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_009.c	vm_program_atlas_009_decompiled_folded	0x11bf5d	0x11c276	0x319	3	194	3	3	0	exact_instruction:193,long_branch_forward:1	covered_synthetic_fallthrough:2,decoded_control:1	covered_synthetic_fallthrough:2,decoded_control:1	state_add_const:169,state_mixed:16,state_const_post:6,state_preserve:2,sampled_backedge:1	exact:193,prefix_32_of_84:1:1	18:9,347:8,64:8,340:7,333:7,66:7,307:7,297:6	347:8,64:8,18:8,340:7,333:7,66:7,307:7,297:6	194	194	tail:194	18:9,347:8,64:8,340:7,333:7,66:7,307:7,297:6	347:8,64:8,18:8,340:7,333:7,66:7,307:7,297:6	192	0	2	193	1	0	2	1	0		mechanical_vm_semantics_folded;cross_program_or_hidden_span_edges	semantic_intent_unknown;cross_program_control_context_needs_callgraph	name repeated VM idioms from handler/state formulas;stitch external edges into whole-program control graph
