source_block	source_start_vm_ip	source_terminal_vm_ip	target_block	target_vm_ip	edge_kind	target_coverage_statuses	events	terminal_kind	source_entry	target_entry	delta	semantic_ir
0	0xd0ac0	0xd0c5d	1	0xd0c5f	fallthrough		1	exact_instruction	144	354	+0x2	next = 354@0xc2241:1, ip += +0x2; dispatch_model=static_100; state=state_mixed
1	0xd0c5f	0xd0c75	4	0xd0eb3	decoded_control		1	long_branch_forward	246	354	+0x23e	next = table[354], ip += 0x23e
2	0xd0c86	0xd0d3f		0xd0d43	covered_synthetic_fallthrough	hidden_span_of_14:4	4	exact_instruction	174	264	+0x4	next = 264@0xaf4cf:4, ip += +0x4; dispatch_model=static_100; state=state_add_const
3	0xd0d51	0xd0eab	1	0xd0c5f	decoded_control		4	long_branch_backedge	302	354	-0x24c	next = table[354], ip -= 0x24c
4	0xd0eb3	0xd0ffe		0xd1002	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	174	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
5	0xd1010	0xd1280		0xd1284	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
6	0xd1292	0xd1441		0xd1445	covered_synthetic_fallthrough	target_footprint_of_6:1	1	exact_instruction	158	175	+0x4	next = 175@0x9c08f:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
7	0xd3fac	0xd4207		0xd420b	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	174	321	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
8	0xd421c	0xd43cb		0xd43cf	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	176	80	+0x4	next = 80@0x88a58:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
9	0xd43e0	0xd4561	10	0xd476e	decoded_control		1	long_branch_forward	334	354	+0x20d	next = table[354], ip += 0x20d
10	0xd476e	0xd4885		0xd4889	covered_synthetic_fallthrough	frontier_span_of_14:1	1	exact_instruction	161	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
11	0xd4897	0xd4a7f		0xd4a83	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	158	278	+0x4	next = 278@0xb2342:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
12	0xd4a91	0xd4be6		0xd4beb	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	125	316	+0x5	next = 316@0xb987b:1, ip += +0x5; dispatch_model=static_100; state=state_add_const
13	0xd4bfc	0xd4cb5		0xd4cb9	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	174	311	+0x4	next = 311@0xb86f8:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
14	0xd4cc7	0xd5040		0xd5044	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	158	69	+0x4	next = 69@0x85f24:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
15	0xd5055	0xd521a		0xd521e	covered_synthetic_fallthrough	hidden_span_of_17:1	1	exact_instruction	158	321	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
16	0xd522f	0xd563d		0xd5641	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	123	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
17	0xd564f	0xd57d4	18	0xd5a12	decoded_control		1	long_branch_forward	75	354	+0x23e	next = table[354], ip += 0x23e
18	0xd5a12	0xd5b13		0xd5b17	covered_synthetic_fallthrough	hidden_span_of_14:1	1	exact_instruction	176	264	+0x4	next = 264@0xaf4cf:1, ip += +0x4; dispatch_model=static_100; state=state_add_const
