block	start_vm_ip	byte_end_min	terminal_vm_ip	terminal_target_vm_ip	successor_block	successor_vm_ip	edge_kind	row_count	exact_rows	decoded_rows	events	terminal_events	source_entries	target_entries	target_coverage_statuses	row_kinds	state_classes	provenance	leader_reasons	terminal_kind	terminal_source_entry	terminal_target_entry	terminal_delta	terminal_semantic_ir	source_block
0	0xd0ac0	0xd0c5f	0xd0c5d	0xd0c5f	1	0xd0c5f	fallthrough	110	110	0	110	1	43:7,347:6,64:5,18:5,28:4,315:4,185:4,268:3	43:7,347:6,64:5,18:5,28:4,315:4,185:4,268:3		exact_instruction:110	state_add_const:95,state_mixed:10,state_const_post:3,state_preserve:2	vm_instruction_lift:110	first_recovered_row:1	exact_instruction	144	354	+0x2	next = 354@0xc2241:1, ip += +0x2; dispatch_model=static_100; state=state_mixed	0@0xd0ac0-0xd144b+0x0
1	0xd0c5f	0xd0c80	0xd0c75	0xd0eb3	4	0xd0eb3	decoded_control	7	6	1	31	1	354:1,168:1,114:1,273:1,66:1,122:1,246:1	168:1,114:1,273:1,66:1,122:1,246:1,354:1		exact_instruction:6,long_branch_forward:1	state_add_const:5,state_const_post:1,sampled_long_or_sparse:1	vm_instruction_lift:6,long_branch:1	synthetic_successor_target:backedge_sample:4,long_branch_backedge_target:4	long_branch_forward	246	354	+0x23e	next = table[354], ip += 0x23e	0@0xd0ac0-0xd144b+0x19f
2	0xd0c86	0xd0d43	0xd0d3f	0xd0d43		0xd0d43	covered_synthetic_fallthrough	51	51	0	204	4	114:5,158:5,174:4,307:4,66:3,184:3,18:3,64:3	114:5,158:5,174:4,307:4,184:3,18:3,64:3,123:3	hidden_span_of_14:4	exact_instruction:51	state_add_const:49,state_mixed:2	vm_instruction_lift:51	synthetic_successor_target:hidden_span_of_17:4,after_decoded_control:1,address_gap_or_jump_target:1	exact_instruction	174	264	+0x4	next = 264@0xaf4cf:4, ip += +0x4; dispatch_model=static_100; state=state_add_const	0@0xd0ac0-0xd144b+0x1c6
3	0xd0d51	0xd0eb3	0xd0eab	0xd0c5f	1	0xd0c5f	decoded_control	92	91	1	368	4	18:8,189:5,64:5,347:4,28:4,268:4,196:3,33:3	18:8,189:5,64:5,347:4,28:4,268:4,196:3,33:3		exact_instruction:91,long_branch_backedge:1	state_add_const:78,state_mixed:10,state_const_post:3,sampled_backedge:1	vm_instruction_lift:91,long_branch:1	synthetic_successor_target:hidden_span_of_14:4,after_unrecovered_gap:1,address_gap_or_jump_target:1	long_branch_backedge	302	354	-0x24c	next = table[354], ip -= 0x24c	0@0xd0ac0-0xd144b+0x291
4	0xd0eb3	0xd1002	0xd0ffe	0xd1002		0xd1002	covered_synthetic_fallthrough	90	90	0	90	1	337:8,18:7,20:5,43:4,347:4,66:4,184:4,297:4	337:8,18:7,20:5,43:4,347:4,66:4,184:4,297:4	frontier_span_of_14:1	exact_instruction:90	state_add_const:81,state_mixed:8,state_const_post:1	vm_instruction_lift:90	synthetic_successor_target:file_span_of_574:1,long_branch_forward_target:1,after_decoded_control:1,address_gap_or_jump_target:1	exact_instruction	174	95	+0x4	next = 95@0x8c41c:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0@0xd0ac0-0xd144b+0x3f3
5	0xd1010	0xd1284	0xd1280	0xd1284		0xd1284	covered_synthetic_fallthrough	167	167	0	167	1	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	frontier_span_of_14:1	exact_instruction:167	state_add_const:149,state_const_post:9,state_mixed:9	vm_instruction_lift:167	synthetic_successor_target:frontier_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	176	356	+0x4	next = 356@0xc291a:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0@0xd0ac0-0xd144b+0x550
6	0xd1292	0xd1445	0xd1441	0xd1445		0xd1445	covered_synthetic_fallthrough	116	116	0	116	1	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	target_footprint_of_6:1	exact_instruction:116	state_add_const:105,state_mixed:8,state_const_post:2,state_preserve:1	vm_instruction_lift:116	synthetic_successor_target:frontier_span_of_14:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	158	175	+0x4	next = 175@0x9c08f:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	0@0xd0ac0-0xd144b+0x7d2
7	0xd3fac	0xd420b	0xd4207	0xd420b		0xd420b	covered_synthetic_fallthrough	161	161	0	161	1	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	hidden_span_of_17:1	exact_instruction:161	state_add_const:140,state_mixed:16,state_const_post:4,state_preserve:1	vm_instruction_lift:161	after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	174	321	+0x4	next = 321@0xbb1dd:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x0
8	0xd421c	0xd43cf	0xd43cb	0xd43cf		0xd43cf	covered_synthetic_fallthrough	116	116	0	116	1	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	hidden_span_of_17:1	exact_instruction:116	state_add_const:105,state_mixed:8,state_const_post:2,state_preserve:1	vm_instruction_lift:116	synthetic_successor_target:hidden_span_of_17:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	exact_instruction	176	80	+0x4	next = 80@0x88a58:1, ip += +0x4; dispatch_model=static_100; state=state_add_const	1@0xd3fac-0xd5ec2+0x270
9	0xd43e0	0xd456c	0xd4561	0xd476e	10	0xd476e	decoded_control	103	102	1	103	1	168:7,337:6,18:6,199:4,33:4,64:4,307:4,333:4	168:7,337:6,18:6,199:4,33:4,64:4,307:4,333:4		exact_instruction:102,long_branch_forward:1	state_add_const:90,state_mixed:7,state_const_post:5,sampled_long_or_sparse:1	vm_instruction_lift:102,long_branch:1	synthetic_successor_target:hidden_span_of_17:1,after_unrecovered_gap:1,address_gap_or_jump_target:1	long_branch_forward	334	354	+0x20d	next = table[354], ip += 0x20d	1@0xd3fac-0xd5ec2+0x434
