source_block	source_range	target_block	target_range	class	events	unique_start_ips	top_sources	top_targets	top_deltas	byte_statuses
219	0x3129aa-0x3157e1	219	0x3129aa-0x3157e1	intra_block	283374	3114	258:11375,337:11102,28:10920,114:10283,18:10283,189:10101,64:9919,340:9646	258:11375,337:11102,28:10920,114:10283,18:10283,189:10101,64:9919,340:9646	+0x4:182182,+0x3:71526,+0x5:10920,+0x2:10465,+0x6:6370,+0xa:1911	exact:283374
218	0x310dca-0x31297d	218	0x310dca-0x31297d	intra_block	169533	1863	337:6825,340:6370,185:6006,307:6006,114:5915,28:5915,258:5824,64:5824	337:6825,340:6370,185:6006,307:6006,114:5915,28:5915,258:5824,64:5824	+0x4:107926,+0x3:41951,+0x5:7280,+0x2:7007,+0x6:4277,+0xa:1001,+0xd:91	exact:169533
163	0x230122-0x2303ae	163	0x230122-0x2303ae	intra_block	44288	173	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	196:1792,258:1792,189:1792,168:1536,347:1536,215:1536,114:1280,199:1280	+0x4:24576,+0x3:8960,+0x5:5632,+0x2:4608,+0x6:512	exact:44288
220	0x31580e-0x315cc0	220	0x31580e-0x315cc0	intra_block	28756	316	340:1638,297:1365,258:1274,189:1183,18:1183,64:1092,157:1001,185:1001	340:1638,297:1365,258:1274,189:1183,18:1183,64:1092,157:1001,185:1001	+0x4:18200,+0x3:7098,+0x2:1365,+0x5:1183,+0x6:728,+0xa:182	exact:28756
162	0x22ffc2-0x230111	162	0x22ffc2-0x230111	intra_block	20235	90	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	66:1280,114:1024,307:1024,347:1024,28:1024,258:1024,337:768,340:768	+0x4:11525,+0x3:5378,+0x5:1538,+0x2:1538,+0x6:256	exact:20235
167	0x230e18-0x231217	167	0x230e18-0x231217	intra_block	17536	274	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	157:768,43:640,258:640,66:576,347:512,18:512,172:512,337:448	+0x4:8960,+0x3:3520,+0x5:2688,+0x2:2176,+0x6:192	exact:17536
217	0x30fd95-0x310dba	217	0x30fd95-0x310dba	intra_block	17103	1087	307:938,114:774,340:765,189:679,337:679,66:669,215:664,168:657	307:938,114:774,340:765,189:679,337:679,66:669,215:664,168:657	+0x4:10672,+0x3:4078,+0x2:974,+0x5:889,+0x6:393,+0xa:97	exact:17103
165	0x230722-0x230b1b	165	0x230722-0x230b1b	intra_block	12545	268	347:646,337:644,297:516,185:516,64:454,215:453,28:453,161:453	347:646,337:644,297:516,185:516,64:454,215:453,28:453,161:453	+0x4:6679,+0x3:3170,+0x5:1283,+0x2:1027,+0x6:322,+0xd:64	exact:12545
166	0x230b2c-0x230e07	166	0x230b2c-0x230e07	intra_block	12416	194	307:576,114:576,258:512,28:448,66:448,347:448,189:384,18:384	307:576,114:576,258:512,28:448,66:448,347:448,189:384,18:384	+0x4:7232,+0x3:2944,+0x5:1088,+0x2:896,+0x6:256	exact:12416
435	0x370f18-0x371477	435	0x370f18-0x371477	intra_block	11050	352	198:400,66:375,28:350,340:350,168:325,185:325,140:325,199:300	198:400,66:375,28:350,340:350,168:325,185:325,140:325,199:300	+0x4:4775,+0x3:1925,+0x5:1875,+0x2:1525,+0x6:950	exact:11050
