block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
0	0xd0ac0	0xd1445	0x985	1096	636	95	18:72,347:47,64:43,114:40,66:37,297:37,189:37,28:34	18:72,347:47,64:43,114:40,66:37,297:37,189:37,28:34	+0x4:676,+0x3:272,+0x5:55,+0x2:50,+0x6:28,+0xe:6,+0x11:4,-0x24c:4	exact:1081,hidden_span_of_17:4,hidden_span_of_14:4,backedge_sample:4,frontier_span_of_14:2,file_span_of_574:1
1	0xd3fac	0xd5ebc	0x1f10	1784	1784	114	28:82,64:76,18:73,189:71,114:70,347:67,340:62,337:61	28:82,64:76,18:73,189:71,114:70,347:67,340:62,337:61	+0x4:1141,+0x3:470,+0x5:62,+0x2:54,+0x6:40,+0xe:6,+0x11:5,+0xd:4	exact:1771,hidden_span_of_17:5,hidden_span_of_14:5,file_span_of_525:1,frontier_span_of_14:1,file_span_of_574:1
2	0xd718e	0xd790a	0x77c	492	492	77	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	+0x4:323,+0x3:125,+0x5:16,+0x2:13,+0x6:11,+0xe:2,+0x11:1,+0x2aa5:1	exact:488,hidden_span_of_14:2,hidden_span_of_17:1,prefix_32_of_10917:1
3	0xda38f	0xda607	0x278	158	158	58	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	+0x4:99,+0x3:39,+0x2:7,+0x5:7,+0x6:4,+0xe:1,+0x670:1	exact:156,hidden_span_of_14:1,prefix_32_of_1648:1
4	0xdac57	0xdaf39	0x2e2	195	195	56	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	+0x4:126,+0x3:53,+0x2:6,+0x5:5,+0x6:4,+0xe:1	exact:194,hidden_span_of_14:1
5	0x11ac5e	0x11f4da	0x487c	4575	4575	124	337:173,347:167,114:167,340:160,18:155,28:151,189:149,66:147	337:173,347:167,114:167,340:160,18:155,28:151,189:149,66:147	+0x4:2812,+0x3:1109,+0x5:265,+0x2:227,+0x6:121,+0xe:23,+0x11:5,+0x54:3	exact:4534,hidden_span_of_14:21,hidden_span_of_17:5,file_span_of_84:3,frontier_span_of_14:2,hidden_span_of_16:2,prefix_32_of_2234224:1,prefix_32_of_2369210:1
6	0x1209d2	0x122e3c	0x246a	1938	1938	117	18:80,114:77,189:73,258:71,28:70,340:69,347:62,307:59	18:80,114:77,189:73,258:71,28:70,340:69,347:62,307:59	+0x4:1164,+0x3:471,+0x5:121,+0x2:103,+0x6:59,+0xe:11,+0x77:3,+0x11:2	exact:1919,frontier_span_of_14:7,hidden_span_of_14:4,file_span_of_119:3,hidden_span_of_17:2,file_span_of_568:1,file_span_of_47:1,file_span_of_896:1
7	0x128952	0x12906f	0x71d	479	479	84	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	+0x4:302,+0x3:118,+0x5:23,+0x2:22,+0x6:12,+0xe:2	exact:477,frontier_span_of_14:2
8	0x1705a9	0x17452e	0x3f85	4255	4255	100	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	+0x4:2647,+0x3:1040,+0x5:219,+0x2:209,+0x6:115,+0xe:25	exact:4230,hidden_span_of_14:13,frontier_span_of_14:12
9	0x176883	0x177ca2	0x141f	1314	1314	114	28:58,307:53,64:52,337:47,114:45,340:44,258:42,189:41	28:58,307:53,64:52,337:47,114:45,340:44,258:42,189:41	+0x4:797,+0x3:312,+0x5:84,+0x2:73,+0x6:38,+0xe:7,+0x57:1,+0x10:1	exact:1304,hidden_span_of_14:7,file_span_of_87:1,hidden_span_of_16:1,prefix_32_of_8897:1
