block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
0	0xd0ac0	0xd1002	0x542	811	351	83	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	+0x4:494,+0x3:199,+0x5:43,+0x2:40,+0x6:22,+0x11:4,+0xe:4,-0x24c:4	exact:798,hidden_span_of_17:4,hidden_span_of_14:4,backedge_sample:4,file_span_of_574:1
1	0xd1010	0xd1284	0x274	167	167	59	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	exact:167
2	0xd1292	0xd1445	0x1b3	116	116	37	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
3	0xd3fac	0xd4889	0x8dd	459	459	84	114:21,340:20,64:20,215:18,28:18,18:17,337:16,297:15	114:21,340:20,64:20,215:18,28:18,18:17,337:16,297:15	+0x4:288,+0x3:116,+0x5:22,+0x2:20,+0x6:10,+0x11:2,+0x20d:1	exact:456,hidden_span_of_17:2,file_span_of_525:1
4	0xd4897	0xd5ebc	0x1625	1324	1324	102	28:64,189:59,347:57,64:56,18:56,114:49,66:48,337:45	28:64,189:59,347:57,64:56,18:56,114:49,66:48,337:45	+0x4:853,+0x3:354,+0x5:40,+0x2:34,+0x6:30,+0xe:5,+0xd:4,+0x11:3	exact:1315,hidden_span_of_14:5,hidden_span_of_17:3,file_span_of_574:1
5	0xd718e	0xd790a	0x77c	492	492	77	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	+0x4:323,+0x3:125,+0x5:16,+0x2:13,+0x6:11,+0xe:2,+0x11:1,+0x2aa5:1	exact:488,hidden_span_of_14:2,hidden_span_of_17:1,prefix_32_of_10917:1
6	0xda38f	0xda607	0x278	158	158	58	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	+0x4:99,+0x3:39,+0x2:7,+0x5:7,+0x6:4,+0xe:1,+0x670:1	exact:156,hidden_span_of_14:1,prefix_32_of_1648:1
7	0xdac57	0xdaf39	0x2e2	195	195	56	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	+0x4:126,+0x3:53,+0x2:6,+0x5:5,+0x6:4,+0xe:1	exact:194,hidden_span_of_14:1
8	0x11ac5e	0x11d6a2	0x2a44	2757	2757	115	337:104,114:100,340:94,347:93,18:93,66:93,258:90,189:89	337:104,114:100,340:94,347:93,18:93,66:93,258:90,189:89	+0x4:1677,+0x3:662,+0x5:169,+0x2:150,+0x6:78,+0xe:15,+0x11:3,+0x54:3	exact:2736,hidden_span_of_14:15,hidden_span_of_17:3,file_span_of_84:3
9	0x11d6b0	0x11d91b	0x26b	164	164	63	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	+0x4:100,+0x3:41,+0x5:10,+0x2:8,+0x6:5	exact:164
10	0x11d929	0x11f4da	0x1bb1	1652	1652	109	347:65,337:65,340:60,114:59,189:56,18:56,64:55,28:55	347:65,337:65,340:60,114:59,189:56,18:56,64:55,28:55	+0x4:1035,+0x3:406,+0x5:86,+0x2:69,+0x6:38,+0xe:6,+0x11:2,+0x10:2	exact:1634,hidden_span_of_14:6,hidden_span_of_17:2,hidden_span_of_16:2,prefix_32_of_2234224:1,prefix_32_of_2369210:1,hidden_span_of_19:1,file_span_of_102:1
11	0x1209d2	0x120af4	0x122	78	78	38	114:6,258:5,18:5,28:4,174:4,184:4,176:4,297:3	114:6,258:5,18:5,28:4,174:4,184:4,176:4,297:3	+0x4:45,+0x3:21,+0x2:5,+0x5:5,+0x6:2	exact:78
