block	start	end	size	events	unique_start_ips	unique_sources	top_sources	top_targets	top_deltas	byte_statuses
0	0xd0ac0	0xd1002	0x542	811	351	83	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	+0x4:494,+0x3:199,+0x5:43,+0x2:40,+0x6:22,+0x11:4,+0xe:4,-0x24c:4	exact:798,hidden_span_of_17:4,hidden_span_of_14:4,backedge_sample:4,prefix_32_of_574:1
1	0xd1010	0xd1284	0x274	167	167	59	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	exact:167
2	0xd1292	0xd1445	0x1b3	116	116	37	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	exact:116
3	0xd3fac	0xd4581	0x5d5	382	382	81	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	+0x4:242,+0x3:95,+0x5:18,+0x2:15,+0x6:9,+0x11:2,+0x20d:1	exact:379,hidden_span_of_17:2,prefix_32_of_525:1
4	0xd476e	0xd4889	0x11b	77	77	31	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:1	exact:77
5	0xd4897	0xd57f4	0xf5d	1009	1009	95	28:48,18:44,64:43,189:43,114:42,307:39,337:37,340:36	28:48,18:44,64:43,189:43,114:42,307:39,337:37,340:36	+0x4:645,+0x3:268,+0x5:34,+0x2:26,+0x6:25,+0xd:4,+0xe:3,+0x11:3	exact:1002,hidden_span_of_14:3,hidden_span_of_17:3,prefix_32_of_574:1
6	0xd5a12	0xd5ebc	0x4aa	315	315	60	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	+0x4:208,+0x3:86,+0x2:8,+0x5:6,+0x6:5,+0xe:2	exact:313,hidden_span_of_14:2
7	0xd718e	0xd790a	0x77c	492	492	77	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	+0x4:323,+0x3:125,+0x5:16,+0x2:13,+0x6:11,+0xe:2,+0x11:1,+0x2aa5:1	exact:488,hidden_span_of_14:2,hidden_span_of_17:1,prefix_32_of_10917:1
8	0xda38f	0xda607	0x278	158	158	58	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	+0x4:99,+0x3:39,+0x2:7,+0x5:7,+0x6:4,+0xe:1,+0x670:1	exact:156,hidden_span_of_14:1,prefix_32_of_1648:1
9	0xdac57	0xdaf39	0x2e2	195	195	56	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	+0x4:126,+0x3:53,+0x2:6,+0x5:5,+0x6:4,+0xe:1	exact:194,hidden_span_of_14:1
