kind	source_entry	source_target	target_entry	target	delta	events	unique_start_ips	unique_end_ips	source_blocks	target_blocks	source_sites	target_sites	missing_start_ips	missing_end_ips	byte_statuses	operand_min_len	operand_shape	lifted_ir
long_branch_backedge	75	0x873fc	171	0x9b4b3	-0x6d	255	1	1	14@0x22fe2d-0x2304be:1	14@0x22fe2d-0x2304be:1	14@0x22fe2d-0x2304be+0x184:1	14@0x22fe2d-0x2304be+0x117:1	0	0	backedge_sample:255	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[171], ip -= 0x6d
long_branch_backedge	316	0xb987b	165	0x9a24c	-0x3c4	255	1	1	14@0x22fe2d-0x2304be:1	14@0x22fe2d-0x2304be:1	14@0x22fe2d-0x2304be+0x581:1	14@0x22fe2d-0x2304be+0x1bd:1	0	0	backedge_sample:255	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip -= 0x3c4
long_branch_backedge	266	0xaf8af	354	0xc2241	-0x2e8	125	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x2a38:1	36@0x36ecdc-0x371ff7+0x2750:1	0	0	backedge_sample:125	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x2e8
long_branch_forward	145	0x95b5c	354	0xc2241	+0x139	125	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x28b2:1	36@0x36ecdc-0x371ff7+0x29eb:1	0	0	prefix_32_of_313:125	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x139
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x51a4	91	1	1	25@0x30e872-0x316692:1	25@0x30e872-0x316692:1	25@0x30e872-0x316692+0x744e:1	25@0x30e872-0x316692+0x22aa:1	0	0	backedge_sample:91	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x51a4
long_branch_forward	316	0xb987b	171	0x9b4b3	+0x2d	91	1	1	25@0x30e872-0x316692:1	25@0x30e872-0x316692:1	25@0x30e872-0x316692+0x6f6f:1	25@0x30e872-0x316692+0x6f9c:1	0	0	prefix_32_of_45:91	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[171], ip += 0x2d
long_branch_forward	316	0xb987b	354	0xc2241	+0x2d	91	1	1	25@0x30e872-0x316692:1	25@0x30e872-0x316692:1	25@0x30e872-0x316692+0x410b:1	25@0x30e872-0x316692+0x4138:1	0	0	prefix_32_of_45:91	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x2d
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x9de	64	1	1	15@0x230722-0x231237:1	15@0x230722-0x231237:1	15@0x230722-0x231237+0xaf5:1	15@0x230722-0x231237+0x117:1	0	0	backedge_sample:64	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x9de
long_branch_backedge	117	0x90acd	354	0xc2241	-0x40	56	3	3	32@0x33f278-0x345572:2,35@0x36b124-0x36db0d:1	32@0x33f278-0x345572:2,35@0x36b124-0x36db0d:1	32@0x33f278-0x345572+0x490:1,32@0x33f278-0x345572+0x4cbc:1,35@0x36b124-0x36db0d+0x262:1	32@0x33f278-0x345572+0x450:1,32@0x33f278-0x345572+0x4c7c:1,35@0x36b124-0x36db0d+0x222:1	0	0	backedge_sample:56	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x40
long_branch_backedge	266	0xaf8af	171	0x9b4b3	-0x40	52	4	4	32@0x33f278-0x345572:3,26@0x31aa27-0x31f2b7:1	32@0x33f278-0x345572:3,26@0x31aa27-0x31f2b7:1	26@0x31aa27-0x31f2b7+0x1606:1,32@0x33f278-0x345572+0x1ccb:1,32@0x33f278-0x345572+0x27f5:1,32@0x33f278-0x345572+0x357d:1	26@0x31aa27-0x31f2b7+0x15c6:1,32@0x33f278-0x345572+0x1c8b:1,32@0x33f278-0x345572+0x27b5:1,32@0x33f278-0x345572+0x353d:1	0	0	backedge_sample:52	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x40
long_branch_backedge	302	0xb7586	171	0x9b4b3	-0x40	39	1	1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc+0x262:1	34@0x3674c3-0x36a0bc+0x222:1	0	0	backedge_sample:39	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x40
long_branch_backedge	117	0x90acd	165	0x9a24c	-0x40	27	2	2	25@0x30e872-0x316692:1,28@0x334a3d-0x337115:1	25@0x30e872-0x316692:1,28@0x334a3d-0x337115:1	25@0x30e872-0x316692+0x670:1,28@0x334a3d-0x337115+0x266:1	25@0x30e872-0x316692+0x630:1,28@0x334a3d-0x337115+0x226:1	0	0	backedge_sample:27	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x40
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x17ed	25	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x2d67:1	36@0x36ecdc-0x371ff7+0x157a:1	0	0	backedge_sample:25	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x17ed
long_branch_forward	246	0xab427	165	0x9a24c	+0x78	25	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x2a70:1	36@0x36ecdc-0x371ff7+0x2ae8:1	0	0	prefix_32_of_120:25	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0x78
long_branch_forward	302	0xb7586	171	0x9b4b3	+0x22	25	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x1a8c:1	36@0x36ecdc-0x371ff7+0x1aae:1	0	0	prefix_32_of_34:25	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip += 0x22
long_branch_forward	334	0xbdd18	354	0xc2241	+0x2a5	25	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x279b:1	36@0x36ecdc-0x371ff7+0x2a40:1	0	0	prefix_32_of_677:25	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[354], ip += 0x2a5
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x40	24	2	2	26@0x31aa27-0x31f2b7:1,27@0x33170b-0x333bcf:1	26@0x31aa27-0x31f2b7:1,27@0x33170b-0x333bcf:1	26@0x31aa27-0x31f2b7+0x91c:1,27@0x33170b-0x333bcf+0x262:1	26@0x31aa27-0x31f2b7+0x8dc:1,27@0x33170b-0x333bcf+0x222:1	0	0	backedge_sample:24	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x40
long_branch_backedge	302	0xb7586	165	0x9a24c	-0x40	22	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x262:1	36@0x36ecdc-0x371ff7+0x222:1	0	0	backedge_sample:22	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x40
long_branch_backedge	308	0xb837c	354	0xc2241	-0x40	10	1	1	32@0x33f278-0x345572:1	32@0x33f278-0x345572:1	32@0x33f278-0x345572+0xf43:1	32@0x33f278-0x345572+0xf03:1	0	0	backedge_sample:10	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x40
long_branch_backedge	308	0xb837c	171	0x9b4b3	-0x584	10	1	1	35@0x36b124-0x36db0d:1	35@0x36b124-0x36db0d:1	35@0x36b124-0x36db0d+0x9f2:1	35@0x36b124-0x36db0d+0x46e:1	0	0	backedge_sample:10	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x584
long_branch_backedge	117	0x90acd	165	0x9a24c	-0xbc1	9	1	1	31@0x33db28-0x33ea02:1	31@0x33db28-0x33ea02:1	31@0x33db28-0x33ea02+0xdae:1	31@0x33db28-0x33ea02+0x1ed:1	0	0	backedge_sample:9	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0xbc1
long_branch_backedge	302	0xb7586	165	0x9a24c	-0x55d	9	1	1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc:1	34@0x3674c3-0x36a0bc+0x9cb:1	34@0x3674c3-0x36a0bc+0x46e:1	0	0	backedge_sample:9	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x55d
long_branch_forward	75	0x873fc	165	0x9a24c	+0x60	9	1	1	31@0x33db28-0x33ea02:1	31@0x33db28-0x33ea02:1	31@0x33db28-0x33ea02+0xd01:1	31@0x33db28-0x33ea02+0xd61:1	0	0	prefix_32_of_96:9	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	next = table[165], ip += 0x60
long_branch_backedge	117	0x90acd	354	0xc2241	-0x584	6	2	2	27@0x33170b-0x333bcf:1,32@0x33f278-0x345572:1	27@0x33170b-0x333bcf:1,32@0x33f278-0x345572:1	27@0x33170b-0x333bcf+0x9f2:1,32@0x33f278-0x345572+0x16d3:1	27@0x33170b-0x333bcf+0x46e:1,32@0x33f278-0x345572+0x114f:1	0	0	backedge_sample:6	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x584
long_branch_backedge	117	0x90acd	165	0x9a24c	-0x55d	5	1	1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7:1	36@0x36ecdc-0x371ff7+0x9cb:1	36@0x36ecdc-0x371ff7+0x46e:1	0	0	backedge_sample:5	0x8	target_u32@+0,delta_u32@+4	next = table[165], ip -= 0x55d
long_branch_backedge	302	0xb7586	171	0x9b4b3	-0x2ce	5	2	2	32@0x33f278-0x345572:1,33@0x3603af-0x3655ea:1	32@0x33f278-0x345572:1,33@0x3603af-0x3655ea:1	32@0x33f278-0x345572+0x412d:1,33@0x3603af-0x3655ea+0x2bba:1	32@0x33f278-0x345572+0x3e5f:1,33@0x3603af-0x3655ea+0x28ec:1	0	0	backedge_sample:5	0x8	target_u32@+0,delta_u32@+4	next = table[171], ip -= 0x2ce
long_branch_backedge	308	0xb837c	354	0xc2241	-0x2ce	5	2	2	28@0x334a3d-0x337115:1,34@0x3674c3-0x36a0bc:1	28@0x334a3d-0x337115:1,34@0x3674c3-0x36a0bc:1	28@0x334a3d-0x337115+0xe16:1,34@0x3674c3-0x36a0bc+0xe12:1	28@0x334a3d-0x337115+0xb48:1,34@0x3674c3-0x36a0bc+0xb44:1	0	0	backedge_sample:5	0x8	target_u32@+0,delta_u32@+4	next = table[354], ip -= 0x2ce
