segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
0	0xd0ac0	0xd1445	0x985	1096	636	95	0	0	4ff19ec5f45c5753c2cc0b3515870b1416f5c3bbb34afa492726ff0d9fcd307a	18:72,347:47,64:43,114:40,66:37,297:37,189:37,28:34	18:72,347:47,64:43,114:40,66:37,297:37,189:37,28:34	+0x4:676,+0x3:272,+0x5:55,+0x2:50,+0x6:28,+0xe:6,+0x11:4,-0x24c:4	e801a5001c000002108252183bc9c31d9fe8012087d80a0013bdaf08df916797e801e1f3affb57c5404f320458d6d7569ee8016449ea189bc12cc43628001512	f934cef27587bce801900b3ba46f5a26b974e8010cfe2800fa0e84fab3e8016e88196c585caa8a74e801900327ed560a9ee8017ab5b1de8fda9325dbe8015db3
1	0xd3fac	0xd5ebc	0x1f10	1784	1784	114	0	0	91df424f23f82b4332791362dc8d25290718f3516da285e8526b22481313caf6	28:82,64:76,18:73,189:71,114:70,347:67,340:62,337:61	28:82,64:76,18:73,189:71,114:70,347:67,340:62,337:61	+0x4:1141,+0x3:470,+0x5:62,+0x2:54,+0x6:40,+0xe:6,+0x11:5,+0xd:4	6201e801290131cee56859a5d9900be2463aaee801a01a320411ab00b80ecc757d94e801700f4a0138101c6dc596fbe80111f8dba62e658b4adc8e25221be801	3a291adbdbe80132c0a1caeadb0df40b20cce801439b3a228e1bdbe801eb5a13013a78665ce7aa79e801e60832015d574870fbe80158833a1477c174b492e801
2	0xd718e	0xd790a	0x77c	492	492	77	0	0	ddaa2dad374bca66dc25473734d56dbc2cedb97f8ebf5c1b39a2e107f3be5b6a	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	+0x4:323,+0x3:125,+0x5:16,+0x2:13,+0x6:11,+0xe:2,+0x11:1,+0x2aa5:1	e801a500bd009900bcefdff2ba93c89900e801c0efd80a5b5f8b73018f91679780f8e8018d8d09f85801e8a28a0efeb615e801baa255c109f180a01f0c6b4a0e	c8e8013d01cd2de801e03e10f85fb2433a95305ebafa753f76fb017353a13d01ab000000a52a00003d01223ae7bda6db049b10e8010b126800d80dabd4fa6880
3	0xda38f	0xda607	0x278	158	158	58	0	0	f2d53db15b2c0ddfdb54bff8b9ea4d71a811460a72a772e25370c6caa50dde3b	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	+0x4:99,+0x3:39,+0x2:7,+0x5:7,+0x6:4,+0xe:1,+0x670:1	7200a2635bacc8e12308a51c2ac0e45399881de801a8a03d0100c7b783cb5debc47f600148047001f8f6e3a23a4ac2003d011f9b7f881cdf3ea5aab0b7680033	2fc2dc22ad27753d01e54968979b6f5621629e18d00a10fe8a22c03d01715c8da5000000700600003d012239625fb3fe196bb0e801ff822308e4540cd417e73c
4	0xdac57	0xdaf39	0x2e2	195	195	56	0	0	b36510d2b5e04c3d39da8f69c1b9425471ef58251d9531f910e02974b2af3b01	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	+0x4:126,+0x3:53,+0x2:6,+0x5:5,+0x6:4,+0xe:1	5b011937310983837e398b06e801d027aee757fed5003d01033003763d36316fb806e8045cbbc468000e8a6c031cfd003d0134eefc80b30062cfbe900015af18	2a1ae11b4ce801fedec43e2301e09a3a9295e8015ba33a7c914d54fba5e801e07289d0f00428e8014b99a0998ad070353a3090e80148039900ba75affa5ae801
5	0x11ac5e	0x11f4da	0x487c	4575	4575	124	0	0	380e8b5c9dc0649611e3daf652f6e13598a1bb08b836d8133138401aa9751ea9	337:173,347:167,114:167,340:160,18:155,28:151,189:149,66:147	337:173,347:167,114:167,340:160,18:155,28:151,189:149,66:147	+0x4:2812,+0x3:1109,+0x5:265,+0x2:227,+0x6:121,+0xe:23,+0x11:5,+0x54:3	ab00e801ac00b2afeb00348bde02f81356204ae801fd650d305c1144b198dce5ce94e8018bf889005245ad5386243b859ee8012006b0ad5454fe77f3dcc24296	0144cf3d01e801e801c2d01095f96bfe849575f3f7aeb300a8072730a63d014d62010000181500003d012283ce456b9aae1b143d9157e8015033b3007abdaeb2
6	0x1209d2	0x122e3c	0x246a	1938	1938	117	0	0	e873486a3eedebae0d9d65812c10567a9156602a3daa74b2c13a1067f3aeec65	18:80,114:77,189:73,258:71,28:70,340:69,347:62,307:59	18:80,114:77,189:73,258:71,28:70,340:69,347:62,307:59	+0x4:1164,+0x3:471,+0x5:121,+0x2:103,+0x6:59,+0xe:11,+0x77:3,+0x11:2	4c011cd75fcce80132fe77ea680037426800b52e426a433d010008067f9f647a62299031b6a8cbead258f8090e3d01fe2a00779b7217f4e790243a3ac5bc38d4	9cff95a8f5e8018520086f7925fb38e06237e8010565e49ca05236e801a8f6565d481c0a4d1ab012e80133ca2bfe800500e801a81fe24d5d9f8497ba6f97e801
7	0x128952	0x12906f	0x71d	479	479	84	0	0	d7aabe631d921e968f8fa4cdeb29c9591c66972fe46333fd397c1fdc688ec342	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	340:23,185:20,347:20,307:19,64:17,189:17,66:16,258:15	+0x4:302,+0x3:118,+0x5:23,+0x2:22,+0x6:12,+0xe:2	6201e8012b00257499001008e6dc726dd3e80184cdcc1aab004c55d30af8081360aee801a00a4b00228900e9cdcdd784ace8010641280054918fa05e85aa8e77	cf2a55c208e8011cda81ae85c814dba37baee801fac58658762ecae8018b167eb4d0f4bda5aee801f6d53a55b40c0eab00e801857ca33c7cf47c072af8ffe801
8	0x1705a9	0x17452e	0x3f85	4255	4255	100	0	0	80b2ab03b8dd74ecebcda412241538c7f567169e7cc1ef062fd8afa861be4c0a	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	18:167,337:163,189:157,258:155,64:150,347:147,114:136,66:135	+0x4:2647,+0x3:1040,+0x5:219,+0x2:209,+0x6:115,+0xe:25	ab00e801510138989900f7251a8621eb03e80111f8781bda2310946a3d7501a6e80129f64f91267a6dc65228348efee801e1f3a36143937bc6280045b93e9f0c	d7f50b5c1b27f3e8017a3e1d0ec700a5e801ae37024acc387c292ad899e8016839ae953d4d0ce801bf522ef03a645afa11f977e801f8babea0695f28fc07e801
9	0x176883	0x177ca2	0x141f	1314	1314	114	0	0	8cdca622f997f0bbbb231f2c027605f56a0f916da72dbb0440f27a02fd42b65c	28:58,307:53,64:52,337:47,114:45,340:44,258:42,189:41	28:58,307:53,64:52,337:47,114:45,340:44,258:42,189:41	+0x4:797,+0x3:312,+0x5:84,+0x2:73,+0x6:38,+0xe:7,+0x57:1,+0x10:1	ab00e8015b01d033620940059cdda4cdcfe8011cc9026c7d0a5e6629d56882ac70d6e8010b4f2ef0158900b6660eeedeace80102c49b4ee8047983c12800d690	16f43d0100af0112a8bcd0023abf1d9fef986d46012d75bd26f97da33d01379f62010000c1220000290131eee281d7cbb4025b3308be3b7b613319003d01582f
