segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
0	0xd0ac0	0xd1002	0x542	811	351	83	0	0	a236691971e5ba900732b0392cdac0f126fed3aa0851828c1946225eabe264f6	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	+0x4:494,+0x3:199,+0x5:43,+0x2:40,+0x6:22,+0x11:4,+0xe:4,-0x24c:4	e801a5001c000002108252183bc9c31d9fe8012087d80a0013bdaf08df916797e801e1f3affb57c5404f320458d6d7569ee8016449ea189bc12cc43628001512	3ffffb0f3be80179fe81c5f57c91295c6baae801a00aa44b052800c2f3e8011ade349a80056ce801784297ff00e0a00b46e8017d7681c565fc009febab96e801
1	0xd1010	0xd1284	0x274	167	167	59	0	0	fa67d21d20ead0f7720e0884bc9d8248a6c19dcb7be490c78023cd09c549e783	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	120058063adf9235b73c00de00e796e801e9af3ab152cd2c9880ab00e801e9f9d215b25a6c866c6ccf8cdb35a1e80102557b9d55a01eab5ef6d66d52e801ec8f	3254ae4701d8f5e801c13ef60317a82423fbe80184a334dac005f2fa1ae80173c03940388900e8018ae23c59ab001214449278e801d53db4e0748960e801821e
2	0xd1292	0xd1445	0x1b3	116	116	37	0	0	5106d1eb961d97bcab873679eefc8a9be087ab6024e8eb6dfb48aa6bb7cfbc9b	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	1c00680a1073e99900b7112617e801ca053f2dab00a00a9db822ab0062cae80103a78900f8051acea3349f32f2e801d9002cb2045e7fa4d71dd3c781e8011ebc	f934cef27587bce801900b3ba46f5a26b974e8010cfe2800fa0e84fab3e8016e88196c585caa8a74e801900327ed560a9ee8017ab5b1de8fda9325dbe8015db3
3	0xd3fac	0xd4889	0x8dd	459	459	84	0	0	6e6c6d33c6077ec1665d70d43c411976c1a5e66524af50ef9a9b71d3c2867346	114:21,340:20,64:20,215:18,28:18,18:17,337:16,297:15	114:21,340:20,64:20,215:18,28:18,18:17,337:16,297:15	+0x4:288,+0x3:116,+0x5:22,+0x2:20,+0x6:10,+0x11:2,+0x20d:1	6201e801290131cee56859a5d9900be2463aaee801a01a320411ab00b80ecc757d94e801700f4a0138101c6dc596fbe80111f8dba62e658b4adc8e25221be801	b663ef47e7e8015e5110088e566cd7dbae25e801880a461c959cb1e801ceb8370b3ac4f1caf476d8e801d0914d01d3043a0936e801acbc99000805ce8dd5e801
4	0xd4897	0xd5ebc	0x1625	1324	1324	102	0	0	f73607718984d0a752e71d7c90f5e8d88b63ac68b2d5ae55bdfec8cd5bcbf1e4	28:64,189:59,347:57,64:56,18:56,114:49,66:48,337:45	28:64,189:59,347:57,64:56,18:56,114:49,66:48,337:45	+0x4:853,+0x3:354,+0x5:40,+0x2:34,+0x6:30,+0xe:5,+0xd:4,+0x11:3	510188949900530c3a14689dd9d23ce801e08a3adc5f22ca72ecadd7c23ce801f248f95840059cc941a5d9d420e801638928005801bd808b54f73626e8015b6d	3a291adbdbe80132c0a1caeadb0df40b20cce801439b3a228e1bdbe801eb5a13013a78665ce7aa79e801e60832015d574870fbe80158833a1477c174b492e801
5	0xd718e	0xd790a	0x77c	492	492	77	0	0	ddaa2dad374bca66dc25473734d56dbc2cedb97f8ebf5c1b39a2e107f3be5b6a	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	+0x4:323,+0x3:125,+0x5:16,+0x2:13,+0x6:11,+0xe:2,+0x11:1,+0x2aa5:1	e801a500bd009900bcefdff2ba93c89900e801c0efd80a5b5f8b73018f91679780f8e8018d8d09f85801e8a28a0efeb615e801baa255c109f180a01f0c6b4a0e	c8e8013d01cd2de801e03e10f85fb2433a95305ebafa753f76fb017353a13d01ab000000a52a00003d01223ae7bda6db049b10e8010b126800d80dabd4fa6880
6	0xda38f	0xda607	0x278	158	158	58	0	0	f2d53db15b2c0ddfdb54bff8b9ea4d71a811460a72a772e25370c6caa50dde3b	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	+0x4:99,+0x3:39,+0x2:7,+0x5:7,+0x6:4,+0xe:1,+0x670:1	7200a2635bacc8e12308a51c2ac0e45399881de801a8a03d0100c7b783cb5debc47f600148047001f8f6e3a23a4ac2003d011f9b7f881cdf3ea5aab0b7680033	2fc2dc22ad27753d01e54968979b6f5621629e18d00a10fe8a22c03d01715c8da5000000700600003d012239625fb3fe196bb0e801ff822308e4540cd417e73c
7	0xdac57	0xdaf39	0x2e2	195	195	56	0	0	b36510d2b5e04c3d39da8f69c1b9425471ef58251d9531f910e02974b2af3b01	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	+0x4:126,+0x3:53,+0x2:6,+0x5:5,+0x6:4,+0xe:1	5b011937310983837e398b06e801d027aee757fed5003d01033003763d36316fb806e8045cbbc468000e8a6c031cfd003d0134eefc80b30062cfbe900015af18	2a1ae11b4ce801fedec43e2301e09a3a9295e8015ba33a7c914d54fba5e801e07289d0f00428e8014b99a0998ad070353a3090e80148039900ba75affa5ae801
8	0x11ac5e	0x11d6a2	0x2a44	2757	2757	115	0	0	1170e0d520e7139ee3305435c8babcf69e4369fc80a449d525da75712aa66222	337:104,114:100,340:94,347:93,18:93,66:93,258:90,189:89	337:104,114:100,340:94,347:93,18:93,66:93,258:90,189:89	+0x4:1677,+0x3:662,+0x5:169,+0x2:150,+0x6:78,+0xe:15,+0x11:3,+0x54:3	ab00e801ac00b2afeb00348bde02f81356204ae801fd650d305c1144b198dce5ce94e8018bf889005245ad5386243b859ee8012006b0ad5454fe77f3dcc24296	f4e1a000bae80191f5041c2301f2a5aee8019e61625a48a74f273ae801e3c6d89700fec005a8ea31e801e834ab005714e2dab5e801938544cb800508e801cd88
9	0x11d6b0	0x11d91b	0x26b	164	164	63	0	0	d3f0f9ea4db528aa2277640c23d371fcc0cef6cad3f73fbff614225174203878	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	347:9,28:9,114:8,18:6,340:6,307:5,196:5,297:5	+0x4:100,+0x3:41,+0x5:10,+0x2:8,+0x6:5	c70057493a639c9900bc0958a0e801e084e5402a0e8cb202b3c3ab00e80131f518606ecf2838ba3e334cd4e801e1f00232a4c177bcdd77f728005d93e8015ad5	3ad2673ce5d62fe801d7813e3e0b6881e80151c5dd040afb52e49aca6be8013a8db4103d52090571e8013c6703aefca23a2ecee801d80ad3018f1d037217e801
