segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
0	0xd0ac0	0xd1002	0x542	803	350	82	0	0	a236691971e5ba900732b0392cdac0f126fed3aa0851828c1946225eabe264f6	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	18:56,64:39,347:38,297:31,114:29,189:27,28:26,307:26	+0x4:494,+0x3:199,+0x5:43,+0x2:40,+0x6:22,-0x24c:4,+0x23e:1	e801a5001c000002108252183bc9c31d9fe8012087d80a0013bdaf08df916797e801e1f3affb57c5404f320458d6d7569ee8016449ea189bc12cc43628001512	3ffffb0f3be80179fe81c5f57c91295c6baae801a00aa44b052800c2f3e8011ade349a80056ce801784297ff00e0a00b46e8017d7681c565fc009febab96e801
1	0xd1010	0xd1284	0x274	167	167	59	0	0	fa67d21d20ead0f7720e0884bc9d8248a6c19dcb7be490c78023cd09c549e783	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	120058063adf9235b73c00de00e796e801e9af3ab152cd2c9880ab00e801e9f9d215b25a6c866c6ccf8cdb35a1e80102557b9d55a01eab5ef6d66d52e801ec8f	3254ae4701d8f5e801c13ef60317a82423fbe80184a334dac005f2fa1ae80173c03940388900e8018ae23c59ab001214449278e801d53db4e0748960e801821e
2	0xd1292	0xd1445	0x1b3	116	116	37	0	0	5106d1eb961d97bcab873679eefc8a9be087ab6024e8eb6dfb48aa6bb7cfbc9b	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	1c00680a1073e99900b7112617e801ca053f2dab00a00a9db822ab0062cae80103a78900f8051acea3349f32f2e801d9002cb2045e7fa4d71dd3c781e8011ebc	f934cef27587bce801900b3ba46f5a26b974e8010cfe2800fa0e84fab3e8016e88196c585caa8a74e801900327ed560a9ee8017ab5b1de8fda9325dbe8015db3
3	0xd3fac	0xd420b	0x25f	161	161	62	0	0	c0b5c1ceec9a24f7a74bfbec087d3f020776a9bda77ee3998c4bc5d9e3d77cce	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	114:9,64:8,189:8,297:7,28:7,18:6,43:5,258:5	+0x4:99,+0x3:40,+0x5:9,+0x2:8,+0x6:5	6201e801290131cee56859a5d9900be2463aaee801a01a320411ab00b80ecc757d94e801700f4a0138101c6dc596fbe80111f8dba62e658b4adc8e25221be801	abb72a37488a21e801f5a2d174366ef1e80141bb8a677bab7e25af535fe801c8038a87e00736623ee8017842ab00c00580626fe801e80568b207c0e5034fe801
4	0xd421c	0xd43cf	0x1b3	116	116	39	0	0	e5b2235f622528d84d2520ccac040dd9f97d7abb4b340e50019a83f02d684f7d	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	114:8,340:7,28:7,215:6,297:5,287:5,168:5,64:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	290131eee01699fefadaab3def32cde801e9b64600ab0024d819959d26e2e80148bc7dd94c0b890008017ee801ce823a5f4c46642f30469e3b0be80116430eef	8c5365e09ce8018f55304e1e00d82301a9d9e8013d0e2f82d7027ae801c26fc4b8100971606ae801bcbd03bafbf4f004a1e801551a56f91148b09bd2e8017cb3
5	0xd43e0	0xd4889	0x4a9	180	180	62	0	0	c67fb85d08920181f8772f562db4c0abc0e1308b02b7027df90eb67e1a526dc3	337:11,340:10,18:9,168:7,199:7,64:7,215:7,43:7	337:11,340:10,18:9,168:7,199:7,64:7,215:7,43:7	+0x4:109,+0x3:44,+0x5:12,+0x2:11,+0x6:3,+0x20d:1	a800990006d57b7cce447115ce4a99e8017fd9ab005a833ac408ab00e8016670190d5d7a161db4cbea8900a5d0e8010e1cccde2be628006fea221205e8010fc7	b663ef47e7e8015e5110088e566cd7dbae25e801880a461c959cb1e801ceb8370b3ac4f1caf476d8e801d0914d01d3043a0936e801acbc99000805ce8dd5e801
6	0xd4897	0xd4a83	0x1ec	132	132	46	0	0	238d3dffd2d2b3b2c5af0d69a02dd6fe5fd981128ea5796ce11756975d83af06	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	347:8,337:7,18:7,189:7,185:6,307:6,168:5,64:5	+0x4:88,+0x3:35,+0x2:4,+0x5:3,+0x6:2	510188949900530c3a14689dd9d23ce801e08a3adc5f22ca72ecadd7c23ce801f248f95840059cc941a5d9d420e801638928005801bd808b54f73626e8015b6d	a66c7fd49fe8018b16e1fee49bf02dbae801f4b63b59fed632977ab7aae801777728ba8635afe801029adbab3ae30f2f83664ee8018a0ad4fc111f0be80142a0
7	0xd4a91	0xd4beb	0x15a	91	91	42	0	0	7cad8b106b8f3cd28b68be9dc0c8276fefb6c33e49cc6f9a600cfbc4b1bffcd6	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	66:7,340:6,168:5,28:5,114:5,43:4,305:4,172:4	+0x4:59,+0x3:20,+0x5:6,+0x2:4,+0x6:2	c700474f3a648cae0180b42dd7e801fcb469333a6656dcd01f531739c62ae801cead55d8014a3a24bba00aec3fe80144a22800b3900fe40801fee80136805f7d	da91c20e8a3f3f3d51492c7a1db100f9343d01f79bd66c4ed33a79852313030aacdfa9761c003d0105a4f709dbe913000ba1227bb5c683ac4a18cdf8c8cb3d01
8	0xd4bfc	0xd4cb9	0xbd	51	51	21	0	0	13cf741daca693972bb2b4f06d823547fa10a09ca9166aca7aaafc2386761665	28:6,184:4,258:4,185:3,174:3,176:3,340:3,64:2	28:6,184:4,258:4,174:3,176:3,340:3,185:2,64:2	+0x4:33,+0x3:17,+0x6:1	2b193ad015e80184fab176d3823af285e801e801d7643d01b98373362f8c3aedc1e801c216ec10affce7e8018ca10a0744dac64ab985bbe801564f318c358ce7	aaeee005faea3be801983d23017005c417afe801a00aea707d2800e80115e71c069087d7037ae8010a6da9b45c6b800573e801204590038c7b4184f3eb17e801
9	0xd4cc7	0xd5044	0x37d	232	232	49	0	0	39029f1cb8c626ccf73a0023097212e9303fb6696c9f201c88800bdc813f39c7	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	340:14,307:12,28:12,18:12,258:11,64:10,114:10,20:10	+0x4:150,+0x3:67,+0x6:7,+0x5:4,+0x2:2,+0xd:2	c7001f4f3a7412990087cc9900e80174fda41bab006a1aa57a240e5fcd96e80103f189009d4038fbba0de8e8011442e4edfcdabe0dabfcfc28800a20e8010486	00a9704756e80118d2f8492e503e3cdc2640e801018c28008d3158e8012c46a3675a655b24a4e801921210083c87ffdd28e801a3df5e0ce1ab01233be801524a
