segment	start	end	size	events	unique_start_ips	unique_sources	conflict_offsets	conflict_events	sha256	top_sources	top_targets	top_deltas	hex_prefix	hex_suffix
0	0xd0ac0	0xd1002	0x542	811	351	83	0	0	a236691971e5ba900732b0392cdac0f126fed3aa0851828c1946225eabe264f6	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	18:56,64:39,347:38,297:31,114:29,189:27,28:26,66:26	+0x4:494,+0x3:199,+0x5:43,+0x2:40,+0x6:22,+0x11:4,+0xe:4,-0x24c:4	e801a5001c000002108252183bc9c31d9fe8012087d80a0013bdaf08df916797e801e1f3affb57c5404f320458d6d7569ee8016449ea189bc12cc43628001512	3ffffb0f3be80179fe81c5f57c91295c6baae801a00aa44b052800c2f3e8011ade349a80056ce801784297ff00e0a00b46e8017d7681c565fc009febab96e801
1	0xd1010	0xd1284	0x274	167	167	59	0	0	fa67d21d20ead0f7720e0884bc9d8248a6c19dcb7be490c78023cd09c549e783	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	340:11,18:10,258:7,199:7,337:6,114:6,189:6,347:5	+0x4:102,+0x3:41,+0x5:11,+0x2:9,+0x6:4	120058063adf9235b73c00de00e796e801e9af3ab152cd2c9880ab00e801e9f9d215b25a6c866c6ccf8cdb35a1e80102557b9d55a01eab5ef6d66d52e801ec8f	3254ae4701d8f5e801c13ef60317a82423fbe80184a334dac005f2fa1ae80173c03940388900e8018ae23c59ab001214449278e801d53db4e0748960e801821e
2	0xd1292	0xd1445	0x1b3	116	116	37	0	0	5106d1eb961d97bcab873679eefc8a9be087ab6024e8eb6dfb48aa6bb7cfbc9b	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	66:7,185:7,18:6,258:6,28:5,337:5,43:5,114:5	+0x4:80,+0x3:32,+0x6:2,+0x2:1,+0x5:1	1c00680a1073e99900b7112617e801ca053f2dab00a00a9db822ab0062cae80103a78900f8051acea3349f32f2e801d9002cb2045e7fa4d71dd3c781e8011ebc	f934cef27587bce801900b3ba46f5a26b974e8010cfe2800fa0e84fab3e8016e88196c585caa8a74e801900327ed560a9ee8017ab5b1de8fda9325dbe8015db3
3	0xd3fac	0xd4581	0x5d5	382	382	81	0	0	47afd703922c824124985878eec1f4230524b20a9b4736b8024c4596058703b3	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	114:19,64:17,168:15,28:15,18:14,215:14,340:13,297:12	+0x4:242,+0x3:95,+0x5:18,+0x2:15,+0x6:9,+0x11:2,+0x20d:1	6201e801290131cee56859a5d9900be2463aaee801a01a320411ab00b80ecc757d94e801700f4a0138101c6dc596fbe80111f8dba62e658b4adc8e25221be801	4c8f003d01c701889e0717783132cf678500ca8aa6fec80e500067a93d0104fc620100000d0200003d019a13cfc38e794020061ab77465de8c0a000100a2663d
4	0xd476e	0xd4889	0x11b	77	77	31	0	0	4353c0ef8fa13fc14425c32da8e675432d68678035f5c1a68ccb49f4518d0034	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	340:7,337:5,185:5,258:4,215:4,176:4,199:3,350:3	+0x4:46,+0x3:21,+0x2:5,+0x5:4,+0x6:1	c700df4c3a66561a2a8639889cd3bfe63e4a093d0100d7f1bf854606dfa7ee3d7f741300a8021a518d003d0116207f1671f86eb302c7300b3a57c05634003d01	b663ef47e7e8015e5110088e566cd7dbae25e801880a461c959cb1e801ceb8370b3ac4f1caf476d8e801d0914d01d3043a0936e801acbc99000805ce8dd5e801
5	0xd4897	0xd57f4	0xf5d	1009	1009	95	0	0	ad8cf8dbc14a01578a69def55d7e5d6515ec94d92b8431b1212e1a216c13751f	28:48,18:44,64:43,189:43,114:42,307:39,337:37,340:36	28:48,18:44,64:43,189:43,114:42,307:39,337:37,340:36	+0x4:645,+0x3:268,+0x5:34,+0x2:26,+0x6:25,+0xd:4,+0xe:3,+0x11:3	510188949900530c3a14689dd9d23ce801e08a3adc5f22ca72ecadd7c23ce801f248f95840059cc941a5d9d420e801638928005801bd808b54f73626e8015b6d	9139dea24293003d015f843a819303feb72d3ab34413003382570664cf353d01620100003e0200003d012254056287b5718f8f7b06bf9d016f909a7f003d0177
6	0xd5a12	0xd5ebc	0x4aa	315	315	60	0	0	cccba6a8d228e88748fa5bc1ce01ef581bc71f906d809c7e0601a5bc97299995	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	347:25,189:16,28:16,185:15,64:13,215:13,66:12,18:12	+0x4:208,+0x3:86,+0x2:8,+0x5:6,+0x6:5,+0xe:2	9d008bd79d01b69d7cc9d80d05fe8c753a0085b03d01178a6c92d300d684326b893584ddc773c3aa27003d0176459b694966d139eda8854b59b2780228fe233d	3a291adbdbe80132c0a1caeadb0df40b20cce801439b3a228e1bdbe801eb5a13013a78665ce7aa79e801e60832015d574870fbe80158833a1477c174b492e801
7	0xd718e	0xd790a	0x77c	492	492	77	0	0	ddaa2dad374bca66dc25473734d56dbc2cedb97f8ebf5c1b39a2e107f3be5b6a	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	64:25,347:22,66:21,18:21,114:21,337:19,43:17,185:17	+0x4:323,+0x3:125,+0x5:16,+0x2:13,+0x6:11,+0xe:2,+0x11:1,+0x2aa5:1	e801a500bd009900bcefdff2ba93c89900e801c0efd80a5b5f8b73018f91679780f8e8018d8d09f85801e8a28a0efeb615e801baa255c109f180a01f0c6b4a0e	c8e8013d01cd2de801e03e10f85fb2433a95305ebafa753f76fb017353a13d01ab000000a52a00003d01223ae7bda6db049b10e8010b126800d80dabd4fa6880
8	0xda38f	0xda607	0x278	158	158	58	0	0	f2d53db15b2c0ddfdb54bff8b9ea4d71a811460a72a772e25370c6caa50dde3b	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	18:10,258:8,114:7,64:7,189:6,28:6,199:6,66:5	+0x4:99,+0x3:39,+0x2:7,+0x5:7,+0x6:4,+0xe:1,+0x670:1	7200a2635bacc8e12308a51c2ac0e45399881de801a8a03d0100c7b783cb5debc47f600148047001f8f6e3a23a4ac2003d011f9b7f881cdf3ea5aab0b7680033	2fc2dc22ad27753d01e54968979b6f5621629e18d00a10fe8a22c03d01715c8da5000000700600003d012239625fb3fe196bb0e801ff822308e4540cd417e73c
9	0xdac57	0xdaf39	0x2e2	195	195	56	0	0	b36510d2b5e04c3d39da8f69c1b9425471ef58251d9531f910e02974b2af3b01	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	340:12,64:12,18:10,307:8,123:8,258:8,347:7,185:7	+0x4:126,+0x3:53,+0x2:6,+0x5:5,+0x6:4,+0xe:1	5b011937310983837e398b06e801d027aee757fed5003d01033003763d36316fb806e8045cbbc468000e8a6c031cfd003d0134eefc80b30062cfbe900015af18	2a1ae11b4ce801fedec43e2301e09a3a9295e8015ba33a7c914d54fba5e801e07289d0f00428e8014b99a0998ad070353a3090e80148039900ba75affa5ae801
