row_type	scope	metric	value	entry	target	events	flags	frontier_kind	evidence	next_action	note
metric	config_frontier	trace_matrix_rows	36								Run directories inventoried by the cross-run coverage matrix.
metric	config_frontier	instruction_trace_scenarios	16								Runs with VM instruction-trace rows contributing bytecode path coverage.
metric	config_frontier	concrete_instruction_trace_scenarios	12								Instruction traces before synthetic file/hidden/frontier/footprint fill sidecars.
metric	config_frontier	run_dirs_without_instruction_trace	20								Run directories with logs/context but no VM instruction rows.
metric	config_frontier	synthetic_fill_trace_rows	4								Derived trace rows that widen bytecode coverage without proving a runtime config.
metric	config_frontier	network_blocked_rows	34								Coverage-matrix rows whose preload log denied network/process activity.
metric	config_frontier	network_fake_rows	1								Coverage-matrix rows satisfied by local fake-network behavior.
metric	config_frontier	network_not_observed_rows	1								Coverage-matrix rows with no preload-observed network calls.
metric	config_frontier	concrete_network_denied_traces	11								Concrete instruction traces reaching denied network calls.
metric	config_frontier	concrete_network_fake_traces	1								Concrete instruction traces reaching locally faked network calls.
metric	config_frontier	concrete_network_allowed_traces	0								Concrete instruction traces with real/non-fake network calls allowed.
metric	config_frontier	concrete_traces_adding_sources_vs_primary	0								Concrete instruction traces that add source handlers beyond the primary long trace.
metric	config_frontier	max_concrete_source_handlers_seen	202								Largest source-handler count in any concrete instruction trace.
metric	config_frontier	max_concrete_target_handlers_seen	205								Largest target-handler count in any concrete instruction trace.
metric	config_frontier	max_concrete_vm_ip_starts_seen	71522								Largest VM-IP-start count in any concrete instruction trace.
metric	static_audit.dynamic_primary_trace	instruction_rows	769225								Executed VM instruction rows in the primary run.
metric	static_audit.dynamic_primary_trace	source_handlers_seen	202								Handlers directly executed as VM source entries by this scenario.
metric	static_audit.dynamic_primary_trace	target_handlers_seen	205								Handlers reached as dispatch targets by this scenario.
metric	static_audit.dynamic_primary_trace	unique_vm_ip_starts	71522								Distinct VM bytecode starts observed in this scenario.
metric	static_audit.dynamic_primary_trace	covered_byte_ranges	81								Merged dynamic bytecode intervals from start/end VM IP.
metric	static_audit.dynamic_primary_trace	covered_bytes	0x259425								Scenario-specific byte coverage; not a full-program proof.
metric	static_audit.dynamic_cross_trace	coverage_matrix_rows	36								Run directories inventoried by the coverage matrix, including run-only register/scratch/memory traces.
metric	static_audit.dynamic_cross_trace	instruction_trace_scenarios	16								Directories with vm_instruction_trace.tsv rows contributing bytecode path coverage.
