source_entry	formula	formula_class	rows	events	matched_rows	matched_events	coverage_pct	skipped_rows	skipped_events
258	post&0x1fff	state_expr	2268	28058	0	0	0.0	2268	28058
28	u16_0	direct_u16	2333	26610	2333	26610	100.0	0	0
337	constant:0x210	constant_target	2321	26534	121	1591	6.0	0	0
340	constant:0xe0	constant_target	2259	26112	130	1702	6.5	0	0
18	u16_0&0xfff	direct_u16	2501	25448	319	3639	14.3	0	0
114	constant:0x210	constant_target	2254	25300	131	2041	8.1	0	0
189	constant:0x158	constant_target	2279	25112	66	1121	4.5	0	0
347	constant:0x540	constant_target	2146	24299	58	1257	5.2	0	0
307	constant:0x570	constant_target	2012	24095	55	961	4.0	0	0
64	constant:0x638	constant_target	2222	23678	100	1345	5.7	0	0
66	constant:0xa88	constant_target	2180	22739	112	1650	7.3	0	0
185	(post-u16_0)&0x1fff	state_expr	1885	21620	0	0	0.0	1885	21620
215	u16_0	direct_u16	1728	21174	1728	21174	100.0	0	0
297	constant:0x620	constant_target	1843	20640	40	798	3.9	0	0
199	constant:0x810	constant_target	1802	19641	92	1481	7.5	0	0
43	constant:0xd0	constant_target	1458	16136	39	765	4.7	0	0
157	constant:0x210	constant_target	1395	14693	66	885	6.0	0	0
196	constant:0xaa0	constant_target	1138	14371	49	880	6.1	0	0
168	constant:0x9d8	constant_target	1365	14368	35	740	5.2	0	0
172	constant:0xe0	constant_target	1093	12531	44	851	6.8	0	0
333	constant:0x988	constant_target	1165	12194	29	766	6.3	0	0
184	constant:0xe0	constant_target	856	12094	61	1166	9.6	0	0
268	constant:0x798	constant_target	1112	12038	36	816	6.8	0	0
174	constant:0x390	constant_target	889	11742	54	941	8.0	0	0
305	(state+u16_0)&0x1fff	state_expr	771	10874	0	0	0.0	771	10874
123	constant:0x90	constant_target	889	10598	47	646	6.1	0	0
176	constant:0xe0	constant_target	878	10138	55	933	9.2	0	0
315	constant:0xe0	constant_target	813	9921	28	1006	10.1	0	0
26	constant:0x4e8	constant_target	849	9886	48	959	9.7	0	0
203	post&0x1fff	state_expr	1044	9820	0	0	0.0	1044	9820
287	constant:0xe0	constant_target	866	9723	36	769	7.9	0	0
20	constant:0x390	constant_target	857	9485	61	1277	13.5	0	0
161	constant:0x210	constant_target	818	9482	45	499	5.3	0	0
243	constant:0x998	constant_target	761	9466	25	733	7.7	0	0
158	constant:0xaa0	constant_target	804	9432	56	989	10.5	0	0
33	post&0x1fff	state_expr	806	9247	0	0	0.0	806	9247
346	constant:0xe0	constant_target	764	9073	37	862	9.5	0	0
108	constant:0xa88	constant_target	719	5239	31	401	7.7	0	0
144	post&0x1fff	state_expr	619	5218	0	0	0.0	619	5218
160	constant:0x5c8	constant_target	576	5207	21	351	6.7	0	0
173	constant:0x200	constant_target	535	5101	19	483	9.5	0	0
257	constant:0x560	constant_target	509	4958	9	777	15.7	0	0
198	constant:0x960	constant_target	517	4955	7	328	6.6	0	0
352	constant:0x810	constant_target	542	4424	29	408	9.2	0	0
301	constant:0x500	constant_target	389	4380	53	954	21.8	0	0
49	constant:0x480	constant_target	415	4132	67	1018	24.6	0	0
256	constant:0xaa0	constant_target	507	3880	16	390	10.1	0	0
79	constant:0x808	constant_target	417	3633	59	865	23.8	0	0
220	constant:0x480	constant_target	423	3576	58	813	22.7	0	0
3	constant:0x500	constant_target	401	3434	53	635	18.5	0	0
332	constant:0xad8	constant_target	258	3292	5	268	8.1	0	0
300	constant:0x810	constant_target	238	3190	4	517	16.2	0	0
260	constant:0x5e8	constant_target	228	2645	8	271	10.2	0	0
269	constant:0x500	constant_target	415	2612	56	364	13.9	0	0
30	constant:0x658	constant_target	244	2590	5	350	13.5	0	0
171	(u16_0&0x1ff)*8	other_expr	185	2533	185	2533	100.0	0	0
239	constant:0x948	constant_target	323	2519	8	255	10.1	0	0
167	constant:0xaf8	constant_target	174	2509	55	1262	50.3	0	0
83	constant:0x568	constant_target	432	2508	55	548	21.9	0	0
350	constant:0x810	constant_target	231	2414	2	257	10.6	0	0
192	constant:0x630	constant_target	231	2339	38	509	21.8	0	0
183	constant:0xa88	constant_target	379	2326	17	136	5.8	0	0
91	(state^u16_0)&0x1fff	state_expr	363	2251	0	0	0.0	363	2251
154	constant:0x620	constant_target	252	2209	4	157	7.1	0	0
121	constant:0x998	constant_target	215	2198	4	350	15.9	0	0
140	constant:0x998	constant_target	248	2190	6	94	4.3	0	0
273	constant:0x638	constant_target	218	2115	3	258	12.2	0	0
320	constant:0x800	constant_target	232	2080	22	314	15.1	0	0
37	constant:0x800	constant_target	221	2035	18	373	18.3	0	0
254	post&0xfff	state_expr	242	1988	0	0	0.0	242	1988
253	constant:0x948	constant_target	332	1984	8	269	13.6	0	0
345	constant:0x1a0	constant_target	305	1883	5	345	18.3	0	0
354	(u16_0&0x1ff)*8	other_expr	178	1872	178	1872	100.0	0	0
319	constant:0x568	constant_target	225	1850	31	559	30.2	0	0
180	constant:0x540	constant_target	382	1848	16	355	19.2	0	0
322	constant:0x4e8	constant_target	213	1847	2	257	13.9	0	0
351	constant:0x948	constant_target	114	1844	1	256	13.9	0	0
165	(u16_0&0x1ff)*8	other_expr	159	1825	159	1825	100.0	0	0
124	constant:0x158	constant_target	306	1796	13	191	10.6	0	0
169	(u16_0&0x1ff)*8	other_expr	71	1796	71	1796	100.0	0	0
338	constant:0x8d8	constant_target	178	1753	61	648	37.0	0	0
70	constant:0x360	constant_target	229	1629	44	577	35.4	0	0
310	(u16_2&0x1ff)*8	other_expr	63	1614	63	1614	100.0	0	0
237	constant:0xb00	constant_target	236	1537	31	472	30.7	0	0
200	u16_4	direct_u16	294	1511	294	1511	100.0	0	0
283	constant:0x810	constant_target	126	1438	12	168	11.7	0	0
181	constant:0x6b8	constant_target	84	1407	1	256	18.2	0	0
128	constant:0x200	constant_target	115	1158	4	262	22.6	0	0
52	constant:0x258	constant_target	55	1103	11	297	26.9	0	0
261	constant:0xad8	constant_target	85	1074	7	184	17.1	0	0
295	constant:0x810	constant_target	112	980	8	218	22.2	0	0
