rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
1	uncovered_exact_destination	0x37158e	12500	125	1	1	52:125	145:125	+0x5:125	exact:125	tail@0x8371b:125	prev=436@0x371488-0x37158e+0x0;next=437@0x3716c7-0x371714-0x139	0x371589	0x37158e	exact positive instruction exits recovered bytecode coverage
2	uncovered_exact_destination	0x371714	12500	125	1	1	108:125	266:125	+0x2:125	exact:125	tail@0x8f6cf:125	prev=437@0x3716c7-0x371714+0x0;next=438@0x37171c-0x37174c-0x8	0x371712	0x371714	exact positive instruction exits recovered bytecode coverage
3	uncovered_exact_destination	0x31297d	9100	91	1	1	125:91	316:91	+0x5:91	exact:91	tail@0x92612:91	prev=218@0x310dca-0x31297d+0x0;next=219@0x3129aa-0x3157e1-0x2d	0x312978	0x31297d	exact positive instruction exits recovered bytecode coverage
4	uncovered_exact_destination	0x3157e1	9100	91	1	1	122:91	316:91	+0x5:91	exact:91	tail@0x91a57:91	prev=219@0x3129aa-0x3157e1+0x0;next=220@0x31580e-0x315cc0-0x2d	0x3157dc	0x3157e1	exact positive instruction exits recovered bytecode coverage
5	uncovered_exact_destination	0x315cc0	9100	91	1	1	351:91	308:91	+0x5:91	exact:91	tail@0xc1ec2:91	prev=220@0x31580e-0x315cc0+0x0;next=221@0x315cc8-0x316672-0x8	0x315cbb	0x315cc0	exact positive instruction exits recovered bytecode coverage
6	uncovered_source_start	0x22ffb1	7650	255	1	1	75:255	171:255	-0x6d:255	backedge_sample:255	tail@0x87c25:255	prev=161@0x22fe2d-0x22ffb1+0x0;next=162@0x22ffc2-0x230111-0x11	0x22ffb1	0x22ff44	instruction source VM IP is not in an exact recovered segment
7	uncovered_source_start	0x2303ae	7650	255	1	1	316:255	165:255	-0x3c4:255	backedge_sample:255	tail@0xba0cc:255	prev=163@0x230122-0x2303ae+0x0;next=164@0x2303be-0x2304b8-0x10	0x2303ae	0x22ffea	instruction source VM IP is not in an exact recovered segment
8	decoded_long_branch_source	316	6705	447	0	0	316:447	165@0x9a24c:258,354@0xc2241:95,171@0x9b4b3:94	-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2	decoded_long_branch:447	tail@0xba0cc:447				source_target=0xb987b;unique_vm_ips=13;top_targets=165@0x9a24c:258,354@0xc2241:95,171@0x9b4b3:94;top_deltas=-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2;long_branch_events=447;long_branch_variants=13;long_branch_operand_lens=0xb:447;long_branch_operand_shapes=447=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=255=next = table[165], ip -= 0x3c4,91=next = table[171], ip += 0x2d,91=next = table[354], ip += 0x2d,1=next = table[165], ip += 0x12c3,1=next = table[165], ip += 0x211
9	hidden_transition_destination	0x22ffb1	6400	256	1	1	52:256	75:256	+0x5:256	exact:256	tail@0x8371b:256	prev=161@0x22fe2d-0x22ffb1+0x0;next=162@0x22ffc2-0x230111-0x11	0x22ffac	0x22ffb1	exact positive instruction enters adjacent hidden span; hidden=75->350:+0x11:events=2:obs=sampled_backedge:2
10	hidden_transition_destination	0x230111	6400	256	1	1	123:256	50:256	+0x4:256	exact:256	tail@0x91e7f:256	prev=162@0x22ffc2-0x230111+0x0;next=163@0x230122-0x2303ae-0x11	0x23010d	0x230111	exact positive instruction enters adjacent hidden span; hidden=50->171:+0x11:events=320:obs=target_only:320
