rank	kind	key	priority	events	unique_start_ips	unique_end_ips	sources	targets	deltas	statuses	sites	nearest_recovered	sample_starts	sample_ends	detail
1	decoded_long_branch_source	316	6705	447	0	0	316:447	165@0x9a24c:258,354@0xc2241:95,171@0x9b4b3:94	-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2	decoded_long_branch:447	tail@0xba0cc:447				source_target=0xb987b;unique_vm_ips=13;top_targets=165@0x9a24c:258,354@0xc2241:95,171@0x9b4b3:94;top_deltas=-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2;long_branch_events=447;long_branch_variants=13;long_branch_operand_lens=0xb:447;long_branch_operand_shapes=447=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=255=next = table[165], ip -= 0x3c4,91=next = table[171], ip += 0x2d,91=next = table[354], ip += 0x2d,1=next = table[165], ip += 0x12c3,1=next = table[165], ip += 0x211
2	decoded_long_branch_source	75	4140	276	0	0	75:276	171@0x9b4b3:256,165@0x9a24c:16,354@0xc2241:4	-0x6d:255,+0x60:9,+0x30:2,+0x288:2,+0x28b:2	decoded_long_branch:276	tail@0x87c25:276				source_target=0x873fc;unique_vm_ips=14;top_targets=171@0x9b4b3:256,165@0x9a24c:16,354@0xc2241:4;top_deltas=-0x6d:255,+0x60:9,+0x30:2,+0x288:2,+0x28b:2;long_branch_events=276;long_branch_variants=12;long_branch_operand_lens=0xb:276;long_branch_operand_shapes=276=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=255=next = table[171], ip -= 0x6d,9=next = table[165], ip += 0x60,2=next = table[165], ip += 0x288,2=next = table[165], ip += 0x30,1=next = table[165], ip += 0x1d9
3	decoded_long_branch_source	266	3000	200	0	0	266:200	354@0xc2241:135,171@0x9b4b3:57,165@0x9a24c:8	-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4	decoded_long_branch:200	tail@0xafa1d:200				source_target=0xaf8af;unique_vm_ips=16;top_targets=354@0xc2241:135,171@0x9b4b3:57,165@0x9a24c:8;top_deltas=-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4;long_branch_events=200;long_branch_variants=13;long_branch_operand_lens=0x8:200;long_branch_operand_shapes=200=target_u32@+0,delta_u32@+4;long_branch_top_ir=125=next = table[354], ip -= 0x2e8,52=next = table[171], ip -= 0x40,4=next = table[165], ip -= 0x55d,4=next = table[354], ip -= 0x78e,3=next = table[171], ip -= 0x55d
4	decoded_long_branch_source	145	2130	142	0	0	145:142	354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4	+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2	decoded_long_branch:142	tail@0x9634f:142				source_target=0x95b5c;unique_vm_ips=13;top_targets=354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4;top_deltas=+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2;long_branch_events=142;long_branch_variants=11;long_branch_operand_lens=0xb:142;long_branch_operand_shapes=142=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=125=next = table[354], ip += 0x139,4=next = table[165], ip += 0xbec,3=next = table[354], ip += 0x60,2=next = table[171], ip += 0x77,2=next = table[354], ip += 0x30
5	decoded_long_branch_source	117	1830	122	0	0	117:122	354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3	-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5	decoded_long_branch:122	tail@0x90c21:122				source_target=0x90acd;unique_vm_ips=18;top_targets=354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3;top_deltas=-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5;long_branch_events=122;long_branch_variants=14;long_branch_operand_lens=0x8:122;long_branch_operand_shapes=122=target_u32@+0,delta_u32@+4;long_branch_top_ir=56=next = table[354], ip -= 0x40,27=next = table[165], ip -= 0x40,9=next = table[165], ip -= 0xbc1,6=next = table[354], ip -= 0x584,5=next = table[165], ip -= 0x55d
6	decoded_long_branch_source	302	1635	109	0	0	302:109	171@0x9b4b3:70,165@0x9a24c:35,354@0xc2241:4	-0x40:61,+0x22:25,-0x55d:9,-0x2ce:8,-0x24c:4	decoded_long_branch:109	tail@0xb7699:109				source_target=0xb7586;unique_vm_ips=10;top_targets=171@0x9b4b3:70,165@0x9a24c:35,354@0xc2241:4;top_deltas=-0x40:61,+0x22:25,-0x55d:9,-0x2ce:8,-0x24c:4;long_branch_events=109;long_branch_variants=9;long_branch_operand_lens=0x8:109;long_branch_operand_shapes=109=target_u32@+0,delta_u32@+4;long_branch_top_ir=39=next = table[171], ip -= 0x40,25=next = table[171], ip += 0x22,22=next = table[165], ip -= 0x40,9=next = table[165], ip -= 0x55d,5=next = table[171], ip -= 0x2ce
7	decoded_long_branch_sample	316->165:-0x3c4	1275	255	1	1	316:255	165:255	-0x3c4:255	backedge_sample:255	tail@0xba0cc:255	inside=42@0x22fe2d-0x2304b8+0x1bd	0x2303ae	0x22ffea	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=255;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[165], ip -= 0x3c4
8	decoded_long_branch_sample	75->171:-0x6d	1275	255	1	1	75:255	171:255	-0x6d:255	backedge_sample:255	tail@0x87c25:255	inside=42@0x22fe2d-0x2304b8+0x117	0x22ffb1	0x22ff44	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=255;operand_min_len=0xb;operand_shape=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;ir=next = table[171], ip -= 0x6d
9	decoded_long_branch_source	334	630	42	0	0	334:42	354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4	+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1	decoded_long_branch:42	tail@0xbe55b:42				source_target=0xbdd18;unique_vm_ips=18;top_targets=354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4;top_deltas=+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1;long_branch_events=42;long_branch_variants=18;long_branch_operand_lens=0xb:42;long_branch_operand_shapes=42=target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa;long_branch_top_ir=25=next = table[354], ip += 0x2a5,1=next = table[165], ip += 0x238,1=next = table[165], ip += 0x288,1=next = table[165], ip += 0x2f,1=next = table[165], ip += 0x48d
10	decoded_long_branch_sample	266->354:-0x2e8	625	125	1	1	266:125	354:125	-0x2e8:125	backedge_sample:125	tail@0xafa1d:125	inside=82@0x36ecdc-0x371ff7+0x2750	0x371714	0x37142c	negative VM IP delta, exact consumed bytes unavailable from forward lookahead; long_branch_events=125;operand_min_len=0x8;operand_shape=target_u32@+0,delta_u32@+4;ir=next = table[354], ip -= 0x2e8
