observation	delta	shape	constant_bytes	skeleton_hash	events	entries	top_entries	top_targets	top_ops	skeleton
exact	+0x4	VVVV	-	e78b55668df4fdc3	28058	1	258@0xadf2c:28058	307@0xb8064:1689,199@0xa0631:1547,297@0xb64d7:1508,215@0xa4609:1365,18@0x7be9b:1334,43@0x8173d:1325	RF+0x23/4:4,WF+0x23/4:4,WF+0x170/4:4,RF+0x194/1:3,RF+0xa/8:2,RF+0x71/8:1	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;WF+0x170/4:and;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r11
exact	+0x3	VVV	-	8a687ef4ccaa79ac	26610	1	28@0x7e390:26610	347@0xc088d:2147,258@0xadf2c:1654,340@0xbf435:1637,337@0xbec0e:1601,114@0x90319:1452,189@0x9e7af:1398	WF+0x23/4:7,RF+0x23/4:7,RF+0x170/4:5,WF+0x170/4:4,RF+0x81/8:3,RF+0xa/8:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r11
exact	+0x4	VVVV	-	306c9af024fb26a6	26534	1	337@0xbec0e:26534	297@0xb64d7:1787,66@0x855ff:1591,307@0xb8064:1382,28@0x7e390:1313,18@0x7be9b:1254,215@0xa4609:1178	RF+0x81/8:7,WF+0x170/4:7,RF+0x23/4:5,RF+0x170/4:3,WF+0x23/4:3,RF+0xa/8:2	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:add;WF+0x170/4:or;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rbx
exact	+0x4	VVVE	-	0ad25f5786e0eb9d	26112	1	340@0xbf435:26112	307@0xb8064:1748,28@0x7e390:1702,66@0x855ff:1362,185@0x9d964:1352,215@0xa4609:1274,18@0x7be9b:1062	WF+0x170/4:4,RF+0x71/8:3,WF+0x23/4:3,RF+0x81/8:2,RF+0xa/8:2,RF+0x23/4:1	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r15
exact	+0x3	VVV	-	0c974b707677cf0e	25448	1	18@0x7be9b:25448	114@0x90319:1729,189@0x9e7af:1581,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249,174@0x9bd8f:1212	RF+0x23/4:7,WF+0x23/4:6,RF+0x194/1:5,WF+0x170/4:4,RF+0x170/4:3,RF+0x0/8:2	RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x10f/8:mov;RF+0x170/4:sub;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rsi
exact	+0x4	VVVV	-	43f6f4962f358ef0	25300	1	114@0x90319:25300	66@0x855ff:2041,185@0x9d964:1516,215@0xa4609:1500,18@0x7be9b:1307,20@0x7c62b:1184,158@0x99029:1132	WF+0x23/4:11,RF+0x23/4:8,RF+0x170/4:7,WF+0x170/4:7,RF+0x81/8:3,RF+0x0/8:3	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:add;WF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdi
exact	+0x4	VVVV	-	4f693bae5dbfde94	25112	1	189@0x9e7af:25112	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197,43@0x8173d:1121	RF+0x170/4:6,WF+0x23/4:4,RF+0x81/8:3,RF+0x0/8:3,RF+0xa/8:2,RF+0x23/4:2	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x2;RIP+0x2/2:movzx;RF+0x170/4:add;WF+0x170/4:add;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdx
exact	+0x4	VVVV	-	72bc9e0509afab2b	24299	1	347@0xc088d:24299	18@0x7be9b:1928,307@0xb8064:1577,297@0xb64d7:1475,28@0x7e390:1302,168@0x9aa83:1257,184@0x9d694:1071	RF+0x23/4:8,WF+0x170/4:7,WF+0x23/4:6,RF+0x170/4:4,RF+0x81/8:3,RF+0xa/8:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:xor;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rdi;RF+0x60/8:mov
exact	+0x3	VVV	-	f0653a78b41cad64	24095	1	307@0xb8064:24095	114@0x90319:1754,176@0x9c10b:1332,189@0x9e7af:1166,337@0xbec0e:1159,258@0xadf2c:1055,340@0xbf435:1046	RF+0x0/8:4,RF+0x23/4:4,RF+0x170/4:3,WF+0x170/4:3,RF+0x194/1:2,RF+0xa/8:2	RF+0xa/8:mov;RF+0x10f/8:mov;IPADV+0x1;RIP+0x1/2:movzx;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:rcx
exact	+0x4	VVVV	-	eee7a360fd1b3cb0	23678	1	64@0x85059:23678	18@0x7be9b:2091,28@0x7e390:1633,199@0xa0631:1345,184@0x9d694:1255,215@0xa4609:1065,66@0x855ff:1024	RF+0x23/4:4,WF+0x23/4:4,WF+0x170/4:3,RF+0x170/4:3,RF+0x0/8:3,RF+0x194/1:2	RF+0x10f/8:mov;RF+0xa/8:mov;IPADV+0x0;RIP+0x0/2:movzx;RF+0x170/4:sub;TDYN;RTdyn/8:mov;WF+0xa/8:add;JMP:r13
