entry	class	sidecar	selected_start	selected_stop	selected_span_bytes	events	insns	function_count	covered_bytes	function_names	function_ranges
0	static_validated	vm_validated_handlers_retdec_batch01.c	0x78561	0x78843	734	89	173	1	724	function_78561	0x78561-0x78835
1	unobserved_static	vm_unobserved_handlers_retdec_batch05.c	0x78835	0x78c84	1103	-1	244	4	1093	function_78835,function_788e2,function_78c79,function_78c7f	0x78835-0x788e2,0x788e2-0x78c77,0x78c79-0x78c7b,0x78c7f-0x78c80
2	unobserved_static	vm_unobserved_handlers_retdec_batch04.c	0x788e2	0x78c84	930	-1	197	3	920	function_788e2,function_78c79,function_78c7f	0x788e2-0x78c77,0x78c79-0x78c7b,0x78c7f-0x78c80
3	static_validated	vm_validated_handlers_retdec_batch06.c	0x78c77	0x79305	1678	3434	363	1	1665	function_78c77	0x78c77-0x792f8
4	unobserved_static	vm_unobserved_handlers_retdec_batch03.c	0x792f8	0x79682	903	-1	197	2	896	function_792f8,function_79677	0x792f8-0x79675,0x79677-0x7967a
5	target_only	vm_target_only_handlers_retdec.c	0x79675	0x799d4	863	-1	-1	2	850	function_79675,function_7971e	0x79675-0x7971e,0x7971e-0x799c7
6	unobserved_static	vm_unobserved_handlers_retdec_batch02.c	0x7971e	0x799d4	691	-1	138	1	681	function_7971e	0x7971e-0x799c7
7	unobserved_static	vm_unobserved_handlers_retdec_batch04.c	0x799c7	0x79db1	1002	-1	228	3	994	function_799c7,function_79a3d,function_79da7	0x799c7-0x79a3d,0x79a3d-0x79da3,0x79da7-0x79dad
8	unobserved_static	vm_unobserved_handlers_retdec_batch03.c	0x79a3d	0x79db1	884	-1	192	2	876	function_79a3d,function_79da7	0x79a3d-0x79da3,0x79da7-0x79dad
9	partial	vm_weak_handlers_retdec.c	0x79da3	0x7a05c	696	3	-1	1	684	function_79da3	0x79da3-0x7a04f
10	unobserved_static	vm_unobserved_handlers_retdec_batch05.c	0x7a04f	0x7a4e6	1170	-1	259	2	1164	function_7a04f,function_7a4e3	0x7a04f-0x7a4d8,0x7a4e3-0x7a4e6
