source_entry	source_target	site	instruction_events	register_trace_events	target_reg	target_events	target_pct	slot_reg	slot_events	slot_pct	byte_index_reg	byte_index_events	byte_index_pct	frame_reg	frame_events	frame_pct	top_targets	top_deltas	byte_statuses
258	0xadf2c	0xae32f	28058	2476	r11	2476	100.0	r10	2476	100.0	rcx	2476	100.0	rbp	2476	100.0	307:1689,199:1547,297:1508,215:1365,18:1334,43:1325,185:1282,20:890	+0x4:28058	exact:28058
28	0x7e390	0x7e7ca	26610	1754	r11	1754	100.0	rbx	1754	100.0	r14	1754	100.0	rbp	1754	100.0	347:2147,258:1654,340:1637,337:1601,114:1452,189:1398,64:1136,174:1021	+0x3:26610	exact:26610
337	0xbec0e	0xbf126	26534	1342	rbx	1342	100.0	r10	1342	100.0	r11	1342	100.0	rbp	1342	100.0	297:1787,66:1591,307:1382,28:1313,18:1254,215:1178,123:860,185:858	+0x4:26534	exact:26534
340	0xbf435	0xbf886	26112	1300	r15	1300	100.0	r8	1300	100.0	r14	1300	100.0	r11	1300	100.0	307:1748,28:1702,66:1362,185:1352,215:1274,18:1062,297:1022,161:980	+0x4:26112	exact:26112
18	0x7be9b	0x7c308	25448	1283	rcx	1283	100.0	r13	1283	100.0				rbp	1283	100.0	114:1729,189:1581,347:1461,258:1384,337:1249,174:1212,340:1174,20:1114	+0x3:25448	exact:25448
114	0x90319	0x90893	25300	1462	rdi	1462	100.0	r11	1462	100.0	rdx	1462	100.0	rbp	1462	100.0	66:2041,185:1516,215:1500,18:1307,20:1184,158:1132,28:1117,307:1060	+0x4:25300	exact:25300
189	0x9e7af	0x9eac9	25112	1346	rdx	1346	100.0	r11	1346	100.0	r13	1346	100.0	rbp	1346	100.0	18:1894,297:1503,215:1354,174:1273,307:1197,43:1121,176:1084,28:990	+0x4:25112	exact:25112
347	0xc088d	0xc0d7b	24299	1553	rdi	1553	100.0	r8	1553	100.0	r11	1	0.1	r10	1553	100.0	18:1928,307:1577,297:1475,28:1302,168:1257,184:1071,199:871,174:830	+0x4:24299	exact:24299
307	0xb8064	0xb837a	24095	1093	rcx	1093	100.0	rdx	1093	100.0	r13	1093	100.0	rbp	1093	100.0	114:1754,176:1332,189:1166,337:1159,258:1055,340:1046,64:1029,174:961	+0x3:24095	exact:24095
64	0x85059	0x8536e	23678	837	r13	837	100.0	rsi	837	100.0				r8	837	100.0	18:2091,28:1633,199:1345,184:1255,215:1065,66:1024,185:967,43:930	+0x4:23678	exact:23678
66	0x855ff	0x859f9	22739	1358	r8	1358	100.0	r11	1358	100.0	rdx	1358	100.0	rbp	1358	100.0	337:1650,64:1561,340:1336,184:1324,189:1320,258:1075,123:966,347:920	+0x3:22739	exact:22739
185	0x9d964	0x9dcab	21620	1091	r10	1091	100.0	r15	1091	100.0				rbp	1091	100.0	337:1336,64:1324,347:1270,174:1182,258:1100,168:964,114:862,123:838	+0x3:21620	exact:21620
215	0xa4609	0xa4a5e	21174	1571	r14	1571	100.0	r8	1571	100.0	rcx	1571	100.0	rbp	1571	100.0	114:1359,337:1186,347:1123,189:1119,258:1070,340:1042,64:953,20:806	+0x3:21174	exact:21174
297	0xb64d7	0xb68ff	20640	1299	r13	1299	100.0	rcx	1299	100.0	r15	1299	100.0	rbp	1299	100.0	347:1305,258:1285,340:1194,114:909,123:902,43:896,189:854,184:847	+0x3:20640	exact:20640
199	0xa0631	0xa0a9c	19641	1351	rax	1351	100.0	r11	1351	100.0	r8	1351	100.0	rbp	1351	100.0	258:1481,64:1221,340:993,189:968,184:957,346:947,347:758,114:656	+0x3:19641	exact:19641
43	0x8173d	0x81b7c	16136	1115	r8	1115	100.0	rax	1115	100.0				rbp	1115	100.0	347:1058,287:806,337:770,26:765,189:762,297:745,199:731,258:707	+0x4:16136	exact:16136
157	0x98a9a	0x99026	14693	971	r9	971	100.0	rcx	971	100.0	rdi	971	100.0	rbp	971	100.0	18:993,199:922,66:885,340:831,64:828,185:813,28:733,337:669	+0x4:14693	exact:14693
196	0x9fbcd	0xa0068	14371	1057	r10	1057	100.0	rdi	1057	100.0	r11	1057	100.0	rbp	1057	100.0	18:1113,189:988,340:880,66:807,258:771,33:666,347:647,307:608	+0x4:14371	exact:14371
