hidden_source_entry	hidden_source_target	hidden_target_entry	hidden_target	delta	events	unique_start_ips	unique_end_ips	statuses	source_observations	prev_sources	prev_sites	next_targets	all_start_ips	all_end_ips	start_ips	end_ips	top_ip_reads	top_bytes	top_sha256	inference	lifted_ir
50	0x82e76	171	0x9b4b3	+0x11	320	2	2	file_backed:320	target_only:320	123:320	tail@0x91e7f:320	196:320	0x230111,0x230b1b	0x230122,0x230b2c	0x230111,0x230b1b	0x230122,0x230b2c	+0x7/4,+0x0/1,+0x1/1,+0x9/2,+0x2/2,+0x3/4,+0x2/1,+0xb/2,+0x0/2,+0x4/1,+0x5/2,+0x7/2:320	f7a5d6df374416be0423008000e801ab00:256,b4ab4d1a9aeb03db1223008000ab00e801:64	3e9d415e5e33260aa995c09ebba563c9bbb473d217ab0a9fa8ab7ad92d05a68d	adjacent_unhooked_span	inferred table[50] -> table[171], ip += 0x11
334	0xbdd18	183	0x9d495	+0x11	126	2	2	file_backed:126	sampled_long_or_sparse:126	122:125,52:1	tail@0x91a57:125,tail@0x8371b:1	297:125,66:1	0x11beb3,0x371477	0x11bec4,0x371488	0x11beb3,0x371477	0x11bec4,0x371488	+0x8/2,+0xa/1,+0x0/2,+0x4/4:126	62010000a50200003d0100c3c965845dca:125,ab0000005e0000003d012203c749284c97:1	571e2ff6fc131963a676bafd7c2ad435a13d86befc9015c4789a93720b24c8c4	adjacent_unhooked_span	inferred table[334] -> table[183], ip += 0x11
75	0x873fc	260	0xae90b	+0x10	93	2	2	file_backed:93	sampled_backedge:93	242:91,52:2	tail@0xaab67:91,tail@0x8371b:2	183:93	0x310dba,0x361133	0x310dca,0x361143	0x310dba,0x361133	0x310dca,0x361143	+0x8/2,+0xa/1,+0x0/2,+0x4/4:93	620100000e4f00003d0122089c424b34:91,a5000000880200003d010036ad200839:2	7ced0dd8d7da4e921e1f7651a1ac6a740265c3a56c15c1269afab1fdcfe6c3f1	adjacent_unhooked_span	inferred table[75] -> table[260], ip += 0x10
321	0xbb1dd	165	0x9a24c	+0x11	66	3	3	file_backed:66	exact:66	176:64,174:1,161:1	tail@0x9c3f4:64,tail@0x9c08c:1,tail@0x99b3a:1	333:64,297:1,337:1	0xd420b,0x1a5968,0x230e07	0xd421c,0x1a5979,0x230e18	0xd420b,0x1a5968,0x230e07	0xd421c,0x1a5979,0x230e18	+0x7/4,+0x0/1,+0x1/1,+0x3/4,+0x2/1,+0xb/2,+0x0/2,+0x2/2:66	a55cd83d0f9e67571423008000a500e801:64,e181c02402a612c25e0d008000e801a500:1,0b0362ed5d4a0787611a008000e801a500:1	d350403bf19e760ff2ad9060f31d01b603b4f2671d8769887557baf672ad09b3	adjacent_unhooked_span	inferred table[321] -> table[165], ip += 0x11
264	0xaf4cf	171	0x9b4b3	+0xe	58	15	15	file_backed:58	exact:58	176:27,123:12,161:10,158:5,20:2,184:1,174:1	tail@0x9c3f4:27,tail@0x91e7f:12,tail@0x99b3a:10,tail@0x992ca:5,tail@0x7ca96:2,tail@0x9d961:1,tail@0x9c08c:1	199:26,168:13,196:10,340:2,297:1,203:1,307:1,185:1	0xd5b17,0xda4b0,0xdad78,0x11d3d3,0x170fdb,0x176aa5,0x18b88f,0x293001,0x2c1277,0x31d49d,0x31eead,0x339c26,0x33de22,0x33e532,0x370f0a	0xd5b25,0xda4be,0xdad86,0x11d3e1,0x170fe9,0x176ab3,0x18b89d,0x29300f,0x2c1285,0x31d4ab,0x31eebb,0x339c34,0x33de30,0x33e540,0x370f18	0xd5b17,0xda4b0,0xdad78,0x11d3d3,0x170fdb,0x176aa5,0x18b88f,0x293001,...+7	0xd5b25,0xda4be,0xdad86,0x11d3e1,0x170fe9,0x176ab3,0x18b89d,0x29300f,...+7	+0x4/2,+0x6/4,+0x0/4,+0x18/2,+0x1a/2,+0x12/2,+0xa/2,+0x16/2,+0xe/2,+0x14/2,+0xc/2,+0x6/2,+0x0/2,+0x2/2,+0x1e/2,+0x20/2,+0x1c/2,+0x10/2,+0x8/2:58	442a3700800014de4800e801ab00:25,b4ec33008000b6510700e801ab00:12,72ef33008000c9d74800e801ab00:9,a4411200800080000200e801ab00:1,6dc41800800036170200ab00e801:1,e06d0d0080005e1e0200ab00e801:1,d4c90d00800048510200e801ab00:1,54cf0d0080003a510200e801ab00:1	4147d605da474c85e6ce7b2a45b51d1512d5a5a53702f0baaf9dcfb98e482b02	adjacent_unhooked_span	inferred table[264] -> table[171], ip += 0xe
316	0xb987b	196	0x9fbcd	+0x16	41	1	1	file_backed:41	sampled_backedge:41	52:41	tail@0x8371b:41	258:41	0x36b35e	0x36b374	0x36b35e	0x36b374	+0x8/2,+0xa/1,+0x0/2,+0x4/4:41	ab000000300000003d012265f513003d019d0180e00d:41	e49dace93831bb39dd153cacaafa866779329d795731c5ae7a5325eacb5eeb84	adjacent_unhooked_span	inferred table[316] -> table[196], ip += 0x16
311	0xb86f8	165	0x9a24c	+0xe	39	6	6	file_backed:39	exact:39	161:35,123:2,174:1,176:1	tail@0x99b3a:35,tail@0x91e7f:2,tail@0x9c08c:1,tail@0x9c3f4:1	333:26,66:9,199:1,43:1,337:1,114:1	0xd4cb9,0x121435,0x170856,0x33e2da,0x3703d8,0x371e16	0xd4cc7,0x121443,0x170864,0x33e2e8,0x3703e6,0x371e24	0xd4cb9,0x121435,0x170856,0x33e2da,0x3703d8,0x371e16	0xd4cc7,0x121443,0x170864,0x33e2e8,0x3703e6,0x371e24	+0x6/4,+0x4/2,+0x0/4,+0x0/1,+0x1/2,+0x3/2:39	552437008000a0000200a500e801:26,1aee33008000b8500700a500e801:9,fb680d00800050eb4e00e801a500:1,e92d37008000ff4d0200e801a500:1,156512008000e41f0200e801a500:1,34451700800078590300e801a500:1	3d607cb964f5287a80622ce7564e2f8432d1fd003eebdddd20c56f38b2a70a22	adjacent_unhooked_span	inferred table[311] -> table[165], ip += 0xe
334	0xbdd18	114	0x90319	+0x16	39	1	1	file_backed:39	sampled_long_or_sparse:39	52:39	tail@0x8371b:39	297:39	0x3676fd	0x367713	0x3676fd	0x367713	+0x8/2,+0xa/1,+0x0/2,+0x4/4:39	62010000300000003d0122b3cb1300eb539d013d0180:39	127049225098cf0d1836c4b02e0cfd7b52bcc8d39ff53a69bb466c194a904cf5	adjacent_unhooked_span	inferred table[334] -> table[114], ip += 0x16
356	0xc291a	171	0x9b4b3	+0xe	33	9	9	file_backed:33	exact:33	20:25,174:4,161:3,176:1	tail@0x7ca96:25,tail@0x9c08c:4,tail@0x99b3a:3,tail@0x9c3f4:1	66:26,203:1,307:1,337:1,258:1,333:1,268:1,157:1	0x11b5a6,0x11cf21,0x11edcf,0x1a4c73,0x1a4fc9,0x339674,0x33a225,0x368c3b,0x370cb0	0x11b5b4,0x11cf2f,0x11eddd,0x1a4c81,0x1a4fd7,0x339682,0x33a233,0x368c49,0x370cbe	0x11b5a6,0x11cf21,0x11edcf,0x1a4c73,0x1a4fc9,0x339674,0x33a225,0x368c3b,...+1	0x11b5b4,0x11cf2f,0x11eddd,0x1a4c81,0x1a4fd7,0x339682,0x33a233,0x368c49,...+1	+0x3/2,+0x6/4,+0x4/2,+0x0/4,+0x2/1,+0x0/2:33	d228370080006e820700ab00e801:25,6b33120080001c600300e801ab00:1,2d3f120080008e500200ab00e801:1,35ac33008000ff4d0200e801ab00:1,bcb13300800080fd0100ab00e801:1,d1a73600800000ff0100ab00e801:1,454f1200800004620300ab00e801:1,54641a008000e0bd4800e801ab00:1	eaa94b134e8b58d00d4ce54539bca5b59c30098f05718e1235f07eac14ed5258	adjacent_unhooked_span	inferred table[356] -> table[171], ip += 0xe
95	0x8c41c	165	0x9a24c	+0xe	32	8	8	file_backed:32	exact:32	184:26,158:2,174:2,123:1,20:1	tail@0x9d961:26,tail@0x992ca:2,tail@0x9c08c:2,tail@0x91e7f:1,tail@0x7ca96:1	157:25,199:1,64:1,333:1,268:1,347:1,337:1,172:1	0x11e695,0x171e6b,0x176c87,0x18ba5b,0x31cfb6,0x369c4a,0x370624,0x371b85	0x11e6a3,0x171e79,0x176c95,0x18ba69,0x31cfc4,0x369c58,0x370632,0x371b93	0x11e695,0x171e6b,0x176c87,0x18ba5b,0x31cfb6,0x369c4a,0x370624,0x371b85	0x11e6a3,0x171e79,0x176c95,0x18ba69,0x31cfc4,0x369c58,0x370632,0x371b93	+0x4/2,+0x6/4,+0x0/4,+0x6/2,+0x2/2,+0x0/2:32	95253700800030080200a500e801:25,eec5180080007b520200a500e801:1,c1f63100800068510700e801a500:1,33ad3600800080fd0100a500e801:1,a92c3700800070080200a500e801:1,4b4b1200800012d60200e801a500:1,92a9170080009c860200e801a500:1,695117008000c05d0300a500e801:1	53ef9c33f483dfeb92f83af70ea38a7930137218a4bf8761dd0f9dfb217f0238	adjacent_unhooked_span	inferred table[95] -> table[165], ip += 0xe
