start_vm_ip	source_entry	source_target	delta	bytes	byte_status	count	top_targets	top_site	state_class	state_events	top_state_add	top_flag_add	top_byte_add	state_affine_status	state_affine_cv_status	state_affine_cv_pct	state_affine_terms	state_static_pct	state_static_mismatches	static_dispatch_pct	static_dispatch_mismatches	static_ip_pct	static_ip_mismatches	dispatch_model	dispatch_model_pct	target_reg	slot_kind	slot_reg_or_temp	byte_index_reg	static_load_site	static_index_add_site	tail_role_events	dispatch_formula	dispatch_formula_class	dispatch_formula_pct	dispatch_affine_status	dispatch_affine_pct	dispatch_affine_terms	dispatch_affine_cv_status	dispatch_affine_cv_pct
0x22ff44	171	0x9b4b3	+0x2	4201	exact	256	322@0xbb3c9:256	0x9b687	state_const_post	256	-0x79a30258:255,-0x573b8fd8:1	-0x2d52bb94:255,+0x4af6ee8b:1	+0x0:256	fit	robust	100.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r14	live_slot	r13	rbx			1069	(u16_0&0x1ff)*8	other_expr	100.0	fit	100.0	9	robust	100.0
0x22ff46	322	0xbb3c9	+0x4	13005796	exact	256	157@0x98a9a:256	0xbb6e3	state_add_const	256	-0x7bccfbe0:256	-0x407c30ec:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	rax	r9			835	constant:0x4e8	constant_target	30.7	inconsistent	0.0	0	no_train_fit	0.0
0x22ff4a	157	0x98a9a	+0x4	7b8b6800	exact	256	258@0xadf2c:256	0x99026	state_add_const	256	-0x6c60031c:256	-0x3d5edd0c:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r9	live_slot	rcx	rdi			4834	constant:0x210	constant_target	8.8	inconsistent	0.0	0	no_train_fit	0.0
0x22ff4e	258	0xadf2c	+0x4	f3d5ce87	exact	256	215@0xa4609:256	0xae32f	state_add_const	256	+0x383d0514:256	-0x50b62466:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	r10	rcx			9696	post&0x1fff	state_expr	7.1	inconsistent	0.0	0	no_train_fit	0.0
0x22ff52	215	0xa4609	+0x3	6809c8	exact	256	301@0xb708d:256	0xa4a5e	state_add_const	256	-0x51114f81:256	+0x1d05ffae:256	+0x0:255,+0xea:1	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r14	live_slot	r8	rcx			7122	u16_0	direct_u16	100.0	fit	100.0	9	robust	100.0
0x22ff55	301	0xb708d	+0x5	003d01ef74	exact	256	160@0x994cf:256	0xb7583	state_add_const	256	-0x33f63587:256	+0x4d4a2ecd:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	rax	rbx			2037	constant:0x500	constant_target	26.4	inconsistent	0.0	0	no_train_fit	0.0
0x22ff5a	160	0x994cf	+0x2	f12f	exact	256	172@0x9b68a:256	0x99757	state_const_post	262	-0x73ccf130:256,+0x2b4b6aa0:3,+0x573b8fe0:2,-0x723aad0c:1	+0x0:262	+0x0:262	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r8	live_slot	r9	r14			2706	constant:0x5c8	constant_target	12.4	inconsistent	0.0	0	no_train_fit	0.0
0x22ff5c	172	0x9b68a	+0x4	3ea0d30a	exact	256	28@0x7e390:256	0x9ba72	state_add_const	256	+0x2623ad13:256	-0x1fc35f40:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	rsi	live_slot	r8	r15			4531	constant:0xe0	constant_target	7.9	fit	100.0	13	robust	100.0
0x22ff60	28	0x7e390	+0x3	600921	exact	256	300@0xb6c36:256	0x7e7ca	state_mixed	260	+0x34875080:256,-0x3610797c:4	-0x2fe22259:256,-0x63a799ba:4	+0x0:256,+0x16:4	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r11	live_slot	rbx	r14			8351	u16_0	direct_u16	100.0	fit	100.0	9	robust	100.0
0x22ff63	300	0xb6c36	+0x4	2c856042	exact	256	258@0xadf2c:256	0xb708a	state_add_const	256	+0x4e17a4cd:256	-0x4c084084:256	+0x0:256	inconsistent	no_train_fit	0.0	0	100.0	0	100.0	0	100.0	0	static_100	100.0	r12	live_slot	r14	rcx			2214	constant:0x810	constant_target	23.4	inconsistent	0.0	0	no_train_fit	0.0
