source_entry	source_target	events	unique_start_ips	unique_signatures	top_deltas	dominant_delta	dominant_delta_pct	dominant_shape	dominant_word_shape	target_entropy	top_targets	top_sites	top_bytes
258	0xadf2c	28058	2268	2268	+0x4:28058	+0x4	100.0	VVVV	VV	5.292	307@0xb8064:1689,199@0xa0631:1547,297@0xb64d7:1508,215@0xa4609:1365,18@0x7be9b:1334,43@0x8173d:1325	tail@0xae32f:28058	f3d5ce87:256,afabd64f:256,24d2f189:256,6503717e:256,e8d9514c:256,5f088d75:256
28	0x7e390	26610	2333	2333	+0x3:26610	+0x3	100.0	VVV	V	5.149	347@0xc088d:2147,258@0xadf2c:1654,340@0xbf435:1637,337@0xbec0e:1601,114@0x90319:1452,189@0x9e7af:1398	tail@0x7e7ca:26610	600921:260,a00084:258,d80a40:257,400512:257,5801d8:257,00049a:256
337	0xbec0e	26534	2321	2321	+0x4:26534	+0x4	100.0	VVVV	VV	5.275	297@0xb64d7:1787,66@0x855ff:1591,307@0xb8064:1382,28@0x7e390:1313,18@0x7be9b:1254,215@0xa4609:1178	tail@0xbf126:26534	f3965005:256,402def44:256,7c6da4c8:256,f08c4964:256,24910100:256,3038a6dc:256
340	0xbf435	26112	2259	2259	+0x4:26112	+0x4	100.0	VVVE	VV	5.259	307@0xb8064:1748,28@0x7e390:1702,66@0x855ff:1362,185@0x9d964:1352,215@0xa4609:1274,18@0x7be9b:1062	tail@0xbf886:26112	4c0eab00:257,30d7d300:256,887ecb00:256,655b3800:256,7c0f7900:256,83456800:256
18	0x7be9b	25448	2501	2501	+0x3:25448	+0x3	100.0	VVV	V	5.184	114@0x90319:1729,189@0x9e7af:1581,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249,174@0x9bd8f:1212	tail@0x7c308:25448	580eaa:256,91101e:256,920dd4:256,603937:256,584f3c:256,4804c6:256
114	0x90319	25300	2254	2254	+0x4:25300	+0x4	100.0	VVVV	VV	5.143	66@0x855ff:2041,185@0x9d964:1516,215@0xa4609:1500,18@0x7be9b:1307,20@0x7c62b:1184,158@0x99029:1132	tail@0x90893:25300	d95ea6ac:256,4772c723:256,50772fc0:256,233e7c74:256,dbbb3cff:256,d167ee1a:256
189	0x9e7af	25112	2279	2279	+0x4:25112	+0x4	100.0	VVVV	VV	5.139	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197,43@0x8173d:1121	tail@0x9eac9:25112	3ef7ecd6:347,1c6334a2:256,a3fface0:256,95abe8db:256,ec75b8a3:256,ad54bc9e:256
347	0xc088d	24299	2146	2146	+0x4:24299	+0x4	100.0	VVVV	VV	5.124	18@0x7be9b:1928,307@0xb8064:1577,297@0xb64d7:1475,28@0x7e390:1302,168@0x9aa83:1257,184@0x9d694:1071	tail@0xc0d7b:24299	8d0b6f82:256,6e0eba81:256,390d5d81:256,5f8f5b02:256,2d82ad02:256,208da401:256
307	0xb8064	24095	2012	2012	+0x3:24095	+0x3	100.0	VVV	V	5.149	114@0x90319:1754,176@0x9c10b:1332,189@0x9e7af:1166,337@0xbec0e:1159,258@0xadf2c:1055,340@0xbf435:1046	tail@0xb837a:24095	3ad5af:349,3a3db4:291,709dae:256,3615b4:256,51bdae:256,e025af:256
64	0x85059	23678	2222	2222	+0x4:23678	+0x4	100.0	VVVV	VV	5.116	18@0x7be9b:2091,28@0x7e390:1633,199@0xa0631:1345,184@0x9d694:1255,215@0xa4609:1065,66@0x855ff:1024	tail@0x8536e:23678	338a93fd:256,ef8337bf:256,abef7bd8:256,20bb3b1b:150,aa4aac3a:125,bda29900:94
66	0x855ff	22739	2180	2180	+0x3:22739	+0x3	100.0	VVV	V	5.186	337@0xbec0e:1650,64@0x85059:1561,340@0xbf435:1336,184@0x9d694:1324,189@0x9e7af:1320,258@0xadf2c:1075	tail@0x859f9:22739	e2c138:256,40c968:256,05ad78:256,65ca28:256,69f83e:256,9d3bbe:256
185	0x9d964	21620	1885	1885	+0x3:21620	+0x3	100.0	VVE	V	5.150	337@0xbec0e:1336,64@0x85059:1324,347@0xc088d:1270,174@0x9bd8f:1182,258@0xadf2c:1100,168@0x9aa83:964	tail@0x9dcab:21620	8b2862:256,57a23a:256,bf873a:256,7e9562:256,5b223a:256,e3a93a:150
