source_entry	source_target	events	unique_vm_ips	top_sites	top_targets	top_ip_deltas	top_w0	top_w1	top_w2	top_w3	top_w4	top_w5
316	0xb987b	447	13	tail@0xba0cc:447	165@0x9a24c:258,354@0xc2241:95,171@0x9b4b3:94	-0x3c4:255,+0x2d:182,+0x30:3,+0x288:2,+0x211:2	0x72:255,0x2b:91,0x151:91,0xb9:2,0x40:2	0x5ed9:255,0x7ba4:91,0x97f4:91,0xa8a3:1,0xe9d8:1	0xaca6:255,0x68:93,0xb3:91,0xad3a:1,0x228:1	0x64b6:255,0x180:91,0x98f7:91,0xf381:1,0x6db:1	0x57cf:255,0x475a:91,0x9e8f:91,0x1e8:2,0x68:2	0x914f:255,0x1e8:91,0xa2e4:91,0x6501:1,0x5e8:1
75	0x873fc	276	14	tail@0x87c25:276	171@0x9b4b3:256,165@0x9a24c:16,354@0xc2241:4	-0x6d:255,+0x60:9,+0x30:2,+0x288:2,+0x28b:2	0x142:255,0xbd:9,0x72:2,0x111:2,0x9d:1	0x13:255,0x68:9,0xd78b:1,0x63a2:1,0xc177:1	0x9657:255,0xed6c:9,0xac5b:2,0x228:2,0x19d:1	0x8b7b:255,0x339f:9,0x1e8:2,0x9db6:1,0xe1c8:1	0x68:264,0x1e8:2,0xc97c:1,0x823:1,0x353:1	0xd5f3:255,0x604:9,0xdd8:1,0x1ca5:1,0x3f10:1
266	0xaf8af	200	16	tail@0xafa1d:200	354@0xc2241:135,171@0x9b4b3:57,165@0x9a24c:8	-0x2e8:125,-0x40:52,-0x55d:7,-0x78e:4,-0x2ce:4	0xb9:126,0x154:18,0x151:17,0xfd:10,0x72:7	0xa9e3:125,0x12cc:18,0x9978:17,0xb88e:10,0x6373:7	0x953a:125,0x79:35,0x0:10,0xac6c:7,0x1e8:4	0x3d0f:125,0x5486:18,0x37bf:17,0x0:10,0x79:7	0x3b31:125,0xe53:18,0x4303:17,0x680:10,0xd6ce:7	0xe80b:127,0xaa86:18,0xac8:17,0x962e:10,0xb88e:7
145	0x95b5c	142	13	tail@0x9634f:142	354@0xc2241:132,165@0x9a24c:6,171@0x9b4b3:4	+0x139:125,+0xbec:4,+0x30:3,+0x60:3,+0x28b:2	0x10c:126,0xc7:5,0x79:3,0xbd:2,0xc4:2	0x1c19:126,0x480f:4,0x6058:3,0x68:2,0x6e1e:2	0x6cbe:125,0x2a3a:4,0xff34:3,0xef3c:1,0xd3e5:1	0x2f45:125,0x3389:4,0x1e8:3,0x860:1,0xdb3d:1	0x8aff:125,0xeebc:4,0x2a86:3,0x1e8:2,0xfe88:1	0x3af0:125,0x6e8d:4,0x7177:3,0xdd3d:1,0xb076:1
117	0x90acd	122	18	tail@0x90c21:122	354@0xc2241:71,165@0x9a24c:48,171@0x9b4b3:3	-0x40:83,-0xbc1:9,-0x584:6,-0xbc0:6,-0x2ce:5	0x15b:47,0x14d:14,0xb9:13,0x159:10,0x7c:9	0x3cb0:41,0xe0eb:14,0xa3c3:13,0x540:10,0x9de1:9	0x942:41,0x79:14,0xcd3a:13,0x0:10,0x2e07:9	0xaf72:41,0x25c2:14,0x2c18:13,0x0:10,0x80ff:9	0x798d:41,0x5f71:14,0x7c29:13,0x79:10,0x40bc:9	0xd5e6:41,0x75d8:14,0xce4b:13,0xd4f6:10,0x3ec0:9
302	0xb7586	109	10	tail@0xb7699:109	171@0x9b4b3:70,165@0x9a24c:35,354@0xc2241:4	-0x40:61,+0x22:25,-0x55d:9,-0x2ce:8,-0x24c:4	0x7c:39,0xa8:29,0x12:22,0x154:9,0x129:3	0x4dc1:39,0xb3:25,0xac8:22,0x138c:9,0x147:4	0x2e00:39,0xd586:25,0x303a:22,0x68:13,0xd1aa:4	0xcb07:39,0x390:25,0x9915:22,0xdd7b:9,0x7175:4	0x44d4:39,0x2184:25,0xd795:22,0xd2ed:9,0x2152:4	0x79:39,0x5e8c:25,0xcb7a:22,0x4877:9,0x865f:4
334	0xbdd18	42	18	tail@0xbe55b:42	354@0xc2241:33,171@0x9b4b3:5,165@0x9a24c:4	+0x2a5:25,+0x288:2,+0x30:2,+0x2f:2,+0x20d:1	0xfd:25,0xc7:3,0xd7:2,0x1e:2,0x14d:2	0xbe1e:25,0x1f10:2,0xd71c:2,0x4cdf:1,0x5e8:1	0x0:25,0x1e8:3,0x68:2,0x663a:1,0x7410:1	0x0:25,0x98b:2,0xe0b:2,0x1a56:1,0xd0f5:1	0x6b0e:25,0x1e8:5,0x862a:1,0xcde7:1,0x8d03:1	0xe11c:25,0x8839:1,0xe892:1,0x747f:1,0x630f:1
246	0xab427	39	13	tail@0xabc56:39	165@0x9a24c:31,354@0xc2241:6,171@0x9b4b3:2	+0x78:25,+0x792:3,+0x21a:2,+0x288:2,+0x28b:2	0x40:26,0xc7:3,0x12:2,0x2b:1,0xc4:1	0xabd5:25,0x4ddf:3,0x79ac:1,0x6e1e:1,0x1c64:1	0x91:25,0xd43a:3,0x68:2,0xf614:1,0x6276:1	0x66b:25,0xd0c7:3,0x1e8:2,0x0:1,0x2ba1:1	0x91:25,0xe803:3,0xe0c4:1,0x4742:1,0x1100:1	0x2119:25,0x6e01:3,0x5568:1,0x68b:1,0xf6a6:1
210	0xa2da3	15	13	tail@0xa35dd:15	354@0xc2241:7,171@0x9b4b3:6,165@0x9a24c:2	+0x30:4,+0x28b:3,+0x60:3,+0x288:2,+0x670:1	0x72:3,0x15b:2,0x9d:1,0xfe:1,0x2b:1	0x66ca:3,0x3719:1,0xd4d7:1,0x1e8:1,0x7afc:1	0x68:3,0xac5b:3,0x931:2,0x4742:1,0xde3a:1	0x8a0c:3,0x8383:1,0x820:1,0x1063:1,0xf0:1	0x620c:3,0x1e8:2,0x397e:1,0x6d1c:1,0x3748:1	0x1e8:4,0x68b:1,0x90f:1,0xf7df:1,0xf01c:1
195	0x9fb50	3	3	dispatch@0xc80b9:3	310@0xb8556:2,86@0x8a37f:1	-0x2306:1,-0x542a:1,-0x8c8e:1	0x1e8:2,0x136:1	0x0:1,0xab:1,0xa5:1	0x1e8:1,0xc7:1,0x14d:1	0xa5:1,0x4ef7:1,0xe973:1	0x42:1,0xfc3a:1,0x99:1	0x9831:1,0x9194:1,0xe957:1
