source_entry	source_target	delta	events	source_event_pct	unique_start_ips	unique_signatures	shape	word_shape	target_entropy	top_targets	top_sites	top_byte_values	byte_layout	word_layout
258	0xadf2c	+0x4	28058	100.0	2268	2268	VVVV	VV	5.292	307@0xb8064:1689,199@0xa0631:1547,297@0xb64d7:1508,215@0xa4609:1365,18@0x7be9b:1334,43@0x8173d:1325	tail@0xae32f:28058	f3d5ce87:256,afabd64f:256,24d2f189:256,6503717e:256,e8d9514c:256,5f088d75:256	b0=var255(top=0xf3:2.2%);b1=var256(top=0xab:1.9%);b2=var246(top=0x51:2.5%);b3=var240(top=0xeb:4.3%)	w0=var2202(top=0xd5f3:0.9%);w1=var1895(top=0x4fd6:0.9%)
28	0x7e390	+0x3	26610	100.0	2333	2333	VVV	V	5.149	347@0xc088d:2147,258@0xadf2c:1654,340@0xbf435:1637,337@0xbec0e:1601,114@0x90319:1452,189@0x9e7af:1398	tail@0x7e7ca:26610	600921:260,a00084:258,d80a40:257,400512:257,5801d8:257,00049a:256	b0=var30(top=0xd8:12.5%);b1=var11(top=0x0a:24.2%);b2=var256(top=0x70:2.5%)	w0=var87(top=0x0ad8:8.1%)
337	0xbec0e	+0x4	26534	100.0	2321	2321	VVVV	VV	5.275	297@0xb64d7:1787,66@0x855ff:1591,307@0xb8064:1382,28@0x7e390:1313,18@0x7be9b:1254,215@0xa4609:1178	tail@0xbf126:26534	f3965005:256,402def44:256,7c6da4c8:256,f08c4964:256,24910100:256,3038a6dc:256	b0=var128(top=0x7c:3.3%);b1=var227(top=0x91:5.3%);b2=var254(top=0x9d:2.2%);b3=var253(top=0x00:7.9%)	w0=var1927(top=0x9124:1.0%);w1=var1949(top=0x0099:1.3%)
340	0xbf435	+0x4	26112	100.0	2259	2259	VVVE	VV	5.259	307@0xb8064:1748,28@0x7e390:1702,66@0x855ff:1362,185@0x9d964:1352,215@0xa4609:1274,18@0x7be9b:1062	tail@0xbf886:26112	4c0eab00:257,30d7d300:256,887ecb00:256,655b3800:256,7c0f7900:256,83456800:256	b0=var221(top=0x4c:4.0%);b1=var255(top=0x16:2.8%);b2=var17(top=0xb3:15.9%);b3=enum2(0x00:21582,0x01:4530)	w0=var1969(top=0x0f7c:1.4%);w1=var17(top=0x00b3:15.9%)
18	0x7be9b	+0x3	25448	100.0	2501	2501	VVV	V	5.184	114@0x90319:1729,189@0x9e7af:1581,347@0xc088d:1461,258@0xadf2c:1384,337@0xbec0e:1249,174@0x9bd8f:1212	tail@0x7c308:25448	580eaa:256,91101e:256,920dd4:256,603937:256,584f3c:256,4804c6:256	b0=var149(top=0xa0:5.4%);b1=var200(top=0x0a:6.4%);b2=var165(top=0x3a:10.5%)	w0=var1783(top=0x0620:1.2%)
114	0x90319	+0x4	25300	100.0	2254	2254	VVVV	VV	5.143	66@0x855ff:2041,185@0x9d964:1516,215@0xa4609:1500,18@0x7be9b:1307,20@0x7c62b:1184,158@0x99029:1132	tail@0x90893:25300	d95ea6ac:256,4772c723:256,50772fc0:256,233e7c74:256,dbbb3cff:256,d167ee1a:256	b0=var255(top=0x99:2.0%);b1=var198(top=0x77:2.9%);b2=var250(top=0xa6:2.9%);b3=var248(top=0xcf:2.6%)	w0=var2171(top=0x67d1:1.0%);w1=var2097(top=0xaca6:1.1%)
189	0x9e7af	+0x4	25112	100.0	2279	2279	VVVV	VV	5.139	18@0x7be9b:1894,297@0xb64d7:1503,215@0xa4609:1354,174@0x9bd8f:1273,307@0xb8064:1197,43@0x8173d:1121	tail@0x9eac9:25112	3ef7ecd6:347,1c6334a2:256,a3fface0:256,95abe8db:256,ec75b8a3:256,ad54bc9e:256	b0=var256(top=0xec:1.7%);b1=var256(top=0x00:4.4%);b2=var64(top=0xbc:6.1%);b3=var64(top=0xe7:4.7%)	w0=var2134(top=0xf73e:1.4%);w1=var1336(top=0xd6ec:1.7%)
347	0xc088d	+0x4	24299	100.0	2146	2146	VVVV	VV	5.124	18@0x7be9b:1928,307@0xb8064:1577,297@0xb64d7:1475,28@0x7e390:1302,168@0x9aa83:1257,184@0x9d694:1071	tail@0xc0d7b:24299	8d0b6f82:256,6e0eba81:256,390d5d81:256,5f8f5b02:256,2d82ad02:256,208da401:256	b0=var256(top=0xe6:2.1%);b1=var79(top=0x0b:6.4%);b2=var230(top=0xba:3.9%);b3=var101(top=0x82:10.2%)	w0=var1845(top=0x8d20:1.4%);w1=var1485(top=0x02ad:1.5%)
307	0xb8064	+0x3	24095	100.0	2012	2012	VVV	V	5.149	114@0x90319:1754,176@0x9c10b:1332,189@0x9e7af:1166,337@0xbec0e:1159,258@0xadf2c:1055,340@0xbf435:1046	tail@0xb837a:24095	3ad5af:349,3a3db4:291,709dae:256,3615b4:256,51bdae:256,e025af:256	b0=var252(top=0x3a:9.2%);b1=var29(top=0x9d:8.1%);b2=var12(top=0xaf:24.2%)	w0=var1340(top=0x3d3a:1.5%)
64	0x85059	+0x4	23678	100.0	2222	2222	VVVV	VV	5.116	18@0x7be9b:2091,28@0x7e390:1633,199@0xa0631:1345,184@0x9d694:1255,215@0xa4609:1065,66@0x855ff:1024	tail@0x8536e:23678	338a93fd:256,ef8337bf:256,abef7bd8:256,20bb3b1b:150,aa4aac3a:125,bda29900:94	b0=var256(top=0xef:1.6%);b1=var256(top=0x8a:1.6%);b2=var256(top=0x93:2.0%);b3=var252(top=0x00:3.6%)	w0=var2176(top=0x8a33:1.1%);w1=var1967(top=0x0091:1.3%)
