source_entry	source_target	target_entry	target	delta	direction	events	unique_start_ips	unique_end_ips	byte_statuses	sites	start_ips	end_ips	raw_target_u32	raw_delta_u32	format	operand_min_len	operand_shape	operand_statuses	top_operand_bytes	top_extra_fields	lifted_ir	top_prefixes
75	0x873fc	171	0x9b4b3	-0x6d	backedge	255	1	1	backedge_sample:255	0x87c25:255	0x22ffb1	0x22ff44	0x000000ab	0x8000006d	target_u32_delta_u32	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	file_match:255	ab0000006d0000803d019a:255	u16_8=0x13d,b10=0x9a:255	next = table[171], ip -= 0x6d	ab0000006d0000803d019a5ae9e544f6:255
316	0xb987b	165	0x9a24c	-0x3c4	backedge	255	1	1	backedge_sample:255	0xba0cc:255	0x2303ae	0x22ffea	0x000000a5	0x800003c4	target_u32_delta_u32	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	file_match:255	a5000000c40300803d019a:255	u16_8=0x13d,b10=0x9a:255	next = table[165], ip -= 0x3c4	a5000000c40300803d019a6cb3e80548:255
145	0x95b5c	354	0xc2241	+0x139	forward	125	1	1	prefix_32_of_313:125	0x9634f:125	0x37158e	0x3716c7	0x00000162	0x00000139	target_u32_delta_u32	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	file_match:125	62010000390100003d019a:125	u16_8=0x13d,b10=0x9a:125	next = table[354], ip += 0x139	62010000390100003d019a100a9b0950:125
266	0xaf8af	354	0xc2241	-0x2e8	backedge	125	1	1	backedge_sample:125	0xafa1d:125	0x371714	0x37142c	0x00000162	0x800002e8	target_u32_delta_u32	0x8	target_u32@+0,delta_u32@+4	file_match:125	62010000e8020080:125		next = table[354], ip -= 0x2e8	62010000e8020080fd001ebe00000000:125
308	0xb837c	171	0x9b4b3	-0x51a4	backedge	91	1	1	backedge_sample:91	0xb84a4:91	0x315cc0	0x310b1c	0x000000ab	0x800051a4	target_u32_delta_u32	0x8	target_u32@+0,delta_u32@+4	file_match:91	ab000000a4510080:91		next = table[171], ip -= 0x51a4	ab000000a45100805101af926800350b:91
316	0xb987b	171	0x9b4b3	+0x2d	forward	91	1	1	prefix_32_of_45:91	0xba0cc:91	0x3157e1	0x31580e	0x000000ab	0x0000002d	target_u32_delta_u32	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	file_match:91	ab0000002d0000003d0122:91	u16_8=0x13d,b10=0x22:91	next = table[171], ip += 0x2d	ab0000002d0000003d0122508b11cd2b:91
316	0xb987b	354	0xc2241	+0x2d	forward	91	1	1	prefix_32_of_45:91	0xba0cc:91	0x31297d	0x3129aa	0x00000162	0x0000002d	target_u32_delta_u32	0xb	target_u32@+0,delta_u32@+4,u16_8@+0x8,b10@+0xa	file_match:91	620100002d0000003d0122:91	u16_8=0x13d,b10=0x22:91	next = table[354], ip += 0x2d	620100002d0000003d012295f2148716:91
308	0xb837c	171	0x9b4b3	-0x9de	backedge	64	1	1	backedge_sample:64	0xb84a4:64	0x231217	0x230839	0x000000ab	0x800009de	target_u32_delta_u32	0x8	target_u32@+0,delta_u32@+4	file_match:64	ab000000de090080:64		next = table[171], ip -= 0x9de	ab000000de090080e5525a9b2f6dfa22:64
117	0x90acd	354	0xc2241	-0x40	backedge	56	3	3	backedge_sample:56	0x90c21:56	0x33f708,0x343f34,0x36b386	0x33f6c8,0x343ef4,0x36b346	0x00000162	0x80000040	target_u32_delta_u32	0x8	target_u32@+0,delta_u32@+4	file_match:56	6201000040000080:56		next = table[354], ip -= 0x40	62010000400000804000dea66800a745:41,6201000040000080b900abab3af3f79d:10,6201000040000080d700100888528c5c:5
266	0xaf8af	171	0x9b4b3	-0x40	backedge	52	4	4	backedge_sample:52	0xafa1d:52	0x31c02d,0x340f43,0x341a6d,0x3427f5	0x31bfed,0x340f03,0x341a2d,0x3427b5	0x000000ab	0x80000040	target_u32_delta_u32	0x8	target_u32@+0,delta_u32@+4	file_match:52	ab00000040000080:52		next = table[171], ip -= 0x40	ab00000040000080420079933ae8f5d0:18,ab00000040000080ac0043afa30a308f:17,ab000000400000800c01191cf66bb52f:10,ab000000400000801101f0e92802e801:7
