source_entry	opcode_name	dispatch_slot_kind	variant_index	observed_expr_count	entry_events	unique_slot_exprs	target_coverage_pct	target_mismatched_events	target_binding_status	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	original_expr	variables	smt2	solver_output_excerpt
0	vmop_000_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	0	48	48	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	79	70	(((0xdae5febfu + (state0 ^ 0x1966e0e7u)) + u16_0) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff	state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_000_00.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
3	vmop_003_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	186	124	((((((((state0 - 0x1c03cc82u) - flags0) - flags0) | 0x38c49877u) - 0x2652a796u) ^ u16_0) + 0x4bc0d288u) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_003_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
13	vmop_013_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	5	5	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	188	128	(((u16_0 - 0x5ad3c2e8u) - (((((0xfe3c9aabu + flags0) | 0x779fee71u) - 0x2de02e8u) ^ state0) ^ 0x67934603u)) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_013_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
17	vmop_017_plus0x5_state_add_const_slot_multi_path	slot_multi_path	0	128	128	1	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	218	155	((u16_3 - ((((u16_0 ^ (state0 | (flags0 ^ 0x4365071cu))) + (flags0 ^ 0x4365071cu)) & (state0 | (flags0 ^ 0x4365071cu))) ^ 0x95f9698u)) & 0xffffu) & 0xffffu	(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff	flags0;state0;u16_0;u16_3	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_017_00.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
18	vmop_018_plus0x3_state_add_const_slot_multi_path	slot_multi_path	0	99	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	94	76	((u16_0 - (((state0 & flags0) - 0x6382ce20u) & flags0)) & 0xffffu) & 0xffffu	(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_018_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
18	vmop_018_plus0x3_state_add_const_slot_multi_path	slot_multi_path	1	29	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	184	138	((u16_0 - (((state0 & ((flags0 | 0x954df65u) + 0x5b466f3bu)) - 0x6382ce20u) & ((flags0 | 0x954df65u) + 0x5b466f3bu))) & 0xffffu) & 0xffffu	(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_018_01.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
20	vmop_020_plus0x4_state_add_const_slot_multi_path	slot_multi_path	0	67	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	182	135	((((((((state0 | flags0) | 0x180e72f2u) - (flags0 & 0x1fa2014fu)) - 0x36332ac8u) | 0x38e67f26u) - flags0) ^ u16_2) & 0xffffu) & 0xffffu	(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32(flags0 & 0x1fa2014f)))) | 0x38e67f26)) - flags0)))) & 0xffff	flags0;state0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_020_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
20	vmop_020_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	61	128	2	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	274	183	((((((((flags0 | state0) | 0x180e72f2u) - 0x36332ac8u) - ((flags0 ^ 0x58f71b08u) & 0x17000006u)) | 0x38e67f26u) - ((flags0 ^ 0x58f71b08u) & 0x17188826u)) ^ u16_2) & 0xffffu) & 0xffffu	(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32((mask32((mask32(flags0 ^ 0x58f71b08)) & 0x17188826)) & 0x1fa2014f)))) | 0x38e67f26)) - (mask32((mask32(flags0 ^ 0x58f71b08)) & 0x17188826)))))) & 0xffff	flags0;state0;u16_2	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_020_01.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
26	vmop_026_plus0x4_state_add_const_slot_multi_path	slot_multi_path	0	48	128	4	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	361	208	(((((0x8dd67cc5u + (((((flags0 - (state0 ^ 0x5fcdb203u)) ^ ((0xb8ed9b36u + state0) | 0x2a01f150u)) | 0x7bdf07f3u) + 0x104dd6dfu) ^ 0x5e2c5b5fu)) + (state0 * 0x2u)) ^ u16_0) ^ 0x6f23a80cu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) ^ (mask32((mask32(state0 - 0x471264ca)) | 0x2a01f150)))) | 0x7bdf07f3)) + 0x104dd6df)) ^ 0x505df542)) ^ 0xe71ae1d)) + (mask32((mask32(state0 - 0x471264ca)) + 0x1bfb4659)))))))) ^ 0x6f23a80c)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_026_00.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
26	vmop_026_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	43	128	4	100.0	0	target_binding_validated	compiler_expression_recovered	proved_equivalent	407	240	(((((0x8dd67cc5u + (((((((flags0 - (state0 ^ 0x5fcdb203u)) & 0x637d285cu) + 0x44b4a975u) ^ ((0xb8ed9b36u + state0) | 0x2a01f150u)) | 0x7bdf07f3u) + 0x104dd6dfu) ^ 0x5e2c5b5fu)) + (state0 * 0x2u)) ^ u16_0) ^ 0x6f23a80cu) & 0xffffu) & 0xffffu	(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) & 0x637d285c)) + 0x44b4a975)) ^ (mask32((mask32(state0 - 0x471264ca)) | 0x2a01f150)))) | 0x7bdf07f3)) + 0x104dd6df)) ^ 0x505df542)) ^ 0xe71ae1d)) + (mask32((mask32(state0 - 0x471264ca)) + 0x1bfb4659)))))))) ^ 0x6f23a80c)) & 0xffff	flags0;state0;u16_0	dumps/vmtail-wide-1m-w16/vm_mba_dispatch_formula_compiler_proofs/dispatch_026_01.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
