source_entry	opcode_name	dispatch_slot_kind	variant_count	proved_variants	proof_status_mix	target_binding_mix	target_coverage_pct	target_mismatched_events	reduced_dispatch_preview
0	vmop_000_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
3	vmop_003_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
13	vmop_013_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
17	vmop_017_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
18	vmop_018_plus0x3_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
20	vmop_020_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
26	vmop_026_plus0x4_state_add_const_slot_multi_path	slot_multi_path	4	0	candidate_refuted:4	target_binding_validated:4	100.0	0	
30	vmop_030_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
31	vmop_031_plus0x5_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
33	vmop_033_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
35	vmop_035_plus0x5_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
36	vmop_036_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
37	vmop_037_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
40	vmop_040_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
48	vmop_048_plus0x5_state_add_const_slot_multi_path	slot_multi_path	3	0	candidate_refuted:3	target_binding_validated:3	100.0	0	
49	vmop_049_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
52	vmop_052_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
54	vmop_054_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
56	vmop_056_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
62	vmop_062_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
64	vmop_064_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
65	vmop_065_plus0x4_state_simple_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
66	vmop_066_plus0x3_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
70	vmop_070_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
74	vmop_074_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
78	vmop_078_plus0xd_state_preserve_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	1	
79	vmop_079_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
82	vmop_082_plus0x3_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
83	vmop_083_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
88	vmop_088_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
90	vmop_090_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
91	vmop_091_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
92	vmop_092_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
94	vmop_094_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
95	vmop_095_plus0xa_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	92	
99	vmop_099_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
101	vmop_101_plus0xd_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
102	vmop_102_plus0xd_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
107	vmop_107_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
108	vmop_108_plus0x2_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
114	vmop_114_plus0x4_state_add_const_slot_multi_path	slot_multi_path	4	0	candidate_refuted:4	target_binding_validated:4	100.0	0	
118	vmop_118_plus0x3_state_formula_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
119	vmop_119_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
121	vmop_121_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
122	vmop_122_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
123	vmop_123_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
124	vmop_124_plus0x6_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
125	vmop_125_plus0x5_state_formula_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
127	vmop_127_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
128	vmop_128_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
129	vmop_129_plus0x3_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
130	vmop_130_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
131	vmop_131_plus0x5_state_formula_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
136	vmop_136_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
140	vmop_140_plus0x6_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
144	vmop_144_plus0x2_state_mixed_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
146	vmop_146_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
148	vmop_148_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
151	vmop_151_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
153	vmop_153_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
154	vmop_154_plus0x4_state_add_const_slot_multi_path	slot_multi_path	3	0	candidate_refuted:3	target_binding_validated:3	100.0	0	
157	vmop_157_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
158	vmop_158_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
160	vmop_160_plus0x2_state_const_post_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
161	vmop_161_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
167	vmop_167_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
168	vmop_168_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
172	vmop_172_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	1	proved_equivalent:1	target_binding_validated:1	100.0	0	128=((u16_2 & 0xffffu) & 0xffffu) ^ 0xa33u
173	vmop_173_plus0x2_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
174	vmop_174_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
176	vmop_176_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
179	vmop_179_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
180	vmop_180_plus0x4_state_mixed_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
181	vmop_181_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
183	vmop_183_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
184	vmop_184_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
185	vmop_185_plus0x3_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
186	vmop_186_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
187	vmop_187_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
189	vmop_189_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
190	vmop_190_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
192	vmop_192_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
196	vmop_196_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
198	vmop_198_plus0x2_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
199	vmop_199_plus0x3_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
201	vmop_201_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
203	vmop_203_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	1	proved_equivalent:1	target_binding_validated:1	100.0	0	128=((u16_0 & 0xffffu) & 0xffffu) ^ 0x9807u
208	vmop_208_plus0x5_state_add_const_slot_multi_path	slot_multi_path	4	0	candidate_refuted:4	target_binding_validated:4	100.0	0	
209	vmop_209_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
214	vmop_214_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
216	vmop_216_plus0xa_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	112	
217	vmop_217_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
220	vmop_220_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
222	vmop_222_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
231	vmop_231_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
237	vmop_237_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
239	vmop_239_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
240	vmop_240_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
241	vmop_241_plus0xd_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
242	vmop_242_plus0x5_state_formula_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
243	vmop_243_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
245	vmop_245_plus0x5_state_affine_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
248	vmop_248_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	1	proved_equivalent:1	target_binding_validated:1	100.0	0	15=((u16_2 & 0xffffu) & 0xffffu) ^ 0x66bu
250	vmop_250_plus0x3_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
251	vmop_251_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
253	vmop_253_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
254	vmop_254_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
256	vmop_256_plus0x2_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
257	vmop_257_plus0x2_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
258	vmop_258_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
260	vmop_260_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
261	vmop_261_plus0x6_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
264	vmop_264_plus0xa_state_formula_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	49	
267	vmop_267_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
268	vmop_268_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
269	vmop_269_plus0x5_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
273	vmop_273_plus0x4_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
278	vmop_278_plus0xa_state_preserve_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_not_validated:1	0.0	82	
281	vmop_281_plus0x4_state_add_const_slot_multi_path	slot_multi_path	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
282	vmop_282_plus0x5_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
283	vmop_283_plus0x5_state_preserve_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
284	vmop_284_plus0xd_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
285	vmop_285_plus0x5_state_add_const_slot_mba_stateful	slot_mba_stateful	1	0	candidate_refuted:1	target_binding_validated:1	100.0	0	
287	vmop_287_plus0x4_state_add_const_slot_multi_path	slot_multi_path	2	0	candidate_refuted:2	target_binding_validated:2	100.0	0	
