source_entry	opcode_name	problem_kind	variables	constants	constant_count	operator_summary	requires_state	requires_flags	requires_operands	state_formula	dispatch_formula
0	vmop_000_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x1966e0e7;0x251a0141	3	mask32:3;&:1;^:3;+:2;-:3	1	0	u16_0	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141	48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff
3	vmop_003_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x1c03cc82;0x38c49877;0x4bc0d288;0x4ddaed7b;0x742d9511	6	mask32:8;&:1;|:3;^:3;+:5;-:12	1	1	u16_0	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff
9	vmop_009_plus0x5_state_formula_slot_unknown	dispatch_unknown	state0;u16_3	0x25d88329	1	&:1;^:1;-:2	1	0	u16_3	state0 & u16_3 - state0 ^ 0x25d88329	dispatch slot expression not recovered; use per-row target evidence when available
13	vmop_013_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x1c36555;0x2de02e8;0x1490ac71;0x5ad3c2e8;0x67934603;0x771fee31	7	mask32:8;&:1;|:4;^:4;-:6	1	1	u16_0	state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8	5=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff
17	vmop_017_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0;u16_3	0xffff;0x95f9698;0x4365071c	3	mask32:10;&:4;|:6;^:15;+:4;-:2	1	1	u16_0,u16_3	state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698 + u16_3 - state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698	128=(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff
18	vmop_018_plus0x3_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x954df65;0x5b466f3b;0x6382ce20	4	mask32:12;&:10;|:7;+:6;-:8	1	1	u16_0	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b	99=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff | 29=(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff
20	vmop_020_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_2	0xffff;0x38e67f2;0x17188826;0x180e72f2;0x1fa2014f;0x36332ac8;0x38e67f26;0x58f71b08	8	mask32:18;&:11;|:13;^:8;-:11	1	1	u16_2	state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826 & u16_2 ^ state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826	67=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32(flags0 & 0x1fa2014f)))) | 0x38e67f26)) - flags0)))) & 0xffff | 61=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32((mask32((mask32(flags0 ^ 0x58f71b08)) & 0x17188826)) & 0x1fa2014f)))) | 0x38e67f2...#55949319b084
26	vmop_026_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0x44b4a97;0xe71ae1d;0x104dd6df;0x1bfb4659;0x2a01f150;0x44b4a975;0x471264ca;0x505df542;0x521a2f7b;0x5fcdb203;0x637d285c;0x6dbe9345;0x6f23a80c;0x7bdf07f3	14	mask32:28;&:5;|:6;^:15;+:15;-:14	1	1	u16_0	state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 - u16_0 ^ state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 ^ 0x6f23a80c	48=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) ^ (mask32((mask32(state0 - 0x471264ca)) | ...#4dd3c457ce92 | 43=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) & 0x637d285c)) + 0x44b4a97...#f947b75a6a0a
30	vmop_030_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x5903fc84;0x614d4b17;0x64fd160c	4	mask32:9;&:4;|:4;^:2;+:5	1	1	u16_0	state0 | flags0 & 0x614d4b17 + 0x64fd160c	113=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | flags0)) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff | 15=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(flags0 & 0x614d4b17)))) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff
31	vmop_031_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	state0;u16_2	0xffff;0x72a124af	2	mask32:2;&:1;+:1;-:1	1	0	u16_2	state0	2=(mask32((mask32(u16_2 + state0)) - 0x72a124af)) & 0xffff
33	vmop_033_plus0x4_state_add_const_slot_multi_path	algebraic_mba	state0;u16_2	0xffff;0x15422921;0x2d0713f3	3	mask32:3;&:2;|:3;+:4	1	0	u16_2	state0 | 0x15422921 & u16_2 + state0 | 0x15422921 + 0x2d0713f3	128=(mask32((mask32(u16_2 + (mask32(state0 | 0x15422921)))) + 0x2d0713f3)) & 0xffff
35	vmop_035_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x2c39edf6	2	mask32:2;&:1;^:1;-:1	1	0	u16_0	state0	1=(mask32((mask32(u16_0 - state0)) ^ 0x2c39edf6)) & 0xffff
36	vmop_036_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x348b11be;0x72d0ef43;0x73966fc6;0x7af5a860	5	mask32:7;&:7;|:3;^:7;+:3;-:2	1	1	u16_0	state0 + flags0 ^ flags0 & 0x73966fc6 & 0x348b11be ^ 0x72d0ef43 | 0x7af5a860 ^ u16_0 - state0 + flags0 ^ flags0 & 0x73966fc6 & 0x348b11be ^ 0x72d0ef43 | 0x7af5a860	4=(mask32(u16_0 - (mask32((mask32((mask32((mask32(state0 + flags0)) ^ (mask32((mask32(flags0 & 0x73966fc6)) & 0x348b11be)))) ^ 0x72d0ef43)) | 0x7af5a860)))) & 0xffff
37	vmop_037_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0xffff;0x504fc3d;0x384e1c86;0x4eca0e49	4	mask32:5;&:1;|:1;^:4;+:3;-:6	1	1	u16_0	state0 - flags0 + 0x504fc3d - 0x4eca0e49 | u16_0 ^ state0 - flags0 + 0x504fc3d - 0x4eca0e49 ^ 0x384e1c86	128=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - (mask32(flags0 + 0x504fc3d)))) - 0x4eca0e49)))) ^ 0x384e1c86)) & 0xffff
40	vmop_040_plus0x6_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_4	0xffff	1	mask32:1;&:2;^:2	1	0	u16_4	state0 & u16_4 ^ state0	128=(mask32(u16_4 ^ state0)) & 0xffff
42	vmop_042_plus0x4_state_mixed_slot_const_or_affine	algebraic_mba	flags0;state0;u16_2	0x3;0x160c3a44;0x327f38a4;0x471012ae	4	<<:1;^:2;-:3	1	1	u16_2	state0 - flags0 ^ state0 - 0x327f38a4 - 0x471012ae ^ 0x160c3a44	3=u16_2 << 0x3
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0;u16_2	0xffff;0x64d373dc	2	mask32:4;&:1;^:5;-:1	1	0	u16_0,u16_2	state0 ^ u16_2 ^ state0	128=(mask32((mask32(u16_0 ^ (mask32(state0 ^ (mask32(u16_2 ^ state0)))))) - 0x64d373dc)) & 0xffff
48	vmop_048_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0;u16_3	0x6134e7;0x8881ae0;0x157b2443;0x1accc893;0x41ba58a6;0x430c028c;0x4f1a7667;0x6134e706;0x79fc8ff4;0x7e86fbd3	10	mask32:25;&:27;|:3;^:25;+:13;-:18	1	1	u16_0,u16_3	state0 & u16_3 + state0 ^ flags0 ^ 0x8881ae0 - 0x1accc893 + 0x4f1a7667 - flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 ^ 0x79fc8ff4 | flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 - 0x430c028c & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 + 0x157b2443 - u16_0 + state0 & u16_3 + state0 ^ flags0 ^ 0x8881ae0 - 0x1accc893 + 0x4f1a7667 - flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 ^ 0x79fc8ff4 | flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 - 0x430c028c & flags0 ^ 0x8881ae0 - 0x1accc893 & 0x6134e706 & 0x7e86fbd3 ^ 0x41ba58a6 + 0x157b2443	78=(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ flags0)))) + 0x4f1a7667)) - (mask32(flags0 & 0x6134e706)))) & (mask32(flags0 & 0x6134e7...#0107acd66a38 | 28=(mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 & (mask32((mask32(u16_3 + state0)) ^ (mask32((mask32(flags0 ^ 0x8881ae0)) - 0x1accc893)))))) + 0x4f1a7667)) - (mask32((mask3...#e5611d77c267
49	vmop_049_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_1	0xffff;0x353700ed;0x55a592d8;0x55b8ef8d	4	mask32:6;&:4;+:10;-:4	1	1	u16_1	state0 & flags0 + flags0 - 0x353700ed + 0x55a592d8 - u16_1 + state0 & flags0 + flags0 - 0x353700ed + 0x55a592d8 + 0x55b8ef8d	128=(mask32((mask32(u16_1 + (mask32((mask32((mask32((mask32(state0 & flags0)) + flags0)) - 0x353700ed)) + 0x55a592d8)))) + 0x55b8ef8d)) & 0xffff
52	vmop_052_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x7823b2da	2	mask32:2;&:1;^:2;+:3	1	0	u16_0	state0 + u16_0 + state0 ^ 0x7823b2da	128=(mask32((mask32(u16_0 + state0)) ^ 0x7823b2da)) & 0xffff
54	vmop_054_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0xffff;0x437360e7;0x68b4ad2f	3	mask32:4;&:3;^:2;-:2	1	1	u16_0	state0 & flags0 - 0x68b4ad2f	1=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 & flags0)) - 0x68b4ad2f)))) ^ 0x437360e7)) & 0xffff
56	vmop_056_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x5380ff71	2	mask32:2;&:1;^:2;+:1;-:2	1	0	u16_0	state0 + u16_0 - state0 ^ 0x5380ff71	6=(mask32((mask32(u16_0 - state0)) ^ 0x5380ff71)) & 0xffff
62	vmop_062_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0;u16_2	0xffff;0xd90ded5;0x5dbb6647;0x7ebb48a2	4	mask32:6;&:1;|:3;^:8;+:6	1	1	u16_0,u16_2	state0 | u16_2 ^ flags0 + 0xd90ded5 ^ 0x5dbb6647 + u16_0 ^ state0 | u16_2 ^ flags0 + 0xd90ded5 ^ 0x5dbb6647 + 0x7ebb48a2	36=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(u16_2 ^ (mask32(flags0 + 0xd90ded5)))))) ^ 0x5dbb6647)))) + 0x7ebb48a2)) & 0xffff
64	vmop_064_plus0x4_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0;u16_2	0xffff;0x2701cdcd;0x4cd0c9ae;0x5b249a06;0x711675f2;0x729dddb0;0x79614de5	7	mask32:16;&:4;|:1;^:6;+:14;-:5	1	1	u16_0,u16_2	state0 - 0x79614de5 ^ u16_2 + flags0 + 0x4cd0c9ae + 0x711675f2 & 0x5b249a06 ^ flags0 + 0x4cd0c9ae + 0x711675f2 & 0x5b249a06 + 0x729dddb0	77=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - 0x79614de5)) ^ (mask32(u16_2 + flags0)))) ^ (mask32(flags0 + 0x729dddb0)))))) + 0x2701cdcd)) & 0xffff | 51=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 - 0x79614de5)) ^ (mask32(u16_2 + (mask32(flags0 + 0x4cd0c9ae)))))) ^ (mask32((mask32(flags0 + 0x4cd0c9ae)) + 0x729dddb0)))))) + 0x2701cdcd)) & 0xffff
65	vmop_065_plus0x4_state_simple_slot_mba_stateful	algebraic_mba	state0;u16_0	0xffff;0x5db84d25	2	mask32:2;&:1;^:1;-:1	1	0	u16_0	state0	9=(mask32((mask32(u16_0 ^ state0)) - 0x5db84d25)) & 0xffff
66	vmop_066_plus0x3_state_add_const_slot_multi_path	algebraic_mba	b2;flags0;state0;u16_0	0x5;0x13de2cdd;0x2f6cb1f6;0x3cd18153;0x42a6ffd6;0x50170614;0x7167293a;0x745ff1d2	8	mask32:22;&:12;|:3;^:12;-:16	1	1	b2,u16_0	state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd - flags0 - 0x50170614 | 0x7167293a ^ 0x42a6ffd6 ^ u16_0 - state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd - flags0 - 0x50170614 | 0x7167293a ^ 0x42a6ffd6 - 0x3cd18153	99=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & 0x2f6cb1f6)) - (mask32(b2 ^ (mask32(state0 & 0x2f6cb1f6)))))) ^ 0x745ff1d2)) & 0x13de2cdd)) - (mask32(flags0 ^ 0x42a6ffd6)))))) - ...#921995e973bc | 29=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & 0x2f6cb1f6)) - (mask32(b2 ^ (mask32(state0 & 0x2f6cb1f6)))))) ^ 0x745ff1d2)) & 0x13de2cdd)) - (mask32((mask32((mask32(flags0 - 0x5...#0b5fd959eb50
69	vmop_069_plus0xd_state_formula_slot_unknown	dispatch_unknown	flags0;state0	0x528cef01;0x55fafa0c;0x58fb4a0c;0x5abc12af;0x62ac6845	5	|:4;^:23;+:6;-:6	1	1		state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 ^ flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 | 0x528cef01	dispatch slot expression not recovered; use per-row target evidence when available
70	vmop_070_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0x528cef01;0x55fafa0c;0x58fb4a0c;0x5abc12af;0x62ac6845	5	mask32:14;|:4;^:27;+:8;-:7	1	1	u16_0	state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 ^ flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ state0 ^ flags0 ^ flags0 - flags0 + state0 ^ flags0 ^ flags0 + 0x55fafa0c - 0x5abc12af ^ state0 ^ flags0 ^ flags0 | 0x58fb4a0c ^ 0x62ac6845 | 0x528cef01	128=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) - (mask32((mask32((mask32((mask32(flags0 + (mask32((mask32((mask32(state0 ^ flags0)) ^ flags0)) + 0x55fafa0c))...#559049604f0e
74	vmop_074_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0xffff;0x33d7fc12;0x619b65dc;0x65dcaffc;0x7af5a4e2	5	mask32:7;&:3;^:2;+:2;-:7	1	1	u16_0	state0 - flags0 & state0 - 0x7af5a4e2 - 0x619b65dc ^ 0x65dcaffc + 0x33d7fc12	25=(mask32(u16_0 - (mask32((mask32((mask32(state0 - (mask32((mask32(flags0 & (mask32(state0 - 0x7af5a4e2)))) - 0x619b65dc)))) ^ 0x65dcaffc)) + 0x33d7fc12)))) & 0xffff
75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	dispatch_unknown	state0		0	-:1	1	0		state0	dispatch slot expression not recovered; use per-row target evidence when available
78	vmop_078_plus0xd_state_preserve_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xc7e744f;0xd4da920;0x225dfa31;0x3fcb6e9a;0x60a9dba6;0x6110d031;0x623ccce4	7	mask32:12;&:3;|:4;^:20;+:2;-:5	1	1	u16_0	state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6 | u16_0 ^ state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6	1=(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))...#ef7ba4952b24
79	vmop_079_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xc7e744f;0xd4da920;0x225dfa31;0x3fcb6e9a;0x60a9dba6;0x6110d031;0x623ccce4	7	mask32:12;&:3;|:4;^:20;+:2;-:5	1	1	u16_0	state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6 | u16_0 ^ state0 - flags0 ^ 0xc7e744f ^ 0x623ccce4 & 0xd4da920 | flags0 ^ 0xc7e744f ^ 0x225dfa31 - 0x6110d031 ^ 0x3fcb6e9a ^ flags0 ^ 0xc7e744f + 0x60a9dba6	128=(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))...#ef7ba4952b24
82	vmop_082_plus0x3_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0	0xffff;0x1bc90d20;0x2d688b3e;0x5cc5e4d8	4	mask32:3;&:1;|:2;+:9;-:1	1	1	u16_0	state0 + flags0 + 0x1bc90d20 | 0x2d688b3e - u16_0 + state0 + flags0 + 0x1bc90d20 | 0x2d688b3e + 0x5cc5e4d8	128=(mask32((mask32(u16_0 + (mask32(state0 + flags0)))) + 0x5cc5e4d8)) & 0xffff
83	vmop_083_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_0	0xffff;0x122d7f19;0x34a4c404;0x4b7ebb84;0x60e2eab8	5	mask32:6;&:4;|:3;^:2;+:5;-:4	1	1	u16_0	state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 - u16_0 + state0 & 0x122d7f19 | flags0 + 0x60e2eab8 - 0x34a4c404 ^ 0x4b7ebb84	128=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32(state0 & 0x122d7f19)) | flags0)) + 0x60e2eab8)) - 0x34a4c404)))) ^ 0x4b7ebb84)) & 0xffff
88	vmop_088_plus0x5_state_add_const_slot_multi_path	algebraic_mba	flags0;state0;u16_1	0xffff;0x1c9cfcea;0x415462f5	3	mask32:4;&:1;|:3;^:3;+:2;-:3	1	1	u16_1	state0 | flags0 - 0x1c9cfcea ^ u16_1 + state0 | flags0 - 0x1c9cfcea ^ 0x415462f5	128=(mask32((mask32(u16_1 + (mask32((mask32(state0 | flags0)) - 0x1c9cfcea)))) ^ 0x415462f5)) & 0xffff
90	vmop_090_plus0x4_state_add_const_slot_mba_stateful	algebraic_mba	flags0;state0;u16_0;u16_2	0xffff;0x1c1030c0;0x224914c1;0x3296b63d;0x4357e3c2;0x4b6fdae0;0x59296ab9;0x6ee390ce	8	mask32:1;&:6;|:5;^:2;+:11;-:1	1	1	u16_0,u16_2	state0 + flags0 + flags0 + 0x1c1030c0 + flags0 & 0x4b6fdae0 | 0x4357e3c2 & u16_2 - state0 + flags0 + flags0 + 0x1c1030c0 + flags0 & 0x4b6fdae0 | 0x4357e3c2 + flags0 & 0x4b6fdae0 | 0x59296ab9 | flags0 & 0x4b6fdae0 | 0x3296b63d ^ 0x6ee390ce ^ u16_0 + 0x224914c1	128=(mask32(u16_0 + 0x224914c1)) & 0xffff
