source_entry	source_target	opcode_name	problem_kind	status	readability_status	operation_family_mix	unresolved_mix	dispatch_slot_kind	state_kind	delta	shape	word_shape	operand_layout	word_layout	programs	program_count	observation_rows	target_entries	target_entry_count	trace_rows	trace_files	dynamic_start_vm_ip_count	exact_string_refs	side_effect_categories	formula_variables	formula_constants	required_inputs	operator_summary	state_formula	dispatch_formula	next_step
0	0x78561	vmop_000_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:5	algebraic_state_or_slot_formula:5	slot_mba_stateful	state_add_const	+0x5	EECCE	EC	b0=enum5(0x8d:41,0x4a:17,0xbe:14,0xef:10,0x1a:7);b1=enum5(0xc2:41,0x34:17,0x06:14,0x7f:10,0xf6:7);b2=0x3d;b3=0x01;b4=enum5(0x35:41,0xa3:17,0xe5:14,0x0f:10,0xb5:7)	w0=enum5(0xc28d:41,0x344a:17,0x06be:14,0x7fef:10,0xf61a:7);w1=0x013d	042;046;048;055;061	5	5	108;144;257;352	4	178	vm_instruction_trace.tsv:89;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:89	5	0		state0;u16_0	0xffff;0x1966e0e7;0x251a0141	pre_state;raw_vm_bytes:u16_0	mask32:3;&:1;^:3;+:2;-:3	state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141	48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff	simplify_to_c_expression_or_table
3	0x78c77	vmop_003_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:401	algebraic_state_or_slot_formula:401	slot_multi_path	state_add_const	+0x5	VVCCC	VC	b0=var20(top=0x19:19.7%);b1=var60(top=0x26:9.2%);b2=0x00;b3=0x3d;b4=0x01	w0=var289(top=0x2799:5.4%);w1=0x3d00	000;002;004;007;009;010;011;013;015;016;017;018;019;020;021;022;023;025;026;028;029;030;031;032;...+23	47	401	108;144;160;173;198;256;257;352	8	6868	vm_instruction_trace.tsv:3434;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3434	401	0		flags0;state0;u16_0	0xffff;0x1c03cc82;0x38c49877;0x4bc0d288;0x4ddaed7b;0x742d9511	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:8;&:1;|:3;^:3;+:5;-:12	state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	simplify_to_c_expression_or_table
9	0x79da3	vmop_009_plus0x5_state_formula_slot_unknown	dispatch_unknown	needs_dispatch_resolution_or_trace	named_structural;needs_algebraic_simplification	unresolved_dispatch:1	algebraic_state_or_slot_formula;dispatch_slot_unknown;static_model_or_runtime_validation_incomplete;state_formula_not_named:1	slot_unknown	state_formula	+0x5	CCCCC	CC	b0=0x69;b1=0x3d;b2=0x01;b3=0xb4;b4=0x4a	w0=0x3d69;w1=0xb401	056	1	1	256	1	6	vm_instruction_trace.tsv:3;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3	1	0		state0;u16_3	0x25d88329	pre_state;raw_vm_bytes:u16_3	&:1;^:1;-:2	state0 & u16_3 - state0 ^ 0x25d88329	dispatch slot expression not recovered; use per-row target evidence when available	collect_missing_dispatch_targets
13	0x7aee8	vmop_013_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:2	algebraic_state_or_slot_formula:2	slot_multi_path	state_add_const	+0x5	EECCE	EC	b0=enum2(0x9e:4,0x6a:1);b1=enum2(0x7e:4,0x75:1);b2=0x3d;b3=0x01;b4=enum2(0x25:4,0x11:1)	w0=enum2(0x7e9e:4,0x756a:1);w1=0x013d	002;052	2	2	256;257	2	10	vm_instruction_trace.tsv:5;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5	2	0		flags0;state0;u16_0	0xffff;0x1c36555;0x2de02e8;0x1490ac71;0x5ad3c2e8;0x67934603;0x771fee31	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:8;&:1;|:4;^:4;-:6	state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8	5=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff	simplify_to_c_expression_or_table
17	0x7bae9	vmop_017_plus0x5_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:73	algebraic_state_or_slot_formula:73	slot_multi_path	state_add_const	+0x5	VVEVV	VV	b0=var54(top=0x12:33.9%);b1=var37(top=0xff:35.9%);b2=enum4(0x3a:321,0x62:293,0x32:75,0x50:69);b3=var28(top=0x10:34.4%);b4=var12(top=0xa0:35.0%)	w0=var68(top=0xff12:33.9%);w1=var47(top=0x1062:33.8%)	023;026;029;034;041;042;046;048;050;052;053;055;056;059;061;063;064	17	73	3;18;28;30;66;79;83;90;92;122;140;185;199;200;215;220;239;253;254;260;269;280;281;291;...+8	32	1516	vm_instruction_trace.tsv:758;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:758	73	0		flags0;state0;u16_0;u16_3	0xffff;0x95f9698;0x4365071c	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_3	mask32:10;&:4;|:6;^:15;+:4;-:2	state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698 + u16_3 - state0 | flags0 ^ 0x4365071c & u16_0 ^ state0 | flags0 ^ 0x4365071c + flags0 ^ 0x4365071c ^ 0x95f9698	128=(mask32(u16_3 - (mask32((mask32((mask32(state0 | (mask32(flags0 ^ 0x4365071c)))) & (mask32((mask32(u16_0 ^ (mask32(state0 | (mask32(flags0 ^ 0x4365071c)))))) + (mask32(flags0 ^ 0x4365071c)))))) ^ 0x95f9698)))) & 0xffff	simplify_to_c_expression_or_table
18	0x7be9b	vmop_018_plus0x3_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:2502	algebraic_state_or_slot_formula:2502	slot_multi_path	state_add_const	+0x3	VVV	V	b0=var149(top=0xa0:5.4%);b1=var200(top=0x0a:6.4%);b2=var165(top=0x3a:10.5%)	w0=var1783(top=0x0620:1.2%)	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;...+40	64	2502	0;3;13;20;26;30;33;37;43;48;49;52;64;70;79;82;83;90;91;92;94;99;105;114;...+70	94	50898	vm_instruction_trace.tsv:25449;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:25449	2502	0		flags0;state0;u16_0	0xffff;0x954df65;0x5b466f3b;0x6382ce20	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:12;&:10;|:7;+:6;-:8	state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b	99=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff | 29=(mask32(u16_0 - (mask32((mask32((mask32(state0 & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))) - 0x6382ce20)) & (mask32((mask32(flags0 | 0x954df65)) + 0x5b466f3b)))))) & 0xffff	simplify_to_c_expression_or_table
20	0x7c62b	vmop_020_plus0x4_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:857	algebraic_state_or_slot_formula:857	slot_multi_path	state_add_const	+0x4	CCVV	CV	b0=0xe8;b1=0x01;b2=var220(top=0xa5:4.7%);b3=var173(top=0x77:9.9%)	w0=0x01e8;w1=var728(top=0x7ca5:3.7%)	000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;...+37	61	857	18;28;40;64;66;69;80;95;114;119;181;185;189;199;215;216;258;261;264;278;284;297;299;307;...+5	29	18970	vm_instruction_trace.tsv:9485;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9485	857	0		flags0;state0;u16_2	0xffff;0x38e67f2;0x17188826;0x180e72f2;0x1fa2014f;0x36332ac8;0x38e67f26;0x58f71b08	pre_state;pre_flags;raw_vm_bytes:u16_2	mask32:18;&:11;|:13;^:8;-:11	state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826 & u16_2 ^ state0 | flags0 | 0x180e72f2 - 0x36332ac8 - flags0 ^ 0x58f71b08 & 0x17188826 & 0x1fa2014f | 0x38e67f26 - flags0 ^ 0x58f71b08 & 0x17188826	67=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32(flags0 & 0x1fa2014f)))) | 0x38e67f26)) - flags0)))) & 0xffff | 61=(mask32(u16_2 ^ (mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 | 0x180e72f2)))) - 0x36332ac8)) - (mask32((mask32((mask32(flags0 ^ 0x58f71b08)) & 0x17188826)) & 0x1fa2014f)))) | 0x38e67f2...#55949319b084	simplify_to_c_expression_or_table
26	0x7dbbb	vmop_026_plus0x4_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:850	algebraic_state_or_slot_formula:850	slot_multi_path	state_add_const	+0x4	VVCC	VC	b0=var176(top=0x9e:4.5%);b1=var242(top=0xcf:3.6%);b2=0xe8;b3=0x01	w0=var832(top=0x5a9e:2.6%);w1=0x01e8	000;001;002;003;004;005;006;007;008;010;011;012;013;014;015;016;017;018;019;020;021;022;023;024;...+34	58	850	18;28;43;64;66;114;157;167;168;172;185;189;196;199;203;215;258;268;297;307;333;337;338;340;...+1	25	19774	vm_instruction_trace.tsv:9887;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9887	850	0		flags0;state0;u16_0	0x44b4a97;0xe71ae1d;0x104dd6df;0x1bfb4659;0x2a01f150;0x44b4a975;0x471264ca;0x505df542;0x521a2f7b;0x5fcdb203;0x637d285c;0x6dbe9345;0x6f23a80c;0x7bdf07f3	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:28;&:5;|:6;^:15;+:15;-:14	state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 - u16_0 ^ state0 - 0x471264ca + flags0 - state0 ^ 0x5fcdb203 & 0x637d285c + 0x44b4a975 ^ state0 - 0x471264ca | 0x2a01f150 | 0x7bdf07f3 + 0x104dd6df ^ 0x505df542 ^ 0xe71ae1d & 0x6dbe9345 + 0x521a2f7b + state0 - 0x471264ca + 0x1bfb4659 ^ 0x6f23a80c	48=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) ^ (mask32((mask32(state0 - 0x471264ca)) | ...#4dd3c457ce92 | 43=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 - 0x471264ca)) + (mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32((mask32(flags0 - (mask32(state0 ^ 0x5fcdb203)))) & 0x637d285c)) + 0x44b4a97...#f947b75a6a0a	simplify_to_c_expression_or_table
30	0x7e849	vmop_030_plus0x4_state_add_const_slot_multi_path	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:244	algebraic_state_or_slot_formula:244	slot_multi_path	state_add_const	+0x4	VVVV	VV	b0=var131(top=0xb6:12.4%);b1=var144(top=0x64:10.0%);b2=var114(top=0xe3:9.9%);b3=var93(top=0x01:22.7%)	w0=var235(top=0x64b6:9.9%);w1=var197(top=0x57cf:9.9%)	000;001;005;007;009;010;011;012;016;017;020;021;022;023;025;026;028;029;030;032;034;035;036;039;...+18	42	244	3;18;28;43;48;49;64;66;79;83;90;91;92;105;114;157;168;172;180;183;185;189;192;196;...+21	45	5180	vm_instruction_trace.tsv:2590;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2590	244	0		flags0;state0;u16_0	0xffff;0x5903fc84;0x614d4b17;0x64fd160c	pre_state;pre_flags;raw_vm_bytes:u16_0	mask32:9;&:4;|:4;^:2;+:5	state0 | flags0 & 0x614d4b17 + 0x64fd160c	113=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | flags0)) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff | 15=(mask32((mask32(u16_0 ^ (mask32((mask32(state0 | (mask32(flags0 & 0x614d4b17)))) + 0x64fd160c)))) + 0x5903fc84)) & 0xffff	simplify_to_c_expression_or_table
31	0x7ecd2	vmop_031_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	ready_for_symbolic_reduction	named_structural;needs_algebraic_simplification	obfuscated_table_dispatch:1	algebraic_state_or_slot_formula:1	slot_mba_stateful	state_preserve	+0x5	CCCCC	CC	b0=0x3d;b1=0x01;b2=0xdf;b3=0x2e;b4=0xed	w0=0x013d;w1=0x2edf	042	1	1	352	1	4	vm_instruction_trace.tsv:2;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2	1	0		state0;u16_2	0xffff;0x72a124af	pre_state;raw_vm_bytes:u16_2	mask32:2;&:1;+:1;-:1	state0	2=(mask32((mask32(u16_2 + state0)) - 0x72a124af)) & 0xffff	simplify_to_c_expression_or_table
