source_entry	opcode_name	reduction_status	proof_status	original_chars	candidate_chars	candidate_c	smt2	solver_output_excerpt
0	vmop_000_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	62	57	(((0x1966e0e7u + state0) - u16_0) ^ state0) ^ 0xf44cdfa6u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_000.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
3	vmop_003_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	176	133	(((u16_0 ^ (((0xe3fc337eu + state0) - flags0) - flags0)) ^ 0x1271f0e1u) | (((0xe3fc337eu + state0) - flags0) - flags0)) | 0x5e32c369u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_003.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
9	vmop_009_plus0x5_state_formula_slot_unknown	compiler_expression_recovered	proved_equivalent	36	41	((u16_3 - state0) & state0) ^ 0x25d88329u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_009.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
13	vmop_013_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	78	62	(((flags0 - 0x1c36555u) ^ state0) ^ 0x67934603u) | 0x77bfefb9u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_013.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
17	vmop_017_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	213	185	((((u16_0 & 0x4365071cu) ^ flags0) | state0) | (((0x4365071cu + flags0) ^ flags0) ^ 0x4a3a9184u)) | ((((u16_3 + 0x95f9698u) - state0) ^ ((0x4365071cu + flags0) ^ flags0)) ^ 0x4365071cu)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_017.smt2	"unsat\n(error ""line 11 column 10: model is not available"")"
18	vmop_018_plus0x3_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	185	83	((((0x649b4ea0u - (u16_0 + state0)) | state0) | 0x1188080u) & flags0) | 0x649b4ea0u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_018.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
20	vmop_020_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	285	165	((((0xe1db482au - flags0) ^ 0x10000000u) | (flags0 | state0)) | ((0x38e67f26u - flags0) ^ 0x10100800u)) | (((u16_2 & 0x10100800u) ^ (0x38e67f26u - flags0)) ^ state0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_020.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
26	vmop_026_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	470	258	((((((state0 - 0x6b3e5bb1u) - u16_0) & 0xe71ae1du) ^ ((0xb8ed9b36u + flags0) ^ (0xb8ed9b36u + state0))) ^ 0xd470bb91u) | ((((state0 - 0x6b3e5bb1u) & 0xe71ae1du) ^ 0xb352839cu) | (((0xb8ed9b36u + flags0) ^ (0xb8ed9b36u + state0)) ^ 0x8019001u))) | 0x2a01f150u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_026.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
30	vmop_030_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	41	31	(flags0 & 0xc64a6123u) | state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_030.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
31	vmop_031_plus0x5_state_preserve_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_031.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
33	vmop_033_plus0x4_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	62	57	(((u16_2 + state0) & 0x15422921u) | state0) | 0x42493d14u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_033.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
35	vmop_035_plus0x5_state_preserve_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	6	6	state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_035.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
36	vmop_036_plus0x5_state_add_const_slot_multi_path	compiler_expression_recovered	proved_equivalent	163	148	(((((u16_0 + flags0) - state0) ^ (flags0 & 0x30820186u)) ^ 0x8254723u) | (((state0 + flags0) ^ (flags0 & 0x30820186u)) ^ 0x72d0ef43u)) | 0x7af5a860u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_036.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
37	vmop_037_plus0x5_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	104	95	((u16_0 ^ ((0xb63aedf4u + state0) - flags0)) ^ 0x384e1c86u) | ((0xb63aedf4u + state0) - flags0)	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_037.smt2	"unsat\n(error ""line 9 column 10: model is not available"")"
40	vmop_040_plus0x6_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	23	17	(~u16_4) & state0	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_040.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
42	vmop_042_plus0x4_state_mixed_slot_const_or_affine	compiler_expression_recovered	proved_equivalent	63	58	((state0 - flags0) ^ (state0 - 0x798f4b52u)) ^ 0x160c3a44u	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_042.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	compiler_expression_recovered	proved_equivalent	23	5	u16_2	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_compiler_proofs/state_043.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
48	vmop_048_plus0x5_state_add_const_slot_multi_path	translator_or_proof_error	not_proved	813	0			unknown operand 'rdi'
