source_entry	opcode_name	template	candidate_c	proof_status	variables	solver	smt2	solver_output_excerpt
31	vmop_031_plus0x5_state_preserve_slot_mba_stateful	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_031.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
35	vmop_035_plus0x5_state_preserve_slot_mba_stateful	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_035.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
43	vmop_043_plus0x4_state_add_const_slot_mba_stateful	identity	u16_2	proved_equivalent	state0;u16_2	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_043.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
56	vmop_056_plus0x5_state_add_const_slot_mba_stateful	xor_const	u16_0 ^ 0x5380ff71u	proved_equivalent	state0;u16_0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_056.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
65	vmop_065_plus0x4_state_simple_slot_mba_stateful	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_065.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
75	vmop_075_minus0x6d_sampled_backedge_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_075.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
91	vmop_091_plus0x4_state_add_const_slot_mba_stateful	identity	u16_0	proved_equivalent	state0;u16_0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_091.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
102	vmop_102_plus0xd_state_preserve_slot_mba_stateful	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_102.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
117	vmop_117_minus0x40_sampled_backedge_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_117.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
145	vmop_145_plus0x139_sampled_long_or_sparse_slot_unknown	identity	state0	proved_equivalent	state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_145.smt2	"unsat\n(error ""line 6 column 10: model is not available"")"
148	vmop_148_plus0x5_state_add_const_slot_mba_stateful	and2_add_const	(state0 & flags0) + 0x0u	proved_equivalent	flags0;state0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_148.smt2	"unsat\n(error ""line 7 column 10: model is not available"")"
153	vmop_153_plus0x5_state_add_const_slot_mba_stateful	xor_const	u16_0 ^ 0x6f642592u	proved_equivalent	state0;u16_0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_153.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
160	vmop_160_plus0x2_state_const_post_slot_multi_path	or2_or_mask	(state0 | u16_0) | 0x777b8ff6u	proved_equivalent	state0;u16_0	/home/null/.local/bin/z3	dumps/vmtail-wide-1m-w16/vm_mba_state_formula_proofs/state_160.smt2	"unsat\n(error ""line 8 column 10: model is not available"")"
