source_entry	opcode_name	problem_kind	trace_rows	trace_files	dynamic_start_vm_ips	dynamic_target_entries	pre_state_samples	pre_flags_samples	post_state_samples	post_flags_samples	byte_samples	required_inputs	capture_status
0	vmop_000_plus0x5_state_add_const_slot_mba_stateful	algebraic_mba	178	vm_instruction_trace.tsv:89;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:89	0x31c026;0x331966;0x334c9c;0x3401b4;0x36b37f	108;144;257;352					1af63d01b5;be063d01e5;4a343d01a3;ef7f3d010f;8dc23d0135	pre_state;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
3	vmop_003_plus0x5_state_add_const_slot_multi_path	algebraic_mba	6868	vm_instruction_trace.tsv:3434;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3434	0xd0e75;0xd0f3a;0xd1190;0xd5563;0xd72e6;0x11add4;0x11affe;0x11b240;0x11b29c;0x11bb48;0x11bfe4;0x11c2bf;0x11c546;0x11c7cf;0x11cb77;0x11d536;0x11d7f1;0x11de32;0x11defa;0x11e1b4;0x11efa9;0x11f04e;0x11f0c5;0x12136d;...+377	108;144;160;173;198;256;257;352					01c3003d01;9904003d01;91c2003d01;1922003d01;9924003d01;b125003d01;9906003d01;9966003d01	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
9	vmop_009_plus0x5_state_formula_slot_unknown	dispatch_unknown	6	vm_instruction_trace.tsv:3;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:3	0x36109a	256					693d01b44a	pre_state;raw_vm_bytes:u16_3	no_state_samples_in_current_traces
13	vmop_013_plus0x5_state_add_const_slot_multi_path	algebraic_mba	10	vm_instruction_trace.tsv:5;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:5	0xd533b;0x33c276	256;257					6a753d0111;9e7e3d0125	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
17	vmop_017_plus0x5_state_add_const_slot_multi_path	algebraic_mba	1516	vm_instruction_trace.tsv:758;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:758	0x177c2f;0x1a5353;0x1a5580;0x230330;0x26ea3f;0x30efbc;0x30f681;0x31b383;0x31b45f;0x31b818;0x31bbe2;0x31be25;0x31c7e2;0x31c82f;0x31c8c1;0x31cb44;0x31cc75;0x31dac1;0x3319a9;0x331b22;0x332059;0x334ce3;0x334f8d;0x335495;...+49	3;18;28;30;66;79;83;90;92;122;140;185;199;200;215;220;239;253;254;260;269;280;281;291;...+8					aef050d09d;12ff6210a0;79fd50b89c;82fc3a789c;317c3ad89e;c8f63a78a0;56635050a1;565f3a00a1	pre_state;pre_flags;raw_vm_bytes:u16_0,u16_3	no_state_samples_in_current_traces
18	vmop_018_plus0x3_state_add_const_slot_multi_path	algebraic_mba	50898	vm_instruction_trace.tsv:25449;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:25449	0xd0ae8;0xd0af3;0xd0b19;0xd0c11;0xd0c4d;0xd0c8d;0xd0cce;0xd0d05;0xd0d80;0xd0dbc;0xd0dd3;0xd0e0b;0xd0e3c;0xd0e6a;0xd0e80;0xd0e9d;0xd0ec5;0xd0ecf;0xd0ef3;0xd0f61;0xd0f73;0xd0f89;0xd0ff0;0xd1012;...+2478	0;3;13;20;26;30;33;37;43;48;49;52;64;70;79;82;83;90;91;92;94;99;105;114;...+70					e0892a;900ada;702552;3cab3a;40129a;d2138c;a0222e;800637	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
20	vmop_020_plus0x4_state_add_const_slot_multi_path	algebraic_mba	18970	vm_instruction_trace.tsv:9485;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9485	0xd0cf2;0xd0f9b;0xd0fb1;0xd0fbc;0xd0fc7;0xd0ff3;0xd11e6;0xd1228;0xd13bd;0xd418e;0xd41c5;0xd435d;0xd43aa;0xd47cf;0xd4843;0xd49d4;0xd49e5;0xd49fb;0xd4a06;0xd4c9f;0xd4df4;0xd4e20;0xd4e2b;0xd4e6d;...+833	18;28;40;64;66;69;80;95;114;119;181;185;189;199;215;216;258;261;264;278;284;297;299;307;...+5					e801dd72;e8019877;e801b97d;e8012e4a;e801ba1d;e8018146;e801217f;e801bd75	pre_state;pre_flags;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
26	vmop_026_plus0x4_state_add_const_slot_multi_path	algebraic_mba	19774	vm_instruction_trace.tsv:9887;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:9887	0xd0b2b;0xd0b3a;0xd0b76;0xd0d6d;0xd0df4;0xd0e21;0xd12bd;0xd1353;0xd4008;0xd42a1;0xd42ce;0xd48e0;0xd490d;0xd491c;0xd4958;0xd4976;0xd4abc;0xd4d4c;0xd4d88;0xd508f;0xd5125;0xd5269;0xd5287;0xd531d;...+826	18;28;43;64;66;114;157;167;168;172;185;189;196;199;203;215;258;268;297;307;333;337;338;340;...+1					d200e801;cb40e801;9266e801;562be801;320ce801;9ebbe801;a2f9e801;f629e801	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
30	vmop_030_plus0x4_state_add_const_slot_multi_path	algebraic_mba	5180	vm_instruction_trace.tsv:2590;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2590	0xd0f08;0xd414a;0xda3ca;0x11b01d;0x11b4da;0x11b6bc;0x11bfdc;0x11c1be;0x11c586;0x11c7de;0x11c81f;0x11d0b9;0x11d11a;0x11d4fb;0x11da26;0x11e13e;0x11e5ab;0x11e880;0x11e896;0x121df2;0x1222c4;0x128f2f;0x1709b1;0x17139d;...+220	3;18;28;43;48;49;64;66;79;83;90;91;92;105;114;157;168;172;180;183;185;189;192;196;...+21					ef999c31;0f18c5a0;e71de6b7;132ee811;fec9d520;f9249103;ef252801;141fd0f0	pre_state;pre_flags;raw_vm_bytes:u16_0	no_state_samples_in_current_traces
31	vmop_031_plus0x5_state_preserve_slot_mba_stateful	algebraic_mba	4	vm_instruction_trace.tsv:2;vm_instruction_trace_filefill_hiddenfill_frontierfill_footprintfill.tsv:2	0x31c4fd	352					3d01df2eed	pre_state;raw_vm_bytes:u16_2	no_state_samples_in_current_traces
