entry	target	class	events	delta	shape	word_shape	operand_layout	word_layout	ip_reads	state_ir	flag_ir	dispatch_slot_ir	ip_advance_ir	long_branch_ir	long_branch_operands	sampled_operand_ir	sampled_operand_operands	tail_ir	path_profile	branch_profile	branch_sites	branch_gpr_profile	branch_gpr_sites	validation	top_targets
0	0x78561	static_validated	89	+0x5	EECCE	EC	b0=enum5(0x8d:41,0x4a:17,0xbe:14,0xef:10,0x1a:7);b1=enum5(0xc2:41,0x34:17,0x06:14,0x7f:10,0xf6:7);b2=0x3d;b3=0x01;b4=enum5(0x35:41,0xa3:17,0xe5:14,0x0f:10,0xb5:7)	w0=enum5(0xc28d:41,0x344a:17,0x06be:14,0x7fef:10,0xf61a:7);w1=0x013d	0x78614:u16_2,0x7862f:byte0,0x786f1:b4,0x78726:u16_2,0x787bc:u16_0	0x785c5: state xor= state0 ^ 0x1966e0e7 | 0x787fe: state sub= state0 ^ 0x1966e0e7 - u16_0 + state0 ^ 0x1966e0e7 - 0x251a0141		48=(mask32((mask32(u16_0 + (mask32(state0 ^ 0x1966e0e7)))) - 0x251a0141)) & 0xffff	48=0x5					next = table[slot]; ip += 48=0x5	1 paths over 48 state events	0/240 unknown branches (0.0%): 		0/240 unknown branches (0.0%): 		state_static=100.0%, dispatch_static=100.0%, dispatch_model=static_100:100.0%, transfer_expr=100.0%/48	352@0xc1ec4:41,144@0x95887:31,257@0xadbfd:10,108@0x8f24b:7
1	0x78835	unobserved_static	0	-	-				0x78850:u16_6,0x78875:u16_4,0x788a2:u32_0,0x78900:u32_2,0x789bd:byte0,0x78b8c:u16_0	0x78923: state and= state0 & u32_2 | 0x789d7: state add= state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a | 0x78a33: state xor= state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32...#d7bdd20d99b6 | 0x78a93: state sub= state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32...#65de463e8eb9 | ...3 omitted... |...#ebc1b24d16cf	0x78930: flags sub= flags0 - 0x7a70ea42 | 0x7899e: flags add= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x789af: flags or= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a | 0x789f7: flags and= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 | ...1 omitted... | 0x78a67: flags or= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d														
2	0x788e2	unobserved_static	0	-	-				0x78900:u32_2,0x789bd:byte0,0x78b8c:u16_0	0x78923: state and= state0 & u32_2 | 0x789d7: state add= state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a | 0x78a33: state xor= state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32...#d7bdd20d99b6 | 0x78a93: state sub= state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a ^ flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32...#65de463e8eb9 | ...3 omitted... |...#ebc1b24d16cf	0x78930: flags sub= flags0 - 0x7a70ea42 | 0x7899e: flags add= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x789af: flags or= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a | 0x789f7: flags and= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 | ...1 omitted... | 0x78a67: flags or= flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a & state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a - 0x53332262 + state0 & u32_2 + flags0 - 0x7a70ea42 + 0x68fd81fa | 0x5792765a + 0x18181cd5 | 0x5976122d														
3	0x78c77	static_validated	3434	+0x5	VVCCC	VC	b0=var20(top=0x19:19.7%);b1=var60(top=0x26:9.2%);b2=0x00;b3=0x3d;b4=0x01	w0=var289(top=0x2799:5.4%);w1=0x3d00	0x78c84:byte0,0x78d73:byte0,0x79156:b2,0x79182:u16_3,0x791dc:u16_0	0x78cca: state sub= state0 - flags0 | 0x78d10: state sub= state0 - flags0 - 0x1c03cc82 | 0x78d42: state sub= state0 - flags0 - 0x1c03cc82 - flags0 | 0x78d62: state or= state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 | ...2 omitted... | 0x7928d: state xor= state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b ^ u16_0 ^ state0 - flags0 - 0x1c03cc82 - flags0 | 0x38c49877 - 0x742d9511 + 0x4ddaed7b + 0x4bc0d288	0x7912e: flags xor= flags0 ^ 0x1f2b12e0	128=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - 0x1c03cc82)) - flags0)) | 0x38c49877)) - 0x742d9511)) + 0x4ddaed7b)))) + 0x4bc0d288)) & 0xffff	128=0x5					next = table[slot]; ip += 128=0x5	1 paths over 999 state events	256/384 unknown branches (66.7%): live_in_reg:256	0x78c93:je:live_in_reg:128,0x78cd4:je:live_in_reg:128	0/384 unknown branches (0.0%): 		state_static=100.0%, dispatch_static=100.0%, dispatch_model=static_100:100.0%, transfer_expr=100.0%/128	160@0x994cf:635,256@0xad849:510,257@0xadbfd:503,144@0x95887:485,352@0xc1ec4:418,173@0x9ba74:377
4	0x792f8	unobserved_static	0	-	-				0x79364:byte0,0x793c6:byte0,0x793e8:byte0,0x7941d:byte0,0x794c2:u32_0,0x795e1:u16_4,0x79626:u16_4 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ 0x2a994b16	0x79353: state add= state0 + 0x3b3bbe74 | 0x79371: state sub= state0 + 0x3b3bbe74 - 0x3732e4cc | 0x793b3: state add= state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 | 0x793f5: state and= state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 | ...3 omitted... | 0x79629: state or= state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2bd560b0 ^ 0x3aea6ba6 + flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 ^ u32_0 + state0 + 0x3b3bbe74 - 0x3732e4cc + 0x154265a3 & 0x2...#04fb19c980dd	0x79396: flags sub= flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b | 0x793a3: flags sub= flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 | 0x79558: flags and= flags0 - state0 + 0x3b3bbe74 - 0x3732e4cc + 0x1f59164b - 0x3bcedb21 & 0x500698c1														
5	0x79675	target_only	0	-	-				0x79690:u16_6,0x796b5:u16_4,0x796e1:u32_0,0x7977d:u16_3,0x79782:u16_0,0x797ea:u16_5,0x79871:u16_3,0x7989f:u16_0,0x79935:u16_7	0x79985: state add= state0 + u16_7 ^ state0 + 0x17cd41c1															
6	0x7971e	unobserved_static	0	-	-				0x7977d:u16_3,0x79782:u16_0,0x797ea:u16_5,0x79871:u16_3,0x7989f:u16_0,0x79935:u16_7	0x79985: state add= state0 + u16_7 ^ state0 + 0x17cd41c1															
7	0x799c7	unobserved_static	0	-	-				0x799e2:u16_2,0x79a08:u16_0,0x79b22:u16_3,0x79b90:byte0,0x79ca9:b2,0x79ce5:u16_3,0x79d32:u16_0	0x79ae2: state or= state0 | flags0															
8	0x79a3d	unobserved_static	0	-	-				0x79b22:u16_3,0x79b90:byte0,0x79ca9:b2,0x79ce5:u16_3,0x79d32:u16_0	0x79ae2: state or= state0 | flags0															
9	0x79da3	partial	3	+0x5	CCCCC	CC	b0=0x69;b1=0x3d;b2=0x01;b3=0xb4;b4=0x4a	w0=0x3d69;w1=0xb401	0x79e24:byte0,0x79f12:b0,0x79f64:u16_1,0x79fcf:u16_3	0x7a00f: state and= state0 & u16_3 - state0 ^ 0x25d88329															256@0xad849:3
10	0x7a04f	unobserved_static	0	-	-				0x7a058:byte0,0x7a065:byte0,0x7a20d:byte0,0x7a324:b4,0x7a354:u16_2,0x7a43a:u16_0	0x7a116: state and= state0 & flags0 | 0x7a270: state xor= state0 & flags0 ^ flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963 ^ 0x36174357 | 0x7a368: state add= state0 & flags0 ^ flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963 ^ 0x36174357 + 0x4123783c | 0x7a487: state sub= state0 & flags0 ^ flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963 ^ 0x36174357 + 0x4123783c - u16_0 ^ state0 & flags0 ^ flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963 ^ 0x36174357 + 0x4123783c - 0x19471e33	0x7a15b: flags add= flags0 + state0 & flags0 + 0x564636d2 | 0x7a178: flags and= flags0 + state0 & flags0 + 0x564636d2 & 0x1a79a963														
11	0x7a4d8	unobserved_static	0	-	-				0x7a533:u16_6,0x7a575:b8,0x7ab62:u32_0,0x7ab8d:u16_4,0x7abdd:u16_9,0x7ac3f:u16_11	0x7ac87: state add= state0 + u16_11 + state0 ^ 0x4ecbeff6															
12	0x7acd8	unobserved_static	0	-	-				0x7ad3c:u16_4,0x7ad46:u16_6,0x7adc1:u16_2,0x7ae68:u16_0	0x7ad75: state or= state0 | flags0 | 0x7aea6: state or= state0 | flags0 | u16_0 - state0 | flags0 + 0x61ec39cd															
13	0x7aee8	static_validated	5	+0x5	EECCE	EC	b0=enum2(0x9e:4,0x6a:1);b1=enum2(0x7e:4,0x75:1);b2=0x3d;b3=0x01;b4=enum2(0x25:4,0x11:1)	w0=enum2(0x7e9e:4,0x756a:1);w1=0x013d	0x7b082:byte0,0x7b0e7:b4,0x7b113:u16_2,0x7b137:byte0,0x7b2ec:u16_0	0x7b130: state xor= state0 ^ 0x67934603 | 0x7b1ba: state xor= state0 ^ 0x67934603 ^ flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8	0x7af1e: flags sub= flags0 - 0x1c36555 | 0x7af2e: flags or= flags0 - 0x1c36555 | 0x771fee31 | 0x7b068: flags or= flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 | 0x7b189: flags sub= flags0 - 0x1c36555 | 0x771fee31 | 0x1490ac71 - 0x2de02e8	5=(mask32((mask32(u16_0 - (mask32((mask32(state0 ^ 0x67934603)) ^ (mask32((mask32((mask32((mask32(flags0 - 0x1c36555)) | 0x771fee31)) | 0x1490ac71)) - 0x2de02e8)))))) - 0x5ad3c2e8)) & 0xffff	5=0x5					next = table[slot]; ip += 5=0x5	2 paths over 5 state events	0/45 unknown branches (0.0%): 		0/45 unknown branches (0.0%): 		state_static=100.0%, dispatch_static=100.0%, dispatch_model=static_100:100.0%, transfer_expr=100.0%/5	256@0xad849:4,257@0xadbfd:1
