row_type	section	start	stop	bytes	covered_bytes	uncovered_bytes	coverage_x100	range_count	merged_range_count	source	detail
section	.init	0x1fbd0	0x1fbe7	23	0	23	0	0	0		
section	.plt	0x1fbf0	0x20bd0	4064	0	4064	0	0	0		
section	.plt.got	0x20bd0	0x20be0	16	0	16	0	0	0		
section	.text	0x20c00	0x583650	5646928	581204	5065724	1029	4325	979		
section	.fini	0x583650	0x583659	9	0	9	0	0	0		
gap	.text	0x3ddc80	0x488452	698322	0	698322	0	0	0		
gap	.text	0x24db08	0x28cb6f	258151	0	258151	0	0	0		
gap	.text	0x1268dc	0x15b5b2	216278	0	216278	0	0	0		
gap	.text	0x2da780	0x30d540	208320	0	208320	0	0	0		
gap	.text	0x36b11b	0x392b45	162346	0	162346	0	0	0		
gap	.text	0x17c085	0x1a1fa3	155422	0	155422	0	0	0		
gap	.text	0x1a80bb	0x1cbf51	147094	0	147094	0	0	0		
gap	.text	0x2962a8	0x2b9f30	146568	0	146568	0	0	0		
gap	.text	0x1061bf	0x126851	132754	0	132754	0	0	0		
gap	.text	0x2316b6	0x24da7f	115657	0	115657	0	0	0		
gap	.text	0x161eaa	0x17bf1f	106613	0	106613	0	0	0		
gap	.text	0x30d658	0x3275b6	106334	0	106334	0	0	0		
gap	.text	0xe519c	0xfeebc	105760	0	105760	0	0	0		
gap	.text	0x35148a	0x36afd2	105288	0	105288	0	0	0		
gap	.text	0x3a2739	0x3bc0e4	104875	0	104875	0	0	0		
gap	.text	0x218066	0x231586	103712	0	103712	0	0	0		
gap	.text	0x1cc001	0x1e15fc	87547	0	87547	0	0	0		
gap	.text	0x1e16e8	0x1f5d10	83496	0	83496	0	0	0		
gap	.text	0x33f273	0x3513ff	74124	0	74124	0	0	0		
gap	.text	0x1f5e08	0x20792d	72485	0	72485	0	0	0		
gap	.text	0x3cc9ff	0x3ddb5d	69982	0	69982	0	0	0		
gap	.text	0xcf5c7	0xe0017	68176	0	68176	0	0	0		
gap	.text	0x4d918b	0x4e9ae0	67925	0	67925	0	0	0		
gap	.text	0x3bc1b5	0x3cc938	67459	0	67459	0	0	0		
gap	.text	0x392bcb	0x3a262e	64099	0	64099	0	0	0		
gap	.text	0x2c7707	0x2d2cf4	46573	0	46573	0	0	0		
gap	.text	0x20799e	0x212399	43515	0	43515	0	0	0		
gap	.text	0x28cc4c	0x2961e3	38295	0	38295	0	0	0		
gap	.text	0x2b9fa9	0x2c342b	38018	0	38018	0	0	0		
gap	.text	0x519847	0x522540	36089	0	36089	0	0	0		
gap	.text	0x327655	0x32f88d	33336	0	33336	0	0	0		
gap	.text	0x330223	0x337d35	31506	0	31506	0	0	0		
gap	.text	0x2d2e69	0x2da6fc	30867	0	30867	0	0	0		
gap	.text	0xfefee	0x1060ab	28861	0	28861	0	0	0		
gap	.text	0x15beec	0x161df6	24330	0	24330	0	0	0		
gap	.text	0x212547	0x217fac	23141	0	23141	0	0	0		
gap	.text	0xe0166	0xe50f4	20366	0	20366	0	0	0		
gap	.text	0x6c090	0x70f00	20080	0	20080	0	0	0		
gap	.text	0x530e56	0x535930	19162	0	19162	0	0	0		
gap	.text	0x4a48e0	0x4a8bb0	17104	0	17104	0	0	0		
gap	.text	0x4ea2d5	0x4ee130	15963	0	15963	0	0	0		
gap	.text	0x33b642	0x33f109	15047	0	15047	0	0	0		
gap	.text	0x56c0f5	0x56fab0	14779	0	14779	0	0	0		
gap	.text	0x1a46bb	0x1a7ffe	14659	0	14659	0	0	0		
gap	.text	0x4d486e	0x4d7eb0	13890	0	13890	0	0	0		
gap	.text	0x53c60b	0x53fbe0	13781	0	13781	0	0	0		
gap	.text	0x4a0701	0x4a3b70	13423	0	13423	0	0	0		
gap	.text	0x337e7b	0x33b1f2	13175	0	13175	0	0	0		
gap	.text	0x53907d	0x53c390	13075	0	13075	0	0	0		
gap	.text	0x535ad8	0x538c20	12616	0	12616	0	0	0		
gap	.text	0x560262	0x5630c0	11870	0	11870	0	0	0		
gap	.text	0x3aeea	0x3dcac	11714	0	11714	0	0	0		
gap	.text	0x2daf3	0x307d0	11485	0	11485	0	0	0		
gap	.text	0x57d6e5	0x57ffaa	10437	0	10437	0	0	0		
gap	.text	0x5149d8	0x517140	10088	0	10088	0	0	0		
gap	.text	0x52e53a	0x530c90	10070	0	10070	0	0	0		
gap	.text	0x63514	0x65c24	10000	0	10000	0	0	0		
gap	.text	0x3e26b	0x4096a	9983	0	9983	0	0	0		
gap	.text	0x4f74e2	0x4f9b30	9806	0	9806	0	0	0		
gap	.text	0x511c8b	0x5142c0	9781	0	9781	0	0	0		
gap	.text	0x2c5064	0x2c7675	9745	0	9745	0	0	0		
gap	.text	0x53fcc5	0x542290	9675	0	9675	0	0	0		
gap	.text	0x5436d2	0x545b60	9358	0	9358	0	0	0		
gap	.text	0x4bd57b	0x4bf7e0	8805	0	8805	0	0	0		
gap	.text	0x5746cd	0x576860	8595	0	8595	0	0	0		
gap	.text	0x52762a	0x529720	8438	0	8438	0	0	0		
gap	.text	0x4f9bd6	0x4fbb00	7978	0	7978	0	0	0		
gap	.text	0x5171d2	0x519050	7806	0	7806	0	0	0		
gap	.text	0x1a203d	0x1a3e94	7767	0	7767	0	0	0		
gap	.text	0x55cb8f	0x55e9b0	7713	0	7713	0	0	0		
gap	.text	0x522807	0x524600	7673	0	7673	0	0	0		
gap	.text	0x33d64	0x35a7e	7450	0	7450	0	0	0		
gap	.text	0x72c20	0x748d8	7352	0	7352	0	0	0		
gap	.text	0x39101	0x3ad24	7203	0	7203	0	0	0		
gap	.text	0x545c09	0x547670	6759	0	6759	0	0	0		
gap	.text	0x75411	0x76e68	6743	0	6743	0	0	0		
gap	.text	0x4f5003	0x4f69b0	6573	0	6573	0	0	0		
gap	.text	0x4c690f	0x4c8242	6451	0	6451	0	0	0		
gap	.text	0x494e98	0x496760	6344	0	6344	0	0	0		
gap	.text	0xcc3f7	0xcdc60	6249	0	6249	0	0	0		
gap	.text	0x5588ad	0x55a0c0	6163	0	6163	0	0	0		
gap	.text	0x492a6e	0x494251	6115	0	6115	0	0	0		
gap	.text	0xc80bb	0xc9849	6030	0	6030	0	0	0		
gap	.text	0x57094e	0x5720a0	5970	0	5970	0	0	0		
gap	.text	0x47925	0x49044	5919	0	5919	0	0	0		
gap	.text	0x5528f6	0x553fb0	5818	0	5818	0	0	0		
gap	.text	0x49bb83	0x49d220	5789	0	5789	0	0	0		
gap	.text	0x50898b	0x509fc0	5685	0	5685	0	0	0		
gap	.text	0x5299eb	0x52b020	5685	0	5685	0	0	0		
gap	.text	0x525e5c	0x527483	5671	0	5671	0	0	0		
gap	.text	0x49f067	0x4a0650	5609	0	5609	0	0	0		
gap	.text	0x58004d	0x581610	5571	0	5571	0	0	0		
gap	.text	0x2c3a4e	0x2c4fc5	5495	0	5495	0	0	0		
gap	.text	0xcde60	0xcf3c7	5479	0	5479	0	0	0		
