section	offset	end	size	realsz	name	safe_name	kind	nbbs	ninstrs	edges	indegree	outdegree	nlocals	nargs	stackframe	noreturn	signature
.init	0x1fbd0	0x1fbe7	23	23	sym._init	native_stub_0001fbd0_sym_init	symbol_named	3	7	3	0	0	0	0	8	0	sym._init ();
.plt	0x1fc10	0x1fc16	6	6	sym.imp.__strtof_l	native_stub_0001fc10_sym_imp_strtof_l	import_plt	1	1	0	1	0	0	0	0	0	sym.imp.__strtof_l ();
.plt	0x1fc20	0x1fc26	6	6	loc.imp._ITM_memcpyRtWn	native_stub_0001fc20_loc_imp_ITM_memcpyRtWn	import_plt	1	1	0	1	0	0	0	0	0	loc.imp._ITM_memcpyRtWn ();
.plt	0x1fc30	0x1fc36	6	6	sym.imp.mprotect	native_stub_0001fc30_sym_imp_mprotect	import_plt	1	1	0	1	0	0	0	0	0	sym.imp.mprotect ();
.plt	0x1fc40	0x1fc46	6	6	sym.imp.sem_wait	native_stub_0001fc40_sym_imp_sem_wait	import_plt	1	1	0	1	0	0	0	0	0	sym.imp.sem_wait ();
.plt	0x1fc50	0x1fc56	6	6	sym.imp.fileno	native_stub_0001fc50_sym_imp_fileno	import_plt	1	1	0	1	0	0	0	0	0	int sym.imp.fileno (FILE *stream);
.plt	0x1fc60	0x1fc66	6	6	sym.imp.pthread_cond_destroy	native_stub_0001fc60_sym_imp_pthread_cond_destroy	import_plt	1	1	0	1	0	0	0	0	0	sym.imp.pthread_cond_destroy ();
.plt	0x1fc70	0x1fc76	6	6	sym.imp.printf	native_stub_0001fc70_sym_imp_printf	import_plt	1	1	0	53	0	0	0	0	0	int sym.imp.printf (const char *format);
.plt	0x1fc80	0x1fc86	6	6	sym.imp.__strcoll_l	native_stub_0001fc80_sym_imp_strcoll_l	import_plt	1	1	0	2	0	0	0	0	0	sym.imp.__strcoll_l ();
.plt	0x1fc90	0x1fc96	6	6	sym.imp.__nl_langinfo_l	native_stub_0001fc90_sym_imp_nl_langinfo_l	import_plt	1	1	0	214	0	0	0	0	0	sym.imp.__nl_langinfo_l ();
.plt	0x1fca0	0x1fca6	6	6	sym.imp.dgettext	native_stub_0001fca0_sym_imp_dgettext	import_plt	1	1	0	4	0	0	0	0	0	sym.imp.dgettext ();
