entry	target	primary_source	primary_target	concrete_source	concrete_target	blocked_source	blocked_target	fake_source	fake_target	synthetic_source	synthetic_target	source_trace_count	target_trace_count	source_evidence	target_evidence	coverage_status	note
0	0x78561	1	1	1	1	1	1	1	1	1	1	12	12	primary,concrete,blocked_network,fake_network,synthetic_fill,alternate_mode,state_trace,mode0,mode1,mode2	primary,concrete,blocked_network,fake_network,synthetic_fill,alternate_mode,state_trace,mode0,mode1,mode2	concrete_source_and_target_seen	handler_level_environment_coverage_from_trace_matrix
1	0x78835	0	0	0	0	0	0	0	0	0	0	0	0	-	-	static_only_unobserved_in_trace_matrix	handler_level_environment_coverage_from_trace_matrix
2	0x788e2	0	0	0	0	0	0	0	0	0	0	0	0	-	-	static_only_unobserved_in_trace_matrix	handler_level_environment_coverage_from_trace_matrix
3	0x78c77	1	1	1	1	1	1	1	1	1	1	13	13	primary,concrete,blocked_network,fake_network,synthetic_fill,alternate_mode,state_trace,mode0,mode1,mode2	primary,concrete,blocked_network,fake_network,synthetic_fill,alternate_mode,state_trace,mode0,mode1,mode2	concrete_source_and_target_seen	handler_level_environment_coverage_from_trace_matrix
4	0x792f8	0	0	0	0	0	0	0	0	0	0	0	0	-	-	static_only_unobserved_in_trace_matrix	handler_level_environment_coverage_from_trace_matrix
5	0x79675	0	1	0	1	1	1	0	0	1	1	3	6	blocked_network,synthetic_fill,mode1	primary,concrete,blocked_network,synthetic_fill,mode1	concrete_target_only	handler_level_environment_coverage_from_trace_matrix
6	0x7971e	0	0	0	0	0	0	0	0	0	0	0	0	-	-	static_only_unobserved_in_trace_matrix	handler_level_environment_coverage_from_trace_matrix
7	0x799c7	0	0	0	0	0	0	0	0	0	0	0	0	-	-	static_only_unobserved_in_trace_matrix	handler_level_environment_coverage_from_trace_matrix
8	0x79a3d	0	0	0	0	0	0	0	0	0	0	0	0	-	-	static_only_unobserved_in_trace_matrix	handler_level_environment_coverage_from_trace_matrix
9	0x79da3	1	1	1	1	1	1	0	0	1	1	6	6	primary,concrete,blocked_network,synthetic_fill,mode1	primary,concrete,blocked_network,synthetic_fill,mode1	concrete_source_and_target_seen	handler_level_environment_coverage_from_trace_matrix
