section	start	stop	bytes	symbol
.fini	0x583650	0x583659	9	_fini@@Base
.init	0x1fbd0	0x1fbe7	23	_init@@Base
.plt	0x1fbf0	0x1fc00	16	_ITM_addUserCommitAction@plt-0x10
.plt	0x1fc00	0x1fc10	16	_ITM_addUserCommitAction@plt
.plt	0x1fc10	0x1fc20	16	__strtof_l@plt
.plt	0x1fc20	0x1fc30	16	_ITM_memcpyRtWn@plt
.plt	0x1fc30	0x1fc40	16	mprotect@plt
.plt	0x1fc40	0x1fc50	16	sem_wait@plt
.plt	0x1fc50	0x1fc60	16	fileno@plt
.plt	0x1fc60	0x1fc70	16	pthread_cond_destroy@plt
.plt	0x1fc70	0x1fc80	16	printf@plt
.plt	0x1fc80	0x1fc90	16	__strcoll_l@plt
.plt	0x1fc90	0x1fca0	16	__nl_langinfo_l@plt
.plt	0x1fca0	0x1fcb0	16	dgettext@plt
.plt	0x1fcb0	0x1fcc0	16	wcsftime@plt
.plt	0x1fcc0	0x1fcd0	16	__cxa_free_exception@plt
.plt	0x1fcd0	0x1fce0	16	_Unwind_GetRegionStart@plt
.plt	0x1fce0	0x1fcf0	16	fseeko64@plt
.plt	0x1fcf0	0x1fd00	16	wmemcpy@plt
.plt	0x1fd00	0x1fd10	16	memset@plt
.plt	0x1fd10	0x1fd20	16	ftell@plt
.plt	0x1fd20	0x1fd30	16	mbrtowc@plt
.plt	0x1fd30	0x1fd40	16	snprintf@plt
.plt	0x1fd40	0x1fd50	16	__cxa_begin_catch@plt
.plt	0x1fd50	0x1fd60	16	_Unwind_SetGR@plt
.plt	0x1fd60	0x1fd70	16	wcslen@plt
.plt	0x1fd70	0x1fd80	16	blake3_compress_xof_sse41@plt
.plt	0x1fd80	0x1fd90	16	close@plt
.plt	0x1fd90	0x1fda0	16	__duplocale@plt
.plt	0x1fda0	0x1fdb0	16	_Unwind_GetDataRelBase@plt
.plt	0x1fdb0	0x1fdc0	16	blake3_hasher_update@plt
.plt	0x1fdc0	0x1fdd0	16	ioctl@plt
.plt	0x1fdd0	0x1fde0	16	abort@plt
.plt	0x1fde0	0x1fdf0	16	memchr@plt
.plt	0x1fdf0	0x1fe00	16	ZydisGetInstructionEncodingInfo@plt
.plt	0x1fe00	0x1fe10	16	epoll_create@plt
.plt	0x1fe10	0x1fe20	16	sem_destroy@plt
.plt	0x1fe20	0x1fe30	16	puts@plt
.plt	0x1fe30	0x1fe40	16	uname@plt
.plt	0x1fe40	0x1fe50	16	fseek@plt
.plt	0x1fe50	0x1fe60	16	getaddrinfo@plt
.plt	0x1fe60	0x1fe70	16	bindtextdomain@plt
.plt	0x1fe70	0x1fe80	16	wmemcmp@plt
.plt	0x1fe80	0x1fe90	16	__strftime_l@plt
.plt	0x1fe90	0x1fea0	16	gettimeofday@plt
.plt	0x1fea0	0x1feb0	16	__cxa_call_terminate@plt
.plt	0x1feb0	0x1fec0	16	setvbuf@plt
.plt	0x1fec0	0x1fed0	16	__strxfrm_l@plt
.plt	0x1fed0	0x1fee0	16	putchar@plt
.plt	0x1fee0	0x1fef0	16	_ITM_RU1@plt
.plt	0x1fef0	0x1ff00	16	mbsnrtowcs@plt
.plt	0x1ff00	0x1ff10	16	read@plt
.plt	0x1ff10	0x1ff20	16	strncmp@plt
.plt	0x1ff20	0x1ff30	16	malloc@plt
.plt	0x1ff30	0x1ff40	16	fopen@plt
.plt	0x1ff40	0x1ff50	16	recv@plt
.plt	0x1ff50	0x1ff60	16	__cxa_guard_release@plt
.plt	0x1ff60	0x1ff70	16	gettext@plt
.plt	0x1ff70	0x1ff80	16	blake3_xof_many_avx512@plt
.plt	0x1ff80	0x1ff90	16	ZydisDecoderDecodeInstruction@plt
.plt	0x1ff90	0x1ffa0	16	blake3_hasher_finalize_seek@plt
.plt	0x1ffa0	0x1ffb0	16	strtold_l@plt
.plt	0x1ffb0	0x1ffc0	16	sched_yield@plt
.plt	0x1ffc0	0x1ffd0	16	ungetwc@plt
.plt	0x1ffd0	0x1ffe0	16	_Unwind_DeleteException@plt
.plt	0x1ffe0	0x1fff0	16	pthread_cond_timedwait@plt
.plt	0x1fff0	0x20000	16	__wctype_l@plt
.plt	0x20000	0x20010	16	__memcpy_chk@plt
.plt	0x20010	0x20020	16	gmtime@plt
.plt	0x20020	0x20030	16	__cxa_atexit@plt
.plt	0x20030	0x20040	16	ZydisCalcAbsoluteAddress@plt
.plt	0x20040	0x20050	16	__cxa_current_exception_type@plt
.plt	0x20050	0x20060	16	blake3_compress_xof_avx512@plt
.plt	0x20060	0x20070	16	setsockopt@plt
.plt	0x20070	0x20080	16	sysconf@plt
.plt	0x20080	0x20090	16	getpid@plt
.plt	0x20090	0x200a0	16	pthread_mutex_init@plt
.plt	0x200a0	0x200b0	16	fgets@plt
.plt	0x200b0	0x200c0	16	__towupper_l@plt
.plt	0x200c0	0x200d0	16	__cxa_call_unexpected@plt
.plt	0x200d0	0x200e0	16	__wcsxfrm_l@plt
.plt	0x200e0	0x200f0	16	__fxstat64@plt
.plt	0x200f0	0x20100	16	iconv_open@plt
.plt	0x20100	0x20110	16	getpwuid@plt
.plt	0x20110	0x20120	16	__cxa_bad_cast@plt
.plt	0x20120	0x20130	16	_ZGTtdlPv@plt
.plt	0x20130	0x20140	16	__cxa_get_globals_fast@plt
.plt	0x20140	0x20150	16	_Unwind_GetLanguageSpecificData@plt
.plt	0x20150	0x20160	16	vswprintf@plt
.plt	0x20160	0x20170	16	ZydisRegisterEncode@plt
.plt	0x20170	0x20180	16	__udivti3@plt
.plt	0x20180	0x20190	16	_Unwind_Resume_or_Rethrow@plt
.plt	0x20190	0x201a0	16	ungetc@plt
.plt	0x201a0	0x201b0	16	__wcscoll_l@plt
.plt	0x201b0	0x201c0	16	__popcountdi2@plt
.plt	0x201c0	0x201d0	16	fputc@plt
.plt	0x201d0	0x201e0	16	freeaddrinfo@plt
.plt	0x201e0	0x201f0	16	free@plt
.plt	0x201f0	0x20200	16	secure_getenv@plt
.plt	0x20200	0x20210	16	strlen@plt
.plt	0x20210	0x20220	16	__cxa_allocate_exception@plt
.plt	0x20220	0x20230	16	ferror@plt
.plt	0x20230	0x20240	16	pthread_create@plt
.plt	0x20240	0x20250	16	wmemchr@plt
.plt	0x20250	0x20260	16	opendir@plt
.plt	0x20260	0x20270	16	__xstat@plt
.plt	0x20270	0x20280	16	pclose@plt
.plt	0x20280	0x20290	16	pthread_cond_init@plt
.plt	0x20290	0x202a0	16	__xpg_basename@plt
.plt	0x202a0	0x202b0	16	_Unwind_RaiseException@plt
.plt	0x202b0	0x202c0	16	__ctype_get_mb_cur_max@plt
.plt	0x202c0	0x202d0	16	realpath@plt
.plt	0x202d0	0x202e0	16	wctob@plt
.plt	0x202e0	0x202f0	16	__wcsftime_l@plt
.plt	0x202f0	0x20300	16	__iswctype_l@plt
.plt	0x20300	0x20310	16	readdir@plt
.plt	0x20310	0x20320	16	__tls_get_addr@plt
.plt	0x20320	0x20330	16	mbstowcs@plt
.plt	0x20330	0x20340	16	fdopen@plt
.plt	0x20340	0x20350	16	syscall@plt
.plt	0x20350	0x20360	16	memfd_create@plt
.plt	0x20360	0x20370	16	iconv@plt
