target	section	classification	priority	edge_count	edge_kind_mix	source_mix	relation_mix	window_mix	note
0x206c0	.plt	plt_stack_chk_fail	external_runtime	12	call:12	entry_175:3,entry_195:6,entry_299:3	outside_retpatch_window:12	175@0xd1445:0x217cb-0x2184b:1,175@0x17a420:0x31703-0x31783:1,175@0x1a6041:0x339bd-0x33a3d:1,195@0xd5ebc:0x21e1e-0x21e9e:1,195@0xdaf39:0x230d4-0x23154:1,195@0x1ed483:0x37af9-0x37b79:1,195@0x333bc9:0x748d8-0x74958:1,195@0x33d2d9:0x74f88-0x75008:1,195@0x3655e4:0x779bd-0x77a3d:1,299@0x122e3c:0x2d409-0x2d489:1,299@0x17452e:0x313eb-0x3146b:1,299@0x33710f:0x74b3d-0x74bbd:1	__stack_chk_fail PLT target reached only from stack-cookie guard failure branches.
0x217ff	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_175:1	inside_retpatch_window:1	175@0xd1445:0x217cb-0x2184b:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x21848	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_175:1	inside_retpatch_window:1	175@0xd1445:0x217cb-0x2184b:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x21a50	.text	internal_realloc_copy_helper	targeted_retdec_candidate	1	call:1	entry_175:1	outside_retpatch_window:1	175@0xd1445:0x217cb-0x2184b:1	Function-shaped helper with normal prologue; copies or reallocates buffered native state and calls allocator-family helpers.
0x21e53	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0xd5ebc:0x21e1e-0x21e9e:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x23108	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_195:1	inside_retpatch_window:1	195@0xdaf39:0x230d4-0x23154:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x23122	.text	internal_obfuscated_helper_to_e0017	targeted_obfuscation_candidate	1	call:1	entry_195:1	inside_retpatch_window:1	195@0xdaf39:0x230d4-0x23154:1	Function-shaped helper begins with a normal prologue then transfers into the 0xe0017 obfuscated native island.
0x2508e	.text	internal_container_wrapper	bounded_targeted_retdec_candidate	2	call:2	entry_195:2	outside_retpatch_window:2	195@0x231b74:0x5f1c6-0x5f246:2	Small wrapper around pointer adjustment and a tail transfer toward the nearby 0x24cb0 container/object helper family.
0x2d440	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_299:1	inside_retpatch_window:1	299@0x122e3c:0x2d409-0x2d489:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
0x2d4c2	.text	post_window_adjacent_branch	covered_by_source_window	1	jump:1	entry_299:1	post_window_adjacent:1	299@0x122e3c:0x2d409-0x2d489:1	Direct branch lands just after the bounded window; keep with the local native epilogue/adjacent-helper evidence.
0x31422	.text	local_retpatch_window_branch	covered_by_source_window	1	jump:1	entry_299:1	inside_retpatch_window:1	299@0x17452e:0x313eb-0x3146b:1	Direct branch target stays inside an already-rendered native ret-patch disassembly window.
