rank	offset	end	bytes	semantic_covered_bytes	semantic_uncovered_bytes	coverage_x100	kind	name	nbbs	ninstrs	outdegree	priority_class	next_action	selected_range
1	0x568cf0	0x568eea	506	0	506	0	native_discovered	method.std::__cxx11::messages_wchar_t_.virtual_24	11	143	13	tier0_small_native_gap	targeted_retdec_single_function	0x568cf0-0x568eea
2	0x56274	0x5646b	503	0	503	0	r2_discovered	fcn.00056274	11	110	20	tier0_small_native_gap	targeted_retdec_single_function	0x56274-0x5646b
3	0x4fed10	0x4fef07	503	0	503	0	r2_discovered	fcn.004fed10	1	82	1	tier0_small_native_gap	targeted_retdec_single_function	0x4fed10-0x4fef07
4	0x25a3e	0x25c34	502	0	502	0	r2_discovered	fcn.00025a3e	19	130	9	tier0_small_native_gap	targeted_retdec_single_function	0x25a3e-0x25c34
5	0x500b70	0x500d66	502	0	502	0	r2_discovered	fcn.00500b70	1	82	1	tier0_small_native_gap	targeted_retdec_single_function	0x500b70-0x500d66
6	0x498230	0x498422	498	0	498	0	r2_discovered	fcn.00498230	13	84	8	tier0_small_native_gap	targeted_retdec_single_function	0x498230-0x498422
7	0x4c98a0	0x4c9a91	497	0	497	0	r2_discovered	fcn.004c98a0	28	142	3	tier0_small_native_gap	targeted_retdec_single_function	0x4c98a0-0x4c9a91
8	0x2ceb0	0x2d09e	494	0	494	0	r2_discovered	fcn.0002ceb0	2	125	0	tier0_small_native_gap	targeted_retdec_single_function	0x2ceb0-0x2d09e
9	0x579d80	0x579f6e	494	0	494	0	r2_discovered	fcn.00579d80	43	149	1	tier0_small_native_gap	targeted_retdec_single_function	0x579d80-0x579f6e
10	0x4f75e	0x4f94a	492	0	492	0	r2_discovered	fcn.0004f75e	14	97	8	tier0_small_native_gap	targeted_retdec_single_function	0x4f75e-0x4f94a
11	0x4d3da0	0x4d3f8b	491	0	491	0	r2_discovered	fcn.004d3da0	21	122	10	tier0_small_native_gap	targeted_retdec_single_function	0x4d3da0-0x4d3f8b
12	0x4fbb00	0x4fbceb	491	0	491	0	r2_discovered	fcn.004fbb00	25	112	0	tier0_small_native_gap	targeted_retdec_single_function	0x4fbb00-0x4fbceb
13	0x4b2990	0x4b2b79	489	0	489	0	r2_discovered	fcn.004b2990	27	126	6	tier0_small_native_gap	targeted_retdec_single_function	0x4b2990-0x4b2b79
14	0x53f76	0x5415e	488	0	488	0	r2_discovered	fcn.00053f76	9	116	11	tier0_small_native_gap	targeted_retdec_single_function	0x53f76-0x5415e
15	0x5534e	0x55536	488	0	488	0	r2_discovered	fcn.0005534e	9	116	11	tier0_small_native_gap	targeted_retdec_single_function	0x5534e-0x55536
16	0x568500	0x5686e7	487	0	487	0	r2_discovered	fcn.00568500	15	108	7	tier0_small_native_gap	targeted_retdec_single_function	0x568500-0x5686e7
17	0x56b2c0	0x56b4a7	487	0	487	0	r2_discovered	fcn.0056b2c0	15	108	7	tier0_small_native_gap	targeted_retdec_single_function	0x56b2c0-0x56b4a7
18	0x4cd00	0x4cee6	486	0	486	0	r2_discovered	fcn.0004cd00	5	115	17	tier0_small_native_gap	targeted_retdec_single_function	0x4cd00-0x4cee6
19	0x268c9	0x26aae	485	0	485	0	r2_discovered	fcn.000268c9	22	139	16	tier0_small_native_gap	targeted_retdec_single_function	0x268c9-0x26aae
20	0x4a6e6	0x4a8c5	479	0	479	0	r2_discovered	fcn.0004a6e6	30	140	9	tier0_small_native_gap	targeted_retdec_single_function	0x4a6e6-0x4a8c5
21	0x57160	0x5733f	479	0	479	0	r2_discovered	fcn.00057160	28	128	11	tier0_small_native_gap	targeted_retdec_single_function	0x57160-0x5733f
22	0x55c790	0x55c96f	479	0	479	0	native_discovered	method.std::num_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_72	21	128	8	tier0_small_native_gap	targeted_retdec_single_function	0x55c790-0x55c96f
23	0x55c9b0	0x55cb8f	479	0	479	0	native_discovered	method.std::num_get_char__std::istreambuf_iterator_char__std::char_traits_char_____.virtual_88	21	128	8	tier0_small_native_gap	targeted_retdec_single_function	0x55c9b0-0x55cb8f
24	0x5725b0	0x57278f	479	0	479	0	r2_discovered	fcn.005725b0	11	131	22	tier0_small_native_gap	targeted_retdec_single_function	0x5725b0-0x57278f
25	0x5727c0	0x57299f	479	0	479	0	r2_discovered	fcn.005727c0	11	131	22	tier0_small_native_gap	targeted_retdec_single_function	0x5727c0-0x57299f
26	0x4b8430	0x4b860e	478	0	478	0	r2_discovered	fcn.004b8430	17	131	13	tier0_small_native_gap	targeted_retdec_single_function	0x4b8430-0x4b860e
27	0x538ea0	0x53907d	477	0	477	0	native_discovered	method.std::__cxx11::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_64	25	123	6	tier0_small_native_gap	targeted_retdec_single_function	0x538ea0-0x53907d
28	0x5cb26	0x5cd02	476	0	476	0	r2_discovered	fcn.0005cb26	20	114	9	tier0_small_native_gap	targeted_retdec_single_function	0x5cb26-0x5cd02
29	0x2cafa	0x2ccd5	475	0	475	0	r2_discovered	fcn.0002cafa	3	68	12	tier0_small_native_gap	targeted_retdec_single_function	0x2cafa-0x2ccd5
30	0x62b92	0x62d6d	475	0	475	0	r2_discovered	fcn.00062b92	19	123	9	tier0_small_native_gap	targeted_retdec_single_function	0x62b92-0x62d6d
31	0x4aa650	0x4aa829	473	0	473	0	r2_discovered	fcn.004aa650	15	125	10	tier0_small_native_gap	targeted_retdec_single_function	0x4aa650-0x4aa829
32	0x4b1ca0	0x4b1e79	473	0	473	0	r2_discovered	fcn.004b1ca0	30	135	11	tier0_small_native_gap	targeted_retdec_single_function	0x4b1ca0-0x4b1e79
33	0x567f20	0x5680f7	471	0	471	0	r2_discovered	fcn.00567f20	25	122	21	tier0_small_native_gap	targeted_retdec_single_function	0x567f20-0x5680f7
34	0x492898	0x492a6e	470	0	470	0	r2_discovered	fcn.00492898	26	142	8	tier0_small_native_gap	targeted_retdec_single_function	0x492898-0x492a6e
35	0x4c6100	0x4c62d6	470	0	470	0	r2_discovered	fcn.004c6100	25	125	13	tier0_small_native_gap	targeted_retdec_single_function	0x4c6100-0x4c62d6
36	0x56b60	0x56d34	468	0	468	0	r2_discovered	fcn.00056b60	22	125	16	tier0_small_native_gap	targeted_retdec_single_function	0x56b60-0x56d34
37	0x4bcd80	0x4bcf54	468	0	468	0	r2_discovered	fcn.004bcd80	23	136	13	tier0_small_native_gap	targeted_retdec_single_function	0x4bcd80-0x4bcf54
38	0x4bfaf0	0x4bfcc3	467	0	467	0	r2_discovered	fcn.004bfaf0	28	128	6	tier0_small_native_gap	targeted_retdec_single_function	0x4bfaf0-0x4bfcc3
39	0x4b8bc0	0x4b8d92	466	0	466	0	r2_discovered	fcn.004b8bc0	21	106	13	tier0_small_native_gap	targeted_retdec_single_function	0x4b8bc0-0x4b8d92
40	0x572230	0x572400	464	0	464	0	r2_discovered	fcn.00572230	16	120	19	tier0_small_native_gap	targeted_retdec_single_function	0x572230-0x572400
41	0x4b36d0	0x4b389f	463	0	463	0	r2_discovered	fcn.004b36d0	18	113	24	tier0_small_native_gap	targeted_retdec_single_function	0x4b36d0-0x4b389f
42	0x5586e0	0x5588ad	461	0	461	0	native_discovered	method.std::num_put_char__std::ostreambuf_iterator_char__std::char_traits_char_____.virtual_16	22	137	8	tier0_small_native_gap	targeted_retdec_single_function	0x5586e0-0x5588ad
43	0x4f20e	0x4f3da	460	0	460	0	r2_discovered	fcn.0004f20e	26	129	14	tier0_small_native_gap	targeted_retdec_single_function	0x4f20e-0x4f3da
44	0x50e4c0	0x50e68c	460	0	460	0	native_discovered	method.std::num_put_wchar_t__std::ostreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_16	22	136	8	tier0_small_native_gap	targeted_retdec_single_function	0x50e4c0-0x50e68c
45	0x619f2	0x61bbd	459	0	459	0	r2_discovered	fcn.000619f2	21	123	11	tier0_small_native_gap	targeted_retdec_single_function	0x619f2-0x61bbd
46	0x502fa0	0x50316a	458	0	458	0	r2_discovered	fcn.00502fa0	1	77	2	tier0_small_native_gap	targeted_retdec_single_function	0x502fa0-0x50316a
47	0x505870	0x505a3a	458	0	458	0	r2_discovered	fcn.00505870	1	77	2	tier0_small_native_gap	targeted_retdec_single_function	0x505870-0x505a3a
48	0x556610	0x5567da	458	0	458	0	r2_discovered	fcn.00556610	19	119	10	tier0_small_native_gap	targeted_retdec_single_function	0x556610-0x5567da
49	0x5100a0	0x510269	457	0	457	0	native_discovered	method.std::time_get_wchar_t__std::istreambuf_iterator_wchar_t__std::char_traits_wchar_t_____.virtual_40	8	100	5	tier0_small_native_gap	targeted_retdec_single_function	0x5100a0-0x510269
