section	start	stop	bytes	symbol	normalized_symbol	categories	classification_confidence	classification_reason	provenance
.fini	0x583650	0x583659	9	_fini@@Base	_fini	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.init	0x1fbd0	0x1fbe7	23	_init@@Base	_init	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x1fbf0	0x1fc00	16	_ITM_addUserCommitAction@plt-0x10	_ITM_addUserCommitAction	cxx_runtime	high	GNU transactional-memory runtime symbol	native_linkage_stub_inventory
.plt	0x1fc00	0x1fc10	16	_ITM_addUserCommitAction@plt	_ITM_addUserCommitAction	cxx_runtime	high	GNU transactional-memory runtime symbol	native_linkage_stub_inventory
.plt	0x1fc10	0x1fc20	16	__strtof_l@plt	__strtof_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x1fc20	0x1fc30	16	_ITM_memcpyRtWn@plt	_ITM_memcpyRtWn	cxx_runtime	high	GNU transactional-memory runtime symbol	native_linkage_stub_inventory
.plt	0x1fc30	0x1fc40	16	mprotect@plt	mprotect	memory_protection	high	memory mapping/protection import	native_linkage_stub_inventory
.plt	0x1fc40	0x1fc50	16	sem_wait@plt	sem_wait	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x1fc50	0x1fc60	16	fileno@plt	fileno	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x1fc60	0x1fc70	16	pthread_cond_destroy@plt	pthread_cond_destroy	threading_sync	high	pthread/semaphore/scheduler import	native_linkage_stub_inventory
.plt	0x1fc70	0x1fc80	16	printf@plt	printf	text_formatting	high	formatting/output import	native_linkage_stub_inventory
.plt	0x1fc80	0x1fc90	16	__strcoll_l@plt	__strcoll_l	native_runtime_misc	low	no stronger side-effect category	native_linkage_stub_inventory
.plt	0x1fc90	0x1fca0	16	__nl_langinfo_l@plt	__nl_langinfo_l	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x1fca0	0x1fcb0	16	dgettext@plt	dgettext	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x1fcb0	0x1fcc0	16	wcsftime@plt	wcsftime	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x1fcc0	0x1fcd0	16	__cxa_free_exception@plt	__cxa_free_exception	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x1fcd0	0x1fce0	16	_Unwind_GetRegionStart@plt	_Unwind_GetRegionStart	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x1fce0	0x1fcf0	16	fseeko64@plt	fseeko64	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x1fcf0	0x1fd00	16	wmemcpy@plt	wmemcpy	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x1fd00	0x1fd10	16	memset@plt	memset	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x1fd10	0x1fd20	16	ftell@plt	ftell	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
.plt	0x1fd20	0x1fd30	16	mbrtowc@plt	mbrtowc	locale_i18n	high	locale/i18n import	native_linkage_stub_inventory
.plt	0x1fd30	0x1fd40	16	snprintf@plt	snprintf	text_formatting	high	formatting/output import	native_linkage_stub_inventory
.plt	0x1fd40	0x1fd50	16	__cxa_begin_catch@plt	__cxa_begin_catch	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x1fd50	0x1fd60	16	_Unwind_SetGR@plt	_Unwind_SetGR	cxx_runtime	high	C++ ABI/exception import	native_linkage_stub_inventory
.plt	0x1fd60	0x1fd70	16	wcslen@plt	wcslen	memory_string	high	memory/string helper import	native_linkage_stub_inventory
.plt	0x1fd70	0x1fd80	16	blake3_compress_xof_sse41@plt	blake3_compress_xof_sse41	crypto_hashing	high	crypto/hash/random import	native_linkage_stub_inventory
.plt	0x1fd80	0x1fd90	16	close@plt	close	filesystem_io	high	filesystem/device I/O import	native_linkage_stub_inventory
