program	first_seen_rank	first_vm_ip	behavior_tags	behavior_confidence	exact_vm_ref_count	exact_side_effect_categories	role_mix	top_strings	runtime_native_binding	provenance	next_action
000	10	0xd0ac0	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
001	8	0xd3fac	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
002	9	0xd476e	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
003	13	0xd5a12	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
004	14	0xd718e	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
005	15	0xda38f	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
006	16	0xdac57	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
007	3	0x11ac5e	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
008	4	0x11bc28	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
009	5	0x11bf5d	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
010	6	0x11c2aa	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
011	42	0x11de9f	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
012	43	0x11e574	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
013	44	0x11ef65	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
014	45	0x1209d2	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
015	49	0x1210d6	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
016	51	0x121b31	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
017	53	0x122074	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
018	56	0x122344	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
019	64	0x122a46	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
020	58	0x128952	control_transfer_or_native_bridge_candidate	low_to_medium	1	host_environment_inventory:1	cpu_or_runtime_configuration_name:1	FILTERS_MODE_IPREFETCH	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
021	57	0x1705a9	threading_sync	low_to_medium	1	threading_sync:1	threading_import_symbol:1	pthread_mutexattr_init	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
022	46	0x176883	control_transfer_or_native_bridge_candidate	low_to_medium	1	compiler_metadata:1	compiler_type_name:1	unsigned __int128	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
023	47	0x177353	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
024	48	0x179f43	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
025	7	0x18b66f	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
026	54	0x1a480d	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
027	55	0x1a5f3d	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
028	52	0x1ec0ab	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
029	11	0x22fe2d	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
030	12	0x230722	vm_dispatch_math_only_so_far	none	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	defer until control graph names this program or new data refs appear
031	50	0x2316bf	cxx_runtime	low_to_medium	1	cxx_runtime:1	cxx_runtime_type_or_exception_text:1	_ZGTtdlPv	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
032	2	0x249468	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
033	0	0x26cd71	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
034	1	0x26db07	control_transfer_or_native_bridge_candidate	low_to_medium	1	literal_data:1	literal_data_marker:1	YYYYY	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
035	59	0x292986	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
036	60	0x2bec2e	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
037	61	0x2bf297	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
038	62	0x2bf97c	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
039	63	0x2bfe6f	networking	low_to_medium	1	network:1	network_import_symbol:1	socket	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
040	65	0x2c1156	cxx_runtime	low_to_medium	1	cxx_runtime:1	cxx_runtime_type_or_exception_text:1	basic_string::append	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
041	31	0x30e872	crypto_hashing;cxx_runtime;disassembly_metadata	medium	5	cxx_runtime:1,locale_i18n:1,crypto_hashing:1,compiler_metadata:1,disassembly_metadata:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,crypto_import_symbol:1,compiler_type_name:1,disassembly_metadata_symbol:1	_ITM_registerTMCloneTable || __freelocale || blake3_hasher_finalize || unsigned __int128 || zydis_decoder_tree_root	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
042	17	0x31aa27	cxx_runtime	medium	4	cxx_runtime:2,locale_i18n:2	gnu_transactional_memory_runtime_symbol:2,locale_runtime_symbol:2	_ITM_registerTMCloneTable || __freelocale || _ITM_registerTMCloneTable || __freelocale	not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	reduce opcode/dataflow around referenced site and native bridge target
043	18	0x31df8f	control_transfer_or_native_bridge_candidate	low	0	no_exact_side_effect_ref			not_bound_to_vm_program	program_rollup_from_exact_vm_refs_and_behavior_hypotheses	confirm tags by reducing nearby opcode windows and native/import bridge targets
