source_entry	source_target	path_hash	events	target_pct	ip_pct	validation	eval_rows	direct_table_matches	direct_entry_matches	aligned_in_range_rows	invalid_slot_rows	eval_errors	top_actual_targets	top_eval_relations	verdict	slot_expr	path
356	0xc291a	7af0b6860c39318d	116	0.0	0.0	target=0.0%, ip=0.0%, ok:13,unknown_target:103	116	0	0	13	103	0	310@0xb8556:61,169@0x9af18:55	slot=0x7e6d,table_entry=-1,actual=310:14;slot=0x3bae,table_entry=-1,actual=310:14;slot=0x4e00,table_entry=-1,actual=310:14;slot=0x668f,table_entry=-1,actual=169:14;slot=0x7614,table_entry=-1,actual=310:14;slot=0x4ac3,table_entry=-1,actual=169:13	not_promotable	(mask32((mask32(u16_0 ^ (mask32(state0 ^ flags0)))) + 0x70d7d4a7)) & 0xffff	0xc2b01:jne:1;0xc2b1d:jne:1;0xc2b39:jne:1;0xc2b57:jne:0;0xc2c03:je:0
216	0xa4a61	75052fca20bfc88b	112	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:112	112	0	0	0	112	0	310@0xb8556:82,169@0x9af18:30	slot=0xa35a,table_entry=-1,actual=310:14;slot=0x4506,table_entry=-1,actual=310:13;slot=0x651d,table_entry=-1,actual=310:13;slot=0xdb22,table_entry=-1,actual=310:13;slot=0x2593,table_entry=-1,actual=310:13;slot=0x385f,table_entry=-1,actual=310:13	not_promotable	(mask32(u16_1 - (mask32(state0 ^ flags0)))) & 0xffff	0xa4bfa:jne:0;0xa4c0e:jne:1;0xa4cf8:je:0
278	0xb2342	a604fbe70c42f7fd	82	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:82	83	0	0	0	83	0	169@0x9af18:56,310@0xb8556:26	slot=0x5459,table_entry=-1,actual=169:14;slot=0xeb29,table_entry=-1,actual=169:14;slot=0x3b64,table_entry=-1,actual=310:13;slot=0xfa58,table_entry=-1,actual=310:13;slot=0x6b2a,table_entry=-1,actual=169:13;slot=0xf0d9,table_entry=-1,actual=169:13	not_promotable	(mask32((mask32(u16_2 - (mask32(state0 | flags0)))) + 0x68baea26)) & 0xffff	0xb2479:jne:1;0xb2486:jne:1;0xb2494:jne:1;0xb24a4:jne:0;0xb2508:je:0
311	0xb86f8	75688f09a9896611	67	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:67	69	0	0	0	69	0	169@0x9af18:36,310@0xb8556:31	slot=0xbfc3,table_entry=-1,actual=310:13;slot=0x4a2c,table_entry=-1,actual=169:13;slot=0x3492,table_entry=-1,actual=310:13;slot=0xf091,table_entry=-1,actual=169:13;slot=0xfe36,table_entry=-1,actual=169:4;slot=0xf4f,table_entry=-1,actual=310:4	not_promotable	(mask32((mask32(u16_3 ^ (mask32((mask32(state0 - 0x1889c111)) - (mask32((mask32((mask32(flags0 - (mask32((mask32(state0 - 0x1889c111)) + 0x3cae9026)))) | 0x2b959efa)) | 0x35e8abc1)))))) ^ 0xa9f4228)) & 0xffff	0xb87c6:je:0;0xb8828:je:0;0xb88a7:jne:1;0xb88b5:jne:1;0xb88c4:jne:1;0xb88d2:jne:0;0xb8927:je:0
95	0x8c41c	605a965b0cc7f63e	52	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:52	95	0	0	0	95	0	169@0x9af18:34,310@0xb8556:18	slot=0xe22a,table_entry=-1,actual=169:61;slot=0xe22a,table_entry=-1,actual=310:31;slot=0xe22a,table_entry=-1,actual=86:2;slot=0xe22a,table_entry=-1,actual=42:1	not_promotable	(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	0x8c53c:je:1
264	0xaf4cf	e3b0c44298fc1c14	49	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:49	49	0	0	0	49	0	169@0x9af18:31,310@0xb8556:18	slot=0x4c20,table_entry=-1,actual=169:13;slot=0x75ad,table_entry=-1,actual=169:13;slot=0x2aff,table_entry=-1,actual=310:13;slot=0xf0ec,table_entry=-1,actual=310:4;slot=0x5806,table_entry=-1,actual=169:4;slot=0x5816,table_entry=-1,actual=310:1	not_promotable	(mask32((mask32(u16_8 + state0)) - 0x6fba3362)) & 0xffff	-
95	0x8c41c	be7c6d4e5e3db62f	40	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:40	95	0	0	0	95	0	169@0x9af18:27,310@0xb8556:13	slot=0xe22a,table_entry=-1,actual=169:61;slot=0xe22a,table_entry=-1,actual=310:31;slot=0xe22a,table_entry=-1,actual=86:2;slot=0xe22a,table_entry=-1,actual=42:1	not_promotable	(mask32(u16_4 + 0x1f18e1aa)) & 0xffff	0x8c53c:je:0
321	0xbb1dd	e43a6d061b0d7434	13	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:13	19	0	0	0	19	0	169@0x9af18:13	slot=0x5eb1,table_entry=-1,actual=169:13;slot=0x307a,table_entry=-1,actual=310:3;slot=0xd3cf,table_entry=-1,actual=169:3	not_promotable	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff	0xbb1f8:je:0;0xbb202:je:0;0xbb4c1:je:1
321	0xbb1dd	9e32de774899afb7	6	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:6	19	0	0	0	19	0	169@0x9af18:3,310@0xb8556:3	slot=0x5eb1,table_entry=-1,actual=169:13;slot=0x307a,table_entry=-1,actual=310:3;slot=0xd3cf,table_entry=-1,actual=169:3	not_promotable	(mask32((mask32(u16_2 - (mask32((mask32((mask32(state0 + (mask32(u16_0 ^ flags0)))) | 0x2d680d90)) + 0x69cbe1a0)))) + 0x7ba65dc4)) & 0xffff	0xbb1f8:je:0;0xbb202:je:0;0xbb4c1:je:0
78	0x883c0	96fd915ac218c913	1	0.0	0.0	target=0.0%, ip=0.0%, unknown_target:1	1	0	0	0	1	0	310@0xb8556:1	slot=0x82eb,table_entry=-1,actual=310:1	not_promotable	(mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 - (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x623ccce4)))) & 0xd4da920)) | (mask32((mask32(flags0 ^ 0xc7e744f)) ^ 0x225dfa31)))) - 0x6110d031)) ^ 0x3fcb6e9a)) ^ (mask32(flags0 ^ 0xc7e744f)))) + 0x60a9dba6)))) & 0xffff	0x883db:je:0;0x883e5:je:0;0x8860f:je:0;0x886fb:je:0;0x887f1:je:0
