source_entry	source_target	path_hash	source_class	source_branch_profile	source_branch_gpr_profile	events	target_pct	ip_pct	sample_expr_events	sample_expr_target_pct	slot_expr	ip_advance	operand_layout	state_ir	flag_ir	top_actual_targets	path	validation
307	0xb8064	53af157f8d5a451e	static_validated	128/256 unknown branches (50.0%): live_in_reg:128	0/256 unknown branches (0.0%): 	6610	100.0	100.0	122	100.0	122=(mask32(u16_1 - 0x665a9b5)) & 0xffff	122=0x3	b0=var252(top=0x3a:9.2%);b1=var29(top=0x9d:8.1%);b2=var12(top=0xaf:24.2%)	0xb80ed: state xor= state0 ^ b0 - flags0 | 0xb8162: state and= state0 ^ b0 - flags0 & flags0 & 0x5792b958 | 0xb81e7: state xor= state0 ^ b0 - flags0 & flags0 & 0x5792b958 ^ flags0 & 0x5792b958	0xb80fa: flags and= flags0 & 0x5792b958	174@0x9bd8f:418,157@0x98a9a:391,26@0x7dbbb:389,114@0x90319:383,340@0xbf435:337,196@0x9fbcd:327,161@0x9975a:322,337@0xbec0e:281	0xb80ac:je:0;0xb8188:je:1	target=100.0%, ip=100.0%, ok:6610
258	0xadf2c	4be73f077fec7fc7	static_validated	0/256 unknown branches (0.0%): 	0/256 unknown branches (0.0%): 	6275	100.0	100.0	70	100.0	70=(mask32((mask32(u16_0 - (mask32((mask32((mask32(state0 ^ 0x11095fd5)) + (mask32(flags0 ^ 0x1769756e)))) ^ (mask32(u16_2 - (mask32(flags0 ^ 0x1769756e)))))))) ^ 0x5812e92c)) & 0xffff	70=0x4	b0=var255(top=0xf3:2.2%);b1=var256(top=0xab:1.9%);b2=var246(top=0x51:2.5%);b3=var240(top=0xeb:4.3%)	0xadf8e: state xor= state0 ^ 0x11095fd5 | 0xae01c: state add= state0 ^ 0x11095fd5 + flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e | 0xae101: state xor= state0 ^ 0x11095fd5 + flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e ^ u16_2 - flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e | 0xae2d0: state and= state0 ^ 0x11095fd5 + flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e ^ u16_2 - flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e & u16_0 - state0 ^ 0x11095fd5 + flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e ^ u1...#2d91502c2543	0xadf61: flags sub= flags0 - 0x1510614f | 0xadf71: flags or= flags0 - 0x1510614f | 0xa1b079a | 0xadfb6: flags xor= flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e | 0xae110: flags sub= flags0 - 0x1510614f | 0xa1b079a ^ 0x1769756e - 0x63deb9c4	215@0xa4609:640,43@0x8173d:598,307@0xb8064:571,18@0x7be9b:345,26@0x7dbbb:308,315@0xb9451:295,184@0x9d694:267,297@0xb64d7:258	0xadf51:je:1;0xadfe1:je:0	target=100.0%, ip=100.0%, ok:6275
347	0xc088d	cb333c548cc440f3	static_validated	128/256 unknown branches (50.0%): derived_live_in:128	0/256 unknown branches (0.0%): 	5868	100.0	100.0	92	100.0	92=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) | (mask32((mask32(flags0 ^ (mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) & 0x45223942)))) + (mask32((mask32(state0 | (mask32(flags0 + 0x6fa972f0)))) | 0x2efc96c5)))))) ^ 0...#38484e2d9466	92=0x4	b0=var256(top=0xe6:2.1%);b1=var79(top=0x0b:6.4%);b2=var230(top=0xba:3.9%);b3=var101(top=0x82:10.2%)	0xc08bf: state or= state0 | flags0 + 0x6fa972f0 | 0xc098d: state or= state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0xc09ea: state xor= state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 | 0xc0a20: state and= state0 | flags0 + 0x6fa972f0 | flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 ^ 0x5cf483c7 & flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | ...#b2a6f52463ad | ...2 omitted... | 0xc0c...#4ab75977c806	0xc0952: flags xor= flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 | 0xc0973: flags add= flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0xc09d2: flags or= flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f | 0xc09e3: flags xor= flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f ^ 0x1a7ef2ae | ...1 omitted... | 0xc0b53: flags xor= flags0 ^ state0 | flags0 + 0x6fa972f0 & 0x45223942 + state0 | flags0 + 0x6fa972f0 | 0x2efc96c5 | 0x6630614f ^ 0x1a7ef2ae | ...#a6e72f829c55	168@0x9aa83:626,174@0x9bd8f:457,28@0x7e390:455,18@0x7be9b:364,158@0x99029:350,20@0x7c62b:336,185@0x9d964:206,307@0xb8064:196	0xc093d:je:0;0xc09c2:je:1	target=100.0%, ip=100.0%, ok:5868
337	0xbec0e	c8492588f16e2cbb	static_validated	256/768 unknown branches (33.3%): derived_live_in:128,unknown_frame_field:128	0/768 unknown branches (0.0%): 	5158	100.0	100.0	85	100.0	85=(mask32((mask32(u16_0 + (mask32((mask32((mask32((mask32((mask32((mask32(state0 - flags0)) - (mask32((mask32(u16_2 + (mask32(state0 - flags0)))) + flags0)))) + 0x2051de91)) & (mask32(flags0 + 0x61f749a7)))) | 0x51d7631a)) ^ (mask32((mask32((mask32(flags0 + 0x61f749a7)) ^ 0x3de72107)) & 0xe04b834)))))) ^...#b95390b65598	85=0x4	b0=var128(top=0x7c:3.3%);b1=var227(top=0x91:5.3%);b2=var254(top=0x9d:2.2%);b3=var253(top=0x00:7.9%)	0xbec32: state sub= state0 - flags0 | 0xbed93: state sub= state0 - flags0 - u16_2 + state0 - flags0 + flags0 | 0xbeec8: state add= state0 - flags0 - u16_2 + state0 - flags0 + flags0 + 0x2051de91 | 0xbef26: state and= state0 - flags0 - u16_2 + state0 - flags0 + flags0 + 0x2051de91 & flags0 + 0x61f749a7 | ...2 omitted... | 0xbf0ec: state or= state0 - flags0 - u16_2 + state0 - flags0 + flags0 + 0x2051de91 & flags0 + 0x61f749a7 | 0x51d7631a ^ flags0 + 0x61f749a7 ^ 0x3de72107 & 0xe04b834 | u16_0 + state0 - flags0 - u16_2 + state0 - flags0 + fla...#7246741bd7fd	0xbedb6: flags add= flags0 + 0x61f749a7 | 0xbef77: flags xor= flags0 + 0x61f749a7 ^ 0x3de72107 | 0xbef89: flags and= flags0 + 0x61f749a7 ^ 0x3de72107 & 0xe04b834	66@0x855ff:430,315@0xb9451:289,297@0xb64d7:229,123@0x91a59:186,176@0x9c10b:178,43@0x8173d:178,18@0x7be9b:167,28@0x7e390:166	0xbec7a:je:0;0xbeea3:je:0;0xbeee0:je:0;0xbef44:je:0;0xbef67:je:0;0xbefac:je:0	target=100.0%, ip=100.0%, ok:5158
199	0xa0631	454bb50b5a012434	static_validated	128/512 unknown branches (25.0%): derived_live_in:128	0/512 unknown branches (0.0%): 	4835	100.0	100.0	106	100.0	106=(mask32((mask32(u16_0 ^ (mask32((mask32((mask32((mask32(state0 + (mask32(b2 + flags0)))) ^ 0x7e708197)) & 0x20d5418)) + flags0)))) + 0x3030bb89)) & 0xffff	106=0x3	b0=var128(top=0xc7:3.5%);b1=var256(top=0x88:2.4%);b2=var179(top=0x3a:9.8%)	0xa07a1: state add= state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a | 0xa0856: state xor= state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a ^ 0x7e708197 | 0xa0891: state and= state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a ^ 0x7e708197 & 0x20d5418 | 0xa08b8: state add= state0 + b2 + flags0 ^ 0x7353b039 - 0x24d1328a ^ 0x7e708197 & 0x20d5418 + flags0 ^ 0x7353b039 - 0x24d1328a	0xa0686: flags xor= flags0 ^ 0x7353b039 | 0xa0698: flags sub= flags0 ^ 0x7353b039 - 0x24d1328a | 0xa08d2: flags and= flags0 ^ 0x7353b039 - 0x24d1328a & 0x4705559f | 0xa08f6: flags add= flags0 ^ 0x7353b039 - 0x24d1328a & 0x4705559f + 0x79865026 | ...2 omitted... | 0xa0995: flags and= flags0 ^ 0x7353b039 - 0x24d1328a & 0x4705559f + 0x79865026 + 0x73a763f8 | 0x3383da68 & 0x16833a14	258@0xadf2c:429,184@0x9d694:424,114@0x90319:337,203@0xa1484:290,340@0xbf435:249,64@0x85059:197,189@0x9e7af:195,161@0x9975a:144	0xa0676:je:1;0xa0921:je:0;0xa094b:je:0;0xa0985:je:0	target=100.0%, ip=100.0%, ok:4835
18	0x7be9b	bdfe2dc323c2ac6d	static_validated	128/512 unknown branches (25.0%): live_in_reg:128	0/512 unknown branches (0.0%): 	4728	100.0	100.0	94	100.0	94=(mask32(u16_0 - (mask32((mask32((mask32(state0 & flags0)) - 0x6382ce20)) & flags0)))) & 0xffff	94=0x3	b0=var149(top=0xa0:5.4%);b1=var200(top=0x0a:6.4%);b2=var165(top=0x3a:10.5%)	0x7bf3a: state and= state0 & flags0 | 0x954df65 + 0x5b466f3b | 0x7bf47: state sub= state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 | 0x7bf89: state and= state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b | 0x7c2b1: state sub= state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b - u16_0 - state0 & flags0 | 0x954df65 + 0x5b466f3b - 0x6382ce20 & flags0 | 0x954df65 + 0x5b466f3b	0x7bf0e: flags or= flags0 | 0x954df65 | 0x7bf1e: flags add= flags0 | 0x954df65 + 0x5b466f3b | 0x7bff0: flags add= flags0 | 0x954df65 + 0x5b466f3b + 0x4872934a | 0x7c0fa: flags sub= flags0 | 0x954df65 + 0x5b466f3b + 0x4872934a - 0x6a461e06 | ...1 omitted... | 0x7c19f: flags or= flags0 | 0x954df65 + 0x5b466f3b + 0x4872934a - 0x6a461e06 - 0x2d264ba3 | 0x52561d19	114@0x90319:436,258@0xadf2c:381,337@0xbec0e:223,174@0x9bd8f:205,347@0xc088d:205,20@0x7c62b:184,196@0x9fbcd:182,189@0x9e7af:178	0x7bed4:je:0;0x7befe:je:1;0x7bfe0:je:1;0x7c17e:je:0	target=100.0%, ip=100.0%, ok:4728
66	0x855ff	f47171d373278492	static_validated	128/512 unknown branches (25.0%): live_in_reg:128	0/512 unknown branches (0.0%): 	4708	100.0	100.0	89	100.0	89=(mask32((mask32(u16_0 - (mask32((mask32((mask32((mask32((mask32(state0 & 0x2f6cb1f6)) - (mask32(b2 ^ (mask32(state0 & 0x2f6cb1f6)))))) ^ 0x745ff1d2)) & 0x13de2cdd)) - (mask32(flags0 ^ 0x42a6ffd6)))))) - 0x3cd18153)) & 0xffff	89=0x3	b0=var248(top=0x65:2.5%);b1=var253(top=0xa8:2.1%);b2=var114(top=0x3a:8.4%)	0x85710: state and= state0 & 0x2f6cb1f6 | 0x85829: state sub= state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 | 0x858b9: state xor= state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 | 0x858f1: state and= state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd | ...1 omitted... | 0x859d0: state xor= state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd - flags0 - 0x50170614 | 0x7167293a ^ 0x42a6ffd6 ^ u16_0 - state0 & 0x2f6cb1f6 - b2 ^ state0 & 0x2f6cb1f6 ^ 0x745ff1d2 & 0x13de2cdd...#fa82cf391b8b	0x85679: flags sub= flags0 - 0x50170614 | 0x85688: flags or= flags0 - 0x50170614 | 0x7167293a | 0x85864: flags xor= flags0 - 0x50170614 | 0x7167293a ^ 0x42a6ffd6	337@0xbec0e:443,123@0x91a59:392,340@0xbf435:344,189@0x9e7af:332,158@0x99029:301,64@0x85059:289,176@0x9c10b:163,184@0x9d694:157	0x85621:je:0;0x8566a:je:1;0x856f1:je:0;0x858d5:je:0	target=100.0%, ip=100.0%, ok:4708
215	0xa4609	3c30635855970371	static_validated	0/512 unknown branches (0.0%): 	0/512 unknown branches (0.0%): 	4283	100.0	100.0	83	100.0	83=u16_0 & 0xffff	83=0x3	b0=var29(top=0x88:10.5%);b1=var11(top=0x05:21.1%);b2=var114(top=0xc8:9.2%)	0xa4652: state or= state0 | 0x760f463f | 0xa4719: state sub= state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c | 0xa477a: state add= state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c + 0x15a799dd | 0xa4794: state or= state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c + 0x15a799dd | 0x6c5f0f12 | ...2 omitted... | 0xa49f0: state sub= state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c + 0x15a799dd | 0x6c5f0f12 + b2 + state0 | 0x760f463f - flags0 | 0x77dcc51b ^ 0xee9796d ^ 0x717a207c + 0x15a799dd | 0x6c5f0f12 | 0x38d2bdd3 - u16_0	0xa4681: flags or= flags0 | 0x77dcc51b | 0xa46b3: flags xor= flags0 | 0x77dcc51b ^ 0xee9796d | 0xa4756: flags add= flags0 | 0x77dcc51b ^ 0xee9796d + 0x269ea56a | 0xa4768: flags xor= flags0 | 0x77dcc51b ^ 0xee9796d + 0x269ea56a ^ 0x6abba0b9 | ...1 omitted... | 0xa48ef: flags add= flags0 | 0x77dcc51b ^ 0xee9796d + 0x269ea56a ^ 0x6abba0b9 - 0x4d415ee2 + 0x5966d257	114@0x90319:399,196@0x9fbcd:377,172@0x9b68a:290,337@0xbec0e:226,340@0xbf435:175,157@0x98a9a:162,268@0xb0007:158,20@0x7c62b:154	0xa4667:je:1;0xa46a3:je:1;0xa4746:je:1;0xa47d6:je:1	target=100.0%, ip=100.0%, ok:4283
196	0x9fbcd	44a20faf942e72a8	static_validated	0/256 unknown branches (0.0%): 	0/256 unknown branches (0.0%): 	4088	100.0	100.0	100	100.0	100=(mask32((mask32(u16_2 + (mask32((mask32((mask32((mask32((mask32((mask32((mask32(state0 | 0x52e5924a)) + (mask32((mask32((mask32(flags0 | 0x4083ed99)) & (mask32((mask32(state0 | 0x52e5924a)) ^ 0x20047816)))) & 0x7ca762c5)))) + 0x37b5a024)) + 0x2e12e35a)) ^ 0x44fb7fdb)) + (mask32((mask32((mask32((mask32(...#4f1ee978b737	100=0x4	b0=var249(top=0xef:3.2%);b1=var250(top=0x6e:7.0%);b2=var62(top=0x0c:6.1%);b3=var110(top=0xf6:6.1%)	0x9fbd7: state or= state0 | 0x52e5924a | 0x9fe36: state add= state0 | 0x52e5924a + flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 - 0x5ff2f608 + 0x789b1461 | 0x9fe43: state add= state0 | 0x52e5924a + flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 - 0x5ff2f608 + 0x789b1461 + 0x37b5a024 | 0x9fe9d: state add= state0 | 0x52e5924a + flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 - 0x5ff2f608 + 0x789b1461 + 0x37b5a024 + 0x2e12e35a | ...2 omitted... | 0x9ff29: state and= state0 | 0x52e5924a + flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 -...#a2f7c53652c1	0x9fcff: flags or= flags0 | 0x4083ed99 | 0x9fdae: flags and= flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 | 0x9fdbb: flags and= flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 | 0x9fe05: flags sub= flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 - 0x5ff2f608 | ...1 omitted... | 0x9fe81: flags add= flags0 | 0x4083ed99 & state0 | 0x52e5924a ^ 0x20047816 & 0x7ca762c5 - 0x5ff2f608 + 0x789b1461 + 0x32c4b127	340@0xbf435:555,66@0x855ff:501,18@0x7be9b:338,215@0xa4609:287,189@0x9e7af:202,347@0xc088d:117,305@0xb78b0:111,258@0xadf2c:101	0x9fd8f:je:1;0x9fdf5:je:1	target=100.0%, ip=100.0%, ok:4088
297	0xb64d7	6091fdb2f82dc3fb	static_validated	256/640 unknown branches (40.0%): live_in_reg:256	0/640 unknown branches (0.0%): 	4065	100.0	100.0	84	100.0	84=(mask32((mask32(u16_1 - (mask32((mask32((mask32((mask32(state0 - 0x48220942)) | flags0)) ^ 0x6b7f38b7)) + (mask32((mask32(b0 + (mask32((mask32((mask32(state0 - 0x48220942)) | flags0)) ^ 0x6b7f38b7)))) + flags0)))))) ^ 0x9f24ccb)) & 0xffff	84=0x3	b0=var222(top=0x89:5.5%);b1=var249(top=0x2e:3.1%);b2=var256(top=0xad:1.8%)	0xb64ee: state sub= state0 - 0x48220942 | 0xb662c: state or= state0 - 0x48220942 | flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb | 0xb6638: state xor= state0 - 0x48220942 | flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb ^ 0x6b7f38b7 | 0xb675f: state add= state0 - 0x48220942 | flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb ^ 0x6b7f38b7 + b0 + state0 - 0x48220942 | flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb ^ 0x6b7f38b7 + flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb | 0xb68a4: state sub= state0 - 0x48220942 | flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb ^ 0x6b7f38b7 + b0 + state0 - 0x48220942 | flags0 + 0x283684b4 ...#5cbcb91e7d87	0xb655f: flags add= flags0 + 0x283684b4 | 0xb656f: flags xor= flags0 + 0x283684b4 ^ 0x4a5a939a | 0xb660f: flags or= flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb | 0xb6781: flags add= flags0 + 0x283684b4 ^ 0x4a5a939a | 0x6650e9bb + 0xe00fc8a	196@0x9fbcd:493,347@0xc088d:424,203@0xa1484:299,258@0xadf2c:205,340@0xbf435:185,174@0x9bd8f:168,337@0xbec0e:124,43@0x8173d:94	0xb64f9:je:0;0xb651f:je:0;0xb654f:je:1;0xb65c8:je:0;0xb65f5:je:1	target=100.0%, ip=100.0%, ok:4065
